date, min_price, max_price
1402/02/18, 10960, 10960
1402/02/17, 11500, 11950
1402/02/16, 12010, 12100
1402/02/13, 11530, 11530
1402/02/12, 10830, 10990
1402/02/11, 10130, 10480
1402/02/10, 9820, 10020
1402/02/09, 9350, 9650
1402/02/06, 9410, 9850
1402/02/05, 9250, 9920
1402/02/04, 9330, 9930
1402/01/30, 9140, 9710
1402/01/29, 9050, 9340
1402/01/28, 8360, 8970
1402/01/27, 8380, 8780
1402/01/26, 8200, 8410
1402/01/22, 7750, 8200
1402/01/21, 7860, 8370
1402/01/20, 8070, 8500
1402/01/19, 8000, 8470
1402/01/16, 7730, 8150
1402/01/15, 7600, 8030
1402/01/14, 7200, 7680
1402/01/09, 7020, 7460
1402/01/08, 7010, 7290
1402/01/07, 6770, 7240
1402/01/06, 6960, 7420
1402/01/05, 6860, 7410
1401/12/28, 6950, 7060
1401/12/27, 6530, 6740
1401/12/24, 6340, 6530
1401/12/23, 6300, 6460
1401/12/22, 6320, 6490
1401/12/21, 6300, 6500
1401/12/20, 6450, 6700
1401/12/16, 6390, 6580
1401/12/15, 6310, 6610
1401/12/14, 6400, 6700
1401/12/13, 6410, 6700
1401/12/10, 6490, 6720
1401/12/09, 6530, 6740
1401/12/08, 6490, 6900
1401/12/07, 6410, 6880
1401/12/06, 6450, 6600
1401/12/03, 6120, 6480
1401/12/02, 6220, 6530
1401/12/01, 6000, 6280
1401/11/30, 5850, 6100
1401/11/26, 5800, 5970
1401/11/25, 5870, 6250
1401/11/24, 5920, 6260
1401/11/23, 5930, 6350
1401/11/19, 6110, 6340
1401/11/18, 6100, 6360
1401/11/17, 6010, 6200
1401/11/16, 6080, 6490
1401/11/12, 6270, 6540
1401/11/11, 6080, 6390
1401/11/10, 5860, 6300
1401/11/09, 6060, 6310
1401/11/08, 6280, 6690
1401/11/05, 6470, 6960
1401/11/04, 6680, 6910
1401/11/03, 6540, 7140
1401/11/02, 6760, 7190
1401/11/01, 6910, 7340
1401/10/28, 7000, 7200
1401/10/27, 7040, 7440
1401/10/26, 7140, 7300
1401/10/24, 6520, 7110
1401/10/21, 6660, 6910
1401/10/20, 6540, 6970
1401/10/19, 6710, 7030
1401/10/18, 6790, 7200
1401/10/17, 7000, 7210
1401/10/14, 6790, 7140
1401/10/13, 6920, 7200
1401/10/12, 6710, 6960
1401/10/11, 6450, 6800
1401/10/10, 6060, 6590
1401/10/07, 6100, 6370
1401/10/05, 5970, 6200
1401/10/04, 5900, 6190
1401/10/03, 5860, 5980
1401/09/30, 5470, 5790
1401/09/29, 5370, 5660
1401/09/28, 5470, 5750
1401/09/27, 5580, 5840
1401/09/26, 5560, 5800
1401/09/23, 5620, 5780
1401/09/22, 5400, 5600
1401/09/21, 5240, 5500
1401/09/20, 5170, 5350
1401/09/19, 5180, 5370
1401/09/16, 5170, 5360
1401/09/14, 5120, 5410
1401/09/13, 5230, 5360
1401/09/12, 5010, 5280
1401/09/09, 5130, 5310
1401/09/08, 5130, 5400
1401/09/07, 5180, 5450
1401/09/06, 5270, 5570
1401/09/05, 5250, 5550
1401/09/02, 5212, 5394
1401/09/01, 4933, 5214
1401/08/30, 4902, 5000
1401/08/29, 4761, 4988
1401/08/28, 4680, 4960
1401/08/25, 4750, 4990
1401/08/24, 4785, 4967
1401/08/23, 4711, 4900
1401/08/22, 4753, 4970
1401/08/21, 4790, 4959
1401/08/18, 4540, 4988
1401/08/17, 4605, 4990
1401/08/16, 4600, 4773
1401/08/15, 4352, 4700
1401/08/14, 4380, 4609
1401/08/11, 4281, 4550
1401/08/10, 4319, 4532
1401/08/09, 4220, 4425
1401/08/08, 4120, 4389
1401/08/07, 4294, 4580
1401/08/04, 4510, 4810
1401/08/03, 4610, 4900
1401/08/02, 4750, 5000
1401/08/01, 4930, 5090
1401/07/30, 4960, 5250
1401/07/27, 5000, 5100
1401/07/26, 5020, 5170
1401/07/25, 5030, 5200
1401/07/24, 4900, 5030
1401/07/23, 5010, 5130
1401/07/20, 5000, 5220
1401/07/19, 4840, 5090
1401/07/18, 4750, 5000
1401/07/17, 4840, 5040
1401/07/16, 4940, 5100
1401/07/12, 4970, 5088
1401/07/11, 4920, 5094
1401/07/10, 4920, 5181
1401/07/09, 4937, 5157
1401/07/06, 4825, 4978
1401/07/04, 4650, 4987
1401/07/02, 4728, 4980
1401/06/30, 4900, 5140
1401/06/29, 5020, 5235
1401/06/28, 5150, 5383
1401/06/27, 4960, 5176
1401/06/23, 4860, 5080
1401/06/22, 4960, 5200
1401/06/21, 4920, 5280
1401/06/20, 5110, 5420
1401/06/19, 5360, 5500
1401/06/16, 5510, 5810
1401/06/15, 5500, 5730
1401/06/14, 5330, 5610
1401/06/13, 5330, 5580
1401/06/12, 5440, 5710
1401/06/09, 5650, 5840
1401/06/08, 5650, 5950
1401/06/07, 5700, 6020
1401/06/06, 5790, 6100
1401/06/05, 5910, 6290
1401/06/02, 6000, 6170
1401/06/01, 5920, 6130
1401/05/31, 5940, 6190
1401/05/30, 5910, 6180
1401/05/29, 6020, 6230
1401/05/26, 6100, 6410
1401/05/25, 6100, 6520
1401/05/24, 6000, 6510
1401/05/23, 6090, 6400
1401/05/22, 6350, 6350
1401/05/19, 6000, 6250
1401/05/18, 6140, 6520
1401/05/15, 5980, 6440
1401/05/12, 5920, 6200
1401/05/11, 5900, 6100
1401/05/10, 5860, 6160
1401/05/09, 5840, 6180
1401/05/08, 5860, 6240
1401/05/05, 5900, 6200
1401/05/04, 5880, 6140
1401/05/03, 5930, 6120
1401/05/02, 6220, 6480
1401/05/01, 6370, 6650
1401/04/29, 6250, 6410
1401/04/28, 6100, 6330
1401/04/26, 5830, 6120
1401/04/15, 12150, 12540
1401/04/14, 12300, 12700
1401/04/13, 12330, 12880
1401/04/12, 12340, 12990
1401/04/11, 12750, 13200
1401/04/08, 12910, 13280
1401/04/07, 12170, 13060
1401/04/06, 12000, 12750
1401/04/05, 12140, 13000
1401/04/04, 12490, 12970
1401/04/01, 12110, 12990
1401/03/31, 12500, 13040
1401/03/30, 12510, 13000
1401/03/29, 12460, 12770
1401/03/28, 12510, 12920
1401/03/25, 12500, 13130
1401/03/24, 12790, 13380
1401/03/23, 12600, 13480
1401/03/22, 12580, 12950
1401/03/21, 11950, 12500
1401/03/18, 11850, 12250
1401/03/17, 11510, 12140
1401/03/16, 11570, 12160
1401/03/11, 11860, 12470
1401/03/10, 11850, 12220
1401/03/09, 11980, 12570
1401/03/08, 11510, 12140
1401/03/07, 11140, 11590
1401/03/04, 10500, 11100
1401/03/03, 10310, 11240
1401/02/27, 10750, 11160
1401/02/26, 10230, 10810
1401/02/25, 10110, 10490
1401/02/24, 10090, 10850
1401/02/21, 10200, 10640
1401/02/20, 10000, 10430
1401/02/19, 10150, 10750
1401/02/18, 10500, 10860
1401/02/17, 10250, 11000
1401/02/12, 10350, 10590
1401/02/11, 9800, 10450
1401/02/10, 10000, 10640
1401/02/07, 10300, 10930
1401/02/06, 10640, 11260
1401/02/05, 10560, 11130
1401/02/04, 10510, 11000
1401/01/31, 10660, 11070
1401/01/30, 10610, 11150
1401/01/29, 10750, 11380
1401/01/28, 10570, 11200
1401/01/27, 10680, 11340
1401/01/24, 9990, 10810
1401/01/23, 10000, 10650
1401/01/22, 10000, 10750
1401/01/21, 10130, 10460
1401/01/20, 9270, 10120
1401/01/17, 9410, 9990
1401/01/16, 9300, 9850
1401/01/15, 9070, 9850
1401/01/14, 9300, 9560
1401/01/10, 8430, 9200
1401/01/09, 8470, 8830
1401/01/07, 8020, 8630
1401/01/06, 8190, 8640
1400/12/28, 8220, 8230
1400/12/25, 7690, 7840
1400/12/24, 7130, 7690
1400/12/23, 7220, 7700
1400/12/22, 7530, 8050
1400/12/21, 7920, 8160
1400/12/18, 8020, 8580
1400/12/17, 7530, 8310
1400/12/16, 8000, 8000
1400/11/06, 49100, 53400
1400/11/05, 51550, 54400
1400/11/04, 52750, 55200
1400/11/03, 53550, 56750
1400/11/02, 54000, 55300
1400/10/29, 50350, 54000
1400/10/28, 51250, 53950
1400/10/27, 52700, 55350
1400/10/26, 51850, 54000
1400/10/25, 52000, 54000
1400/10/22, 52800, 54000
1400/10/21, 52650, 54450
1400/10/20, 51500, 53700
1400/10/19, 52000, 54500
1400/10/18, 53050, 54700
1400/10/15, 52020, 54000
1400/10/14, 51516, 53995
1400/10/13, 53200, 54895
1400/10/12, 53170, 55000
1400/10/11, 52000, 54499
1400/10/08, 52200, 54000
1400/10/07, 52500, 53990
1400/10/06, 52500, 55190
1400/10/05, 52000, 53699
1400/10/04, 52212, 54700
1400/10/01, 52500, 54292
1400/09/30, 52255, 53998
1400/09/29, 51000, 54400
1400/09/28, 51650, 53598
1400/09/27, 51256, 52989
1400/09/24, 50110, 52199
1400/09/23, 49000, 52450
1400/09/22, 49894, 52470
1400/09/21, 50200, 51800
1400/09/20, 51016, 55000
1400/09/17, 50803, 54371
1400/09/16, 50177, 52998
1400/09/15, 51700, 54069
1400/09/14, 51800, 54200
1400/09/13, 52465, 55400
1400/09/10, 53610, 56509
1400/09/09, 54253, 58000
1400/09/08, 55561, 58500
1400/09/07, 55001, 58000
1400/09/06, 55459, 59450
1400/09/03, 54701, 59163
1400/09/02, 55504, 58055
1400/09/01, 52802, 57380
1400/08/30, 53000, 56661
1400/08/29, 52509, 54443
1400/08/26, 49743, 52217
1400/08/25, 49000, 51480
1400/08/24, 47771, 51200
1400/08/23, 48668, 52980
1400/08/22, 51229, 51229
1400/08/19, 51802, 54004
1400/08/18, 49801, 52500
1400/08/17, 50540, 52980
1400/08/16, 50600, 55296
1400/08/15, 52194, 53058
1400/08/12, 49270, 51515
1400/08/11, 47710, 49250
1400/08/10, 45430, 47667
1400/08/09, 43168, 47000
1400/08/08, 43966, 47000
1400/08/05, 44574, 47610
1400/08/04, 45336, 48980
1400/08/03, 47722, 47722
1400/08/01, 48801, 51999
1400/07/28, 50278, 53000
1400/07/27, 51534, 53900
1400/07/26, 50564, 53500
1400/07/25, 51866, 54799
1400/07/24, 52000, 54880
1400/07/21, 51991, 53933
1400/07/20, 52408, 55458
1400/07/19, 53350, 55470
1400/07/18, 52360, 54510
1400/07/17, 52803, 55970
1400/07/14, 52120, 55630
1400/07/12, 53501, 56030
1400/07/11, 53100, 55571
1400/07/10, 52000, 52932
1400/07/07, 49004, 51630
1400/07/06, 48900, 52002
1400/07/04, 49127, 51818
1400/07/03, 50001, 52500
1400/06/31, 48012, 51919
1400/06/30, 48937, 52300
1400/06/29, 50073, 54289
1400/06/28, 50840, 53250
1400/06/27, 52147, 54599
1400/06/24, 52601, 54599
1400/06/23, 52470, 54920
1400/06/22, 52640, 55053
1400/06/21, 53751, 57500
1400/06/20, 55000, 56900
1400/06/17, 55057, 58346
1400/06/16, 55465, 58480
1400/06/15, 56000, 58765
1400/06/14, 53200, 56614
1400/06/13, 52039, 54271
1400/06/10, 50600, 53000
1400/06/09, 49600, 53158
1400/06/08, 50647, 54180
1400/06/07, 51514, 55400
1400/06/06, 51701, 55150
1400/06/03, 51700, 54888
1400/06/02, 52541, 55000
1400/06/01, 53236, 56900
1400/05/31, 55050, 57728
1400/05/24, 53095, 56500
1400/05/23, 51151, 56200
1400/05/20, 52000, 54990
1400/05/19, 51551, 53666
1400/05/18, 51530, 53290
1400/05/17, 51520, 54789
1400/05/16, 52620, 56200
1400/05/13, 53664, 55688
1400/05/12, 51107, 54714
1400/05/11, 49200, 52187
1400/05/10, 48500, 51100
1400/05/09, 49500, 51550
1400/05/06, 48500, 50750
1400/05/05, 47420, 50789
1400/05/04, 48000, 49924
1400/04/28, 46948, 48899
1400/04/27, 47800, 49900
1400/04/26, 47510, 50700
1400/04/23, 47322, 50499
1400/04/22, 47210, 50990
1400/04/21, 51000, 51000
1400/04/14, 48100, 50300
1400/04/13, 48003, 51490
1400/04/12, 50000, 52514
1400/04/09, 48000, 50592
1400/04/08, 47360, 49046
1400/04/07, 44376, 49000
1400/04/02, 45376, 47490
1400/04/01, 45270, 47479
1400/03/31, 44328, 47490
1400/03/30, 44177, 46970
1400/03/29, 44280, 47500
1400/03/26, 44831, 46850
1400/03/25, 45000, 48450
1400/03/24, 45632, 48057
1400/03/23, 43235, 46856
1400/03/22, 43188, 46000
1400/03/19, 43000, 46200
1400/03/18, 42010, 45177
1400/03/17, 41710, 43209
1400/03/12, 38582, 41952
1400/03/11, 39215, 41485
1400/03/10, 38271, 41110
1400/03/09, 37600, 41400
1400/03/08, 36690, 39707
1400/03/05, 36600, 37867
1400/03/04, 34767, 38000
1400/03/03, 34994, 34994
1400/03/02, 35341, 35341
1400/03/01, 35917, 35917
1400/02/29, 37573, 39530
1400/02/28, 37993, 39700
1400/02/27, 38855, 41799
1400/02/26, 37280, 41183
1400/02/25, 37000, 39980
1400/02/22, 37662, 38400
1400/02/21, 37500, 40500
1400/02/20, 37949, 38999
1400/02/19, 38054, 38054
1400/02/18, 38301, 39448
1400/02/15, 39014, 40290
1400/02/13, 39238, 40999
1400/02/12, 40520, 41900
1400/02/11, 38450, 40339
1400/02/08, 37860, 39899
1400/02/07, 37956, 37956
1400/02/06, 37959, 37959
1400/02/05, 38050, 38050
1400/02/04, 38154, 38154
1400/02/01, 38248, 38248
1400/01/31, 38650, 38650
1400/01/30, 38651, 38651
1400/01/29, 38652, 38652
1400/01/28, 38761, 38820
1400/01/25, 38855, 39998
1400/01/24, 38770, 41494
1400/01/23, 38949, 41000
1400/01/22, 38935, 42000
1400/01/21, 39173, 39173
1400/01/18, 39375, 39382
1400/01/17, 39452, 41974
1400/01/16, 39611, 41998
1400/01/15, 40068, 40850
1400/01/14, 40341, 40341
1400/01/11, 40456, 41500
1400/01/10, 40642, 42995
1400/01/08, 41062, 43000
1400/01/07, 41050, 42849
1399/12/27, 40300, 42397
1399/12/26, 40151, 41568
1399/12/25, 39471, 40890
1399/12/24, 39864, 42752
1399/12/23, 40214, 40214
1399/12/20, 40570, 40570
1399/12/19, 40938, 40938
1399/12/18, 41310, 41310
1399/12/17, 41675, 41675
1399/12/16, 41749, 41749
1399/12/13, 41807, 41807
1399/12/12, 41896, 41896
1399/12/11, 42279, 42279
1399/12/10, 42285, 42285
1399/12/09, 42319, 42319
1399/12/06, 42416, 42416
1399/12/05, 42924, 42924
1399/12/04, 42929, 42929
1399/12/03, 42990, 42990
1399/12/02, 43006, 43006
1399/11/29, 43128, 43999
1399/11/28, 43261, 43999
1399/11/27, 43568, 44575
1399/11/26, 43860, 45570
1399/11/25, 44829, 46496
1399/11/21, 43000, 45200
1399/11/20, 42300, 46121
1399/11/19, 42001, 45000
1399/11/18, 42376, 46000
1399/11/15, 44340, 47989
1399/11/14, 45250, 48490
1399/11/13, 45214, 49000
1399/11/12, 45001, 48683
1399/11/11, 44731, 46959
1399/11/08, 42333, 44984
1399/11/07, 41400, 43462
1399/11/06, 41015, 43300
1399/11/05, 41480, 45842
1399/11/04, 41842, 44800
1399/11/01, 42100, 45700
1399/10/30, 43647, 43647
1399/10/29, 43731, 43731
1399/10/27, 44887, 44887
1399/10/24, 45667, 45667
1399/10/23, 46381, 48780
1399/10/22, 48159, 50900
1399/10/21, 49545, 53250
1399/10/20, 51572, 55060
1399/10/17, 52325, 54380
1399/10/16, 51016, 53968
1399/10/15, 51560, 55497
1399/10/14, 52222, 57000
1399/10/13, 54796, 57300
1399/10/10, 55110, 59711
1399/10/09, 53010, 57745
1399/10/08, 53000, 55036
1399/10/07, 50750, 54200
1399/10/06, 51850, 54500
1399/10/03, 51987, 56000
1399/10/02, 51051, 55655
1399/10/01, 51400, 56240
1399/09/30, 52500, 55790
1399/09/29, 51352, 53919
1399/09/26, 50913, 52868
1399/09/25, 53508, 53508
1399/09/24, 55241, 58000
1399/09/23, 56772, 58441
1399/09/22, 55659, 55659
1399/09/19, 49000, 53053
1399/09/18, 48466, 52950
1399/09/17, 50636, 54000
1399/09/16, 52044, 54373
1399/09/15, 50000, 52160
1399/09/12, 48000, 51390
1399/09/11, 48669, 50999
1399/09/10, 50000, 53100
1399/09/09, 48055, 52350
1399/09/08, 48030, 50985
1399/09/05, 48500, 50608
1399/09/04, 48199, 48199
1399/09/03, 43192, 46546
1399/09/02, 43916, 46000
1399/09/01, 42973, 47495
1399/08/28, 45512, 45512
1399/08/27, 43704, 43704
1399/08/26, 38900, 41906
1399/08/25, 39000, 41600
1399/08/24, 37100, 40490
1399/08/21, 37730, 40000
