date, min_price, max_price
1402/03/03, 48880, 48880
1402/03/02, 46000, 46570
1402/03/01, 42700, 44780
1402/02/31, 41100, 42750
1402/02/30, 38980, 41970
1402/02/27, 39020, 41530
1402/02/25, 39360, 42300
1402/02/24, 40780, 42900
1402/02/23, 42920, 42920
1402/02/20, 44400, 48000
1402/02/19, 46560, 48800
1402/02/18, 48990, 50000
1402/02/17, 50320, 55590
1402/02/16, 52960, 52960
1402/02/13, 47040, 51580
1402/02/12, 48260, 50510
1402/02/11, 47830, 51090
1402/02/10, 47400, 49250
1402/02/09, 46010, 47990
1402/02/06, 45130, 49860
1402/02/05, 45010, 48580
1402/02/04, 45000, 46410
1402/01/30, 42410, 44820
1402/01/29, 41250, 43550
1402/01/28, 40490, 42990
1402/01/27, 41300, 44440
1402/01/26, 41930, 44010
1402/01/22, 39900, 42320
1402/01/21, 38600, 41340
1402/01/20, 38700, 40400
1402/01/19, 37700, 39880
1402/01/16, 37100, 39500
1402/01/15, 37840, 41580
1402/01/14, 38480, 40010
1402/01/09, 36450, 38410
1402/01/08, 35400, 38100
1402/01/07, 34770, 36490
1402/01/06, 33380, 35050
1402/01/05, 32700, 34700
1401/12/28, 31780, 33900
1401/12/27, 31300, 32360
1401/12/24, 29900, 31250
1401/12/23, 29140, 30500
1401/12/22, 29210, 30690
1401/12/21, 29680, 30630
1401/12/20, 30500, 32400
1401/12/16, 30810, 32980
1401/12/15, 31000, 32850
1401/12/14, 30640, 32060
1401/12/13, 29200, 31550
1401/12/10, 29000, 31500
1401/12/09, 28500, 30920
1401/12/08, 28630, 30060
1401/12/07, 27500, 29750
1401/12/06, 27950, 28360
1401/12/03, 26860, 27990
1401/12/02, 27030, 29050
1401/12/01, 26780, 27750
1401/11/30, 25680, 26510
1401/11/26, 23500, 25690
1401/11/25, 24130, 25190
1401/11/24, 24420, 25700
1401/11/23, 24780, 26080
1401/11/19, 25570, 27260
1401/11/18, 25150, 26560
1401/11/17, 25150, 26080
1401/11/16, 26100, 28200
1401/11/12, 26510, 27830
1401/11/11, 25760, 27770
1401/11/10, 27040, 27920
1401/11/09, 28410, 29280
1401/11/08, 29650, 31980
1401/11/05, 29510, 32100
1401/11/04, 29500, 30800
1401/11/03, 28200, 30090
1401/11/02, 27810, 29800
1401/11/01, 28580, 31030
1401/10/28, 29140, 30800
1401/10/27, 29800, 31550
1401/10/26, 30820, 31700
1401/10/24, 29890, 30940
1401/10/21, 30400, 32300
1401/10/20, 30530, 32450
1401/10/19, 30000, 31280
1401/10/18, 30280, 31580
1401/10/17, 30800, 32230
1401/10/14, 30400, 31500
1401/10/13, 30300, 33410
1401/10/12, 30460, 31980
1401/10/11, 29300, 31270
1401/10/10, 27650, 30430
1401/10/07, 27280, 29090
1401/10/05, 27120, 28360
1401/10/04, 27210, 28380
1401/10/03, 26780, 28000
1401/09/30, 26640, 27730
1401/09/29, 26610, 27840
1401/09/28, 27060, 29300
1401/09/27, 26240, 28310
1401/09/26, 26180, 27830
1401/09/23, 26250, 27600
1401/09/22, 25090, 26640
1401/09/21, 24920, 25750
1401/09/20, 24700, 25930
1401/09/19, 24850, 26270
1401/09/16, 25480, 27400
1401/09/15, 25030, 26790
1401/09/14, 25060, 26390
1401/09/13, 24760, 25900
1401/09/12, 23010, 24760
1401/09/09, 23000, 24100
1401/09/08, 23600, 24600
1401/09/07, 23200, 23600
1401/09/06, 21540, 22610
1401/09/05, 21300, 22100
1401/09/02, 20850, 21670
1401/09/01, 20800, 21600
1401/08/30, 20480, 21460
1401/08/29, 20540, 21290
1401/08/28, 19870, 20900
1401/08/25, 20410, 21450
1401/08/24, 20400, 21320
1401/08/23, 20980, 22380
1401/08/22, 21750, 22480
1401/08/21, 20600, 22060
1401/08/18, 20200, 21660
1401/08/17, 20510, 21890
1401/08/16, 20500, 21010
1401/08/15, 19420, 20490
1401/08/14, 18610, 19900
1401/08/11, 18520, 19220
1401/08/10, 18870, 19610
1401/08/09, 18710, 19200
1401/08/08, 17540, 19360
1401/08/07, 18230, 19400
1401/08/04, 18860, 20340
1401/08/03, 19370, 20230
1401/08/02, 19540, 20470
1401/08/01, 20000, 20640
1401/07/30, 20050, 20660
1401/07/27, 19900, 20500
1401/07/26, 20000, 20490
1401/07/25, 19400, 20290
1401/07/24, 19040, 20180
1401/07/23, 19130, 19720
1401/07/20, 19300, 20370
1401/07/19, 19500, 20210
1401/07/18, 19070, 19990
1401/07/17, 19060, 20000
1401/07/16, 19240, 20400
1401/07/12, 19550, 20400
1401/07/11, 19110, 20220
1401/07/10, 19760, 20520
1401/07/09, 20440, 21700
