date, min_price, max_price
1402/02/31, 6040, 6490
1402/02/30, 6000, 6360
1402/02/27, 5590, 6250
1402/02/25, 5680, 6190
1402/02/24, 5410, 5930
1402/02/23, 5540, 5740
1402/02/20, 5740, 6550
1402/02/19, 6040, 6440
1402/02/18, 6490, 6520
1402/02/17, 6740, 7740
1402/02/16, 7240, 7240
1402/02/13, 6600, 6790
1402/02/12, 6000, 6420
1402/02/11, 5810, 6300
1402/02/10, 5760, 6200
1402/02/09, 5680, 5970
1402/02/06, 5560, 5980
1402/02/05, 5700, 6280
1402/02/04, 5930, 6450
1402/01/28, 5870, 6400
1402/01/27, 5850, 6210
1402/01/26, 5630, 5820
1402/01/22, 5200, 5592
1402/01/21, 5134, 5750
1402/01/20, 5100, 5407
1402/01/19, 4672, 5073
1402/01/16, 4491, 4900
1402/01/15, 4500, 4913
1402/01/14, 4490, 4800
1402/01/09, 4400, 4688
1402/01/08, 4331, 4551
1402/01/07, 4030, 4510
1402/01/06, 4099, 4460
1402/01/05, 4220, 4385
1401/12/28, 4099, 4099
1401/12/23, 3750, 3900
1401/12/22, 3490, 3728
1401/12/10, 4740, 4930
1401/12/09, 4768, 5065
1401/12/08, 4910, 5285
1401/12/07, 4700, 5189
1401/12/06, 4660, 4866
1401/12/03, 4425, 4681
1401/12/02, 4556, 4872
1401/12/01, 4164, 4586
1401/11/30, 4200, 4433
1401/11/26, 4244, 4562
1401/11/25, 4440, 4689
1401/11/24, 4500, 4790
1401/11/23, 4575, 4870
1401/11/19, 4760, 5150
1401/11/18, 4836, 4964
1401/11/12, 4470, 4760
1401/11/11, 4190, 4510
1401/11/10, 4130, 4450
1401/11/09, 4430, 4680
1401/11/08, 4670, 5100
1401/11/05, 4800, 5270
1401/11/04, 4910, 5250
1401/11/03, 4860, 5450
1401/11/02, 5030, 5450
1401/11/01, 5200, 5680
1401/10/28, 5370, 5660
1401/10/27, 5300, 5830
1401/10/26, 5310, 5590
1401/10/24, 5150, 5440
1401/10/21, 5400, 5810
1401/10/20, 5600, 6000
1401/10/18, 5430, 5780
