date, min_price, max_price
1402/03/01, 6550, 6930
1402/02/27, 5960, 6170
1402/02/25, 5550, 5990
1402/02/24, 5510, 5960
1402/02/23, 5790, 5900
1402/02/20, 5970, 6450
1402/02/19, 6260, 6450
1402/02/18, 6500, 6500
1402/02/17, 6810, 7350
1402/02/16, 7100, 7160
1402/02/13, 6600, 6860
1402/02/12, 6320, 6600
1402/02/11, 6170, 6450
1402/02/10, 6160, 6570
1402/02/05, 6540, 6650
1402/02/04, 6130, 6530
1402/01/30, 5890, 6250
1402/01/29, 5760, 6210
1402/01/28, 5740, 6270
1402/01/27, 5980, 5980
1402/01/26, 5700, 5700
1402/01/22, 5211, 5455
1402/01/21, 5024, 5197
1402/01/20, 4855, 4951
1402/01/19, 4410, 4729
1402/01/16, 4341, 4580
1402/01/15, 4320, 4630
1402/01/14, 4312, 4626
1402/01/09, 4160, 4530
1402/01/08, 4279, 4437
1402/01/06, 4083, 4350
1402/01/05, 4100, 4390
1401/12/28, 4051, 4340
1401/12/27, 4015, 4206
1401/12/24, 3919, 4081
1401/12/23, 3869, 4104
1401/12/22, 4012, 4269
1401/12/21, 4206, 4280
1401/12/20, 4303, 4755
1401/12/16, 4390, 4588
1401/12/15, 4040, 4398
1401/12/14, 4070, 4251
1401/12/13, 3865, 4178
1401/12/10, 3990, 4315
1401/12/09, 4151, 4350
1401/12/08, 4022, 4218
1401/12/07, 3901, 4049
1401/12/06, 3767, 3867
1401/12/03, 3600, 3798
1401/12/02, 3635, 3807
1401/12/01, 3450, 3649
1401/11/30, 3400, 3620
1401/11/26, 3501, 3650
1401/11/25, 3508, 3730
1401/11/24, 3600, 3730
1401/11/23, 3550, 3691
1401/11/19, 3682, 3798
1401/11/18, 3598, 3666
1401/11/17, 3489, 3610
1401/11/16, 3575, 3949
1401/11/12, 3622, 3905
1401/11/11, 3646, 3830
1401/11/10, 3698, 3850
1401/11/09, 3890, 3980
1401/11/08, 4088, 4280
1401/11/05, 4230, 4580
1401/11/04, 4300, 4476
1401/11/03, 4061, 4370
1401/11/02, 4075, 4291
1401/11/01, 4115, 4388
1401/10/28, 4170, 4349
1401/10/27, 4177, 4400
1401/10/26, 4284, 4487
1401/10/24, 4249, 4390
1401/10/21, 4401, 4680
1401/10/20, 4510, 4695
1401/10/19, 4490, 4750
1401/10/18, 4547, 4820
1401/10/17, 4654, 4949
1401/10/14, 4500, 4763
1401/10/13, 4391, 4540
1401/10/12, 4051, 4387
1401/10/11, 4017, 4350
1401/10/10, 4131, 4358
1401/10/07, 4250, 4399
1401/10/05, 4221, 4356
1401/10/04, 4180, 4400
1401/10/03, 4102, 4275
1401/09/30, 4150, 4350
1401/09/29, 3999, 4230
1401/09/28, 3967, 4099
1401/09/27, 3994, 4139
1401/09/26, 3998, 4170
1401/09/23, 3900, 4081
1401/09/22, 3894, 4140
1401/09/21, 3811, 4093
1401/09/20, 3800, 4000
1401/09/19, 3620, 3907
1401/09/16, 3610, 3840
1401/09/15, 3601, 3798
1401/09/14, 3660, 3902
1401/09/13, 3782, 3939
1401/09/12, 3634, 3808
1401/09/09, 3480, 3649
1401/09/08, 3400, 3597
1401/09/07, 3460, 3570
1401/09/06, 3481, 3589
1401/09/05, 3400, 3640
1401/09/02, 3465, 3648
1401/09/01, 3484, 3628
1401/08/30, 3484, 3676
1401/08/29, 3450, 3700
1401/08/28, 3382, 3610
1401/08/25, 3453, 3600
1401/08/24, 3530, 3740
1401/08/23, 3607, 3769
1401/08/22, 3561, 3789
1401/08/21, 3644, 3778
1401/08/18, 3602, 3822
1401/08/17, 3622, 3919
1401/08/16, 3575, 3745
1401/08/15, 3423, 3680
1401/08/14, 3490, 3599
1401/08/11, 3263, 3535
1401/08/10, 3321, 3485
1401/08/09, 3159, 3440
1401/08/08, 3281, 3400
1401/08/07, 3308, 3638
1401/08/04, 3325, 3620
1401/08/03, 3266, 3526
1401/08/02, 3305, 3478
1401/07/30, 3372, 3443
1401/07/27, 3392, 3540
1401/07/26, 3429, 3580
1401/07/25, 3380, 3548
1401/07/24, 3415, 3578
1401/07/23, 3522, 3650
1401/07/20, 3550, 3737
1401/07/19, 3541, 3768
1401/07/18, 3578, 3855
1401/07/17, 3738, 3990
