date, min_price, max_price
1402/02/23, 9160, 9160
1402/02/20, 9460, 10250
1402/02/19, 9950, 10190
1402/02/18, 10330, 10330
1402/02/17, 10800, 11750
1402/02/16, 11150, 11370
1402/02/13, 10510, 10900
1402/02/12, 10000, 10470
1402/02/11, 9670, 10180
1402/02/10, 9670, 9970
1402/02/09, 9300, 9830
1402/02/06, 9290, 9810
1402/02/05, 9530, 10470
1402/02/04, 9570, 10200
1402/01/30, 9640, 10140
1402/01/29, 9950, 10400
1402/01/28, 9990, 10480
1402/01/27, 10490, 10890
1402/01/26, 10800, 11260
1402/01/21, 10390, 10820
1402/01/20, 9860, 10340
1402/01/19, 9650, 9880
1402/01/16, 8640, 9520
1402/01/15, 8830, 9470
1402/01/14, 8300, 9100
1402/01/09, 8500, 8680
1402/01/08, 7860, 8310
1402/01/07, 7850, 8370
1402/01/06, 8120, 8600
1402/01/05, 8110, 8790
1401/12/28, 8150, 8450
1401/12/27, 7630, 8170
1401/12/24, 7510, 7840
1401/12/23, 7120, 7490
1401/12/22, 6960, 7400
1401/12/21, 7260, 7470
1401/12/20, 7510, 7900
1401/12/16, 7200, 7720
1401/12/15, 7010, 7560
1401/12/14, 7050, 7280
1401/12/13, 6720, 7140
1401/12/10, 6770, 7200
1401/12/09, 6520, 7150
1401/12/08, 6620, 6860
1401/12/07, 6350, 6630
1401/12/06, 6100, 6320
1401/12/03, 6010, 6190
1401/12/02, 6050, 6660
1401/12/01, 6070, 6400
1401/11/30, 5930, 6180
1401/11/26, 5540, 5920
1401/11/25, 5520, 5950
1401/11/24, 5700, 5980
1401/11/23, 5710, 6050
1401/11/19, 5820, 6070
1401/11/18, 5500, 5800
1401/11/17, 5510, 5670
1401/11/16, 5670, 6000
1401/11/12, 5730, 6150
1401/11/11, 5670, 5910
1401/11/10, 5580, 5900
1401/11/09, 5860, 5960
1401/11/08, 6150, 6440
1401/11/05, 6450, 6930
1401/11/04, 6650, 7050
1401/11/03, 6930, 7490
1401/11/02, 7130, 7390
1401/11/01, 6750, 7250
1401/10/28, 6840, 7390
1401/10/27, 7160, 7400
1401/10/26, 7330, 7950
1401/10/24, 7130, 7870
1401/10/21, 7100, 7530
1401/10/20, 7030, 7200
1401/10/14, 6420, 6880
1401/10/13, 6350, 6720
1401/10/12, 6000, 6610
1401/10/11, 6090, 6390
1401/10/10, 5940, 6100
1401/10/07, 5940, 5940
1401/10/05, 5800, 5800
1401/10/04, 5720, 5720
1401/10/03, 5610, 5610
1401/09/30, 5200, 5353
1401/09/29, 4835, 5187
1401/09/28, 4820, 5130
1401/09/27, 4960, 5108
1401/09/26, 5009, 5153
1401/09/21, 4771, 4970
1401/09/20, 4487, 4828
1401/09/19, 4535, 4663
1401/09/16, 4500, 4677
1401/09/15, 4421, 4594
1401/09/14, 4411, 4650
1401/09/13, 4490, 4675
1401/09/12, 4481, 4580
1401/09/09, 4397, 4559
1401/09/08, 4471, 4721
1401/09/07, 4630, 4841
1401/09/06, 4668, 4835
1401/09/05, 4653, 4800
1401/09/02, 4545, 4695
1401/09/01, 4260, 4545
1401/08/30, 4270, 4439
1401/08/29, 4280, 4418
1401/08/28, 4204, 4444
1401/08/25, 4341, 4526
1401/08/24, 4250, 4450
1401/08/23, 4200, 4410
1401/08/22, 4234, 4508
1401/08/21, 4211, 4484
1401/08/18, 4020, 4400
1401/08/17, 4090, 4397
1401/08/16, 4090, 4245
1401/08/15, 3836, 4075
1401/08/14, 3736, 3960
1401/08/11, 3704, 3888
1401/08/10, 3704, 3907
1401/08/09, 3610, 3799
1401/08/08, 3605, 3827
1401/08/07, 3711, 3797
1401/08/04, 3704, 3704
1401/08/03, 3665, 3665
1401/08/02, 3639, 3639
1401/08/01, 3597, 3597
1401/07/30, 3539, 3539
1401/07/27, 3322, 3495
1401/07/26, 3202, 3404
1401/07/25, 3190, 3352
1401/07/24, 3280, 3410
1401/07/23, 3341, 3430
1401/07/20, 3410, 3490
1401/07/19, 3420, 3540
1401/07/18, 3362, 3468
1401/07/17, 3330, 3495
1401/07/16, 3390, 3565
1401/07/12, 3350, 3480
1401/07/11, 3312, 3530
1401/07/10, 3363, 3520
1401/07/09, 3429, 3660
1401/07/06, 3550, 3674
1401/07/04, 3451, 3648
1401/07/02, 3508, 3749
1401/06/30, 3560, 3780
1401/06/29, 3511, 3719
1401/06/28, 3480, 3642
1401/06/27, 3511, 3710
1401/06/23, 3600, 3740
1401/06/22, 3537, 3664
1401/06/21, 3412, 3560
1401/06/20, 3445, 3638
1401/06/19, 3560, 3744
1401/06/16, 3690, 3855
1401/06/15, 3710, 3853
1401/06/14, 3700, 3859
1401/06/13, 3649, 3779
1401/06/12, 3650, 3840
1401/06/09, 3782, 3896
1401/06/08, 3812, 3957
1401/06/07, 3823, 3987
1401/06/06, 3834, 4000
1401/06/05, 3820, 4048
1401/06/02, 3870, 4043
1401/06/01, 3800, 3979
1401/05/31, 3750, 3950
1401/05/30, 3802, 3987
1401/05/29, 3860, 4068
1401/05/26, 3905, 4134
1401/05/25, 3850, 4021
1401/05/24, 3611, 3881
1401/05/22, 3581, 3702
1401/05/19, 3491, 3720
1401/05/18, 3585, 3795
1401/05/15, 3602, 3739
1401/05/12, 3410, 3600
1401/05/11, 3371, 3499
1401/05/10, 3381, 3590
1401/05/09, 3473, 3594
1401/05/08, 3629, 3876
1401/05/05, 3761, 3946
1401/05/04, 3741, 3920
1401/05/03, 3857, 4040
1401/05/02, 3983, 4250
1401/05/01, 4100, 4300
1401/04/29, 4071, 4249
1401/04/28, 4001, 4138
1401/04/26, 4053, 4308
1401/04/25, 4194, 4459
1401/04/22, 4350, 4488
1401/04/21, 4190, 4480
1401/04/20, 4250, 4559
1401/04/18, 4337, 4650
1401/04/15, 4553, 4700
1401/04/14, 4630, 4960
1401/04/13, 4590, 4788
1401/04/12, 4532, 4700
1401/04/11, 4725, 5015
1401/04/08, 4741, 5100
1401/04/07, 4750, 4861
1401/04/06, 4400, 4780
1401/04/05, 4400, 4780
1401/04/04, 4400, 4594
1401/04/01, 4101, 4488
1401/03/31, 4234, 4460
1401/03/30, 4100, 4488
1401/03/23, 4136, 4450
1401/03/22, 4013, 4284
1401/03/21, 4057, 4210
1401/03/18, 4243, 4442
1401/03/17, 4442, 4620
1401/03/16, 4547, 4930
1401/03/11, 4601, 4970
1401/03/10, 4697, 5040
1401/03/09, 4873, 5273
1401/03/08, 4984, 5183
1401/03/07, 4790, 4981
1401/03/04, 4378, 4838
1401/03/03, 4457, 4774
1401/03/02, 4513, 4693
1401/03/01, 4300, 4490
1401/02/31, 4081, 4389
1401/02/28, 4150, 4310
1401/02/27, 4120, 4355
1401/02/26, 4191, 4298
1401/02/25, 4062, 4260
1401/02/24, 4026, 4271
1401/02/21, 4061, 4250
1401/02/20, 3891, 4176
1401/02/19, 3994, 4280
1401/02/18, 4147, 4320
1401/02/17, 4160, 4485
1401/02/12, 4140, 4364
1401/02/11, 4020, 4240
1401/02/10, 4120, 4280
1401/02/07, 4095, 4343
1401/02/06, 4100, 4321
1401/02/05, 3960, 4232
1401/02/04, 3981, 4159
1401/01/31, 3992, 4179
1401/01/30, 3904, 4248
1401/01/29, 3962, 4156
1401/01/28, 3735, 4008
1401/01/27, 3730, 3899
1401/01/24, 3606, 3847
1401/01/23, 3743, 3980
1401/01/22, 3864, 4070
1401/01/21, 3900, 3994
1401/01/20, 3572, 3897
1401/01/17, 3651, 3790
1401/01/16, 3633, 3877
1401/01/15, 3611, 3890
1401/01/14, 3561, 3773
1401/01/10, 3482, 3634
1401/01/09, 3513, 3710
1401/01/08, 3562, 3739
1401/01/07, 3500, 3770
1401/01/06, 3501, 3800
1400/12/28, 3570, 3681
1400/12/25, 3301, 3541
1400/12/24, 3314, 3461
1400/12/23, 3300, 3448
