date, min_price, max_price
1402/03/03, 4389, 4584
1402/03/02, 4492, 4780
1402/03/01, 4490, 4750
1402/02/31, 4300, 4642
1402/02/30, 4184, 4580
1402/02/27, 4151, 4349
1402/02/23, 4065, 4071
1402/02/20, 4250, 4660
1402/02/19, 4540, 4700
1402/02/18, 4880, 4880
1402/02/17, 5190, 5650
1402/02/16, 5360, 5580
1402/02/13, 5040, 5312
1402/02/12, 4750, 5110
1402/02/11, 4722, 5010
1402/02/10, 4620, 4858
1402/02/09, 4465, 4610
1402/02/06, 4301, 4700
1402/02/05, 4283, 4539
1402/02/04, 4253, 4436
1402/01/30, 4320, 4600
1402/01/29, 4450, 4693
1402/01/28, 4331, 4597
1402/01/27, 4448, 4820
1402/01/26, 4480, 4711
1402/01/22, 4150, 4545
1402/01/21, 4177, 4597
1402/01/20, 4050, 4426
1402/01/19, 3990, 4369
1402/01/16, 3883, 4219
1402/01/15, 3862, 4200
1402/01/14, 3781, 3994
1402/01/09, 3580, 3754
1402/01/08, 3463, 3599
1402/01/07, 3300, 3534
1402/01/06, 3350, 3588
1402/01/05, 3422, 3740
1401/12/28, 3360, 3617
1401/12/27, 3377, 3501
1401/12/24, 3220, 3321
1401/12/23, 3140, 3270
1401/12/22, 3136, 3350
1401/12/21, 3155, 3330
1401/12/20, 3282, 3480
1401/12/16, 3259, 3483
1401/12/15, 3220, 3429
1401/12/14, 3284, 3480
1401/12/13, 3070, 3379
1401/12/10, 3180, 3419
1401/12/08, 3304, 3517
1401/12/07, 3150, 3345
1401/12/06, 3070, 3128
1401/12/03, 2765, 3069
1401/12/02, 2863, 2960
1401/12/01, 2590, 2792
1401/11/30, 2565, 2655
1401/11/26, 2541, 2674
1401/11/25, 2580, 2714
1401/11/24, 2621, 2729
1401/11/23, 2554, 2730
1401/11/19, 2688, 2828
1401/11/18, 2520, 2685
1401/11/17, 2493, 2624
1401/11/16, 2637, 2860
1401/11/12, 2790, 2930
1401/11/11, 2753, 2925
1401/11/10, 2715, 2908
1401/11/09, 2908, 3060
1401/11/08, 3106, 3359
1401/11/05, 3259, 3650
1401/11/04, 3377, 3573
1401/11/03, 3102, 3367
1401/11/02, 3011, 3278
1401/11/01, 2990, 3174
1401/10/28, 3041, 3186
1401/10/27, 3100, 3348
1401/10/26, 3100, 3239
1401/10/24, 2948, 3157
1401/10/21, 3109, 3339
1401/10/20, 3210, 3510
1401/10/19, 3170, 3426
1401/10/18, 3100, 3410
1401/10/17, 3177, 3460
1401/10/14, 3130, 3322
1401/10/13, 3120, 3579
1401/10/12, 3175, 3371
1401/10/11, 3039, 3176
1401/10/10, 2840, 2987
1401/10/07, 2790, 2792
1401/10/05, 2610, 2610
1401/09/27, 2772, 2879
1401/09/26, 2741, 2860
1401/09/23, 2730, 2893
1401/09/22, 2730, 2930
1401/09/21, 2740, 2930
1401/09/20, 2730, 2860
1401/09/19, 2637, 2756
1401/09/13, 2497, 2645
1401/09/12, 2410, 2510
1401/09/09, 2418, 2484
1401/09/08, 2406, 2536
1401/09/07, 2410, 2558
1401/09/06, 2403, 2550
1401/09/05, 2378, 2527
1401/09/02, 2350, 2460
1401/09/01, 2307, 2468
1401/08/30, 2312, 2498
1401/08/29, 2271, 2368
1401/08/28, 2151, 2299
1401/08/25, 2222, 2309
1401/08/24, 2237, 2340
1401/08/23, 2220, 2367
1401/08/22, 2251, 2440
1401/08/21, 2301, 2500
1401/08/18, 2243, 2430
1401/08/17, 2250, 2500
1401/08/16, 2300, 2405
1401/08/15, 2087, 2293
1401/08/14, 2031, 2192
1401/08/11, 2013, 2080
1401/08/10, 2051, 2130
1401/08/09, 1950, 2069
1401/08/08, 1881, 1960
1401/08/07, 1870, 2030
1401/08/04, 1901, 2084
1401/08/03, 2000, 2098
1401/08/02, 2033, 2146
1401/08/01, 2076, 2183
1401/07/30, 2120, 2217
1401/07/27, 2143, 2219
1401/07/26, 2130, 2243
1401/07/25, 2120, 2220
1401/07/24, 2116, 2190
1401/07/23, 2152, 2250
1401/07/20, 2214, 2344
1401/07/19, 2211, 2301
1401/07/18, 2167, 2265
1401/07/17, 2201, 2307
1401/07/16, 2251, 2390
1401/07/12, 2287, 2399
1401/07/11, 2320, 2444
1401/07/10, 2310, 2449
1401/07/09, 2446, 2629
1401/07/06, 2565, 2690
1401/07/04, 2460, 2627
1401/07/02, 2453, 2560
1401/06/30, 2589, 2710
1401/06/29, 2505, 2650
1401/06/28, 2320, 2543
1401/06/27, 2331, 2467
1401/06/23, 2395, 2550
1401/06/22, 2360, 2477
1401/06/21, 2200, 2391
1401/06/20, 2203, 2289
1401/06/19, 2242, 2361
1401/06/16, 2365, 2486
1401/06/15, 2380, 2469
1401/06/14, 2400, 2473
1401/06/13, 2375, 2473
1401/06/12, 2355, 2530
1401/06/09, 2401, 2550
1401/06/08, 2411, 2525
1401/06/07, 2430, 2588
1401/06/06, 2420, 2604
1401/06/05, 2412, 2551
1401/06/02, 2317, 2448
1401/06/01, 2186, 2343
1401/05/31, 2168, 2285
1401/05/30, 2174, 2309
