date, min_price, max_price
1402/02/23, 5610, 5840
1402/02/20, 5890, 6490
1402/02/19, 6200, 6600
1402/02/18, 6650, 6760
1402/02/17, 6870, 7850
1402/02/16, 7350, 7380
1402/02/13, 6700, 6990
1402/02/12, 6260, 6730
1402/02/11, 6110, 6470
1402/02/10, 6000, 6300
1402/02/09, 5750, 6040
1402/02/06, 5720, 6080
1402/02/05, 5900, 6420
1402/02/04, 5950, 6360
1402/01/30, 6110, 6490
1402/01/29, 6090, 6500
1402/01/28, 5850, 6270
1402/01/27, 5880, 6300
1402/01/26, 5850, 6030
1402/01/22, 5320, 5840
1402/01/21, 5210, 5760
1402/01/20, 5030, 5470
1402/01/19, 4910, 5280
1402/01/16, 4850, 5210
1402/01/15, 4910, 5343
1402/01/14, 4700, 5198
1402/01/09, 4700, 4955
1402/01/08, 4620, 4849
1402/01/07, 4402, 4700
1402/01/06, 4375, 4690
1402/01/05, 4500, 4822
1401/12/28, 4460, 4729
1401/12/27, 4350, 4550
1401/12/24, 4170, 4299
1401/12/23, 4050, 4220
1401/12/22, 4035, 4160
1401/12/21, 4021, 4189
1401/12/20, 4180, 4400
1401/12/16, 4060, 4316
1401/12/15, 4124, 4300
1401/12/14, 4175, 4385
1401/12/13, 3961, 4249
1401/12/10, 3993, 4289
1401/12/09, 4216, 4427
1401/12/08, 4333, 4570
1401/12/07, 4133, 4497
1401/12/06, 4140, 4308
1401/12/03, 3940, 4150
1401/12/02, 4033, 4297
1401/12/01, 3820, 4060
1401/11/30, 3735, 3884
1401/11/26, 3682, 3828
1401/11/25, 3760, 3947
1401/11/24, 3841, 4060
1401/11/23, 3727, 3890
1401/11/19, 3817, 3977
1401/11/18, 3680, 3835
1401/11/17, 3501, 3666
1401/11/16, 3626, 4000
1401/11/12, 3825, 3975
1401/11/11, 3754, 3995
1401/11/10, 3614, 3879
1401/11/09, 3727, 3999
1401/11/08, 3875, 4118
1401/11/05, 3943, 4294
1401/11/04, 4120, 4323
1401/11/03, 4068, 4540
1401/11/02, 4219, 4578
1401/11/01, 4425, 4860
1401/10/28, 4680, 4870
1401/10/27, 4713, 5075
1401/10/26, 4796, 4933
1401/10/24, 4534, 4796
1401/10/21, 4750, 5099
1401/10/20, 5000, 5270
1401/10/19, 4671, 5006
1401/10/18, 4575, 4799
1401/10/17, 4600, 4840
1401/10/14, 4495, 4695
1401/10/13, 4520, 4871
1401/10/12, 4326, 4607
1401/10/11, 4170, 4461
1401/10/10, 4167, 4397
1401/10/07, 4352, 4575
1401/10/05, 4240, 4447
1401/10/04, 4151, 4398
1401/10/03, 4070, 4247
1401/09/30, 4054, 4190
1401/09/29, 3912, 4190
1401/09/28, 3944, 4213
1401/09/27, 4155, 4352
1401/09/26, 4101, 4299
1401/09/23, 4050, 4266
1401/09/22, 4021, 4185
1401/09/21, 3950, 4069
1401/09/20, 3899, 4079
1401/09/19, 3910, 4140
1401/09/16, 4100, 4324
1401/09/15, 3902, 4160
