date, min_price, max_price
1402/03/03, 23630, 24550
1402/03/02, 23850, 24580
1402/03/01, 23840, 24640
1402/02/31, 23810, 25020
1402/02/30, 23280, 23870
1402/02/27, 22140, 23540
1402/02/25, 21520, 22920
1402/02/24, 20740, 22030
1402/02/23, 20640, 22340
1402/02/20, 21040, 22930
1402/02/19, 21600, 22990
1402/02/18, 22730, 22850
1402/02/17, 23840, 24900
1402/02/16, 24510, 25520
1402/02/13, 24980, 25900
1402/02/12, 24610, 26160
1402/02/11, 24660, 25350
1402/02/10, 24900, 25380
1402/02/09, 24500, 25500
1402/02/06, 24720, 25890
1402/02/05, 25250, 26500
1402/02/04, 24910, 27000
1402/01/30, 25110, 26230
1402/01/29, 23920, 25090
1402/01/28, 22440, 24410
1402/01/27, 22810, 23790
1402/01/26, 21660, 22900
1402/01/22, 21130, 22180
1402/01/21, 21180, 22900
1402/01/20, 20990, 22000
1402/01/19, 20420, 20980
1402/01/16, 19470, 20400
1402/01/15, 19820, 20340
1402/01/14, 19060, 20400
1402/01/09, 19310, 20030
1402/01/08, 18700, 19580
1402/01/07, 18110, 19320
1402/01/06, 18190, 18900
1402/01/05, 18110, 18590
1401/12/28, 18000, 18970
1401/12/27, 17390, 18390
1401/12/24, 17040, 17900
1401/12/23, 16960, 17200
1401/12/22, 16850, 17120
1401/12/21, 16760, 17320
1401/12/20, 17010, 17380
1401/12/16, 17110, 17490
1401/12/15, 17160, 17700
1401/12/14, 16980, 17540
1401/12/13, 16980, 17370
1401/12/10, 17170, 17550
1401/12/09, 17330, 18150
1401/12/08, 17350, 17900
1401/12/07, 17400, 18400
1401/12/06, 17030, 17850
1401/12/03, 16820, 17120
1401/12/02, 16820, 17500
1401/12/01, 16460, 17150
1401/11/30, 16370, 16770
1401/11/26, 16420, 16880
1401/11/25, 16630, 17210
1401/11/24, 16970, 17500
1401/11/23, 17010, 17480
1401/11/19, 16850, 17500
1401/11/18, 17150, 17490
1401/11/17, 16710, 17510
1401/11/16, 17010, 17550
1401/11/12, 17100, 17910
1401/11/11, 17000, 17700
1401/11/10, 16560, 17780
1401/11/09, 17300, 18160
1401/11/08, 17470, 18400
1401/11/05, 18050, 18940
1401/11/04, 18700, 19690
1401/11/03, 18510, 19650
1401/11/02, 19050, 19900
1401/11/01, 19820, 20750
1401/10/28, 20080, 21030
1401/10/27, 19550, 20040
1401/10/26, 18340, 19220
1401/10/24, 17710, 18570
1401/10/21, 18170, 18990
1401/10/20, 18170, 18760
1401/10/19, 17120, 18520
1401/10/18, 17220, 17710
1401/10/17, 16260, 17450
1401/10/14, 16310, 16500
1401/10/13, 16370, 16890
1401/10/12, 16430, 16830
1401/10/11, 16280, 16780
1401/10/10, 16290, 17080
1401/10/07, 16320, 17100
1401/10/05, 16170, 16470
1401/10/04, 16060, 16730
1401/10/03, 16020, 16630
1401/09/30, 16000, 16600
1401/09/29, 16440, 16960
1401/09/28, 16390, 17010
1401/09/27, 15960, 16950
1401/09/26, 15880, 16390
1401/09/23, 16000, 16590
1401/09/22, 16000, 16910
1401/09/21, 16000, 16700
1401/09/20, 15860, 16210
1401/09/19, 15550, 16160
1401/09/16, 15700, 16110
1401/09/15, 15540, 16130
1401/09/14, 15830, 16040
1401/09/13, 15520, 16390
1401/09/12, 15430, 15970
1401/09/09, 15700, 16080
1401/09/08, 15570, 16130
1401/09/07, 15820, 16220
1401/09/06, 15840, 16790
1401/09/05, 15830, 16910
1401/09/02, 15700, 16190
1401/09/01, 15700, 16900
1401/08/30, 15890, 16700
1401/08/29, 15830, 16420
1401/08/28, 15800, 16530
1401/08/25, 15100, 16030
1401/08/24, 15140, 15650
1401/08/23, 14940, 15490
1401/08/22, 15050, 15870
1401/08/21, 15460, 16090
1401/08/18, 14240, 15470
1401/08/17, 14140, 14820
1401/08/16, 13670, 14140
1401/08/15, 13050, 13530
1401/08/14, 12660, 12890
1401/08/11, 12400, 12680
1401/08/10, 12120, 12690
1401/08/09, 12210, 12450
1401/08/08, 11930, 12320
1401/08/07, 11930, 12320
1401/08/04, 11800, 12450
1401/08/03, 12180, 12600
1401/08/02, 12180, 12810
1401/08/01, 12530, 12530
1401/07/30, 11890, 12500
1401/07/12, 22430, 23000
1401/07/11, 22300, 23330
1401/07/10, 22330, 23460
1401/07/09, 22200, 23700
1401/07/06, 22410, 23480
1401/07/04, 22000, 23290
1401/07/02, 22190, 22990
1401/06/30, 22500, 23680
1401/06/29, 22690, 23430
1401/06/28, 23100, 23720
1401/06/27, 22930, 23490
1401/06/23, 23030, 23640
1401/06/22, 23240, 23780
1401/06/21, 23180, 23830
1401/06/20, 23100, 23800
1401/06/19, 23250, 23760
1401/06/16, 23110, 23790
1401/06/15, 23210, 23980
1401/06/14, 23140, 23800
1401/06/13, 23010, 24000
1401/06/12, 23250, 23850
1401/06/09, 23110, 24000
1401/06/08, 23000, 24040
1401/06/07, 23790, 24500
1401/06/06, 22610, 23790
1401/06/05, 22710, 23160
1401/06/02, 22500, 23070
1401/06/01, 22050, 22990
1401/05/31, 22200, 22700
1401/05/30, 21330, 22350
1401/05/29, 21870, 22480
1401/05/26, 21510, 22670
1401/05/25, 21750, 23120
1401/05/24, 22010, 23320
1401/05/23, 22500, 23220
1401/05/22, 22690, 23270
1401/05/19, 21550, 22920
1401/05/18, 22340, 23220
1401/05/15, 22700, 23260
1401/05/12, 22230, 23040
1401/05/11, 21570, 22190
1401/05/10, 21730, 22630
1401/05/09, 21320, 22300
1401/05/08, 21100, 23310
1401/05/03, 22140, 22920
1401/05/02, 22900, 24170
1401/05/01, 23200, 24090
1401/04/29, 23620, 24220
1401/04/28, 23910, 24980
1401/04/26, 24250, 25330
1401/04/25, 24120, 24130
1401/04/22, 22460, 23220
1401/04/21, 22400, 23250
1401/04/20, 22920, 23440
1401/04/18, 22750, 23500
1401/04/15, 23040, 23490
1401/04/14, 22980, 23440
1401/04/13, 23000, 23670
1401/04/12, 22260, 23300
1401/04/11, 22740, 23250
1401/04/08, 22200, 23760
1401/04/07, 23030, 23780
1401/04/06, 22750, 23650
1401/04/05, 22500, 23880
1401/04/04, 22730, 23830
1401/04/01, 23440, 23800
