date, min_price, max_price
1402/03/03, 10017, 10021
1402/03/02, 10011, 10012
1402/03/01, 10005, 10006
1402/02/31, 10190, 10191
1402/02/30, 10183, 10184
1402/02/27, 10162, 10166
1402/02/25, 10149, 10157
1402/02/24, 10143, 10144
1402/02/23, 10137, 10138
1402/02/20, 10119, 10123
1402/02/19, 10113, 10114
1402/02/18, 10107, 10108
1402/02/17, 10101, 10102
1402/02/16, 10095, 10096
1402/02/13, 10077, 10081
1402/02/12, 10071, 10072
1402/02/11, 10065, 10066
1402/02/10, 10059, 10060
1402/02/09, 10053, 10054
1402/02/06, 10035, 10039
1402/02/05, 10029, 10030
1402/02/04, 10023, 10024
1402/01/30, 10226, 10239
1402/01/29, 10219, 10220
1402/01/28, 10212, 10213
1402/01/27, 10205, 10206
1402/01/26, 10198, 10199
1402/01/22, 10173, 10183
1402/01/21, 10167, 10168
1402/01/20, 10161, 10162
1402/01/19, 10155, 10156
1402/01/16, 10137, 10141
1402/01/15, 10131, 10132
1402/01/14, 10125, 10126
1402/01/09, 10095, 10112
1402/01/08, 10089, 10090
1402/01/07, 10083, 10084
1402/01/05, 10071, 10072
1401/12/28, 10036, 10058
1401/12/27, 10029, 10030
1401/12/24, 10011, 10015
1401/12/23, 10005, 10006
1401/12/22, 10127, 10135
1401/12/21, 10121, 10122
1401/12/20, 10115, 10116
1401/12/16, 10091, 10101
1401/12/15, 10085, 10086
1401/12/14, 10079, 10080
1401/12/13, 10073, 10074
1401/12/10, 10055, 10056
1401/12/09, 10049, 10050
1401/12/08, 10043, 10044
1401/12/07, 10038, 10039
1401/12/06, 10032, 10033
1401/12/03, 10016, 10017
1401/12/02, 10010, 10011
1401/12/01, 10005, 10006
1401/11/30, 10174, 10175
1401/11/26, 10150, 10156
1401/11/25, 10144, 10145
1401/11/24, 10138, 10139
1401/11/23, 10132, 10133
1401/11/19, 10108, 10113
1401/11/18, 10102, 10103
1401/11/17, 10096, 10097
1401/11/16, 10090, 10091
1401/11/12, 10066, 10072
1401/11/11, 10060, 10061
1401/11/10, 10054, 10055
1401/11/09, 10049, 10050
1401/11/08, 10043, 10044
1401/11/05, 10027, 10028
1401/11/04, 10021, 10022
1401/11/03, 10016, 10017
1401/11/02, 10010, 10011
1401/11/01, 10005, 10006
1401/10/28, 10162, 10163
1401/10/27, 10156, 10157
