date, min_price, max_price
1402/02/31, 30690, 31200
1402/02/30, 30080, 31390
1402/02/27, 30520, 31400
1402/02/25, 29260, 31550
1402/02/24, 29130, 31070
1402/02/23, 29440, 30630
1402/02/20, 30500, 32460
1402/02/19, 29880, 32400
1402/02/18, 30940, 32000
1402/02/17, 32390, 34900
1402/02/16, 33950, 34560
1402/02/13, 33360, 34140
1402/02/12, 30950, 32580
1402/02/11, 30400, 31720
1402/02/10, 30130, 31000
1402/02/09, 30300, 31000
1402/02/06, 30000, 30580
1402/02/05, 29660, 30480
1402/02/04, 29700, 30310
1402/01/30, 29300, 30150
1402/01/29, 29760, 30640
1402/01/28, 29630, 30500
1402/01/27, 29720, 30800
1402/01/26, 30110, 30550
1402/01/22, 28720, 30450
1402/01/21, 29470, 30550
1402/01/20, 29170, 30580
1402/01/19, 28010, 29270
1402/01/16, 27500, 28460
1402/01/15, 27220, 28590
1402/01/14, 26610, 27790
1402/01/09, 25550, 26500
1402/01/08, 25010, 25890
1402/01/07, 23930, 25250
1402/01/06, 24880, 25900
1402/01/05, 24710, 25900
1401/12/28, 24280, 25180
1401/12/27, 23250, 24290
1401/12/24, 22170, 23220
1401/12/23, 21900, 23100
1401/12/22, 21400, 22190
1401/12/21, 22010, 22790
1401/12/20, 22280, 23190
1401/12/16, 22560, 23460
1401/12/15, 22300, 23050
1401/12/14, 22680, 23730
1401/12/13, 22600, 23740
1401/12/09, 23000, 23850
1401/12/08, 23140, 24700
1401/12/07, 23490, 24760
1401/12/06, 22940, 23690
1401/12/03, 22000, 23010
1401/12/02, 22100, 23010
1401/12/01, 20900, 21990
1401/11/30, 20800, 21350
1401/11/26, 20650, 21060
1401/11/25, 20800, 21170
1401/11/24, 20950, 21300
1401/11/23, 20900, 21290
1401/11/19, 20830, 21150
1401/11/18, 20500, 20900
1401/11/17, 19980, 20770
1401/11/16, 20220, 21560
1401/11/12, 20990, 21310
1401/11/11, 20800, 21220
1401/11/10, 19970, 20860
1401/11/09, 19860, 20570
1401/11/08, 20350, 21180
1401/11/05, 20660, 21600
1401/11/04, 21330, 21640
1401/11/03, 21000, 21730
1401/11/02, 20340, 21900
1401/11/01, 20920, 22490
1401/10/28, 21050, 22460
1401/10/27, 21330, 22250
1401/10/26, 20420, 21330
1401/10/24, 20120, 20790
1401/10/21, 20460, 22300
1401/10/20, 21000, 21340
1401/10/19, 19530, 20450
1401/10/18, 18780, 19660
1401/10/17, 18390, 19000
1401/10/14, 18200, 18970
1401/10/13, 18250, 18970
1401/10/12, 18490, 18970
1401/10/11, 18490, 19320
1401/10/10, 17750, 18900
1401/10/07, 17410, 18560
1401/10/05, 17250, 18080
1401/10/04, 17550, 18280
1401/10/03, 16920, 17530
1401/09/30, 16100, 16810
1401/09/29, 15940, 16140
1401/09/28, 15380, 16220
1401/09/27, 15710, 16200
1401/09/26, 15510, 16180
1401/09/23, 15670, 16270
