date, min_price, max_price
1402/03/03, 21405, 22180
1402/03/02, 21380, 22200
1402/03/01, 20701, 21494
1402/02/31, 20055, 20750
1402/02/30, 19800, 21190
1402/02/27, 19500, 20786
1402/02/25, 19015, 21500
1402/02/24, 20000, 21448
1402/02/23, 19312, 20999
1402/02/20, 20020, 22899
1402/02/19, 19130, 22485
1402/02/18, 20321, 21851
1402/02/17, 21500, 24000
1402/02/16, 23001, 23700
1402/02/13, 22600, 23490
1402/02/12, 21816, 24146
1402/02/11, 21450, 22800
1402/02/10, 21120, 22000
1402/02/09, 20800, 22260
1402/02/06, 20400, 21500
1402/02/05, 19800, 22056
1402/02/04, 19501, 20400
1402/01/30, 19342, 20500
1402/01/29, 19750, 20600
1402/01/28, 19000, 20100
1402/01/27, 18800, 19600
1402/01/26, 17215, 18800
1402/01/22, 16701, 17600
1402/01/21, 16801, 17978
1402/01/20, 17291, 17898
1402/01/19, 16610, 17900
1402/01/16, 15800, 17200
1402/01/15, 15801, 16659
1402/01/14, 15710, 16400
1402/01/09, 15600, 16190
1402/01/08, 15444, 16150
1402/01/07, 14650, 15697
1402/01/05, 15000, 15300
1401/12/28, 14800, 15200
1401/12/27, 14401, 14950
1401/12/24, 13500, 14190
1401/12/23, 13101, 13500
1401/12/22, 13051, 13500
1401/12/21, 13100, 13383
1401/12/20, 13250, 13600
1401/12/16, 13200, 13601
1401/12/15, 13000, 13180
1401/12/14, 13101, 13400
1401/12/13, 13100, 13349
1401/12/10, 13400, 13900
1401/12/09, 13450, 14000
1401/12/08, 13400, 13890
1401/12/07, 13550, 14498
1401/12/06, 13122, 14055
1401/12/03, 12512, 13141
1401/12/02, 12200, 13345
1401/12/01, 11870, 12650
1401/11/30, 11400, 11960
1401/11/26, 11450, 11740
1401/11/25, 11200, 11600
1401/11/24, 11520, 11820
1401/11/23, 11500, 11500
1401/11/19, 11400, 11850
1401/11/18, 11500, 11550
1401/11/17, 11151, 11437
1401/11/16, 11520, 11700
1401/11/12, 11401, 11600
1401/11/11, 11500, 11699
1401/11/10, 11500, 11898
1401/11/09, 11519, 12200
1401/11/08, 12071, 12400
1401/11/05, 12500, 12585
1401/11/04, 12549, 13145
1401/11/03, 12400, 12770
1401/11/02, 12202, 12830
1401/11/01, 12400, 12675
1401/10/28, 12214, 12748
1401/10/27, 12502, 12755
1401/10/26, 12188, 12788
1401/10/24, 11704, 12164
1401/10/21, 12101, 12529
1401/10/20, 11950, 12778
1401/10/19, 11610, 11839
1401/10/18, 11255, 11800
1401/10/17, 10762, 11450
1401/10/14, 10900, 11190
1401/10/13, 10999, 11450
1401/10/12, 10835, 11050
1401/10/11, 10300, 11331
1401/10/10, 11025, 11600
1401/10/07, 11100, 11800
1401/10/05, 10900, 11299
1401/10/04, 10751, 11099
1401/10/03, 10600, 11400
1401/09/30, 10411, 10998
1401/09/29, 10400, 10539
1401/09/28, 10300, 10500
1401/09/27, 10310, 10650
1401/09/26, 10150, 10500
1401/09/23, 10300, 10700
1401/09/22, 10150, 10400
1401/09/21, 10000, 10120
1401/09/20, 9835, 10019
1401/09/19, 9821, 10000
1401/09/16, 10002, 10040
1401/09/15, 9970, 10071
1401/09/14, 10000, 10050
1401/09/13, 9711, 10000
1401/09/12, 10058, 10199
1401/09/09, 10100, 10296
1401/09/08, 10032, 10145
1401/09/07, 10001, 10150
1401/09/06, 10051, 10051
1401/09/05, 10000, 10100
1401/09/02, 10010, 10011
1401/09/01, 9950, 10002
1401/08/30, 10051, 10298
1401/08/29, 10000, 10137
1401/08/28, 10049, 10100
1401/08/25, 10045, 10090
1401/08/24, 10000, 10194
1401/08/23, 10005, 10299
1401/08/22, 10020, 10220
1401/08/21, 10050, 10300
1401/08/18, 9850, 10050
1401/08/17, 9995, 10100
1401/08/16, 9581, 10047
1401/08/15, 9500, 9983
1401/08/14, 9264, 9690
1401/08/11, 9150, 9251
1401/08/10, 9195, 9325
1401/08/09, 9135, 9479
1401/08/08, 8900, 9388
1401/08/07, 9015, 9052
1401/08/04, 9150, 9151
1401/08/03, 9250, 9300
1401/08/02, 9401, 9700
1401/08/01, 9450, 9453
1401/07/30, 9422, 9672
1401/07/27, 9468, 9897
1401/07/26, 9412, 9420
1401/07/25, 9405, 9405
1401/07/24, 9598, 9629
1401/07/23, 9500, 9688
1401/07/20, 9555, 9794
1401/07/19, 9510, 9769
1401/07/18, 9401, 9894
1401/07/17, 9400, 9988
1401/07/16, 9505, 9886
1401/07/12, 9451, 9479
1401/07/11, 9451, 9990
1401/07/10, 9441, 10100
1401/07/09, 9450, 9623
1401/07/06, 9500, 9979
1401/07/04, 9480, 9897
1401/07/02, 9400, 9800
1401/06/30, 9680, 9682
1401/06/29, 9975, 10000
1401/06/28, 10010, 10011
1401/06/27, 10010, 10300
1401/06/23, 10093, 10093
1401/06/22, 10100, 10100
1401/06/21, 10000, 10000
1401/06/20, 9960, 10000
1401/06/19, 10010, 10100
1401/06/16, 10050, 10181
1401/06/15, 10235, 10400
1401/06/14, 10200, 10260
1401/06/13, 10275, 10276
1401/06/12, 10180, 10280
1401/06/09, 10402, 10420
1401/06/08, 10400, 10419
1401/06/07, 10270, 10399
1401/06/06, 10250, 10368
