date, min_price, max_price
1402/03/03, 50600, 54500
1402/03/02, 52300, 55410
1402/02/24, 53010, 57460
1402/02/23, 54720, 57000
1402/02/20, 56420, 62340
1402/02/19, 58660, 61720
1402/02/18, 61730, 61780
1402/02/17, 63110, 69480
1402/02/16, 62600, 67300
1402/02/13, 62010, 66650
1402/02/12, 62950, 63550
1402/02/11, 57710, 61960
1402/02/10, 57500, 59980
1402/02/09, 58040, 60290
1402/02/06, 58000, 60590
1402/02/05, 58500, 62000
1402/02/04, 58600, 59240
1402/01/30, 53500, 56930
1402/01/29, 53020, 55890
1402/01/28, 53000, 54890
1402/01/27, 53290, 56420
1402/01/26, 54030, 55730
1402/01/22, 50950, 54000
1402/01/21, 51070, 54500
1402/01/20, 52770, 54470
1402/01/19, 53010, 55700
1402/01/16, 52600, 55440
1402/01/15, 52000, 55770
1402/01/14, 52200, 53410
1402/01/09, 48140, 50930
1402/01/08, 48140, 49200
1402/01/07, 46670, 48600
1402/01/06, 47360, 49000
1402/01/05, 47730, 49870
1401/12/28, 48380, 49430
1401/12/27, 48320, 49800
1401/12/24, 47700, 49310
1401/12/23, 46560, 48260
1401/12/22, 46500, 49990
1401/12/21, 46500, 47990
1401/12/20, 47590, 48800
1401/12/16, 47800, 48900
1401/12/15, 47000, 48440
1401/12/14, 47000, 48600
1401/12/13, 46500, 48640
1401/12/10, 47650, 49300
1401/12/09, 46570, 48750
1401/12/08, 46500, 48420
1401/12/07, 47820, 51660
1401/12/06, 48080, 51890
1401/12/03, 49760, 50860
1401/12/02, 51010, 54950
1401/12/01, 52820, 55590
1401/11/30, 55590, 55590
1401/11/26, 55800, 55800
1401/11/25, 57420, 58880
1401/11/24, 59060, 61490
1401/11/23, 59000, 62280
1401/11/19, 58190, 61060
1401/11/18, 57050, 59870
1401/11/17, 54210, 59910
1401/11/16, 54500, 57930
1401/11/12, 52800, 55410
1401/11/11, 50510, 52790
1401/11/10, 47730, 51270
1401/11/09, 48660, 52590
1401/11/08, 48550, 52860
1401/11/05, 48120, 52060
1401/11/04, 46500, 50990
1401/11/03, 45700, 49270
1401/11/02, 45300, 48000
1401/11/01, 44510, 48380
1401/10/28, 44110, 46240
1401/10/27, 44040, 44040
1401/10/26, 41950, 41950
1401/10/24, 36800, 40510
1401/10/21, 37890, 39390
1401/10/20, 37060, 39000
1401/10/19, 36630, 38280
1401/10/18, 36560, 37950
1401/10/17, 35500, 37500
1401/10/14, 35750, 36430
1401/10/13, 36080, 37580
1401/10/12, 35300, 36890
1401/10/11, 35320, 36830
1401/10/10, 36100, 38850
1401/10/07, 36220, 39300
1401/10/05, 37000, 37980
1401/10/04, 36600, 37400
1401/10/03, 36500, 37700
1401/09/30, 35300, 36500
1401/09/29, 35210, 35980
1401/09/28, 35500, 36600
1401/09/27, 36000, 37570
1401/09/26, 36400, 37090
1401/09/23, 36400, 38300
1401/09/22, 35360, 37580
1401/09/21, 36020, 36840
1401/09/20, 33650, 36470
1401/09/19, 34660, 36690
1401/09/16, 35150, 36710
1401/09/15, 34220, 34980
1401/09/14, 32020, 33480
1401/09/13, 31610, 33200
1401/09/12, 32230, 33390
1401/09/09, 33030, 33700
1401/09/08, 33140, 33870
1401/09/07, 33220, 34150
1401/09/06, 32420, 34400
1401/09/05, 33290, 34300
1401/09/02, 33300, 34230
1401/09/01, 33400, 34290
1401/08/30, 34200, 35990
1401/08/29, 34430, 35370
1401/08/28, 34330, 35700
1401/08/25, 35020, 36300
1401/08/24, 35100, 36500
1401/08/23, 35030, 36250
1401/08/22, 35070, 36880
1401/08/21, 35650, 37480
1401/08/18, 36680, 38690
1401/08/17, 37100, 38900
1401/08/16, 36570, 37060
1401/08/15, 34650, 35640
1401/08/14, 33340, 34670
1401/08/11, 32980, 34160
1401/08/10, 32330, 33660
1401/08/09, 32250, 32970
1401/08/08, 29800, 32600
1401/08/07, 30090, 31600
1401/08/04, 30210, 31850
1401/08/03, 30520, 31470
1401/08/02, 30700, 31990
1401/08/01, 31500, 32300
1401/07/30, 31140, 32380
1401/07/27, 31100, 32480
1401/07/26, 31300, 32550
1401/07/25, 31130, 32400
1401/07/24, 31050, 32750
1401/07/23, 31420, 32430
1401/07/20, 31550, 32700
1401/07/19, 31260, 32800
1401/07/18, 31410, 32500
1401/07/17, 31320, 32540
1401/07/16, 31450, 32600
1401/07/12, 31510, 32910
1401/07/11, 32170, 32930
1401/07/10, 32250, 33380
1401/07/09, 32440, 33540
1401/07/06, 32930, 34290
1401/07/04, 32660, 34200
1401/07/02, 32650, 33940
1401/06/30, 33100, 34200
1401/06/29, 33060, 34500
1401/06/28, 33100, 35600
1401/06/27, 33820, 36490
1401/06/22, 33850, 34900
1401/06/21, 33750, 35000
1401/06/20, 33830, 34890
1401/06/19, 34080, 36590
1401/06/16, 33780, 36750
1401/06/15, 34800, 36490
1401/06/14, 34950, 37250
1401/06/13, 34300, 36570
1401/06/12, 34700, 36130
1401/06/09, 35080, 35080
1401/06/08, 34470, 34730
1401/06/07, 31560, 34460
1401/06/06, 33160, 33950
1401/06/05, 33120, 33880
1401/06/02, 32180, 33390
1401/06/01, 32340, 33440
1401/05/31, 31300, 32940
1401/05/30, 30750, 32350
1401/05/29, 31350, 32640
1401/05/26, 31370, 32500
1401/05/25, 31400, 32400
1401/05/24, 31090, 32800
1401/05/23, 31270, 33870
1401/05/22, 31920, 33110
1401/05/19, 31810, 33140
1401/05/18, 31700, 33000
1401/05/15, 32230, 34160
1401/05/12, 31530, 34370
1401/05/11, 31530, 32480
1401/05/10, 31500, 33500
1401/05/09, 32280, 32560
1401/05/08, 32950, 34950
1401/05/05, 33310, 34870
1401/05/04, 34170, 34700
1401/05/03, 34390, 35170
1401/04/29, 34800, 35890
1401/04/28, 34660, 36230
1401/04/26, 35320, 38860
1401/04/25, 36590, 37860
1401/04/22, 34590, 35880
1401/04/21, 34670, 35990
1401/04/20, 35000, 37350
1401/04/18, 35000, 36900
1401/04/15, 35800, 36500
1401/04/14, 35530, 37000
1401/04/13, 35650, 37480
1401/04/12, 35750, 37720
1401/04/11, 36880, 37800
1401/04/08, 37500, 39000
1401/04/07, 38030, 40060
1401/04/06, 38470, 40360
1401/04/05, 36450, 39070
1401/04/04, 36290, 39220
1401/04/01, 37120, 37900
1401/03/31, 37370, 38670
1401/03/30, 38000, 40940
1401/03/29, 38600, 41660
1401/03/28, 38130, 41660
1401/03/25, 37900, 41160
1401/03/24, 38150, 40120
1401/03/23, 38470, 40900
1401/03/22, 39200, 41400
1401/03/21, 40740, 41490
1401/03/18, 42760, 44300
1401/03/17, 44370, 46700
1401/03/07, 47300, 51390
1401/03/04, 48000, 49980
1401/03/03, 45080, 48250
1401/03/02, 43550, 47990
1401/03/01, 44310, 46740
1401/02/31, 44000, 46020
1401/02/28, 42500, 45510
1401/02/27, 43560, 45500
1401/02/26, 44180, 46390
1401/02/21, 43040, 44870
1401/02/20, 41000, 43400
1401/02/19, 40500, 42660
1401/02/18, 41620, 43600
1401/02/17, 40500, 42520
1401/02/12, 39390, 40850
1401/02/11, 36010, 39160
1401/02/10, 35610, 38970
1401/02/07, 37000, 38790
1401/02/06, 35040, 37070
1401/02/05, 33380, 36280
1401/02/04, 34010, 35330
1401/01/31, 33650, 33650
1401/01/30, 30740, 32060
1401/01/29, 30010, 30890
1401/01/28, 28460, 30300
1401/01/27, 28420, 29740
1401/01/24, 28450, 30670
1401/01/23, 29020, 30500
1401/01/22, 29880, 30990
