date, min_price, max_price
1402/03/03, 13240, 14190
1402/03/02, 13380, 14270
1402/03/01, 12620, 13680
1402/02/31, 12220, 13300
1402/02/30, 12250, 13300
1402/02/27, 12700, 13030
1402/02/25, 11520, 12600
1402/02/24, 11300, 12030
1402/02/23, 11060, 11900
1402/02/20, 11550, 13180
1402/02/19, 12370, 12990
1402/02/18, 13300, 13300
1402/02/17, 14220, 15600
1402/02/16, 14560, 15630
1402/02/13, 14360, 15590
1402/02/12, 14090, 15060
1402/02/11, 13500, 14500
1402/02/10, 13700, 14450
1402/02/09, 13420, 14050
1402/02/06, 13350, 14630
1402/02/05, 13600, 14290
1402/01/26, 14030, 14030
1402/01/22, 12590, 13470
1402/01/21, 11960, 13330
1402/01/20, 12000, 13120
1402/01/19, 11950, 12320
1402/01/16, 10840, 11840
1402/01/15, 10850, 11620
1402/01/14, 10920, 11700
1402/01/09, 11070, 11600
1402/01/08, 10660, 11050
1402/01/07, 9520, 10440
1402/01/06, 9600, 10200
1402/01/05, 9210, 10010
1401/12/28, 9160, 9630
1401/12/27, 9130, 9130
1401/12/22, 8330, 8930
1401/12/21, 8390, 8750
1401/12/20, 8510, 8790
1401/12/16, 8190, 8600
1401/12/15, 8140, 8490
1401/12/14, 8290, 8550
1401/12/13, 8200, 8600
1401/12/10, 8310, 8650
1401/12/09, 8430, 8660
1401/12/08, 8260, 8700
1401/12/07, 8390, 9280
1401/12/06, 8280, 8950
1401/12/03, 8020, 8570
1401/12/02, 8190, 8760
1401/12/01, 7950, 8520
1401/11/30, 7960, 8730
1401/11/26, 8380, 8980
1401/11/25, 8470, 9090
1401/11/24, 8880, 9300
1401/11/23, 8720, 9090
1401/11/19, 8810, 9330
1401/11/18, 9050, 9400
1401/11/17, 8650, 9110
1401/11/16, 8910, 9560
1401/11/12, 9420, 9950
1401/11/11, 9290, 9600
1401/11/10, 8500, 9270
1401/11/09, 8810, 9210
1401/11/08, 9120, 9830
1401/11/05, 9260, 9860
1401/11/04, 8600, 9330
1401/11/03, 8400, 9030
1401/11/02, 8410, 9200
1401/11/01, 8980, 9500
1401/10/28, 9480, 9990
1401/10/27, 9330, 10010
1401/10/26, 9240, 9640
1401/10/24, 8520, 9270
1401/10/21, 8450, 9050
1401/10/20, 8470, 9050
1401/10/19, 8550, 9250
1401/10/18, 9040, 9540
1401/10/17, 8930, 9550
1401/10/14, 8530, 9200
1401/10/13, 8600, 9250
1401/10/12, 8700, 9130
1401/10/07, 8380, 9100
1401/10/05, 8370, 9100
1401/10/04, 8470, 8890
1401/10/03, 7970, 8350
1401/09/28, 7390, 8120
1401/09/27, 7430, 7920
1401/09/26, 7250, 7580
1401/09/23, 6680, 7300
1401/09/22, 6700, 6970
1401/09/21, 6460, 6770
1401/09/20, 6390, 6600
1401/09/19, 6330, 6650
1401/09/16, 6330, 6480
1401/09/15, 6330, 6590
1401/09/14, 6400, 6780
1401/09/13, 6570, 6900
1401/09/12, 6640, 6850
1401/09/09, 6700, 7120
1401/09/08, 6410, 6880
1401/09/07, 6300, 6710
1401/09/06, 6520, 6880
1401/09/05, 6260, 6740
1401/09/02, 6150, 6630
1401/09/01, 6380, 6790
1401/08/30, 6450, 6930
1401/08/29, 6630, 7000
1401/08/28, 6350, 6730
1401/08/25, 5980, 6440
1401/08/24, 5940, 6110
1401/08/23, 5850, 6230
1401/08/22, 6030, 6210
1401/08/21, 5870, 6190
1401/08/18, 5550, 6240
1401/08/17, 5700, 6260
1401/08/16, 5840, 6150
1401/08/15, 5500, 5810
1401/08/14, 5080, 5460
1401/08/11, 4861, 5240
1401/08/10, 4910, 5140
1401/08/09, 4772, 4956
1401/08/08, 4551, 4888
1401/08/07, 4507, 4800
1401/08/04, 4540, 4930
1401/08/03, 4630, 5000
1401/08/02, 4650, 4990
1401/08/01, 4890, 5170
1401/07/30, 5050, 5240
1401/07/27, 5020, 5340
1401/07/26, 4800, 5160
1401/07/25, 4720, 4950
1401/07/24, 4650, 4950
1401/07/23, 4880, 5200
1401/07/20, 5080, 5290
1401/07/19, 4651, 4984
1401/07/18, 4553, 4780
1401/07/17, 4511, 4778
1401/07/16, 4581, 4840
1401/07/12, 4621, 4740
1401/07/11, 4520, 4699
1401/07/10, 4500, 4650
1401/07/09, 4536, 4780
1401/07/06, 4700, 4860
1401/07/04, 4500, 4749
1401/07/02, 4541, 4950
1401/06/30, 4710, 5020
1401/06/29, 5000, 5230
1401/06/28, 5030, 5350
1401/06/27, 5050, 5340
1401/06/23, 5180, 5370
1401/06/22, 5210, 5630
1401/06/21, 5210, 5390
1401/06/20, 5060, 5350
1401/06/19, 5120, 5260
1401/06/16, 5120, 5350
1401/06/15, 5090, 5400
1401/06/14, 5220, 5420
1401/06/13, 5220, 5450
1401/06/12, 5300, 5690
1401/06/09, 5270, 5680
1401/06/08, 5250, 5420
1401/06/07, 5110, 5380
1401/06/06, 5140, 5500
1401/06/05, 5220, 5700
1401/06/02, 5360, 5450
1401/06/01, 5000, 5300
1401/05/31, 4940, 5280
1401/05/30, 4920, 5200
1401/05/29, 5000, 5240
1401/05/26, 4990, 5300
1401/05/25, 5120, 5370
1401/05/24, 5160, 5440
1401/05/23, 5290, 5500
1401/05/22, 5460, 5600
1401/05/19, 5360, 5890
1401/05/18, 5160, 5700
1401/05/04, 7350, 7690
1401/05/03, 7380, 7850
1401/05/02, 7730, 8330
1401/05/01, 8150, 8500
1401/04/29, 8460, 9290
1401/04/26, 8680, 9080
1401/04/25, 8500, 8570
1401/04/22, 7940, 8200
1401/04/21, 7440, 8000
1401/04/20, 7340, 7840
1401/04/18, 7520, 7990
1401/04/15, 7790, 8200
1401/04/14, 7410, 7860
1401/04/13, 7320, 7600
1401/04/12, 7200, 7820
1401/04/11, 7470, 8100
1401/04/08, 7820, 8200
1401/04/07, 7890, 8260
1401/04/06, 7940, 8700
1401/04/05, 8430, 8960
1401/04/04, 8850, 9120
1401/04/01, 8850, 9100
1401/03/31, 8990, 9240
1401/03/30, 8960, 9200
1401/03/29, 8880, 9180
1401/03/28, 8810, 9200
1401/03/25, 8850, 9270
1401/03/24, 8950, 9320
1401/03/23, 9000, 9430
1401/03/22, 8690, 9050
1401/03/21, 8500, 9170
1401/03/18, 8810, 9300
1401/03/17, 9000, 9650
1401/03/16, 9250, 10200
1401/03/11, 9390, 9860
1401/03/10, 8970, 9850
1401/03/09, 9300, 10000
1401/03/08, 9850, 10590
1401/03/07, 10250, 11110
1401/03/04, 9920, 10710
1401/03/03, 9920, 10570
1401/03/02, 10140, 10880
1401/03/01, 9560, 10600
1401/02/31, 9870, 10600
1401/02/28, 10380, 11000
1401/02/27, 10550, 11380
1401/02/26, 10500, 11170
1401/02/25, 10680, 11140
1401/02/24, 10530, 10530
1401/02/21, 9500, 9990
