date, min_price, max_price
1402/02/31, 17810, 18900
1402/02/30, 18400, 20400
1402/02/27, 17750, 19510
1402/02/25, 17460, 18880
1402/02/24, 17450, 18230
1402/02/23, 17000, 17540
1402/02/20, 17870, 19990
1402/02/19, 18890, 19990
1402/02/18, 20310, 20310
1402/02/17, 21610, 23390
1402/02/16, 22230, 23480
1402/02/13, 21300, 22750
1402/02/12, 20100, 21690
1402/02/11, 19720, 21100
1402/02/10, 19600, 20160
1402/02/09, 18640, 19550
1402/02/06, 18730, 19480
1402/02/05, 18790, 20500
1402/02/04, 18900, 19580
1402/01/30, 17240, 18460
1402/01/29, 16880, 17760
1402/01/28, 16200, 17500
1402/01/27, 16550, 17400
1402/01/26, 16430, 17090
1402/01/22, 15770, 16350
1402/01/21, 15950, 17470
1402/01/20, 16850, 17600
1402/01/19, 16660, 17780
1402/01/16, 16000, 16850
1402/01/15, 15160, 16240
1402/01/14, 15300, 16140
1402/01/09, 15830, 16680
1402/01/07, 14700, 15990
1402/01/06, 14540, 15890
1402/01/05, 14750, 15160
1401/12/28, 14540, 15200
1401/12/27, 14650, 15500
1401/12/24, 14270, 15160
1401/12/23, 14000, 15060
1401/12/22, 13820, 14720
1401/12/21, 13930, 14420
1401/12/20, 14000, 14780
1401/12/16, 13000, 14050
1401/12/15, 12700, 13690
1401/12/14, 13100, 13750
1401/12/13, 13020, 13720
1401/12/10, 12900, 13910
1401/12/09, 12700, 13300
1401/12/08, 12600, 13200
1401/12/07, 12500, 13800
1401/12/06, 12340, 13000
1401/12/03, 11620, 12450
1401/12/02, 12160, 12830
1401/12/01, 11560, 12300
1401/11/30, 11510, 11940
1401/11/26, 11350, 12000
1401/11/25, 11950, 12830
1401/11/24, 12500, 13200
1401/11/23, 12420, 13250
1401/11/19, 13110, 13700
1401/11/18, 12830, 13840
1401/11/17, 12200, 13230
1401/11/16, 12300, 13300
1401/11/12, 12690, 13750
1401/11/11, 12680, 13040
1401/11/10, 11190, 12360
1401/11/09, 11210, 12410
1401/11/08, 11930, 12500
1401/11/05, 12260, 13450
1401/11/04, 12850, 13370
1401/11/03, 12960, 13800
1401/11/02, 13080, 13790
1401/11/01, 13300, 13990
1401/10/28, 13330, 13900
1401/10/27, 13450, 14040
1401/10/26, 13220, 13850
1401/10/24, 12500, 13690
1401/10/21, 12980, 13750
1401/10/20, 11980, 12980
1401/10/19, 11960, 12370
1401/10/18, 11940, 12480
1401/10/17, 11360, 12170
1401/10/14, 10900, 11700
1401/10/13, 11380, 11900
1401/10/12, 11300, 11760
1401/10/11, 10900, 11940
1401/10/10, 11130, 11900
1401/10/07, 11640, 11980
