date, min_price, max_price
1402/03/03, 47700, 49150
1402/03/02, 47550, 50500
1402/03/01, 47550, 49000
1402/02/31, 47200, 49500
1402/02/30, 47600, 50600
1402/02/27, 47500, 49950
1402/02/25, 46600, 51000
1402/02/24, 46000, 50200
1402/02/23, 46550, 50300
1402/02/20, 48200, 53000
1402/02/19, 44500, 49800
1402/02/18, 46500, 48500
1402/02/17, 49600, 55750
1402/02/16, 51500, 55950
1402/02/13, 48600, 53150
1402/02/12, 47000, 49900
1402/02/11, 45600, 47000
1402/02/05, 46950, 48800
1402/02/04, 46200, 49000
1402/01/30, 45300, 48400
1402/01/29, 45000, 49000
1402/01/28, 44500, 47000
1402/01/27, 42000, 45250
1402/01/26, 42000, 42950
1402/01/22, 39150, 42350
1402/01/21, 39150, 42500
1402/01/20, 40550, 42650
1402/01/19, 40050, 42050
1402/01/16, 36750, 39850
1402/01/15, 36850, 38200
1402/01/14, 36600, 37650
1402/01/09, 36950, 38050
1402/01/08, 36800, 38200
1402/01/07, 33950, 37500
1402/01/06, 34600, 37000
1402/01/05, 36100, 37650
1401/12/28, 35650, 37150
1401/12/27, 35750, 37200
1401/12/24, 33750, 35400
1401/12/23, 32800, 33650
1401/12/22, 33000, 33750
1401/12/21, 33650, 34150
1401/12/20, 34150, 35450
1401/12/16, 33900, 35400
1401/12/15, 33600, 34600
1401/12/14, 34050, 35300
1401/12/13, 33750, 34950
1401/12/10, 33800, 35250
1401/12/09, 33750, 34900
1401/12/08, 34300, 35800
1401/12/07, 34600, 37450
1401/12/06, 35000, 36800
1401/12/03, 33750, 35650
1401/12/02, 34300, 36200
1401/12/01, 31750, 34300
1401/11/30, 31400, 32750
1401/11/26, 31350, 32400
1401/11/25, 31400, 32500
1401/11/24, 32300, 33450
1401/11/23, 32050, 33300
1401/11/19, 32200, 33400
1401/11/18, 32100, 33800
1401/11/17, 31900, 33350
1401/11/16, 32250, 34400
1401/11/12, 34000, 35250
1401/11/11, 34150, 36100
1401/11/10, 33350, 35500
1401/11/09, 33300, 35800
1401/11/08, 34600, 36400
1401/11/05, 33300, 35600
1401/11/04, 34950, 36500
1401/11/03, 35800, 37200
1401/11/02, 35550, 37450
1401/11/01, 35250, 37100
1401/10/28, 36050, 37650
1401/10/27, 36500, 38650
1401/10/26, 34450, 36550
1401/10/24, 32350, 34850
1401/10/21, 33000, 34650
1401/10/20, 33000, 34500
1401/10/19, 32200, 33800
1401/10/18, 31400, 33850
1401/10/17, 30500, 32250
1401/10/14, 30550, 31150
1401/10/13, 30800, 32050
1401/10/12, 30250, 32100
1401/10/11, 30150, 32900
1401/10/10, 30500, 32650
1401/10/07, 30300, 32800
1401/10/05, 30050, 31250
1401/10/04, 30500, 31100
1401/10/03, 30100, 30950
1401/09/30, 28900, 30150
1401/09/29, 28900, 29650
1401/09/28, 28850, 29450
1401/09/27, 28500, 29750
1401/09/26, 28250, 29400
1401/09/23, 28200, 29450
1401/09/22, 28450, 29900
1401/09/21, 27600, 28900
1401/09/20, 26950, 28500
1401/09/19, 26900, 27950
1401/09/16, 27800, 29000
1401/09/15, 28150, 28850
1401/09/14, 27850, 29450
1401/09/13, 27150, 29650
1401/09/12, 27500, 28150
1401/09/09, 28200, 28800
1401/09/08, 28550, 29150
1401/09/07, 28650, 29400
1401/09/06, 28550, 29800
1401/09/05, 28050, 29050
1401/09/02, 27900, 29200
1401/09/01, 27700, 28750
1401/08/30, 28350, 29550
1401/08/29, 28000, 29400
1401/08/28, 28100, 29250
1401/08/25, 26100, 28050
1401/08/24, 26050, 26800
1401/08/23, 26050, 26700
1401/08/22, 26400, 27000
1401/08/21, 26600, 28000
1401/08/18, 26000, 27900
1401/08/17, 26300, 28700
1401/08/16, 26000, 27750
1401/08/15, 25050, 26300
1401/08/14, 24600, 26250
1401/08/11, 24000, 25000
1401/08/10, 24250, 25450
1401/08/09, 22950, 24550
1401/08/08, 22300, 23400
1401/08/07, 22350, 23750
1401/08/04, 22200, 23300
1401/08/03, 22800, 23550
1401/08/02, 23350, 25000
1401/08/01, 24000, 25000
1401/07/30, 23950, 25500
1401/07/27, 25200, 26300
1401/07/26, 24000, 25450
1401/07/25, 22650, 24400
