date, min_price, max_price
1402/03/01, 18650, 19440
1402/02/31, 18340, 19050
1402/02/30, 18580, 20120
1402/02/27, 18040, 19580
1402/02/25, 17750, 19200
1402/02/24, 17800, 19000
1402/02/23, 18080, 18760
1402/02/20, 18760, 20150
1402/02/19, 19730, 19990
1402/02/18, 20760, 20760
1402/02/17, 21610, 23750
1402/02/16, 21770, 22860
1402/02/13, 21400, 22200
1402/02/12, 20650, 21880
1402/02/11, 20310, 21690
1402/02/10, 20980, 21780
1402/02/09, 20720, 22420
1402/02/06, 20570, 22480
1402/02/05, 20810, 21570
1402/02/04, 19510, 20640
1402/01/30, 19100, 20000
1402/01/29, 19460, 20320
1402/01/28, 18500, 19780
1402/01/27, 18500, 19450
1402/01/26, 18300, 18720
1402/01/22, 17130, 18490
1402/01/21, 17280, 18440
1402/01/20, 17530, 18350
1402/01/19, 16900, 17520
1402/01/16, 16320, 17080
1402/01/15, 16200, 16920
1402/01/14, 15760, 16690
1402/01/09, 16240, 16850
1402/01/08, 16100, 16990
1402/01/07, 15210, 16550
1402/01/06, 15360, 16380
1402/01/05, 15400, 16100
1401/12/28, 14840, 15690
1401/12/27, 14590, 15100
1401/12/24, 14260, 14680
1401/12/23, 14070, 14550
1401/12/22, 13990, 14560
1401/12/21, 13890, 14270
1401/12/20, 14410, 15020
1401/12/16, 14530, 15020
1401/12/15, 14390, 14900
1401/12/14, 14480, 14990
1401/12/13, 14400, 14920
1401/12/10, 14730, 15700
1401/12/09, 15250, 15800
1401/12/08, 14670, 15690
1401/12/07, 14830, 16200
1401/12/06, 15100, 15630
1401/12/03, 14720, 15400
1401/12/02, 14830, 15800
1401/12/01, 14200, 15080
1401/11/30, 13920, 14570
1401/11/26, 13750, 14080
1401/11/25, 13540, 14130
1401/11/24, 13820, 14160
1401/11/23, 13600, 14320
1401/11/19, 14050, 14500
1401/11/18, 14240, 14780
1401/11/17, 13650, 14300
1401/11/16, 14150, 15000
1401/11/12, 14650, 15430
1401/11/11, 14530, 15300
1401/11/10, 14000, 15030
1401/11/09, 14310, 15060
1401/11/08, 14850, 15890
1401/11/05, 15510, 16630
1401/11/04, 15920, 16630
1401/11/03, 15930, 16800
1401/11/02, 15600, 16870
1401/11/01, 16280, 17580
1401/10/28, 16700, 17810
1401/10/27, 16830, 17390
1401/10/26, 16040, 16640
1401/10/24, 15200, 15960
1401/10/21, 15100, 15200
1401/10/20, 14110, 14810
1401/10/19, 14010, 14450
1401/10/18, 14080, 14350
1401/10/17, 13580, 14180
1401/10/14, 13260, 13720
1401/10/13, 13410, 13950
1401/10/12, 13280, 13800
1401/10/11, 12940, 13650
1401/10/10, 13160, 13780
1401/10/07, 13700, 14200
1401/10/05, 13550, 14080
1401/10/04, 13670, 14480
1401/10/03, 13600, 14020
1401/09/30, 13030, 13780
1401/09/29, 13600, 13600
1401/09/28, 14040, 14600
1401/09/27, 14300, 15040
1401/09/26, 14550, 14970
1401/09/23, 13920, 14600
1401/09/22, 13580, 13940
1401/09/21, 13080, 13490
1401/09/20, 12630, 13350
1401/09/19, 12690, 13080
1401/09/16, 13000, 13300
1401/09/15, 12690, 13220
1401/09/14, 12750, 13050
1401/09/13, 12660, 13000
1401/09/12, 12500, 12910
1401/09/09, 12420, 12900
1401/09/08, 12660, 12900
1401/09/07, 12620, 12910
1401/09/06, 12500, 12960
1401/09/05, 12550, 12940
1401/09/02, 12420, 12950
1401/09/01, 12660, 13170
1401/08/30, 12700, 13100
1401/08/29, 12430, 13090
1401/08/28, 12480, 13290
1401/08/25, 12510, 13090
1401/08/24, 12450, 12870
1401/08/23, 12320, 12890
1401/08/22, 12230, 12650
1401/08/21, 12110, 12570
1401/08/18, 12010, 12550
1401/08/17, 11990, 12730
1401/08/16, 11400, 12180
1401/08/15, 11440, 12100
1401/08/14, 11550, 12190
