date, min_price, max_price
1402/03/01, 27000, 28500
1402/02/31, 26750, 28250
1402/02/30, 27150, 29450
1402/02/27, 27700, 29450
1402/02/25, 28350, 30450
1402/02/24, 28350, 31600
1402/02/23, 29600, 30800
1402/02/20, 30150, 34650
1402/02/19, 29450, 33850
1402/02/18, 31650, 32500
1402/02/17, 34000, 35900
1402/02/16, 34650, 36850
1402/02/13, 32950, 35250
1402/02/12, 31900, 32950
1402/02/06, 30650, 33200
1402/02/05, 30600, 32100
1402/02/04, 28050, 31350
1402/01/30, 28700, 30100
1402/01/29, 27700, 29000
1402/01/28, 27050, 28500
1402/01/27, 27300, 29100
1402/01/26, 26000, 28050
1402/01/22, 25100, 26700
1402/01/21, 25550, 27400
1402/01/20, 26450, 27750
1402/01/19, 25600, 28650
1402/01/16, 26550, 28000
1402/01/15, 24550, 26750
1402/01/14, 23700, 25950
1402/01/09, 23950, 25500
1402/01/08, 24800, 26400
1402/01/07, 22500, 25500
1402/01/06, 23600, 24800
1402/01/05, 21850, 24400
1401/12/28, 21850, 23600
1401/12/27, 21800, 22300
1401/12/24, 20900, 21800
1401/12/23, 20800, 21100
1401/12/22, 20750, 21450
1401/12/21, 20500, 21300
1401/12/20, 21350, 22300
1401/12/16, 21300, 21950
1401/12/15, 20550, 21900
1401/12/14, 20600, 22000
1401/12/13, 20750, 22000
1401/12/10, 20500, 22850
1401/12/09, 21550, 22450
1401/12/08, 22000, 22850
1401/12/07, 22600, 24600
1401/12/06, 22250, 24050
1401/12/03, 22400, 23950
1401/12/02, 22800, 24700
1401/12/01, 21950, 23200
1401/11/30, 21550, 22300
1401/11/26, 21700, 22600
1401/11/25, 21350, 23250
1401/11/24, 21050, 22950
1401/11/23, 21700, 22400
1401/11/19, 21000, 22350
1401/11/18, 20950, 22350
1401/11/17, 21000, 22500
1401/11/16, 21050, 22400
1401/11/12, 21650, 22700
1401/11/11, 21650, 22800
1401/11/10, 20000, 21800
1401/11/09, 20950, 22950
1401/11/08, 21850, 23550
1401/11/05, 22350, 24450
1401/11/04, 23250, 25750
1401/11/03, 24150, 26200
1401/11/02, 24750, 26800
1401/11/01, 24600, 27500
1401/10/28, 25250, 26950
1401/10/27, 24650, 27400
1401/10/26, 25350, 25900
1401/10/24, 22500, 24800
1401/10/21, 22600, 24200
1401/10/20, 23300, 24900
1401/10/19, 23300, 25400
1401/10/18, 23600, 24550
1401/10/17, 22600, 23600
1401/10/14, 21300, 23450
1401/10/13, 21100, 23250
1401/10/12, 21500, 22650
1401/10/11, 20600, 21750
1401/10/10, 20250, 21650
1401/10/07, 20450, 22450
1401/10/05, 21000, 22900
1401/10/04, 21650, 23350
1401/10/03, 20950, 22000
1401/09/30, 20450, 21400
1401/09/29, 20100, 21800
1401/09/28, 21100, 22550
1401/09/27, 21450, 22500
1401/09/26, 20650, 21900
1401/09/23, 20010, 21290
1401/09/22, 19360, 20820
1401/09/21, 18710, 19940
1401/09/20, 18220, 19500
1401/09/19, 18870, 19900
1401/09/16, 18000, 18780
1401/09/15, 16410, 17710
1401/09/14, 16350, 16900
1401/09/13, 16460, 16900
1401/09/12, 15520, 16980
1401/09/09, 15600, 17150
1401/09/08, 16050, 16480
1401/09/05, 15750, 16750
1401/09/02, 15800, 16700
1401/09/01, 15740, 16920
1401/08/30, 16270, 17170
1401/08/29, 15670, 16900
1401/08/28, 15460, 16190
1401/08/25, 15470, 16470
1401/08/24, 15500, 16300
1401/08/23, 15710, 16760
1401/08/22, 15820, 16870
1401/08/21, 15610, 17290
1401/08/18, 16070, 16660
1401/08/17, 15320, 16010
1401/08/16, 14240, 15200
1401/08/15, 14000, 14470
1401/08/14, 14170, 14800
1401/08/11, 14020, 14690
1401/08/10, 14210, 15050
1401/08/09, 13930, 14590
1401/08/08, 13860, 14490
1401/08/07, 13530, 14600
1401/08/04, 13480, 14680
1401/08/03, 14090, 15130
1401/08/02, 14590, 14950
1401/08/01, 14910, 15600
1401/07/30, 14710, 15960
1401/07/27, 14650, 15600
1401/07/26, 14830, 15910
1401/07/25, 14850, 15200
1401/07/24, 14720, 15410
1401/07/23, 15010, 15700
1401/07/20, 15200, 16140
1401/07/19, 15570, 16370
1401/07/18, 15060, 15940
1401/07/17, 15560, 16700
1401/07/16, 16380, 17100
1401/07/12, 16630, 17010
1401/07/11, 16710, 17270
1401/07/10, 16860, 17290
1401/07/09, 16430, 17970
1401/07/06, 17190, 17720
1401/07/04, 16810, 17520
1401/07/02, 16610, 17830
1401/06/30, 17000, 17920
1401/06/29, 16640, 17500
1401/06/28, 16890, 17750
1401/06/27, 17550, 18480
1401/06/23, 18120, 18900
1401/06/22, 18400, 18960
1401/06/21, 17910, 18990
1401/06/20, 18740, 19300
1401/06/19, 19100, 20840
1401/06/16, 19480, 19480
1401/06/15, 16550, 19015
