date, min_price, max_price
1402/03/03, 16670, 17000
1402/03/02, 16730, 17000
1402/03/01, 16660, 16880
1402/02/31, 16510, 16600
1402/02/30, 16400, 16900
1402/02/27, 16220, 16760
1402/02/25, 16000, 16450
1402/02/24, 15520, 16250
1402/02/23, 15010, 16160
1402/02/20, 15830, 18000
1402/02/19, 16000, 16950
1402/02/18, 15900, 17110
1402/02/17, 17000, 18350
1402/02/16, 18160, 18560
1402/02/13, 17690, 18020
1402/02/12, 17430, 18330
1402/02/11, 17180, 17800
1402/02/10, 17260, 17440
1402/02/09, 17010, 17250
1402/02/06, 16600, 17020
1402/02/05, 16700, 17000
1402/02/04, 16530, 16710
1402/01/30, 16400, 16800
1402/01/29, 16050, 16730
1402/01/28, 15780, 16210
1402/01/27, 15520, 16010
1402/01/26, 15120, 15650
1402/01/22, 14600, 15010
1402/01/21, 14690, 15400
1402/01/20, 15050, 15300
1402/01/19, 14650, 15200
1402/01/16, 14300, 14580
1402/01/15, 13950, 14650
1402/01/14, 13950, 14250
1402/01/09, 14000, 14150
1402/01/08, 13840, 14000
1402/01/07, 13530, 13890
1402/01/06, 13540, 13880
1402/01/05, 13490, 13700
1401/12/28, 13450, 13650
1401/12/27, 12800, 13460
1401/12/24, 12390, 12800
1401/12/23, 12150, 12450
1401/12/22, 12110, 12290
1401/12/21, 12150, 12300
1401/12/20, 12420, 12700
1401/12/16, 12430, 12530
1401/12/15, 12200, 12400
1401/12/14, 12180, 12350
1401/12/13, 12090, 12240
1401/12/10, 12250, 12480
1401/12/09, 12470, 12710
1401/12/08, 12300, 12550
1401/12/07, 12490, 13100
1401/12/06, 12100, 12710
1401/12/03, 11800, 12090
1401/12/02, 11500, 12200
1401/12/01, 11170, 11670
1401/11/30, 10870, 11170
1401/11/26, 10860, 11150
1401/11/25, 11200, 11200
1401/11/24, 11110, 11280
1401/11/23, 11110, 11250
1401/11/19, 11200, 11350
1401/11/18, 11150, 11280
1401/11/17, 10800, 11100
1401/11/16, 10900, 11200
1401/11/12, 11130, 11440
1401/11/11, 11300, 11390
1401/11/10, 11100, 11400
1401/11/09, 11200, 11920
1401/11/08, 11810, 11860
1401/11/05, 11810, 12340
1401/11/04, 12340, 12450
1401/11/03, 12390, 12650
1401/11/02, 12240, 12620
1401/11/01, 12460, 12680
1401/10/28, 12640, 12880
1401/10/27, 12450, 12750
1401/10/26, 12500, 12720
1401/10/24, 12180, 12350
1401/10/21, 12170, 12330
1401/10/20, 12280, 12490
1401/10/19, 12140, 12340
1401/10/18, 12260, 12400
1401/10/17, 12140, 12290
1401/10/14, 11900, 12100
1401/10/13, 11900, 12200
1401/10/12, 11850, 12090
1401/10/11, 11550, 12070
1401/10/10, 11710, 12080
1401/10/07, 11840, 12350
1401/10/05, 11780, 11880
1401/10/04, 11700, 11920
1401/10/03, 11480, 11670
1401/09/30, 11330, 11480
1401/09/29, 11340, 11450
1401/09/28, 11400, 11400
1401/09/27, 11300, 11400
1401/09/26, 11180, 11260
1401/09/23, 11190, 11380
1401/09/22, 11000, 11270
1401/09/21, 10800, 10960
1401/09/20, 10730, 10950
1401/09/19, 10890, 10900
1401/09/16, 10900, 10900
1401/09/15, 10900, 10950
1401/09/14, 10800, 10890
1401/09/13, 10800, 10900
1401/09/12, 10880, 11000
1401/09/09, 10800, 11000
