date, min_price, max_price
1402/02/31, 89200, 97400
1402/02/30, 90400, 102000
1402/02/27, 93500, 97800
1402/02/25, 88200, 94250
1402/02/24, 82750, 88950
1402/02/23, 81600, 88300
1402/02/20, 83250, 92600
1402/02/19, 83600, 92000
1402/02/18, 89650, 92000
1402/02/17, 95450, 102600
1402/02/16, 99200, 106000
1402/02/13, 95350, 101700
1402/02/12, 90600, 96800
1402/02/11, 89100, 93250
1402/02/10, 90350, 97450
1402/02/09, 91000, 97300
1402/02/06, 87350, 94600
1402/02/05, 89650, 98950
1402/02/04, 95000, 101500
1402/01/30, 93800, 106000
1402/01/29, 94650, 101800
1402/01/28, 88100, 97900
1402/01/27, 89000, 96350
1402/01/26, 88150, 91800
1402/01/22, 79100, 87250
1402/01/21, 77450, 85000
1402/01/20, 75000, 80000
1402/01/19, 70300, 75350
1402/01/16, 68500, 71600
1402/01/15, 68700, 71750
1402/01/14, 69400, 71900
1402/01/09, 69650, 73350
1402/01/08, 73450, 76150
1402/01/07, 72300, 76950
1402/01/06, 69250, 75300
1402/01/05, 68650, 71850
1401/12/28, 68100, 71900
1401/12/27, 66800, 69650
1401/12/24, 66900, 69900
1401/12/23, 67000, 68600
1401/12/22, 67300, 69800
1401/12/21, 66950, 70750
1401/12/20, 66400, 70400
1401/12/16, 68250, 70850
1401/12/15, 68600, 72450
1401/12/14, 68050, 72500
1401/12/13, 65200, 71250
1401/12/10, 68150, 70900
1401/12/09, 64050, 67950
1401/12/08, 64250, 69000
1401/12/07, 64700, 71450
1401/12/06, 67850, 72150
1401/12/03, 64850, 69050
1401/12/02, 64000, 69950
1401/12/01, 61600, 67050
1401/11/30, 61500, 63700
1401/11/26, 60750, 61650
1401/11/25, 61650, 63500
1401/11/24, 63100, 66400
1401/11/23, 64700, 67800
1401/11/19, 64850, 69700
1401/11/18, 64600, 67900
1401/11/17, 64100, 67950
1401/11/16, 66200, 71450
1401/11/12, 66300, 73500
1401/11/11, 68700, 71500
1401/11/10, 66850, 71950
1401/11/09, 70700, 75950
1401/11/08, 74050, 77000
1401/11/05, 71250, 77450
1401/11/04, 68400, 75350
1401/11/03, 68450, 71850
1401/11/02, 64200, 68950
1401/11/01, 65150, 68000
1401/10/28, 63300, 70000
1401/10/27, 66200, 69400
1401/10/26, 63050, 66700
1401/10/24, 60150, 64600
1401/10/21, 58000, 62950
1401/10/20, 56500, 61450
1401/10/19, 55750, 58750
1401/10/18, 53550, 56850
1401/10/17, 50350, 53750
1401/10/14, 45250, 51100
1401/10/13, 47600, 49950
1401/10/12, 49450, 53850
1401/10/11, 49550, 52950
1401/10/10, 46950, 52800
1401/10/07, 47850, 50000
1401/10/05, 47100, 48950
1401/10/04, 45050, 48350
1401/10/03, 44100, 46450
1401/09/30, 43500, 44500
1401/09/29, 43750, 44850
1401/09/28, 43500, 45000
1401/09/27, 42650, 44900
1401/09/26, 43000, 44800
1401/09/23, 42500, 45250
1401/09/22, 42350, 44000
1401/09/21, 41650, 42650
1401/09/20, 40750, 41900
1401/09/19, 40050, 42000
1401/09/16, 40000, 40750
1401/09/15, 39450, 40500
1401/09/14, 39550, 40650
1401/09/13, 39350, 40450
1401/09/12, 39750, 40800
1401/09/09, 39900, 40750
1401/09/08, 39900, 40650
1401/09/07, 39600, 40800
1401/09/06, 39700, 40550
1401/09/05, 39000, 40150
1401/09/02, 39000, 40050
1401/09/01, 39000, 40100
1401/08/30, 39050, 40500
1401/08/29, 38500, 40450
1401/08/28, 38900, 40600
1401/08/25, 38700, 40500
1401/08/24, 39000, 39950
1401/08/23, 37800, 39450
1401/08/22, 38000, 38800
1401/08/21, 38150, 39300
1401/08/18, 37550, 40650
1401/08/17, 37400, 40000
1401/08/16, 36300, 38500
1401/08/15, 36200, 37050
1401/08/14, 36400, 37300
1401/08/11, 34250, 37400
1401/08/10, 34950, 36900
1401/08/09, 34900, 36450
1401/08/08, 34250, 36950
1401/08/07, 34000, 36950
1401/08/04, 34000, 36300
1401/08/03, 35150, 35850
1401/08/02, 35050, 36450
1401/08/01, 35050, 36700
1401/07/30, 34750, 37150
1401/07/27, 33900, 35200
1401/07/26, 33900, 35450
1401/07/25, 33700, 34450
1401/07/24, 33700, 34900
1401/07/23, 34000, 35300
1401/07/20, 34700, 35700
1401/07/19, 34800, 35900
1401/07/18, 34750, 35650
1401/07/17, 34650, 36000
1401/07/16, 35450, 36550
1401/07/12, 35700, 37050
1401/07/11, 35350, 37200
1401/07/10, 35150, 37150
1401/07/09, 35500, 37800
1401/07/06, 36350, 37950
1401/07/04, 36000, 37500
1401/07/02, 36400, 38550
1401/06/30, 37100, 38800
1401/06/29, 33900, 38400
1401/06/28, 35850, 37400
1401/06/27, 35600, 36900
1401/06/23, 36150, 37450
1401/06/22, 35500, 38050
1401/06/21, 36550, 38300
1401/06/20, 36650, 38250
1401/06/19, 35150, 37250
1401/06/16, 35050, 35400
1401/06/15, 34700, 35300
1401/06/14, 34700, 35300
1401/06/13, 34400, 35250
1401/06/12, 34250, 35350
1401/06/09, 34250, 35650
1401/06/08, 34050, 35200
1401/06/07, 33800, 34700
1401/06/06, 33750, 34200
1401/06/05, 33400, 34700
1401/06/02, 33450, 34350
1401/06/01, 33200, 35000
1401/05/31, 33150, 33950
1401/05/30, 33000, 34200
1401/05/29, 33000, 34100
1401/05/26, 33000, 33300
1401/05/25, 32800, 33450
1401/05/24, 33000, 34300
1401/05/23, 32900, 34500
1401/05/22, 33100, 35800
1401/05/19, 34000, 36000
1401/05/18, 34700, 36600
1401/05/15, 33200, 36450
1401/05/12, 33450, 35000
1401/05/11, 33100, 34650
1401/05/10, 32150, 34200
1401/05/09, 32650, 33850
1401/05/08, 33000, 34750
1401/05/05, 33600, 34600
1401/05/04, 32900, 34750
1401/05/03, 32650, 35200
1401/05/02, 33150, 35250
1401/05/01, 34050, 36250
1401/04/29, 34400, 35400
1401/04/28, 34000, 35300
1401/04/26, 34200, 37150
1401/04/25, 35050, 35050
1401/04/22, 31450, 33100
1401/04/21, 30500, 32050
1401/04/20, 30350, 31450
1401/04/18, 30500, 31250
1401/04/15, 30350, 31500
1401/04/14, 30200, 31700
1401/04/13, 30450, 31700
1401/04/12, 30400, 31350
1401/04/11, 30450, 31900
1401/04/08, 30400, 32300
1401/04/07, 30450, 31500
1401/04/06, 28350, 30350
1401/04/05, 28100, 29700
1401/04/04, 27550, 29250
1401/03/30, 31000, 32250
1401/03/29, 31400, 32400
1401/03/28, 31700, 33250
1401/03/25, 32100, 33200
1401/03/24, 31650, 33100
1401/03/23, 31700, 33650
1401/03/22, 32150, 34200
1401/03/21, 32400, 34250
1401/03/18, 32550, 33550
1401/03/17, 30450, 33150
1401/03/16, 30500, 33750
1401/03/11, 31950, 33500
1401/03/10, 31800, 33150
1401/03/09, 31200, 34000
1401/03/08, 32000, 34700
1401/03/07, 33800, 35850
1401/03/04, 35000, 37350
1401/03/03, 34800, 37450
1401/03/02, 34750, 36900
1401/03/01, 32400, 35550
1401/02/31, 32900, 34900
1401/02/28, 33000, 35300
1401/02/27, 33050, 35650
1401/02/26, 33700, 35750
1401/02/25, 32550, 35450
1401/02/24, 33300, 34450
1401/02/21, 32500, 32500
1401/02/20, 30100, 30750
1401/02/19, 27150, 29800
1401/02/18, 27900, 29000
1401/02/17, 28250, 29100
1401/02/12, 28100, 28800
1401/02/11, 28150, 29300
1401/02/10, 28850, 29900
1401/02/07, 26700, 28400
1401/02/06, 25900, 27150
1401/02/05, 24950, 26200
1401/02/04, 24500, 26300
1401/01/31, 25100, 26500
1401/01/30, 24350, 26300
1401/01/29, 24500, 26100
1401/01/28, 25450, 26200
1401/01/27, 24800, 26200
1401/01/24, 24050, 26050
1401/01/23, 24500, 26450
1401/01/22, 24800, 26550
1401/01/21, 25500, 25750
1401/01/20, 23000, 24800
1401/01/17, 22200, 23850
1401/01/16, 21300, 22800
1401/01/15, 21300, 22250
1401/01/14, 21850, 23050
1401/01/10, 21500, 22350
1401/01/09, 21100, 21300
1401/01/07, 20150, 20700
1401/01/06, 19950, 21000
1400/12/28, 20200, 21050
1400/12/25, 19850, 21050
1400/12/24, 19850, 20500
1400/12/23, 19600, 20300
1400/12/22, 20000, 20600
1400/12/21, 19850, 20800
1400/12/18, 20600, 21500
1400/12/17, 20850, 21900
1400/12/16, 20300, 22200
