date, min_price, max_price
1402/03/02, 24120, 25230
1402/03/01, 23700, 25000
1402/02/31, 23420, 25000
1402/02/30, 23500, 25670
1402/02/27, 22950, 24690
1402/02/25, 22700, 24000
1402/02/24, 22210, 24280
1402/02/23, 23220, 24000
1402/02/20, 24200, 26390
1402/02/19, 25090, 26410
1402/02/18, 26410, 26410
1402/02/17, 27560, 30100
1402/02/16, 27890, 29850
1402/02/13, 28000, 29360
1402/02/12, 27670, 28400
1402/02/11, 27100, 28590
1402/02/10, 27540, 28490
1402/02/09, 26580, 27800
1402/02/06, 26900, 27850
1402/02/05, 26760, 28860
1402/02/04, 26550, 27870
1402/01/30, 25950, 27360
1402/01/29, 25500, 27200
1402/01/28, 25710, 26880
1402/01/27, 25000, 25710
1402/01/26, 24350, 24490
1402/01/22, 22820, 23880
1402/01/21, 23560, 25300
1402/01/20, 24000, 25300
1402/01/19, 24200, 25300
1402/01/16, 23070, 24220
1402/01/15, 22500, 24120
1402/01/14, 22500, 23450
1402/01/09, 21810, 22800
1402/01/08, 21300, 22360
1402/01/07, 20270, 21700
1402/01/06, 20300, 21170
1402/01/05, 20560, 21400
1401/12/28, 20300, 21110
1401/12/27, 20800, 21390
1401/12/24, 19560, 20700
1401/12/23, 19320, 20290
1401/12/22, 19530, 20470
1401/12/21, 19880, 20620
1401/12/20, 20340, 20830
1401/12/16, 20580, 21310
1401/12/15, 20550, 21600
1401/12/14, 20250, 21790
1401/12/13, 20630, 21680
1401/12/10, 19880, 21690
1401/12/09, 20540, 21650
1401/12/08, 21020, 22600
1401/12/07, 21120, 21950
1401/12/06, 20060, 21070
1401/12/03, 19660, 20300
1401/12/02, 20310, 20770
1401/12/01, 19640, 20090
1401/11/30, 19000, 19900
1401/11/26, 19130, 19650
1401/11/25, 19220, 19900
1401/11/24, 19810, 20290
1401/11/23, 19600, 20590
1401/11/19, 20100, 20950
1401/11/18, 20280, 21220
1401/11/17, 20070, 20980
1401/11/16, 19930, 20990
1401/11/12, 20500, 21390
1401/11/11, 20460, 21210
1401/11/10, 18860, 20800
1401/11/09, 19850, 20100
1401/11/08, 20350, 21360
1401/11/05, 21320, 22160
1401/11/04, 21830, 23200
1401/11/03, 21300, 22820
1401/11/02, 20200, 22070
1401/11/01, 20590, 21500
1401/10/26, 20720, 21470
1401/10/24, 19300, 20850
1401/10/21, 19090, 20790
1401/10/20, 19510, 20290
1401/10/19, 19420, 20040
1401/10/18, 19120, 19780
1401/10/17, 18730, 19300
1401/10/14, 18330, 18950
1401/10/13, 18310, 19480
1401/10/12, 18510, 19640
1401/10/11, 19060, 19980
1401/10/10, 19400, 20720
