date, min_price, max_price
1402/03/03, 3592, 3790
1402/03/02, 3495, 3660
1402/03/01, 3317, 3556
1402/02/31, 3353, 3499
1402/02/30, 3333, 3600
1402/02/27, 3333, 3532
1402/02/25, 3300, 3510
1402/02/24, 3278, 3397
1402/02/23, 3232, 3386
1402/02/20, 3349, 3650
1402/02/19, 3505, 3630
1402/02/18, 3686, 3800
1402/02/17, 3866, 4000
1402/02/16, 3950, 4180
1402/02/13, 4040, 4192
1402/02/12, 4080, 4190
1402/02/11, 4035, 4351
1402/02/10, 4060, 4252
1402/02/09, 3850, 4098
1402/02/06, 3800, 3999
1402/02/05, 3717, 3899
1402/02/04, 3603, 3859
1402/01/30, 3659, 3840
1402/01/29, 3699, 3954
1402/01/28, 3550, 3820
1402/01/27, 3570, 3759
1402/01/26, 3520, 3594
1402/01/22, 3371, 3479
1402/01/21, 3380, 3620
1402/01/20, 3478, 3650
1402/01/19, 3405, 3592
1402/01/16, 3270, 3485
1402/01/15, 3269, 3495
1402/01/14, 3360, 3500
1402/01/09, 3450, 3573
1402/01/08, 3450, 3759
1402/01/07, 3398, 3659
1402/01/06, 3381, 3514
1402/01/05, 3210, 3367
1401/12/28, 3100, 3234
1401/12/27, 3000, 3123
1401/12/24, 2954, 3060
1401/12/23, 2930, 3029
1401/12/22, 2930, 3050
1401/12/21, 2940, 3052
1401/12/20, 3050, 3124
1401/12/16, 3005, 3127
1401/12/15, 2990, 3085
1401/12/10, 2946, 3088
1401/12/09, 2918, 3110
1401/12/08, 2995, 3110
1401/12/07, 3064, 3253
1401/12/06, 3040, 3166
1401/12/03, 2974, 3130
1401/12/02, 3038, 3200
1401/12/01, 2972, 3149
1401/11/30, 2950, 3060
1401/11/26, 2980, 3109
1401/11/25, 3011, 3160
1401/11/24, 3053, 3196
1401/11/23, 3000, 3120
1401/11/19, 2983, 3129
1401/11/18, 3006, 3144
1401/11/17, 2981, 3138
1401/11/16, 3060, 3160
1401/11/12, 2889, 3071
1401/11/11, 2834, 2991
1401/11/10, 2782, 3055
1401/11/09, 2903, 3170
1401/11/08, 2839, 3095
1401/11/05, 2933, 3085
1401/11/04, 3023, 3189
1401/11/03, 2990, 3201
1401/11/02, 3105, 3350
1401/11/01, 3110, 3404
1401/10/26, 3150, 3294
1401/10/24, 2895, 3199
1401/10/21, 2945, 3068
1401/10/20, 2816, 2945
1401/10/19, 2805, 2805
1401/10/18, 2672, 2672
1401/10/17, 2430, 2599
1401/10/14, 2476, 2476
1401/10/13, 2577, 2700
1401/10/12, 2661, 2800
1401/10/11, 2600, 2705
1401/10/10, 2400, 2619
1401/10/07, 2495, 2495
1401/10/05, 2377, 2377
