date, min_price, max_price
1402/02/31, 24450, 25450
1402/02/30, 24700, 26150
1402/02/27, 23900, 25450
1402/02/25, 23750, 25700
1402/02/24, 24000, 25800
1402/02/23, 25250, 25450
1402/02/20, 26200, 27700
1402/02/19, 27550, 27550
1402/02/18, 28000, 28000
1402/02/17, 29300, 30500
1402/02/16, 30100, 32000
1402/02/13, 30550, 32000
1402/02/12, 30500, 30500
1402/02/11, 28100, 29550
1402/02/10, 27000, 28850
1402/02/09, 26950, 28400
1402/02/06, 26900, 28400
1402/02/05, 27200, 28800
1402/02/04, 27800, 29100
1402/01/30, 28150, 29800
1402/01/29, 27750, 28600
1402/01/28, 26350, 27350
1402/01/27, 25550, 26450
1402/01/26, 24950, 25850
1402/01/22, 24000, 25050
1402/01/21, 24100, 25550
1402/01/20, 23600, 24850
1402/01/19, 23300, 24450
1402/01/16, 22850, 23800
1402/01/15, 22800, 24900
1402/01/14, 23200, 24400
1402/01/09, 23000, 24150
1402/01/08, 23000, 23950
1402/01/07, 23050, 23800
1402/01/05, 22550, 23100
1401/12/28, 22100, 23100
1401/12/27, 21750, 22500
1401/12/24, 21000, 21550
1401/12/23, 19700, 20850
1401/12/22, 19100, 20500
1401/12/21, 19450, 20650
1401/12/20, 20150, 20900
1401/12/16, 20200, 20700
1401/12/15, 19650, 20850
1401/12/14, 20000, 21000
1401/12/13, 20000, 21150
1401/12/10, 19820, 20720
1401/12/09, 18660, 19810
1401/12/08, 18200, 19490
1401/12/07, 18360, 19160
1401/12/06, 18000, 18250
1401/12/03, 17120, 17780
1401/12/02, 17850, 18440
1401/12/01, 16990, 17980
1401/11/30, 16600, 17880
1401/11/26, 16850, 17460
1401/11/25, 17230, 17580
1401/11/24, 17210, 17650
1401/11/23, 16850, 17420
1401/11/19, 17300, 17780
1401/11/18, 17060, 18000
1401/11/17, 16760, 17900
1401/11/16, 17200, 17980
1401/11/12, 17750, 18350
1401/11/11, 17550, 18950
1401/11/10, 18000, 18900
1401/11/09, 18600, 19700
1401/11/08, 19500, 20750
1401/11/05, 20100, 20100
1401/11/04, 20900, 21850
1401/11/03, 20750, 21850
1401/11/02, 20400, 21850
1401/11/01, 20700, 21850
1401/10/28, 20650, 21250
1401/10/27, 20900, 22650
1401/10/26, 21500, 22050
1401/10/24, 20250, 21500
1401/10/21, 20610, 21680
1401/10/20, 20310, 21690
1401/10/19, 20210, 21320
1401/10/18, 20000, 20460
1401/10/17, 19100, 19530
1401/10/14, 18220, 19000
1401/10/13, 18650, 19400
1401/10/12, 18400, 19280
1401/10/11, 18180, 19380
1401/10/10, 18630, 19770
1401/10/07, 19140, 19880
1401/10/05, 18900, 19470
1401/10/04, 18830, 19180
1401/10/03, 18700, 19150
1401/09/30, 18400, 18930
1401/09/29, 18370, 19090
1401/09/28, 18600, 19210
1401/09/27, 18580, 19500
1401/09/26, 18060, 18960
1401/09/23, 17800, 18400
1401/09/22, 17410, 18350
1401/09/21, 17220, 17850
1401/09/20, 17290, 17860
1401/09/19, 17360, 18250
1401/09/16, 17800, 18220
1401/09/15, 17750, 18190
1401/09/14, 17360, 18210
1401/09/13, 17500, 18000
1401/09/12, 17500, 18000
1401/09/09, 17960, 18290
1401/09/08, 17910, 18370
1401/09/07, 18110, 18800
1401/09/06, 17510, 18310
1401/09/05, 17110, 17680
1401/09/02, 17000, 17850
1401/09/01, 16780, 17820
1401/08/30, 16910, 17220
1401/08/29, 16440, 17280
1401/08/28, 16460, 17080
1401/08/25, 16230, 17050
1401/08/24, 16230, 17000
1401/08/23, 16400, 17270
1401/08/22, 17020, 18070
1401/08/21, 17510, 18200
1401/08/18, 17400, 18350
1401/08/17, 17750, 18620
1401/08/16, 17010, 18070
1401/08/15, 16990, 17500
1401/08/14, 16690, 17250
1401/08/11, 16580, 16920
1401/08/10, 16600, 17480
1401/08/09, 16230, 17650
1401/08/08, 16850, 16940
1401/08/07, 17250, 18440
1401/08/04, 17320, 18700
1401/08/03, 17870, 18890
1401/08/02, 18210, 19160
1401/08/01, 18690, 19220
1401/07/30, 18630, 19400
1401/07/27, 18110, 19070
1401/07/26, 17770, 18480
1401/07/25, 17510, 18200
1401/07/24, 17610, 18250
1401/07/23, 17500, 18370
1401/07/20, 17190, 17920
1401/07/19, 16160, 17130
1401/07/18, 15840, 16490
1401/07/17, 16080, 17040
1401/07/16, 16500, 17170
1401/07/12, 16720, 17200
1401/07/11, 16330, 17250
1401/07/10, 16140, 17350
1401/07/09, 16050, 16700
1401/07/06, 15270, 16010
1401/07/04, 15010, 15850
1401/07/02, 15570, 16470
1401/06/30, 15720, 16740
1401/06/29, 16240, 16890
1401/06/28, 16450, 16940
1401/06/27, 16440, 17310
1401/06/23, 16690, 17670
1401/06/22, 16330, 17130
1401/06/21, 16050, 16970
1401/06/20, 16500, 17380
1401/06/19, 17200, 18030
1401/06/16, 17530, 18370
1401/06/15, 17900, 18390
1401/06/14, 17890, 18540
1401/06/13, 17840, 18400
1401/06/12, 17820, 18490
1401/06/09, 17500, 18510
1401/06/08, 17500, 18000
1401/06/07, 17500, 18240
1401/06/06, 17500, 18490
1401/06/05, 17660, 18750
1401/06/02, 18050, 18610
1401/06/01, 17450, 18110
1401/05/31, 17020, 17760
1401/05/30, 17040, 18150
1401/05/29, 17700, 18350
1401/05/26, 17810, 18390
1401/05/25, 17200, 17960
1401/05/24, 17110, 17990
1401/05/23, 17010, 18400
