date, min_price, max_price
1402/02/30, 13060, 13950
1402/02/27, 13550, 14180
1402/02/25, 12600, 13480
1402/02/20, 11070, 12210
1402/02/19, 10470, 11600
1402/02/18, 10830, 11410
1402/02/17, 11640, 11640
1402/02/16, 12200, 13470
1402/02/13, 12510, 12890
1402/02/12, 11550, 12090
1402/02/11, 11020, 11680
1402/02/10, 10650, 11290
1402/02/09, 10700, 11620
1402/02/06, 10850, 11420
1402/02/05, 10470, 10680
1402/02/04, 9570, 10550
1402/01/30, 9830, 10800
1402/01/29, 10130, 10310
1402/01/28, 9110, 9850
1402/01/27, 9020, 9760
1402/01/26, 9220, 9680
1402/01/22, 8560, 9150
1402/01/21, 8150, 8650
1402/01/20, 7800, 8260
1402/01/19, 7750, 8290
1402/01/16, 7350, 7990
1402/01/15, 7400, 7960
1402/01/14, 7620, 7980
1402/01/09, 7960, 8290
1402/01/08, 7410, 8010
1402/01/07, 7300, 7660
1402/01/06, 7340, 7980
1402/01/05, 7600, 7920
1401/12/28, 7060, 7510
1401/12/27, 6930, 7180
1401/12/24, 6900, 7170
1401/12/23, 6820, 7070
1401/12/22, 6860, 7090
1401/12/21, 6760, 7100
1401/12/20, 6920, 7180
1401/12/16, 6760, 7100
1401/12/15, 6800, 7150
1401/12/14, 7110, 7480
1401/12/13, 6580, 7170
1401/12/10, 6590, 6820
1401/12/09, 6620, 6890
1401/12/08, 6620, 6970
1401/12/07, 6610, 7190
1401/12/06, 6780, 7130
1401/12/03, 6610, 6870
1401/12/02, 6730, 7130
1401/12/01, 6830, 7180
1401/11/30, 6500, 6940
1401/11/26, 6500, 7000
1401/11/25, 6700, 7280
1401/11/24, 6740, 7420
1401/11/23, 6740, 7100
1401/11/19, 6760, 7070
1401/11/18, 6700, 7100
1401/11/17, 6180, 6930
1401/11/16, 6470, 6840
1401/11/12, 6790, 7150
1401/11/11, 7020, 7430
1401/11/10, 7100, 7100
1401/11/09, 6200, 6800
1401/11/08, 6010, 6680
1401/11/05, 6200, 6750
1401/11/04, 6540, 7230
1401/11/03, 6700, 7380
1401/11/02, 6710, 7130
1401/11/01, 6670, 6670
1401/10/28, 6240, 6240
1401/10/27, 5940, 5940
1401/10/26, 5400, 5570
1401/10/24, 4930, 5390
1401/10/21, 4951, 5260
1401/10/20, 4892, 5150
1401/10/19, 4980, 5177
