date, min_price, max_price
1402/03/03, 38400, 41090
1402/03/02, 39220, 41050
1402/03/01, 37710, 38500
1402/02/23, 38350, 39900
1402/02/20, 40100, 44850
1402/02/19, 41300, 45000
1402/02/18, 44340, 46990
1402/02/17, 47120, 52440
1402/02/16, 49720, 53800
1402/02/13, 51100, 53650
1402/02/12, 50800, 52000
1402/02/11, 50620, 57000
1402/02/10, 51600, 54570
1402/02/04, 48510, 51270
1402/01/30, 47290, 49100
1402/01/29, 47100, 50860
1402/01/28, 45500, 50000
1402/01/27, 45600, 47170
1402/01/26, 42500, 44140
1402/01/22, 38160, 41740
1402/01/21, 38160, 40480
1402/01/20, 38720, 40800
1402/01/19, 37980, 39690
1402/01/16, 35200, 37990
1402/01/15, 34830, 36430
1402/01/14, 34750, 36020
1402/01/09, 35430, 37400
1402/01/08, 33860, 35980
1402/01/07, 33550, 34700
1402/01/06, 33700, 34490
1402/01/05, 34210, 36510
1401/12/28, 33790, 38340
1401/12/27, 34120, 36240
1401/12/24, 32120, 34700
1401/12/23, 32000, 33280
1401/12/22, 31080, 33100
1401/12/21, 30500, 32400
1401/12/20, 31560, 32960
1401/12/16, 31000, 32300
1401/12/15, 30600, 31920
1401/12/14, 31100, 32910
1401/12/13, 31110, 32530
1401/12/10, 32400, 34100
1401/12/09, 32520, 34400
1401/12/08, 32820, 34160
1401/12/07, 33610, 37060
1401/12/06, 33300, 36370
1401/12/03, 33200, 34490
1401/12/02, 33200, 35060
1401/12/01, 30170, 32980
1401/11/30, 30020, 31470
1401/11/26, 30060, 32900
1401/11/25, 30620, 33010
1401/11/24, 30500, 32200
1401/11/23, 30400, 32550
1401/11/19, 31010, 32500
1401/11/18, 31500, 33000
1401/11/17, 30120, 32950
1401/11/16, 31380, 32650
1401/11/12, 31400, 33000
1401/11/11, 31600, 33290
1401/11/10, 29920, 32220
1401/11/09, 29870, 31700
1401/11/08, 31640, 34490
1401/11/05, 33760, 36100
1401/11/04, 35000, 37380
1401/11/02, 35170, 36190
1401/11/01, 33830, 33830
1401/10/28, 30550, 32330
1401/10/27, 31040, 33600
1401/10/26, 30100, 31910
1401/10/24, 27880, 30700
1401/10/21, 28020, 29850
1401/10/20, 28200, 29840
1401/10/19, 26180, 28990
1401/10/18, 27630, 29290
1401/10/17, 25820, 27470
1401/10/14, 25160, 26350
1401/10/13, 25140, 27460
1401/10/12, 24400, 26000
1401/10/11, 23660, 25000
1401/10/10, 23520, 25000
1401/10/07, 24480, 25970
1401/10/05, 23930, 24690
1401/10/04, 23360, 25790
1401/10/03, 23500, 24710
1401/09/30, 22430, 23500
1401/09/29, 22190, 22620
1401/09/28, 22000, 22640
1401/09/27, 22170, 22660
1401/09/26, 21540, 22390
1401/09/23, 21780, 22500
1401/09/22, 21210, 22590
1401/09/21, 21130, 22250
1401/09/20, 21100, 21700
1401/09/19, 20500, 22100
1401/09/16, 21570, 22110
1401/09/15, 21730, 22270
1401/09/14, 21660, 22360
1401/09/13, 21800, 22350
1401/09/12, 22110, 22950
1401/09/09, 22420, 23290
1401/09/08, 22500, 23280
1401/09/07, 22650, 23300
1401/09/06, 22300, 23160
1401/09/05, 22270, 23360
1401/09/02, 21610, 22670
1401/09/01, 21900, 22990
1401/08/30, 21520, 22700
1401/08/29, 21620, 22670
1401/08/28, 21300, 22990
1401/08/25, 21000, 22420
1401/08/24, 20870, 21340
1401/08/23, 20630, 21140
1401/08/22, 20320, 21300
1401/08/21, 20300, 21100
1401/08/18, 19810, 20860
1401/08/17, 20100, 21350
1401/08/16, 19200, 20410
1401/08/15, 18620, 19450
1401/08/14, 18800, 19470
1401/08/11, 18350, 18910
1401/08/10, 18010, 19340
1401/08/09, 18720, 19000
1401/08/08, 18310, 19140
1401/08/07, 18000, 19300
1401/08/04, 17320, 18130
1401/08/03, 18260, 19000
1401/08/02, 18480, 19370
1401/08/01, 19350, 19800
1401/07/30, 20040, 20980
1401/07/27, 20430, 21000
1401/07/26, 20430, 21330
1401/07/25, 20310, 21070
1401/07/24, 20500, 21070
1401/07/23, 20210, 21070
1401/07/20, 20650, 21350
1401/07/19, 20620, 21400
1401/07/18, 20660, 21220
1401/07/17, 20600, 21210
1401/07/16, 20820, 21490
1401/07/12, 20300, 21500
1401/07/11, 20300, 21970
1401/07/10, 21000, 21990
1401/07/09, 21000, 22030
1401/07/06, 22200, 23400
1401/07/04, 21000, 22650
1401/07/02, 21110, 22390
1401/06/30, 22230, 22520
1401/06/29, 22230, 22840
1401/06/28, 22240, 23150
1401/06/27, 22080, 22990
1401/06/23, 22650, 23960
1401/06/22, 22700, 23690
1401/06/21, 22710, 23300
1401/06/20, 22600, 23700
1401/06/19, 22600, 24530
1401/06/16, 23840, 24750
