date, min_price, max_price
1402/04/14, 1384, 1445
1402/04/13, 1403, 1455
1402/04/12, 1332, 1397
1402/04/11, 1300, 1362
1402/04/10, 1295, 1369
1402/04/07, 1330, 1400
1402/04/06, 1354, 1426
1402/04/05, 1381, 1435
1402/04/04, 1393, 1455
1402/04/03, 1400, 1468
1402/03/31, 1383, 1456
1402/03/30, 1344, 1419
1402/03/29, 1373, 1444
1402/03/28, 1389, 1460
1402/03/27, 1423, 1517
1402/03/24, 1464, 1503
1402/03/23, 1403, 1442
1402/03/22, 1292, 1399
1402/03/21, 1326, 1362
1402/03/20, 1393, 1429
1402/03/17, 1432, 1497
1402/03/16, 1449, 1507
1402/03/13, 1420, 1499
1402/03/10, 1472, 1550
1402/03/09, 1527, 1627
1402/03/08, 1560, 1669
1402/03/03, 1551, 1677
1402/03/02, 1564, 1619
1402/03/01, 1502, 1577
1402/02/31, 1483, 1550
1402/02/30, 1509, 1585
1402/02/27, 1442, 1535
1402/02/25, 1400, 1520
1402/02/24, 1432, 1535
1402/02/23, 1507, 1507
1402/02/20, 1570, 1652
1402/02/19, 1652, 1652
1402/02/18, 1738, 1738
1402/02/17, 1823, 1877
1402/02/16, 1810, 1961
1402/02/13, 1800, 1876
1402/02/12, 1787, 1787
1402/02/11, 1702, 1702
1402/02/10, 1621, 1621
1402/02/09, 1535, 1544
1402/02/06, 1370, 1477
1402/02/05, 1375, 1410
1402/02/04, 1302, 1368
1402/01/30, 1272, 1306
1402/01/29, 1244, 1244
1402/01/28, 1123, 1198
1402/01/27, 1121, 1165
1402/01/26, 1125, 1151
1402/01/22, 1063, 1123
1402/01/21, 1096, 1171
1402/01/20, 1121, 1189
1402/01/19, 1120, 1160
1402/01/16, 1045, 1132
1402/01/15, 1054, 1159
1402/01/14, 1061, 1115
1402/01/09, 1040, 1064
1402/01/08, 992, 1015
1402/01/07, 921, 974
1402/01/06, 900, 960
1402/01/05, 933, 933
1401/12/28, 889, 889
1401/12/23, 802, 854
1401/12/22, 802, 831
1401/12/21, 818, 850
1401/12/20, 841, 879
1401/12/16, 827, 849
1401/12/15, 807, 842
1401/12/14, 818, 845
1401/12/13, 795, 835
1401/12/10, 822, 870
1401/12/09, 855, 888
1401/12/08, 866, 891
1401/12/07, 855, 893
1401/12/06, 851, 851
1401/12/03, 791, 839
1401/12/02, 805, 834
1401/12/01, 760, 801
1401/11/30, 753, 780
1401/11/26, 761, 799
1401/11/25, 749, 789
1401/11/24, 767, 800
1401/11/23, 782, 832
1401/11/19, 807, 859
1401/11/18, 828, 856
1401/11/17, 822, 858
1401/11/16, 822, 867
1401/11/12, 845, 896
1401/11/11, 868, 898
1401/11/10, 830, 888
1401/11/09, 857, 936
1401/11/08, 854, 913
1401/11/05, 836, 888
1401/11/04, 828, 868
1401/11/03, 836, 900
1401/11/02, 838, 900
1401/11/01, 869, 930
1401/10/28, 904, 945
1401/10/27, 940, 982
1401/10/26, 973, 1008
1401/10/24, 937, 961
1401/10/21, 880, 948
1401/10/20, 890, 924
1401/10/19, 862, 882
1401/10/18, 840, 840
1401/10/17, 795, 800
1401/10/14, 715, 771
1401/10/13, 708, 740
1401/10/12, 689, 715
1401/10/11, 673, 717
1401/10/10, 683, 710
1401/10/07, 688, 720
1401/10/05, 678, 694
1401/10/04, 681, 710
1401/10/03, 682, 709
1401/09/30, 668, 688
1401/09/29, 656, 677
1401/09/28, 665, 693
1401/09/27, 663, 680
1401/09/26, 622, 658
1401/09/23, 617, 639
1401/09/22, 625, 646
1401/09/21, 611, 629
1401/09/20, 585, 620
1401/09/19, 585, 612
1401/09/16, 597, 608
1401/09/15, 597, 607
1401/09/14, 596, 608
1401/09/13, 603, 619
1401/09/12, 605, 627
1401/09/09, 614, 630
1401/09/08, 612, 627
1401/09/07, 613, 627
1401/09/06, 620, 634
1401/09/05, 624, 639
1401/09/02, 620, 638
1401/09/01, 615, 628
1401/08/30, 627, 646
1401/08/29, 620, 644
1401/08/28, 609, 650
1401/08/25, 632, 649
1401/08/24, 635, 650
1401/08/23, 635, 664
1401/08/22, 641, 662
1401/08/21, 634, 665
1401/08/18, 625, 654
1401/08/17, 631, 666
1401/08/16, 635, 635
1401/08/15, 595, 616
1401/08/14, 583, 608
1401/08/11, 576, 598
1401/08/10, 583, 600
1401/08/09, 579, 594
1401/08/08, 568, 593
1401/08/07, 568, 598
1401/08/04, 589, 601
1401/08/03, 605, 639
1401/08/02, 615, 650
1401/08/01, 631, 660
1401/07/30, 632, 653
1401/07/27, 625, 649
1401/07/26, 605, 635
1401/07/25, 594, 615
1401/07/24, 597, 620
1401/07/23, 600, 618
1401/07/20, 589, 608
1401/07/19, 583, 598
1401/07/18, 570, 590
1401/07/17, 570, 600
