date, min_price, max_price
1402/03/03, 15960, 16890
1402/03/02, 16340, 17070
1402/03/01, 15750, 16320
1402/02/31, 15010, 16000
1402/02/30, 15300, 16500
1402/02/27, 15210, 16120
1402/02/25, 14660, 15950
1402/02/24, 14920, 16050
1402/02/23, 15700, 15700
1402/02/20, 16200, 17250
1402/02/19, 17050, 17050
1402/02/18, 17920, 17920
1402/02/17, 18720, 19690
1402/02/16, 19260, 20190
1402/02/13, 19000, 20400
1402/02/12, 19240, 19990
1402/02/11, 18630, 19140
1402/02/10, 17550, 18750
1402/02/09, 17600, 18740
1402/02/06, 17800, 18900
1402/02/05, 18210, 19150
1402/02/04, 17500, 18650
1402/01/30, 17240, 18280
1402/01/29, 17500, 18510
1402/01/28, 17100, 17700
1402/01/27, 16420, 16980
1402/01/26, 15810, 16210
1402/01/22, 15010, 15700
1402/01/21, 15080, 16400
1402/01/20, 15270, 16150
1402/01/19, 15270, 15730
1402/01/16, 14250, 15080
1402/01/15, 14030, 14630
1402/01/14, 13740, 14630
1402/01/09, 14020, 14580
1402/01/08, 13890, 13890
1402/01/07, 13230, 13230
1402/01/06, 12600, 12600
1402/01/05, 12000, 12000
1401/12/23, 11820, 12300
1401/12/22, 12150, 12530
1401/12/21, 12280, 12800
1401/12/20, 12680, 13200
1401/12/16, 12800, 13170
1401/12/15, 12410, 13020
1401/12/14, 12300, 12690
1401/12/13, 12280, 12580
1401/12/10, 12330, 13050
1401/12/09, 12650, 13140
1401/12/08, 12650, 13240
1401/12/07, 12610, 13280
1401/12/06, 12340, 12700
1401/12/03, 11850, 12400
1401/12/02, 11950, 12840
1401/12/01, 11970, 12510
1401/11/30, 11780, 12100
1401/11/26, 11050, 11940
1401/11/25, 11460, 11900
1401/11/24, 11810, 12240
1401/11/17, 11630, 11910
1401/11/16, 12040, 12790
1401/11/12, 12350, 12980
1401/11/11, 12210, 13030
1401/11/10, 12450, 12870
1401/11/09, 13070, 13450
1401/11/08, 13720, 14420
1401/11/05, 14190, 15600
1401/11/04, 14650, 15380
1401/11/03, 14480, 15660
1401/11/02, 14770, 15700
1401/11/01, 15310, 16490
1401/10/28, 15710, 16500
1401/10/27, 15890, 16720
1401/10/26, 16370, 17080
1401/10/24, 15750, 16390
1401/10/21, 15130, 15720
1401/10/20, 14550, 15900
1401/10/19, 14770, 15440
1401/10/18, 14560, 14720
1401/10/17, 13420, 14050
1401/10/14, 13150, 13660
1401/10/13, 13400, 13990
1401/10/12, 13630, 14180
1401/10/11, 13330, 14070
1401/10/10, 13480, 14000
1401/10/07, 13650, 14590
1401/10/05, 13660, 14270
1401/10/04, 13850, 14490
1401/10/03, 13650, 14320
1401/09/30, 13680, 14490
1401/09/29, 13600, 13940
1401/09/28, 12670, 13700
1401/09/27, 12860, 13390
1401/09/26, 12760, 13070
1401/09/23, 12050, 12700
1401/09/22, 11840, 12300
1401/09/21, 11800, 12200
1401/09/20, 11790, 12200
1401/09/19, 11910, 12490
1401/09/16, 11860, 12550
1401/09/15, 11860, 12320
1401/09/14, 12000, 12410
1401/09/13, 12130, 12510
1401/09/12, 12350, 12970
1401/09/09, 12610, 13220
1401/09/08, 12280, 12850
1401/09/07, 12170, 12450
1401/09/06, 12060, 12470
1401/09/05, 12070, 12360
1401/09/02, 12050, 12490
1401/09/01, 11970, 12540
1401/08/30, 12300, 12990
1401/08/29, 12700, 13400
1401/08/28, 12600, 13210
1401/08/25, 12200, 12900
1401/08/24, 12240, 12680
1401/08/23, 12250, 12960
1401/08/22, 12310, 12820
1401/08/21, 12270, 12850
1401/08/18, 12110, 12980
1401/08/17, 12310, 13030
1401/08/16, 12200, 12890
1401/08/15, 11760, 12780
1401/08/14, 11880, 12400
1401/08/11, 11410, 12220
1401/08/10, 11580, 12080
1401/08/09, 10700, 11580
1401/08/08, 11030, 11030
1401/08/07, 11260, 12440
1401/08/04, 11800, 12220
1401/08/03, 12000, 12770
1401/08/02, 12350, 12800
1401/08/01, 12290, 12860
1401/07/30, 12530, 13340
1401/07/27, 12780, 13300
1401/07/26, 12860, 14150
1401/07/25, 13140, 13580
1401/07/24, 12490, 12990
1401/07/23, 11890, 12440
1401/07/20, 11680, 12250
1401/07/19, 12050, 12680
1401/07/18, 12190, 12760
1401/07/17, 11740, 12310
1401/07/16, 11730, 11730
1401/07/12, 10530, 11260
1401/07/11, 10470, 11190
1401/07/10, 10300, 10970
1401/07/09, 10450, 11000
1401/07/06, 10620, 11070
1401/07/04, 10470, 11000
1401/07/02, 10980, 11370
1401/06/30, 11480, 12000
1401/06/29, 11840, 12500
1401/06/28, 12270, 12710
1401/06/27, 12330, 12860
1401/06/23, 12400, 12940
1401/06/22, 12520, 13000
1401/06/21, 12600, 13020
1401/06/20, 12460, 13360
1401/06/19, 12790, 13250
1401/06/16, 12200, 12980
1401/06/15, 12250, 12640
1401/06/14, 12250, 12710
1401/06/13, 12330, 12880
1401/06/12, 12560, 12920
1401/06/09, 12620, 13100
1401/06/08, 12500, 13070
1401/06/07, 12590, 12970
1401/06/06, 12450, 13090
1401/06/05, 12900, 13370
1401/06/02, 12800, 13430
1401/06/01, 12200, 13160
1401/05/31, 12390, 12890
1401/05/30, 12510, 13050
1401/05/29, 12250, 13150
1401/05/26, 12400, 12870
1401/05/25, 11800, 12500
1401/05/24, 11600, 12280
1401/05/23, 11750, 12360
1401/05/22, 12090, 12600
1401/05/19, 11910, 12270
1401/05/18, 12150, 12890
1401/05/15, 12250, 12540
1401/05/12, 11460, 12350
1401/05/11, 11670, 12400
1401/05/10, 12000, 12710
1401/05/09, 12460, 13090
1401/05/08, 12800, 13500
1401/05/05, 13010, 13700
1401/05/04, 12810, 13780
1401/05/03, 13170, 14070
1401/05/02, 13530, 14170
1401/05/01, 13960, 14450
1401/04/29, 13730, 14250
1401/04/28, 13730, 14500
1401/04/26, 14020, 14760
1401/04/25, 14480, 14580
1401/04/22, 13540, 14100
1401/04/21, 13410, 14290
1401/04/20, 13550, 14420
1401/04/18, 13950, 14790
1401/04/15, 14160, 14690
1401/04/14, 14280, 14930
1401/04/13, 14340, 14970
1401/04/12, 13860, 14540
1401/04/11, 13680, 14680
1401/04/08, 14120, 14970
1401/04/07, 13930, 14840
1401/04/06, 13910, 14920
1401/04/05, 14190, 15290
1401/04/04, 14240, 14870
1401/04/01, 14020, 14800
1401/03/31, 14580, 15500
1401/03/30, 15030, 15950
1401/03/29, 15350, 15900
1401/03/28, 15170, 15950
1401/03/25, 15590, 16600
1401/03/24, 16070, 16980
1401/03/23, 16300, 17450
1401/03/22, 16620, 17150
1401/03/21, 17040, 17800
1401/03/18, 16020, 17500
1401/03/17, 16680, 17110
1401/03/16, 17250, 18750
1401/03/11, 17700, 18180
1401/03/10, 17150, 17800
1401/03/09, 17630, 18990
1401/03/08, 18520, 19200
1401/03/07, 19400, 20190
1401/03/04, 19750, 21290
1401/03/03, 20210, 21450
1401/03/02, 20250, 21740
1401/03/01, 20210, 21360
1401/02/31, 20750, 22500
1401/02/28, 21270, 22090
1401/02/27, 20410, 21280
1401/02/26, 20000, 20280
1401/02/25, 18980, 20080
1401/02/24, 19510, 20080
1401/02/21, 18800, 19190
1401/02/20, 17100, 18450
1401/02/19, 17090, 18200
1401/02/18, 17680, 18450
1401/02/17, 18230, 18960
1401/02/12, 17400, 18390
1401/02/11, 17410, 18250
1401/02/10, 17550, 18670
1401/02/07, 17350, 18330
1401/02/06, 17120, 17940
1401/02/05, 17500, 18510
1401/02/04, 17410, 18200
1401/01/31, 16310, 17850
1401/01/30, 16510, 17650
1401/01/29, 16970, 16970
1401/01/28, 16170, 16170
1401/01/27, 15400, 15400
1401/01/24, 14400, 14700
1401/01/23, 13330, 14050
1401/01/16, 13800, 14330
1401/01/15, 13310, 14260
1401/01/14, 13760, 14380
1401/01/10, 13650, 14430
1401/01/09, 14100, 14720
1401/01/08, 13660, 14040
1401/01/07, 13130, 13660
1401/01/06, 13170, 13850
1400/12/28, 13200, 13870
1400/12/25, 13410, 13940
1400/12/24, 12810, 13740
1400/12/23, 12830, 13900
1400/12/22, 13130, 13720
1400/12/21, 13550, 14230
1400/12/18, 14000, 14660
1400/12/17, 14370, 15090
1400/12/16, 14520, 15650
1400/12/15, 14520, 15620
1400/12/14, 14870, 15660
1400/12/11, 13940, 15400
1400/12/09, 14200, 15000
1400/12/08, 14420, 15350
1400/12/07, 13710, 14900
1400/12/04, 13830, 14650
1400/12/03, 14220, 15040
1400/12/02, 14600, 15190
1400/12/01, 13260, 14550
1400/11/30, 13320, 14250
1400/11/27, 13150, 13770
1400/11/25, 12980, 13440
1400/11/24, 13520, 14410
1400/11/23, 14220, 14540
1400/11/20, 14440, 15840
1400/11/19, 14600, 15330
1400/11/18, 13710, 14660
1400/11/17, 13480, 14380
1400/11/16, 13610, 14370
1400/11/13, 13680, 14570
1400/11/12, 13570, 14000
1400/11/11, 12440, 13600
1400/11/10, 12550, 13490
1400/11/09, 12200, 13080
1400/11/06, 12300, 13290
1400/11/05, 12840, 13570
1400/11/04, 13030, 14000
1400/11/03, 12980, 13900
1400/11/02, 13220, 14420
1400/10/29, 13610, 14500
1400/10/28, 14190, 15130
1400/10/27, 14830, 15490
1400/10/26, 15560, 16400
1400/10/25, 16200, 17060
1400/10/22, 16400, 17300
1400/10/21, 16440, 17270
1400/10/20, 16390, 17650
1400/10/19, 16600, 17800
1400/10/18, 16600, 18070
1400/10/15, 17290, 18270
1400/10/14, 18120, 19010
1400/10/13, 18250, 19200
1400/10/12, 18260, 18900
1400/10/11, 19170, 19690
1400/10/08, 18910, 20710
1400/10/07, 19100, 19830
1400/10/06, 18360, 18900
1400/10/05, 17110, 18350
1400/10/04, 17000, 17680
1400/10/01, 16350, 16850
1400/09/30, 15580, 16830
1400/09/29, 16350, 17000
1400/09/28, 16610, 17540
1400/09/27, 16380, 17280
1400/09/24, 17160, 17900
1400/09/23, 17510, 17510
1400/09/22, 18070, 18990
1400/09/21, 19000, 19900
1400/09/20, 19860, 21280
1400/09/17, 20480, 21330
1400/09/16, 20690, 21690
1400/09/15, 21000, 22490
1400/09/14, 20850, 22300
1400/09/13, 20850, 22620
1400/09/10, 21630, 21630
1400/09/09, 18750, 20710
1400/09/08, 19220, 20850
1400/09/07, 20140, 21360
1400/09/06, 20260, 21900
1400/09/03, 19350, 21060
1400/09/02, 19620, 20900
1400/09/01, 20000, 21000
1400/08/30, 20460, 21490
1400/08/29, 20700, 21710
1400/08/26, 19600, 21390
1400/08/25, 20350, 20990
1400/08/24, 21260, 22360
1400/08/23, 21520, 23750
1400/08/22, 22470, 23700
1400/08/19, 23000, 23900
1400/08/18, 22710, 23290
1400/08/17, 23820, 24510
1400/08/16, 25050, 25710
1400/08/15, 25590, 26610
1400/08/12, 24750, 25380
1400/08/11, 23680, 25300
1400/08/10, 24370, 26470
1400/08/09, 24730, 24730
1400/08/08, 25660, 27010
1400/08/05, 26760, 27750
1400/08/04, 27470, 27470
1400/08/03, 28420, 28420
1400/08/01, 29870, 31500
1400/07/28, 31280, 33250
1400/07/27, 31850, 34000
1400/07/26, 32560, 34300
1400/07/25, 33120, 35350
1400/07/24, 32840, 33910
1400/07/21, 30810, 33450
1400/07/20, 30800, 32970
1400/07/19, 30100, 31560
1400/07/18, 29850, 32000
1400/07/17, 31000, 32490
1400/07/14, 31250, 33690
1400/07/12, 31300, 32220
1400/07/11, 29410, 30880
1400/07/10, 27500, 29570
1400/07/07, 27400, 28280
1400/07/06, 26170, 27980
1400/07/04, 26590, 28690
1400/07/03, 27000, 27520
1400/06/31, 26120, 26900
1400/06/30, 27390, 28450
1400/06/29, 28210, 29380
1400/06/28, 27110, 29490
1400/06/27, 27890, 30290
1400/06/24, 28580, 31000
1400/06/23, 29010, 30270
1400/06/22, 27740, 29120
1400/06/21, 26140, 28260
1400/06/20, 26530, 26950
1400/06/17, 24500, 25780
1400/06/16, 24150, 25590
1400/06/15, 25240, 27450
1400/06/14, 25800, 26940
1400/06/13, 24400, 26290
1400/06/10, 24570, 25070
1400/06/09, 22100, 24270
1400/06/08, 22920, 24080
1400/06/07, 22100, 24400
1400/06/06, 22500, 23870
1400/06/03, 21830, 22830
1400/06/02, 20850, 21820
1400/06/01, 19410, 21280
1400/05/31, 19710, 20580
1400/05/24, 18300, 19750
1400/05/23, 18630, 19550
1400/05/20, 19190, 20390
1400/05/19, 19010, 19580
1400/05/18, 17960, 19200
1400/05/17, 18300, 19390
1400/05/16, 18660, 19360
1400/05/13, 17760, 19500
1400/05/12, 18010, 18800
1400/05/11, 17500, 18010
1400/05/10, 16700, 17280
1400/05/09, 16390, 17000
1400/05/06, 16220, 17650
1400/05/05, 16550, 17420
1400/05/04, 17270, 18400
1400/04/28, 17890, 18490
1400/04/27, 17300, 18070
1400/04/26, 16900, 17970
1400/04/23, 16920, 18500
1400/04/22, 17030, 17880
1400/04/21, 16500, 17090
1400/04/20, 15750, 16320
1400/04/19, 14880, 15920
1400/04/16, 14720, 15550
1400/04/15, 14700, 15470
1400/04/14, 14870, 15550
1400/04/13, 13650, 14990
1400/04/12, 13720, 15090
1400/04/09, 13910, 14520
1400/04/08, 13240, 13900
1400/04/07, 12300, 13310
1400/04/06, 12540, 13200
1400/04/05, 12650, 13270
1400/04/02, 12500, 12650
1400/04/01, 11220, 12390
1400/03/31, 15550, 15550
1400/03/30, 15580, 15580
1400/03/29, 15600, 15600
1400/03/26, 15630, 15630
1400/03/25, 15770, 15770
1400/03/24, 15770, 15770
1400/03/23, 15790, 15790
1400/03/22, 15890, 15890
1400/03/19, 15910, 15910
1400/03/18, 15940, 15940
1400/03/17, 15960, 15960
