date, min_price, max_price
1402/03/03, 4307, 4449
1402/03/02, 4281, 4543
1402/03/01, 4251, 4422
1402/02/31, 4087, 4319
1402/02/30, 4228, 4490
1402/02/27, 4400, 4541
1402/02/25, 4403, 4600
1402/02/24, 4400, 4640
1402/02/23, 4418, 4550
1402/02/20, 4620, 4990
1402/02/19, 4740, 5000
1402/02/18, 4970, 5020
1402/02/17, 5210, 5550
1402/02/16, 5380, 5570
1402/02/13, 5390, 5700
1402/02/12, 5500, 5760
1402/02/11, 5340, 5630
1402/02/10, 5300, 5520
1402/02/09, 5260, 5260
1402/02/06, 4840, 5129
1402/02/05, 4780, 5080
1402/02/04, 4750, 4981
1402/01/30, 4818, 5095
1402/01/29, 4770, 5089
1402/01/28, 4739, 4947
1402/01/27, 4842, 5008
1402/01/26, 4830, 4990
1402/01/22, 4620, 4860
1402/01/21, 4714, 4950
1402/01/20, 4830, 5140
1402/01/19, 4808, 5048
1402/01/16, 4550, 4926
1402/01/15, 4543, 4997
1402/01/14, 4552, 4887
1402/01/09, 4589, 4658
1402/01/08, 4270, 4516
1402/01/07, 4140, 4440
1402/01/06, 4100, 4390
1402/01/05, 4013, 4183
1401/12/28, 3874, 4070
1401/12/27, 3877, 3877
1401/12/24, 3574, 3704
1401/12/23, 3404, 3574
1401/12/22, 3340, 3525
1401/12/21, 3386, 3493
1401/12/20, 3455, 3718
1401/12/16, 3402, 3547
1401/12/15, 3254, 3488
1401/12/14, 3387, 3500
1401/12/13, 3358, 3506
1401/12/10, 3506, 3618
1401/12/09, 3531, 3810
1401/12/08, 3600, 3839
1401/12/07, 3680, 3807
1401/12/06, 3626, 3626
1401/12/03, 3382, 3466
1401/12/02, 3301, 3301
1401/12/01, 3144, 3144
1401/11/30, 2854, 3003
1401/11/26, 2818, 2949
1401/11/25, 2912, 3059
1401/11/24, 2930, 2996
1401/11/23, 2770, 2926
1401/11/19, 2661, 2794
1401/11/18, 2590, 2700
1401/11/17, 2560, 2640
1401/11/16, 2603, 2748
1401/11/12, 2681, 2805
1401/11/11, 2680, 2820
1401/11/10, 2670, 2827
1401/11/09, 2784, 2870
1401/11/08, 2905, 3040
1401/11/05, 2948, 3199
1401/11/04, 3070, 3169
1401/10/27, 3499, 3720
1401/10/26, 3525, 3606
1401/10/24, 3276, 3548
1401/10/21, 3373, 3567
1401/10/20, 3428, 3647
1401/10/19, 3424, 3520
1401/10/18, 3265, 3356
1401/10/17, 3090, 3209
1401/10/14, 2942, 3130
1401/10/13, 2967, 3178
1401/10/12, 2973, 3075
1401/10/11, 2841, 3050
1401/10/10, 2829, 3074
1401/10/07, 2880, 2929
1401/10/05, 2652, 2822
1401/10/04, 2645, 2731
1401/10/03, 2555, 2629
1401/09/30, 2479, 2559
1401/09/29, 2484, 2598
1401/09/28, 2536, 2650
1401/09/27, 2524, 2602
1401/09/26, 2440, 2523
1401/09/23, 2472, 2578
1401/09/22, 2400, 2500
1401/09/21, 2340, 2415
1401/09/20, 2285, 2344
1401/09/19, 2267, 2379
1401/09/16, 2334, 2440
1401/09/15, 2412, 2488
1401/09/14, 2370, 2472
1401/09/13, 2315, 2388
1401/09/12, 2350, 2401
1401/09/09, 2352, 2400
1401/09/08, 2300, 2408
1401/09/07, 2356, 2407
1401/09/06, 2298, 2420
1401/09/05, 2301, 2369
1401/09/02, 2303, 2385
1401/09/01, 2310, 2374
1401/08/30, 2330, 2426
1401/08/29, 2277, 2381
1401/08/28, 2243, 2360
1401/08/25, 2270, 2410
1401/08/24, 2284, 2346
1401/08/23, 2265, 2380
1401/08/22, 2329, 2410
1401/08/21, 2400, 2499
1401/08/18, 2380, 2536
1401/08/17, 2404, 2545
1401/08/16, 2330, 2436
1401/08/15, 2267, 2354
1401/08/14, 2220, 2294
1401/08/11, 2128, 2245
1401/08/10, 2120, 2181
1401/08/09, 2020, 2094
1401/08/08, 1987, 2020
1401/08/07, 1936, 2058
1401/08/04, 2000, 2118
1401/08/03, 2081, 2150
1401/08/02, 2090, 2196
1401/08/01, 2141, 2215
1401/07/30, 2200, 2280
1401/07/27, 2228, 2300
1401/07/26, 2260, 2338
1401/07/25, 2215, 2258
1401/07/24, 2200, 2315
1401/07/23, 2270, 2364
1401/07/20, 2310, 2377
1401/07/19, 2272, 2353
1401/07/18, 2257, 2318
1401/07/17, 2245, 2338
1401/07/16, 2325, 2407
1401/07/12, 2353, 2430
1401/07/11, 2307, 2438
1401/07/10, 2303, 2370
1401/07/09, 2385, 2510
1401/07/06, 2492, 2575
1401/07/04, 2406, 2529
1401/07/02, 2387, 2559
1401/06/30, 2454, 2580
1401/06/29, 2493, 2570
1401/06/28, 2501, 2638
1401/06/27, 2607, 2721
1401/06/23, 2712, 2810
1401/06/22, 2740, 2850
1401/06/21, 2689, 2840
1401/06/20, 2670, 2834
1401/06/19, 2642, 2760
1401/06/16, 2724, 2850
1401/06/15, 2830, 2949
1401/06/14, 2885, 3016
1401/06/13, 2870, 2924
