date, min_price, max_price
1402/03/03, 10878, 10880
1402/03/02, 10869, 10870
1402/03/01, 10861, 10862
1402/02/31, 10853, 10854
1402/02/30, 10845, 10846
1402/02/27, 10830, 10832
1402/02/25, 10806, 10812
1402/02/24, 10798, 10799
1402/02/23, 10790, 10793
1402/02/20, 10771, 10772
1402/02/19, 10761, 10762
1402/02/18, 10753, 10754
1402/02/17, 10746, 10747
1402/02/16, 10738, 10739
1402/02/13, 10726, 10729
1402/02/12, 10710, 10713
1402/02/11, 10704, 10705
1402/02/10, 10696, 10697
1402/02/09, 10689, 10690
1402/02/06, 10674, 10675
1402/02/05, 10660, 10661
1402/02/04, 10653, 10654
1402/01/30, 10623, 10624
1402/01/29, 10608, 10609
1402/01/28, 10601, 10603
1402/01/27, 10594, 10595
1402/01/26, 10586, 10587
1402/01/22, 10566, 10567
1402/01/21, 10547, 10548
1402/01/20, 10540, 10541
1402/01/19, 10533, 10534
1402/01/16, 10519, 10520
1402/01/15, 10505, 10506
1402/01/14, 10499, 10500
1402/01/09, 10474, 10490
1401/12/03, 10000, 10000
1401/11/02, 10000, 10000
1401/11/01, 10000, 10000
