date, min_price, max_price
1402/03/03, 17401, 17859
1402/03/02, 17342, 17997
1402/03/01, 17204, 17937
1402/02/31, 17017, 17644
1402/02/30, 16889, 17900
1402/02/27, 16114, 17261
1402/02/25, 15852, 17310
1402/02/24, 16440, 17500
1402/02/23, 15856, 17325
1402/02/20, 16676, 19177
1402/02/19, 17778, 18889
1402/02/18, 17406, 18500
1402/02/17, 18830, 21100
1402/02/16, 20359, 21219
1402/02/13, 20311, 20700
1402/02/12, 19451, 21320
1402/02/11, 19045, 19810
1402/02/10, 19446, 20200
1402/02/09, 19521, 19980
1402/02/06, 19205, 19955
1402/02/05, 19039, 20163
1402/02/04, 19000, 19906
1402/01/30, 19500, 20389
1402/01/29, 19006, 20845
1402/01/28, 19100, 21500
1402/01/27, 19600, 20900
1402/01/26, 17010, 19367
1402/01/22, 17200, 17801
1402/01/21, 17524, 18000
1402/01/20, 17687, 18174
1402/01/19, 17021, 18278
1402/01/16, 17001, 17650
1402/01/15, 17015, 17688
1402/01/14, 16505, 18149
1402/01/09, 17003, 18290
1402/01/08, 16021, 17238
1402/01/07, 15011, 16379
1402/01/06, 16390, 16390
1402/01/05, 15451, 16787
1401/12/28, 16000, 16750
1401/12/27, 15568, 16715
1401/12/24, 14606, 15860
1401/12/23, 13910, 14898
1401/12/22, 14002, 14264
1401/12/21, 13600, 14898
1401/12/20, 14300, 14919
1401/12/16, 13750, 14788
1401/12/15, 13259, 13879
1401/12/14, 13510, 14372
1401/12/13, 13400, 14495
1401/12/10, 13200, 14650
1401/12/09, 14210, 15400
1401/12/08, 13880, 14650
1401/12/07, 14011, 16280
1401/12/06, 13800, 14918
1401/12/03, 13051, 13700
1401/12/02, 13232, 14100
1401/12/01, 12340, 13197
1401/11/30, 11730, 12280
1401/11/26, 11900, 12000
1401/11/25, 12011, 12350
1401/11/24, 12000, 12456
1401/11/23, 11628, 12255
1401/11/19, 12233, 12999
1401/11/18, 11682, 12690
1401/11/17, 11305, 11890
1401/11/16, 11556, 12000
1401/11/12, 12000, 12240
1401/11/11, 12097, 12464
1401/11/10, 11902, 12339
1401/11/09, 11620, 12260
1401/11/08, 12500, 12900
1401/11/05, 12550, 13560
1401/11/04, 13024, 13464
1401/11/03, 13152, 13463
1401/11/02, 12900, 13470
1401/11/01, 12500, 13358
1401/10/28, 13289, 13998
1401/10/27, 13200, 13495
1401/10/26, 13010, 13560
1401/10/24, 12810, 13349
1401/10/21, 12518, 14190
1401/10/20, 13820, 14200
1401/10/19, 13505, 14200
1401/10/18, 13392, 14230
1401/10/17, 13198, 13464
1401/10/14, 12900, 13040
1401/10/13, 12534, 13778
1401/10/12, 11582, 12885
1401/10/11, 11311, 11979
1401/10/10, 11313, 12370
1401/10/07, 12048, 12626
1401/10/05, 11700, 12099
1401/10/04, 11800, 12202
1401/10/03, 11648, 12495
1401/09/30, 11219, 11595
1401/09/29, 10853, 11439
1401/09/28, 11350, 11969
1401/09/27, 10549, 11729
1401/09/26, 11005, 11535
1401/09/23, 10853, 11370
1401/09/22, 10688, 11000
1401/09/21, 10442, 10598
1401/09/20, 10201, 10878
1401/09/19, 10156, 10900
1401/09/16, 10370, 11000
1401/09/15, 10056, 10354
1401/09/14, 10202, 10354
1401/09/13, 10148, 10165
1401/09/12, 10020, 10199
1401/09/09, 10072, 10183
1401/09/08, 10010, 10132
1401/09/07, 10016, 10149
1401/09/06, 10006, 10131
1401/09/05, 10013, 10138
1401/09/02, 10047, 10168
1401/09/01, 10010, 10198
1401/08/30, 10001, 10280
1401/08/29, 10080, 10346
1401/08/28, 10013, 10373
1401/08/25, 9600, 10178
1401/08/24, 10101, 10209
1401/08/23, 10057, 10109
1401/08/22, 10128, 10489
1401/08/21, 10200, 10350
1401/08/18, 10000, 10343
1401/08/17, 10214, 10758
1401/08/16, 10068, 10564
1401/08/15, 10010, 10300
1401/08/14, 9723, 10199
1401/08/11, 9604, 9720
1401/08/10, 9605, 9792
1401/08/09, 9600, 9930
1401/08/08, 9785, 9790
1401/08/07, 9608, 9800
1401/08/04, 9700, 9800
1401/08/03, 9840, 10000
1401/08/02, 9830, 9901
1401/08/01, 9901, 9999
1401/07/30, 10003, 10080
1401/07/27, 10000, 10009
1401/07/26, 10002, 10186
1401/07/25, 10000, 10076
1401/07/24, 10000, 10026
1401/07/23, 10026, 10388
1401/07/20, 9960, 10164
1401/07/19, 10035, 10196
1401/07/18, 9910, 9999
1401/07/17, 9950, 10030
1401/07/16, 9950, 10080
1401/07/12, 9820, 9951
1401/07/11, 9816, 10202
1401/07/10, 10025, 10401
1401/07/09, 10430, 11200
1401/07/06, 10155, 10699
1401/07/04, 10400, 10980
1401/07/02, 10400, 10501
1401/06/30, 10485, 10661
1401/06/29, 10485, 10989
1401/06/28, 10550, 10551
1401/06/27, 10484, 10667
1401/06/23, 10200, 10668
1401/06/22, 10000, 10610
1401/06/21, 10004, 10140
1401/06/20, 9965, 10001
1401/06/19, 10000, 10017
1401/06/16, 10101, 10294
1401/06/15, 10001, 10199
1401/06/14, 10060, 10226
1401/06/13, 10100, 10120
1401/06/12, 10033, 10197
1401/06/09, 10100, 10264
1401/06/08, 10124, 10389
1401/06/07, 10150, 10900
1401/06/06, 9961, 10238
1401/06/05, 9752, 10049
1401/06/02, 9770, 10100
1401/06/01, 9915, 9990
1401/05/31, 9900, 9954
1401/05/30, 9925, 9983
1401/05/29, 9900, 9985
1401/05/26, 9849, 9987
1401/05/25, 10019, 10021
1401/05/24, 9920, 10098
1401/05/23, 9945, 10199
1401/05/22, 10103, 10222
1401/05/19, 10000, 10164
1401/05/18, 10100, 10244
1401/05/15, 10103, 10232
1401/05/12, 9703, 9988
1401/05/11, 9557, 9850
1401/05/10, 9611, 9826
1401/05/09, 9701, 9984
1401/05/08, 10000, 10064
1401/05/05, 9919, 10083
1401/05/04, 9999, 10100
1401/05/03, 9956, 10059
1401/05/02, 10122, 10951
1401/05/01, 10023, 10440
1401/04/29, 10044, 10217
1401/04/28, 10023, 10199
1401/04/26, 10079, 10101
1401/04/25, 10250, 10400
1401/04/22, 10263, 10456
1401/04/21, 10037, 10397
1401/04/20, 10151, 10400
1401/04/18, 10250, 10637
1401/04/15, 10606, 11349
1401/04/14, 10700, 11111
1401/04/13, 10534, 11279
1401/04/12, 10260, 11000
1401/04/11, 10083, 10600
1401/04/08, 9968, 10383
1401/04/07, 9983, 10299
1401/04/06, 10000, 10100
1401/04/05, 10081, 10597
1401/04/04, 10050, 10674
1401/04/01, 10541, 10712
1401/03/31, 10528, 10695
1401/03/30, 10509, 10799
1401/03/29, 10536, 10740
1401/03/28, 10506, 10958
1401/03/25, 10655, 10777
1401/03/24, 10400, 11290
1401/03/23, 10474, 11366
1401/03/22, 10201, 10598
1401/03/21, 10222, 10585
1401/03/18, 10560, 10766
1401/03/17, 10510, 11039
1401/03/16, 10811, 11572
1401/03/11, 11322, 12003
1401/03/10, 11270, 11959
1401/03/09, 11500, 11800
1401/03/08, 11012, 12349
1401/03/07, 12065, 12406
1401/03/04, 12441, 12969
1401/03/03, 12124, 13398
1401/03/02, 12252, 13490
1401/03/01, 13001, 13799
1401/02/31, 13027, 14429
1401/02/28, 12921, 13977
1401/02/27, 13250, 13599
1401/02/26, 12546, 13399
1401/02/25, 12531, 13056
1401/02/24, 12255, 13135
1401/02/21, 11950, 12490
1401/02/20, 11334, 12000
1401/02/19, 11900, 11950
1401/02/18, 11600, 12170
1401/02/17, 11741, 12200
1401/02/12, 11352, 12290
1401/02/11, 11181, 11490
1401/02/10, 11112, 11544
1401/02/07, 11215, 11750
1401/02/06, 11105, 11787
1401/02/05, 10717, 11300
1401/02/04, 10707, 11000
1401/01/31, 10909, 11124
1401/01/30, 10899, 11139
1401/01/29, 10858, 11200
1401/01/28, 10700, 11200
1401/01/27, 10890, 11146
1401/01/24, 10550, 11302
1401/01/23, 10640, 12200
1401/01/22, 11455, 11584
1401/01/21, 11150, 11700
1401/01/15, 10701, 11399
1401/01/14, 10495, 11116
1401/01/10, 10042, 10500
1401/01/09, 10051, 10500
1401/01/08, 0, 0
1401/01/07, 10002, 10300
1401/01/06, 10000, 10200
1400/12/28, 9830, 10134
1400/12/25, 9430, 9894
1400/12/24, 9255, 9597
1400/12/23, 9207, 9660
1400/12/22, 9556, 9964
1400/12/21, 9600, 10160
1400/12/18, 9986, 10300
1400/12/17, 9826, 10177
1400/12/16, 9750, 10199
1400/12/15, 9369, 9800
1400/12/14, 9160, 9700
1400/12/11, 9150, 9358
1400/12/09, 9060, 9255
1400/12/08, 8925, 9100
1400/12/07, 8800, 9433
1400/12/04, 8911, 9398
1400/12/03, 8801, 9285
1400/12/02, 8711, 8990
1400/11/30, 8300, 8802
1400/11/27, 8106, 8785
1400/11/25, 8140, 8400
1400/11/24, 8191, 8800
1400/11/23, 8510, 9313
1400/11/20, 9000, 9900
1400/11/19, 8991, 10200
1400/09/20, 10000, 10000
1400/09/17, 10000, 10000
1400/09/16, 10000, 10000
1400/09/15, 10000, 10000
1400/09/14, 10000, 10000
1400/09/13, 10000, 10000
