date, min_price, max_price
1401/05/23, 1960000, 1960000
1401/05/19, 1960000, 1960000
1401/04/11, 1960215, 1960215
1401/02/10, 1960215, 1960215
1400/11/05, 1960215, 1960215
1400/09/14, 1960215, 1960215
1400/09/02, 1782008, 1782020
1400/08/30, 1782000, 1782000
1400/08/29, 1782000, 1782000
1400/08/03, 1782000, 1782000
1400/02/19, 1620000, 1620000
1399/12/05, 1620000, 1620000
1399/04/31, 1539302, 1539302
1399/04/30, 1466002, 1466002
1399/03/17, 1396193, 1396193
1399/02/06, 1329708, 1329708
1399/02/03, 1266389, 1266389
1399/02/02, 1266388, 1266388
1399/01/27, 1206084, 1206084
1399/01/26, 1148652, 1148652
1399/01/24, 1093955, 1093955
1399/01/23, 1041862, 1041862
1399/01/16, 992250, 992250
1398/12/11, 945000, 945000
1398/11/28, 936683, 936683
1398/11/16, 985982, 985982
1398/10/09, 1037875, 1037875
1398/10/07, 1092500, 1092500
1398/09/30, 1150000, 1150000
1398/09/16, 1193320, 1193320
1398/09/13, 1136496, 1136496
1398/09/12, 1082378, 1082378
1398/09/10, 1030837, 1030837
1398/07/09, 981750, 981750
1398/06/16, 935000, 935000
1398/04/22, 892500, 892500
1398/03/25, 892500, 892500
1398/03/12, 892500, 892500
1398/01/07, 892500, 892500
1397/07/07, 892500, 892500
1397/07/03, 892500, 892500
1397/06/18, 850000, 850000
1397/06/06, 820000, 820000
1397/01/22, 358000, 358000
1397/01/08, 350000, 350000
1396/12/26, 358000, 358000
1396/12/21, 358000, 358000
1396/12/08, 358000, 358000
1396/12/05, 358000, 358000
1396/12/02, 358000, 358000
1396/11/07, 358000, 358000
1396/11/03, 349990, 358000
1396/09/14, 350000, 350000
1396/08/10, 350000, 350000
1396/08/02, 349000, 350000
1396/07/17, 350000, 350000
1396/07/10, 350000, 350000
1396/06/27, 350000, 350000
1396/06/26, 350000, 350000
1396/06/25, 355250, 355250
1396/06/22, 350000, 350000
1396/06/19, 344076, 344076
1396/06/15, 327692, 327692
1396/06/14, 342995, 345000
1396/04/21, 320250, 320250
1396/04/20, 305000, 305000
1396/04/18, 305000, 305000
1396/03/20, 305000, 305000
1396/02/27, 320240, 320240
1396/02/10, 305000, 320239
1396/01/27, 305000, 305000
1396/01/26, 300000, 300001
1396/01/16, 315000, 315000
1395/12/24, 311982, 311982
1395/12/23, 311982, 311982
1395/12/17, 311999, 311999
1395/12/16, 311998, 312000
1395/12/10, 300000, 315000
1395/12/09, 312000, 312000
1395/10/04, 300000, 300000
