date, min_price, max_price
1402/03/01, 36050, 38000
1402/02/31, 34250, 37550
1402/02/30, 34000, 36200
1402/02/27, 33250, 34750
1402/02/25, 33300, 36700
1402/02/24, 34050, 35000
1402/02/23, 32650, 34950
1402/02/20, 34450, 38500
1402/02/19, 36750, 38000
1402/02/18, 39500, 39500
1402/02/17, 42100, 44800
1402/02/16, 44050, 47000
1402/02/13, 44400, 46750
1402/02/12, 42000, 44750
1402/02/11, 41350, 43000
1402/02/10, 41000, 43350
1402/02/09, 41700, 43100
1402/02/06, 40600, 43250
1402/02/05, 39950, 43600
1402/02/04, 41250, 46200
1402/01/30, 42700, 44550
1402/01/29, 39500, 41750
1402/01/28, 38050, 39950
1402/01/27, 38950, 41700
1402/01/26, 41150, 43500
1402/01/22, 39200, 41700
1402/01/21, 36800, 40600
1402/01/20, 37300, 37950
1402/01/19, 32750, 35650
1402/01/16, 30150, 34300
1402/01/15, 31050, 33800
1402/01/14, 30550, 33950
1402/01/09, 30700, 32800
1402/01/08, 29200, 31500
1402/01/07, 29500, 31200
1402/01/06, 29950, 30550
1402/01/05, 28450, 30000
1401/12/28, 29000, 30000
1401/12/27, 28000, 29050
1401/12/24, 25800, 27800
1401/12/23, 25500, 26700
1401/12/22, 25650, 26900
1401/12/21, 26300, 27500
1401/12/20, 26550, 27900
1401/12/16, 26650, 27500
1401/12/15, 25200, 27650
1401/12/14, 25450, 27100
1401/12/13, 25900, 27450
1401/12/10, 26400, 28300
1401/12/09, 26500, 27500
1401/12/08, 25900, 27900
1401/12/07, 26500, 28850
1401/12/06, 26550, 27450
1401/12/03, 25000, 26800
1401/12/02, 25900, 27050
1401/12/01, 23700, 25450
1401/11/30, 23100, 24950
1401/11/26, 23400, 25350
1401/11/25, 24550, 26350
1401/11/24, 25500, 27300
1401/11/23, 25600, 27000
1401/11/19, 26200, 27750
1401/11/18, 24250, 26400
1401/11/17, 24600, 26050
1401/11/11, 25600, 26850
1401/11/10, 24250, 26600
1401/11/09, 26000, 27500
1401/11/08, 26300, 29000
1401/11/05, 27950, 30350
1401/11/04, 29650, 31100
1401/11/03, 29000, 32300
1401/11/02, 28950, 31200
1401/11/01, 30250, 34450
1401/10/28, 29750, 33100
1401/10/27, 29800, 31350
1401/10/26, 29000, 29400
1401/10/24, 26300, 27600
1401/10/21, 23250, 26150
1401/10/20, 23500, 25400
1401/10/19, 23400, 24950
1401/10/18, 23400, 24450
1401/10/17, 22400, 23200
1401/10/14, 20950, 22350
1401/10/13, 21450, 22950
1401/10/12, 22200, 22850
1401/10/11, 21400, 23500
1401/10/10, 22000, 23950
1401/10/07, 22700, 23950
1401/10/05, 22400, 23500
1401/10/04, 22750, 23800
1401/10/03, 22000, 23750
1401/09/30, 21900, 23100
1401/09/29, 21500, 22750
1401/09/28, 22200, 23550
1401/09/27, 22750, 24150
1401/09/26, 21950, 23550
1401/09/23, 22000, 23000
1401/09/22, 21750, 22900
1401/09/21, 21750, 22950
1401/09/20, 21200, 23150
1401/09/19, 20950, 22900
1401/09/16, 21320, 21910
1401/09/15, 20920, 20920
1401/09/14, 18600, 20080
1401/09/13, 18420, 18850
1401/09/12, 18260, 19100
1401/09/09, 18500, 19440
1401/09/08, 18160, 19180
1401/09/07, 18290, 19090
1401/09/06, 18110, 18790
1401/09/05, 18420, 19140
1401/09/02, 17900, 18900
1401/09/01, 17830, 18300
1401/08/30, 18200, 18890
1401/08/29, 18000, 19090
1401/08/28, 17970, 18800
1401/08/25, 18650, 19500
1401/08/24, 18100, 19410
1401/08/23, 17980, 19250
1401/08/22, 17600, 19000
1401/08/21, 17730, 18750
1401/08/18, 16660, 18600
1401/08/17, 16900, 18570
1401/08/16, 16700, 17630
1401/08/15, 16450, 17190
1401/08/14, 15800, 16850
1401/08/11, 15360, 16120
1401/08/10, 15950, 16410
1401/08/09, 15000, 15900
1401/08/08, 14420, 15200
1401/08/07, 14780, 16000
1401/08/04, 15800, 16500
1401/08/03, 16300, 17340
1401/08/02, 16550, 17300
1401/08/01, 17030, 17440
1401/07/30, 16990, 17700
1401/07/27, 16300, 16940
1401/07/26, 16710, 17400
1401/07/25, 16800, 17500
1401/07/24, 16810, 17630
1401/07/23, 17550, 18110
1401/07/20, 17500, 18590
1401/07/19, 18050, 18700
1401/07/18, 16920, 18450
1401/07/17, 17220, 18190
1401/07/16, 17950, 18480
1401/07/12, 16370, 18000
1401/07/11, 16380, 17620
1401/07/10, 17210, 18440
1401/07/09, 18020, 18980
1401/07/06, 18980, 19680
1401/07/04, 18310, 19400
1401/07/02, 18370, 19550
1401/06/30, 19050, 20000
1401/06/29, 20000, 21150
1401/06/28, 20400, 21450
1401/06/27, 20200, 21900
1401/06/23, 21150, 22000
1401/06/22, 21000, 22050
1401/06/21, 21500, 22500
1401/06/20, 22000, 23200
1401/06/19, 22150, 23300
1401/06/16, 21050, 23650
1401/06/15, 21950, 23250
1401/06/14, 21800, 23450
1401/06/13, 20300, 22400
1401/06/12, 20500, 21850
1401/06/09, 20700, 22600
1401/06/08, 21550, 23600
1401/06/07, 22200, 23600
1401/06/06, 22400, 23800
1401/06/05, 22300, 24200
1401/06/02, 22250, 23100
1401/06/01, 21700, 22550
1401/05/31, 19950, 21400
1401/05/30, 19800, 21000
1401/05/29, 20100, 21450
1401/05/26, 18900, 21130
1401/05/25, 19400, 20180
1401/05/24, 18640, 20390
1401/05/23, 19000, 20200
1401/05/22, 18850, 20180
1401/05/19, 18950, 20900
1401/05/18, 19350, 20570
1401/05/15, 18300, 19550
1401/05/12, 17960, 18900
1401/05/11, 18130, 19200
1401/05/10, 19040, 20500
1401/05/09, 19670, 21300
1401/05/08, 19300, 21090
1401/05/05, 19300, 20350
1401/05/04, 19200, 20250
1401/05/03, 20100, 21050
1401/05/02, 21000, 22500
1401/05/01, 20900, 21950
1401/04/29, 20550, 21850
1401/04/28, 20050, 21700
1401/04/21, 20900, 21450
1401/04/20, 22050, 23350
1401/04/18, 23000, 24000
1401/04/15, 23300, 24500
1401/04/14, 23550, 25700
1401/04/13, 22100, 24500
1401/04/12, 22100, 23350
1401/04/11, 21300, 22100
1401/04/08, 20150, 21750
1401/04/07, 20950, 22050
1401/04/06, 20900, 23200
1401/04/05, 21150, 22400
1401/04/04, 20000, 21600
1401/04/01, 21000, 22300
1401/03/31, 22200, 23250
1401/03/30, 23050, 24300
1401/03/29, 22750, 24400
1401/03/28, 22800, 23900
1401/03/25, 23350, 25200
1401/03/24, 23750, 25850
1401/03/23, 23750, 25250
1401/03/22, 23100, 24800
1401/03/21, 23600, 25150
1401/03/18, 22650, 23950
1401/03/17, 22100, 23250
1401/03/16, 23250, 25500
1401/03/11, 24150, 26200
1401/03/10, 25100, 26600
1401/03/09, 25650, 27150
1401/03/08, 25600, 26350
1401/03/07, 26950, 29200
1401/03/04, 27800, 28950
1401/03/03, 26000, 27500
1401/03/02, 25650, 26850
1401/03/01, 26150, 28900
1401/02/31, 26450, 28000
1401/02/28, 25600, 26550
1401/02/27, 24650, 26400
1401/02/26, 24500, 26700
1401/02/25, 24550, 25200
1401/02/24, 24100, 24100
1401/02/21, 23100, 23100
1401/02/20, 20830, 22040
1401/02/19, 20300, 20810
1401/02/18, 19250, 20300
1401/02/17, 18660, 19720
1401/02/12, 18700, 19350
1401/02/11, 18690, 19720
1401/02/10, 18870, 19750
1401/02/07, 18800, 19590
1401/02/06, 17520, 18970
1401/02/05, 16840, 18390
1401/02/04, 17260, 18390
1401/01/31, 17900, 18720
1401/01/30, 16200, 17910
1401/01/29, 16410, 17550
1401/01/28, 16840, 18120
1401/01/27, 17060, 18000
1401/01/24, 16090, 17590
1401/01/23, 16720, 17570
1401/01/22, 16530, 18120
1401/01/21, 16610, 17330
1401/01/20, 15220, 16610
1401/01/17, 15360, 16330
1401/01/16, 15210, 16090
1401/01/15, 15160, 15930
1401/01/14, 14780, 15210
1401/01/10, 13520, 14650
1401/01/09, 13680, 14860
1401/01/08, 0, 0
1401/01/07, 13900, 14460
1401/01/06, 13330, 13970
1400/12/28, 13000, 13590
1400/12/25, 13010, 13450
1400/12/24, 12930, 13600
1400/12/23, 13300, 14250
1400/12/22, 13510, 14080
1400/12/21, 12820, 13470
1400/12/18, 12290, 13320
1400/12/17, 11930, 13170
1400/12/16, 12820, 12820
1400/12/15, 11660, 12330
1400/12/14, 11560, 12330
1400/12/11, 12070, 12700
1400/12/09, 12440, 12720
1400/12/08, 11650, 12200
1400/12/07, 11340, 11970
1400/12/04, 10760, 11800
1400/12/03, 11130, 11570
1400/12/02, 11000, 11600
1400/12/01, 10770, 11320
1400/11/30, 10980, 11490
1400/11/27, 11230, 11800
1400/11/25, 11620, 12140
1400/11/24, 11280, 12110
1400/11/23, 11640, 12600
1400/11/20, 11910, 12550
1400/11/19, 12020, 12530
1400/11/18, 11610, 12450
1400/11/17, 11900, 12300
1400/11/16, 12350, 13280
1400/11/13, 12500, 13240
1400/11/12, 12150, 12680
1400/11/11, 11250, 12260
1400/11/10, 11530, 12600
1400/11/09, 11800, 12270
1400/11/06, 11340, 11710
1400/11/05, 11110, 11800
1400/11/04, 11410, 12000
1400/11/03, 11880, 12430
1400/11/02, 12000, 12860
1400/10/29, 12340, 12870
1400/10/28, 12540, 13300
1400/10/27, 12740, 13570
1400/10/26, 12740, 13360
1400/10/25, 12540, 13570
1400/10/22, 12500, 12970
1400/10/21, 12050, 12670
1400/10/20, 12230, 12960
1400/10/19, 12520, 13550
1400/10/18, 12250, 13390
1400/10/15, 12700, 13000
1400/10/14, 13338, 14100
1400/10/13, 13840, 14650
1400/10/12, 14080, 14465
1400/10/11, 12851, 13902
1400/10/08, 12850, 13985
1400/10/07, 13362, 14000
1400/10/06, 13580, 14184
1400/10/05, 12510, 13729
1400/10/04, 12740, 13143
1400/10/01, 12390, 12861
1400/09/30, 11900, 12290
1400/09/29, 11388, 11895
1400/09/28, 10863, 11388
1400/09/27, 10745, 11530
