date, min_price, max_price
1402/03/03, 139334, 141200
1402/03/02, 138610, 144000
1402/03/01, 142000, 143900
1402/02/31, 136800, 140990
1402/02/30, 130000, 134990
1402/02/27, 131100, 134600
1402/02/25, 133102, 135997
1402/02/24, 135200, 137494
1402/02/23, 132481, 136360
1402/02/20, 137400, 142148
1402/02/19, 141113, 142500
1402/02/18, 137299, 140430
1402/02/17, 137000, 141500
1402/02/16, 143900, 147230
1402/02/13, 142900, 147640
1402/02/12, 145510, 151000
1402/02/11, 149500, 157450
1402/02/10, 146500, 151400
1402/02/09, 143500, 149800
1402/02/06, 133400, 138901
1402/02/05, 132500, 133200
1402/02/04, 132800, 133700
1402/01/30, 132450, 133900
1402/01/29, 132000, 134100
1402/01/28, 132405, 132950
1402/01/27, 128500, 130889
1402/01/26, 130000, 132750
1402/01/22, 131690, 134269
1402/01/21, 128010, 130640
1402/01/20, 133013, 135669
1402/01/19, 133920, 138930
1402/01/16, 132800, 136200
1402/01/15, 128211, 133000
1402/01/14, 134840, 140412
1402/01/09, 136888, 140000
1402/01/08, 132301, 134357
1402/01/07, 130080, 132499
1402/01/06, 128200, 137000
1402/01/05, 133752, 137500
1401/12/28, 127090, 128593
1401/12/27, 122000, 127000
1401/12/24, 115010, 119510
1401/12/23, 113800, 116939
1401/12/22, 106000, 110516
1401/12/21, 100200, 108900
1401/12/20, 99011, 103490
1401/12/16, 106940, 110720
1401/12/15, 111500, 113700
1401/12/14, 113470, 118430
1401/12/13, 118500, 126000
1401/12/10, 115701, 121001
1401/12/09, 124000, 129495
1401/12/08, 127101, 136990
1401/12/07, 134641, 148000
1401/12/06, 135640, 138674
1401/12/03, 123850, 128000
1401/12/02, 116614, 124220
1401/12/01, 122758, 138000
1401/11/30, 124500, 126468
1401/11/26, 114500, 118999
1401/11/25, 111000, 117398
1401/11/24, 109210, 111821
1401/11/23, 105200, 110200
1401/11/19, 103010, 103960
1401/11/18, 102860, 103689
1401/11/17, 102585, 103999
1401/11/16, 98910, 102799
1401/11/12, 102400, 104500
1401/11/11, 98900, 103741
1401/11/10, 101986, 105400
1401/11/09, 98460, 103289
1401/11/08, 95000, 99900
1401/11/05, 88100, 95000
1401/11/04, 91010, 97500
1401/11/03, 97920, 107200
1401/11/02, 104000, 109223
1401/11/01, 95499, 101816
1401/10/28, 91999, 95000
1401/10/27, 88736, 90100
1401/10/26, 86820, 88198
1401/10/24, 85010, 86591
1401/10/21, 84010, 85190
1401/10/20, 84147, 85000
1401/10/19, 83501, 84555
1401/10/18, 83570, 84880
1401/10/17, 73467, 84410
1401/10/14, 80068, 82890
1401/10/13, 80150, 82400
1401/10/12, 82600, 83999
1401/10/11, 77830, 82999
1401/10/10, 78061, 81900
1401/10/07, 85200, 87500
1401/10/05, 83201, 83999
1401/10/04, 82170, 83694
1401/10/03, 80800, 81960
1401/09/30, 78520, 79500
1401/09/29, 78191, 81200
1401/09/28, 79410, 81160
1401/09/27, 81000, 82765
1401/09/26, 81000, 82592
1401/09/23, 80262, 83000
1401/09/22, 78984, 83760
1401/09/21, 79500, 81699
1401/09/20, 77300, 78680
1401/09/19, 74800, 76990
1401/09/16, 73960, 74567
1401/09/15, 74322, 77100
1401/09/14, 76025, 77290
1401/09/13, 74000, 76000
