date, min_price, max_price
1402/03/03, 22201, 22497
1402/03/02, 22100, 22879
1402/03/01, 22670, 23000
1402/02/31, 21990, 22547
1402/02/30, 20400, 21699
1402/02/27, 20600, 20999
1402/02/25, 21020, 21720
1402/02/24, 21602, 22300
1402/02/23, 21314, 22100
1402/02/20, 22000, 22770
1402/02/19, 22648, 23000
1402/02/18, 22000, 22977
1402/02/17, 21511, 22300
1402/02/16, 23135, 23449
1402/02/13, 22410, 23620
1402/02/12, 23120, 24378
1402/02/11, 24200, 25373
1402/02/10, 23600, 24730
1402/02/09, 23400, 24000
1402/02/06, 21499, 22440
1402/02/05, 21221, 21400
1402/02/04, 21280, 21390
1402/01/30, 21221, 21489
1402/01/29, 20905, 21500
1402/01/28, 21000, 21495
1402/01/27, 20526, 20998
1402/01/26, 20820, 21300
1402/01/22, 21089, 21698
1402/01/21, 20214, 20889
1402/01/20, 21260, 21558
1402/01/19, 21030, 21777
1402/01/16, 20947, 21770
1402/01/15, 20131, 20851
1402/01/14, 21292, 22440
1402/01/09, 21605, 22290
1402/01/08, 21022, 21437
1402/01/07, 20800, 21145
1402/01/06, 20060, 21199
1402/01/05, 21200, 21979
1401/12/28, 20270, 20794
1401/12/27, 19501, 20219
1401/12/24, 18120, 18879
1401/12/23, 18100, 18610
1401/12/22, 17209, 17550
1401/12/21, 15990, 17300
1401/12/20, 16151, 16836
1401/12/16, 17510, 18298
1401/12/15, 18100, 18801
1401/12/14, 18910, 20289
1401/12/13, 19200, 20590
1401/12/10, 18556, 19680
1401/12/09, 19894, 21000
1401/12/08, 20262, 21490
1401/12/07, 21000, 23377
1401/12/06, 21816, 22484
1401/12/03, 20100, 20688
1401/12/02, 19410, 20399
1401/12/01, 20700, 23550
1401/11/30, 20715, 21418
1401/11/26, 19200, 19738
1401/11/25, 17919, 18900
1401/11/24, 17650, 17969
1401/11/23, 17055, 17970
1401/11/19, 16700, 16995
1401/11/18, 16700, 16950
1401/11/17, 16800, 16980
1401/11/16, 16025, 16717
1401/11/12, 16600, 16915
1401/11/11, 16102, 16500
1401/11/10, 16450, 17200
1401/11/09, 16350, 17000
1401/11/08, 16001, 16830
1401/11/05, 14510, 15996
1401/11/04, 15164, 16800
1401/11/03, 16002, 18382
1401/11/02, 17139, 17949
1401/11/01, 15630, 16872
1401/10/28, 15200, 15560
1401/10/27, 14750, 15115
1401/10/26, 14321, 14750
1401/10/24, 14216, 14370
1401/10/21, 14140, 14250
1401/10/20, 14120, 14400
1401/10/19, 14096, 14390
1401/10/18, 14110, 14298
1401/10/17, 13500, 13800
1401/10/14, 13129, 13450
1401/10/13, 12950, 13380
1401/10/12, 13241, 13480
1401/10/11, 12735, 13349
1401/10/10, 12500, 13340
1401/10/07, 13581, 14079
1401/10/05, 13469, 13535
1401/10/04, 13300, 13520
1401/10/03, 13170, 13400
1401/09/30, 12886, 13005
1401/09/29, 12921, 13150
