date, min_price, max_price
1402/03/03, 6400, 6760
1402/03/02, 6120, 6450
1402/03/01, 6060, 6370
1402/02/31, 5920, 6310
1402/02/30, 5980, 6400
1402/02/27, 6050, 6400
1402/02/25, 5920, 6250
1402/02/24, 5910, 6010
1402/02/23, 5580, 6250
1402/02/20, 5860, 6700
1402/02/19, 5980, 6710
1402/02/18, 6420, 6420
1402/02/17, 6820, 7410
1402/02/16, 7200, 7590
1402/02/13, 7000, 7380
1402/02/12, 7000, 7540
1402/02/11, 7130, 7490
1402/02/10, 6810, 7260
1402/02/09, 6670, 7100
1402/02/06, 6620, 7190
1402/02/05, 6800, 6970
1402/02/04, 6080, 6730
1402/01/30, 6200, 6460
1402/01/27, 6360, 6500
1402/01/26, 6120, 6450
1402/01/22, 5850, 6300
1402/01/21, 5840, 6480
1402/01/20, 6020, 6400
1402/01/19, 5810, 6300
1402/01/16, 5540, 6140
1402/01/15, 5580, 6190
1402/01/14, 5320, 5850
1402/01/09, 5201, 5561
1402/01/08, 5016, 5400
1402/01/07, 4911, 5186
1402/01/06, 4620, 4872
1402/01/05, 4375, 4559
1401/12/28, 4261, 4261
1401/12/22, 4270, 4525
1401/12/21, 4372, 4564
1401/12/20, 4470, 4661
1401/12/16, 4457, 4680
1401/12/15, 4415, 4670
1401/12/14, 4546, 4795
1401/12/13, 4463, 4674
1401/12/10, 4591, 4880
1401/12/09, 4783, 4995
1401/12/08, 4603, 4940
1401/12/07, 4460, 4750
1401/12/06, 4480, 4728
1401/12/03, 4365, 4660
1401/12/02, 4502, 4830
1401/12/01, 4325, 4638
1401/11/30, 4240, 4440
1401/11/26, 4250, 4520
1401/11/25, 4301, 4560
1401/11/24, 4240, 4550
1401/11/23, 4252, 4570
1401/11/19, 4280, 4580
1401/11/18, 4360, 4510
1401/11/17, 4051, 4319
1401/11/16, 3981, 4350
1401/11/12, 4170, 4380
1401/11/11, 4180, 4560
1401/11/10, 4210, 4500
1401/11/09, 4480, 4760
1401/11/08, 4770, 5120
1401/11/05, 5110, 5270
1401/11/04, 5290, 5530
1401/11/03, 4890, 5180
1401/11/02, 4750, 5050
1401/11/01, 4860, 5370
1401/10/28, 5030, 5300
1401/10/27, 4870, 5220
1401/10/26, 4960, 5180
1401/10/24, 4720, 4990
1401/10/21, 4753, 5198
1401/10/20, 4858, 5210
1401/10/19, 5150, 5398
1401/10/18, 4982, 5156
1401/10/17, 4561, 4920
1401/10/14, 4465, 4708
1401/10/13, 4490, 4760
1401/10/12, 4550, 4777
1401/10/11, 4502, 4900
1401/10/10, 4464, 4845
1401/10/07, 4665, 4926
1401/10/05, 4726, 4908
1401/10/04, 4412, 4641
1401/10/03, 4271, 4461
1401/09/30, 4151, 4370
1401/09/29, 4245, 4420
1401/09/28, 4150, 4400
1401/09/27, 4100, 4229
1401/09/26, 3983, 4170
1401/09/23, 4034, 4190
1401/09/22, 4070, 4230
1401/09/21, 3965, 4299
1401/09/20, 3950, 4149
1401/09/19, 3899, 4033
1401/09/16, 4000, 4130
1401/09/15, 3911, 4096
1401/09/14, 3943, 4144
1401/09/13, 3935, 4180
1401/09/12, 3842, 4200
1401/09/09, 3950, 4116
1401/09/08, 3575, 3863
1401/09/07, 3462, 3658
1401/09/06, 3511, 3700
1401/09/05, 3504, 3648
1401/09/02, 3481, 3648
1401/09/01, 3413, 3620
1401/08/30, 3458, 3598
1401/08/29, 3400, 3556
1401/08/28, 3262, 3396
1401/08/23, 3371, 3565
1401/08/22, 3484, 3710
1401/08/21, 3500, 3697
1401/08/18, 3287, 3549
1401/08/17, 3256, 3518
1401/08/16, 3176, 3348
1401/08/15, 3100, 3249
1401/08/14, 2942, 3200
1401/08/11, 2961, 3129
1401/08/10, 3027, 3137
1401/08/09, 2990, 3100
1401/08/08, 2905, 3030
1401/08/07, 2904, 3109
1401/08/04, 2905, 3090
1401/08/03, 3042, 3152
1401/08/02, 3114, 3198
1401/08/01, 3150, 3290
1401/07/30, 3170, 3269
1401/07/27, 3220, 3366
1401/07/26, 3251, 3430
1401/07/25, 3200, 3336
1401/07/24, 3262, 3445
1401/07/23, 3315, 3449
1401/07/20, 3280, 3546
1401/07/19, 3330, 3476
1401/07/18, 3277, 3385
1401/07/17, 3268, 3420
1401/07/16, 3334, 3546
1401/07/12, 3150, 3547
1401/07/11, 3220, 3320
1401/07/10, 3201, 3327
1401/07/09, 3202, 3487
1401/07/06, 3300, 3499
1401/07/04, 3175, 3420
1401/07/02, 3309, 3473
1401/06/30, 3472, 3580
1401/06/29, 3490, 3680
1401/06/28, 3560, 3697
1401/06/27, 3621, 3795
1401/06/23, 3675, 3800
1401/06/22, 3690, 3884
1401/06/21, 3720, 3850
1401/06/20, 3505, 3750
1401/06/19, 3450, 3650
1401/06/16, 3601, 3720
1401/06/15, 3647, 3761
1401/06/14, 3631, 3729
1401/06/13, 3531, 3765
1401/06/12, 3542, 3750
1401/06/09, 3670, 3786
1401/06/08, 3656, 3875
1401/06/07, 3680, 3877
1401/06/06, 3655, 3749
1401/06/05, 3663, 3829
1401/06/02, 3720, 3890
1401/06/01, 3732, 3898
1401/05/31, 3650, 3854
1401/05/30, 3713, 3910
1401/05/29, 3602, 3854
1401/05/26, 3483, 3700
1401/05/25, 3481, 3684
1401/05/24, 3517, 3670
1401/05/23, 3440, 3630
1401/05/22, 3407, 3599
1401/05/19, 3400, 3510
1401/05/18, 3374, 3583
1401/05/15, 3440, 3578
1401/05/12, 3283, 3442
1401/05/11, 3235, 3386
1401/05/10, 3231, 3380
1401/05/09, 3203, 3395
1401/05/08, 3310, 3464
1401/05/05, 3206, 3327
1401/05/04, 3200, 3340
1401/05/03, 3170, 3322
1401/05/02, 3236, 3462
1401/05/01, 3290, 3407
1401/04/29, 3145, 3296
1401/04/28, 3079, 3220
1401/04/26, 3090, 3310
1401/04/25, 3243, 3340
1401/04/22, 3209, 3360
1401/04/21, 3156, 3368
1401/04/20, 3153, 3318
1401/04/18, 3213, 3395
1401/04/15, 3343, 3489
1401/04/14, 3370, 3488
1401/04/13, 3400, 3585
1401/04/12, 3452, 3540
1401/04/11, 3401, 3606
1401/04/08, 3443, 3560
1401/04/07, 3451, 3640
1401/04/06, 3421, 3639
1401/04/05, 3410, 3560
1401/04/04, 3410, 3648
1401/04/01, 3530, 3688
1401/03/31, 3600, 3820
1401/03/30, 3721, 3814
1401/03/29, 3702, 3859
1401/03/28, 3701, 3890
1401/03/25, 3801, 3900
1401/03/24, 3834, 4040
1401/03/23, 3750, 4063
1401/03/22, 3740, 3970
1401/03/21, 3730, 3900
1401/03/18, 3700, 3950
1401/03/17, 3654, 3870
1401/03/16, 3711, 4035
1401/03/11, 3862, 4039
1401/03/10, 3690, 4000
1401/03/09, 3751, 4040
1401/03/08, 3917, 4140
1401/03/07, 4106, 4419
1401/03/04, 4090, 4396
1401/03/03, 4050, 4319
1401/03/02, 4234, 4540
1401/03/01, 4400, 4685
1401/02/31, 4331, 4713
1401/02/28, 4285, 4590
1401/02/27, 4368, 4646
1401/02/26, 4639, 4935
1401/02/25, 4708, 4989
1401/02/24, 4707, 4707
1401/02/21, 4441, 4441
1401/02/20, 3820, 4229
1401/02/19, 3946, 4170
1401/02/18, 4050, 4263
1401/02/17, 3952, 4150
1401/02/12, 3756, 4020
1401/02/11, 3620, 3870
1401/02/10, 3710, 3883
1401/02/07, 3692, 3790
1401/02/06, 3671, 3830
1401/02/05, 3579, 3893
1401/02/04, 3580, 3900
1401/01/31, 3660, 3812
1401/01/30, 3430, 3606
1401/01/29, 3264, 3560
1401/01/22, 3234, 3410
1401/01/21, 3323, 3426
1401/01/20, 3026, 3297
1401/01/17, 3071, 3200
1401/01/16, 3025, 3198
1401/01/15, 3035, 3214
1401/01/14, 3106, 3290
1401/01/10, 3061, 3230
1401/01/09, 3050, 3178
1401/01/07, 3121, 3210
1401/01/06, 3001, 3134
1400/12/28, 2933, 3078
1400/12/25, 2881, 2986
1400/12/24, 2880, 2949
1400/12/23, 2896, 3029
1400/12/22, 2893, 3050
1400/12/21, 2860, 3009
1400/12/18, 2900, 2976
1400/12/17, 2901, 2999
1400/12/16, 2930, 3048
1400/12/15, 2765, 2926
1400/12/14, 2700, 2857
1400/12/11, 2785, 2898
1400/12/09, 2832, 3035
1400/12/08, 2807, 2924
1400/12/07, 2661, 2823
1400/12/04, 2640, 2747
1400/12/03, 2660, 2750
1400/12/02, 2660, 2787
1400/12/01, 2637, 2724
1400/11/30, 2738, 2798
1400/11/27, 2720, 2926
1400/11/25, 2725, 2850
1400/11/24, 2757, 2893
1400/11/23, 2810, 2968
1400/11/20, 2812, 2999
1400/11/19, 2852, 3025
1400/11/18, 2897, 3078
1400/11/17, 2940, 3090
1400/11/16, 3000, 3150
1400/11/13, 3001, 3188
1400/11/12, 3103, 3230
1400/11/11, 3084, 3280
1400/11/10, 3189, 3489
1400/11/09, 3268, 3358
1400/11/06, 2991, 3305
1400/11/05, 2997, 2997
1400/11/04, 3040, 3080
1400/11/03, 3086, 3141
1400/11/02, 3126, 3400
1400/10/29, 3240, 3480
1400/10/28, 3282, 3419
1400/10/27, 3331, 3560
1400/10/26, 3333, 3585
1400/10/25, 3352, 3469
1400/10/22, 3213, 3461
1400/10/21, 3119, 3400
1400/10/20, 3141, 3290
1400/10/19, 3242, 3446
1400/10/18, 3305, 3469
1400/10/15, 3222, 3300
1400/10/14, 3279, 3440
1400/10/13, 3341, 3550
1400/10/12, 3161, 3419
1400/10/11, 3010, 3312
1400/10/08, 3135, 3320
1400/10/07, 3275, 3370
1400/10/06, 3123, 3278
1400/10/05, 3050, 3125
1400/10/04, 3029, 3029
1400/10/01, 2908, 2908
1400/09/30, 2653, 2820
1400/09/29, 2601, 2730
1400/09/28, 2630, 2808
1400/09/27, 2650, 2850
1400/09/24, 2706, 2850
1400/09/23, 2846, 2975
1400/09/22, 2976, 3140
1400/09/21, 3099, 3200
1400/09/20, 3202, 3377
1400/09/17, 3242, 3400
1400/09/16, 3236, 3400
1400/09/15, 3230, 3388
1400/09/14, 3313, 3530
1400/09/13, 3433, 3700
1400/09/10, 3595, 3885
1400/09/09, 3627, 3928
1400/09/08, 3708, 3856
1400/09/07, 3400, 3721
1400/09/06, 3420, 3650
1400/09/03, 3326, 3489
1400/09/02, 3224, 3377
1400/09/01, 3320, 3444
1400/08/30, 3235, 3450
1400/08/29, 3252, 3350
1400/08/26, 3224, 3367
1400/08/25, 3210, 3350
1400/08/24, 3226, 3388
1400/08/23, 3320, 3460
1400/08/22, 3262, 3480
1400/08/19, 3252, 3483
1400/08/18, 3255, 3408
1400/08/17, 3260, 3472
1400/08/16, 3252, 3465
1400/08/15, 3296, 3419
1400/08/12, 3100, 3293
1400/08/11, 3105, 3220
1400/08/10, 3023, 3255
1400/08/09, 3144, 3237
1400/08/08, 3300, 3499
1400/08/05, 3333, 3550
1400/08/04, 3466, 3790
1400/08/03, 3370, 3710
1400/08/01, 3515, 3788
1400/07/28, 3668, 3913
1400/07/27, 3752, 4000
1400/07/26, 3930, 4199
1400/07/25, 4116, 4410
1400/07/24, 4186, 4500
1400/07/21, 4341, 4594
1400/07/20, 4441, 4785
1400/07/19, 4500, 4860
1400/07/18, 4467, 4820
1400/07/17, 4691, 4900
1400/07/14, 4800, 5049
1400/07/12, 4600, 5020
1400/07/11, 4616, 4899
1400/07/10, 4742, 4979
1400/07/07, 4720, 5070
1400/07/06, 4804, 5050
1400/07/04, 4957, 5239
1400/07/03, 5089, 5538
1400/06/31, 5007, 5406
1400/06/30, 4980, 5176
1400/06/29, 4760, 4938
1400/06/28, 4649, 4900
1400/06/27, 4783, 5199
1400/06/24, 4950, 5200
1400/06/23, 4834, 5277
1400/06/22, 5012, 5280
1400/06/21, 5132, 5402
1400/06/20, 5303, 5680
1400/06/17, 5500, 5800
1400/06/16, 5440, 5950
1400/06/15, 5400, 5900
1400/06/14, 5529, 5800
1400/06/13, 5301, 5591
1400/06/10, 5120, 5494
1400/06/09, 5321, 5570
1400/06/08, 5580, 5860
1400/06/07, 5635, 6120
1400/06/06, 5730, 5943
1400/06/03, 5490, 5797
1400/06/02, 5400, 5760
1400/06/01, 5550, 5800
1400/05/31, 5405, 5675
1400/05/24, 5188, 5432
1400/05/23, 5046, 5390
1400/05/20, 5180, 5390
1400/05/19, 4830, 5151
1400/05/18, 4856, 4990
1400/05/17, 4713, 5030
1400/05/16, 4837, 5049
1400/05/13, 4760, 4970
1400/05/12, 4689, 4890
1400/05/11, 4804, 5080
1400/05/10, 4800, 5200
1400/05/09, 4776, 5014
1400/05/06, 4543, 4837
1400/05/05, 4572, 4920
1400/05/04, 4661, 4819
1400/04/28, 4571, 4669
1400/04/27, 4300, 4600
1400/04/26, 4410, 4600
1400/04/23, 4453, 4650
1400/04/22, 4501, 4753
1400/04/21, 4581, 4800
1400/04/20, 4561, 4900
1400/04/19, 4576, 4694
1400/04/16, 4281, 4536
1400/04/15, 4273, 4393
1400/04/14, 4257, 4400
1400/04/13, 4183, 4340
1400/04/12, 4170, 4400
1400/04/09, 4165, 4390
1400/04/08, 4225, 4350
1400/04/07, 3990, 4347
1400/04/06, 4041, 4270
1400/04/05, 4130, 4365
1400/04/02, 4180, 4430
1400/04/01, 4153, 4340
1400/03/31, 4066, 4300
1400/03/30, 4302, 4302
1400/03/29, 4304, 4304
1400/03/26, 4307, 4307
1400/03/25, 4310, 4310
1400/03/24, 4347, 4347
1400/03/23, 4359, 4359
1400/03/22, 4443, 4879
1400/03/19, 4631, 4888
1400/03/18, 4892, 4892
1400/03/17, 4900, 4900
1400/03/12, 4905, 4905
1400/03/11, 4905, 4905
1400/03/10, 4908, 4908
1400/03/09, 4937, 4937
1400/03/08, 4940, 4940
1400/03/05, 4941, 4941
1400/03/04, 4941, 4941
1400/03/01, 4941, 4941
1400/02/29, 4941, 4941
1400/02/28, 4941, 4941
1400/02/27, 4942, 4942
1400/02/26, 4943, 4943
1400/02/25, 4948, 4948
1400/02/22, 5053, 5053
1400/02/21, 5054, 5054
1400/02/20, 5054, 5054
1400/02/19, 5054, 5054
1400/02/18, 5054, 5054
1400/02/15, 5054, 5054
1400/02/13, 5054, 5054
1400/02/12, 5054, 5054
1400/02/11, 5066, 5100
1400/02/08, 5095, 5330
1400/02/07, 5053, 5450
1400/02/06, 5054, 5054
1400/02/05, 5054, 5054
1400/02/04, 5054, 5054
1400/02/01, 5075, 5339
1400/01/31, 5230, 5318
1400/01/30, 5230, 5230
1400/01/29, 5242, 5242
1400/01/23, 5353, 5353
1400/01/22, 5354, 5354
1400/01/21, 5354, 5354
1400/01/18, 5354, 5354
1400/01/17, 5380, 5380
1400/01/16, 5388, 5388
1400/01/15, 5417, 5417
1400/01/14, 5428, 5428
1400/01/11, 5440, 5700
1400/01/10, 5451, 5551
1400/01/08, 5017, 5426
1400/01/07, 5035, 5035
1399/12/27, 5039, 5039
1399/12/26, 5040, 5040
1399/12/25, 5040, 5040
1399/12/24, 5041, 5041
1399/12/23, 5041, 5041
1399/12/20, 5041, 5041
