date, min_price, max_price
1402/03/03, 11100, 11940
1402/03/02, 11020, 11670
1402/03/01, 11140, 11860
1402/02/31, 11160, 11800
1402/02/30, 11200, 12100
1402/02/27, 10660, 11570
1402/02/25, 10220, 10920
1402/02/24, 9780, 10220
1402/02/23, 9470, 10390
1402/02/20, 9550, 10930
1402/02/19, 9730, 11000
1402/02/18, 10460, 10460
1402/02/17, 10920, 12400
1402/02/16, 11020, 11770
1402/02/13, 10700, 11490
1402/02/12, 10670, 11480
1402/02/11, 10580, 11130
1402/02/10, 9860, 10550
1402/02/09, 9640, 10480
1402/02/06, 9890, 10420
1402/02/05, 9920, 10840
1402/02/04, 9720, 10280
1402/01/30, 9200, 9860
1402/01/29, 9110, 9750
1402/01/28, 8950, 9560
1402/01/27, 9050, 9750
1402/01/21, 9370, 9540
1402/01/20, 8350, 9290
1402/01/19, 8380, 8770
1402/01/16, 7780, 8470
1402/01/15, 7700, 8260
1402/01/14, 7600, 8290
1402/01/09, 7790, 8330
1402/01/08, 7470, 7980
1402/01/07, 7190, 7590
1402/01/06, 6940, 7290
1402/01/05, 6940, 7290
1401/12/28, 6770, 7080
1401/12/27, 6660, 6930
1401/12/24, 6350, 6650
1401/12/23, 6170, 6440
1401/12/22, 6220, 6450
1401/12/21, 6220, 6430
1401/12/20, 6410, 6690
1401/12/16, 6360, 6690
1401/12/15, 6230, 6590
1401/12/14, 6440, 6690
1401/12/13, 6380, 6670
1401/12/10, 6510, 6900
1401/12/09, 6500, 6900
1401/12/08, 6390, 6920
1401/12/07, 6600, 7140
1401/12/06, 6580, 6880
1401/12/03, 6340, 6690
1401/12/02, 6540, 7000
1401/12/01, 6310, 6650
1401/11/30, 5950, 6360
1401/11/26, 5870, 6130
1401/11/25, 6000, 6370
1401/11/24, 6020, 6430
1401/11/23, 6000, 6150
1401/11/19, 6000, 6200
1401/11/18, 6010, 6230
1401/11/17, 5590, 6230
1401/11/16, 5850, 6400
1401/11/12, 6130, 6490
1401/11/11, 6330, 6700
1401/11/10, 5970, 6670
1401/11/09, 6270, 6750
1401/11/08, 6650, 7120
1401/11/05, 7100, 7500
1401/11/04, 7380, 7860
1401/11/03, 7160, 7460
1401/11/02, 6600, 7150
1401/11/01, 6570, 7150
1401/10/28, 6780, 7240
1401/10/27, 6650, 7070
1401/10/26, 6730, 7020
1401/10/24, 6250, 6740
1401/10/21, 6400, 6940
1401/10/20, 6430, 7060
1401/10/19, 6460, 6940
1401/10/18, 6210, 6650
1401/10/17, 6100, 6440
1401/10/14, 5850, 6350
1401/10/13, 5830, 6400
1401/10/12, 5660, 6130
1401/10/11, 5550, 6140
1401/10/10, 5850, 6250
1401/10/07, 6130, 6450
1401/10/05, 6050, 6260
1401/10/04, 6120, 6410
1401/10/03, 5990, 6450
1401/09/30, 5950, 6280
1401/09/29, 5750, 6130
1401/09/28, 5900, 6380
1401/09/27, 5850, 6250
1401/09/26, 5680, 5970
1401/09/23, 5630, 5840
1401/09/22, 5680, 5980
1401/09/21, 5400, 5630
1401/09/20, 5190, 5510
1401/09/19, 5480, 5870
1401/09/16, 5770, 6130
1401/09/15, 5660, 6170
1401/09/14, 5750, 6000
1401/09/13, 5700, 5940
1401/09/12, 5620, 5850
1401/09/09, 5720, 6090
1401/09/08, 5340, 5810
1401/09/07, 5350, 5570
1401/09/06, 5300, 5520
1401/09/05, 5310, 5650
1401/09/02, 5210, 5560
1401/09/01, 5120, 5300
1401/08/30, 5100, 5390
1401/08/29, 5200, 5400
1401/08/28, 5010, 5440
1401/08/25, 5170, 5470
1401/08/24, 5190, 5500
1401/08/23, 5220, 5680
1401/08/22, 5390, 5780
1401/08/21, 5150, 5560
1401/08/18, 5000, 5350
1401/08/17, 5022, 5540
1401/08/16, 4910, 5341
1401/08/15, 4901, 5097
1401/08/14, 4701, 5129
1401/08/11, 4702, 4920
1401/08/10, 4470, 4873
1401/08/09, 4350, 4633
1401/08/08, 4225, 4438
1401/08/07, 4255, 4720
1401/08/04, 4506, 4800
1401/08/03, 4706, 4970
1401/08/02, 4771, 5008
1401/08/01, 4870, 5135
1401/07/30, 4880, 5250
1401/07/27, 4904, 5189
1401/07/26, 4887, 5150
1401/07/25, 4750, 5020
1401/07/24, 4730, 4840
1401/07/23, 4750, 5080
1401/07/20, 4830, 5000
1401/07/19, 4890, 5080
1401/07/18, 4870, 5100
1401/07/17, 4890, 5160
1401/07/16, 5090, 5400
1401/07/12, 4787, 5228
1401/07/11, 4720, 5133
1401/07/10, 4643, 5050
1401/07/09, 4618, 5060
1401/07/06, 4815, 5099
1401/07/04, 4480, 5039
1401/07/02, 4623, 4960
1401/06/30, 4780, 5200
1401/06/29, 4860, 5210
1401/06/28, 5000, 5230
1401/06/27, 5030, 5270
1401/06/23, 5190, 5390
1401/06/22, 5180, 5420
1401/06/21, 5150, 5360
1401/06/20, 5150, 5380
1401/06/19, 4940, 5370
1401/06/16, 5160, 5370
1401/06/15, 5180, 5460
1401/06/14, 5200, 5470
1401/06/13, 5140, 5400
1401/06/12, 5110, 5480
1401/06/09, 5400, 5730
1401/06/08, 5560, 5890
1401/06/07, 5150, 5560
1401/06/06, 5090, 5350
1401/06/05, 5210, 5580
1401/06/02, 5266, 5460
1401/06/01, 5121, 5409
1401/05/31, 5090, 5300
1401/05/30, 4723, 5063
1401/05/29, 4695, 4839
1401/05/26, 4694, 4880
1401/05/25, 4691, 4895
1401/05/24, 4606, 4898
1401/05/23, 4651, 4969
1401/05/22, 4850, 5070
1401/05/19, 4808, 5000
1401/05/18, 4824, 5097
1401/05/15, 4729, 5001
1401/05/12, 4610, 4787
1401/05/11, 4520, 4783
1401/05/10, 4605, 4880
1401/05/09, 4650, 4890
1401/05/08, 4700, 5036
1401/05/05, 4603, 5039
1401/05/04, 4603, 4938
1401/05/03, 4750, 4970
1401/05/02, 4817, 5116
1401/05/01, 4642, 4985
1401/04/29, 4566, 4971
1401/04/20, 4750, 5100
1401/04/18, 4830, 5170
1401/04/15, 5020, 5320
1401/04/14, 5140, 5500
1401/04/13, 5270, 5560
1401/04/12, 5250, 5500
1401/04/11, 5410, 5700
1401/04/08, 5290, 5690
1401/04/07, 5450, 5900
1401/04/06, 5670, 5970
1401/04/05, 5630, 5970
1401/04/04, 5730, 6100
1401/04/01, 5730, 6080
1401/03/31, 5820, 6230
1401/03/30, 5850, 6300
1401/03/29, 5980, 6490
1401/03/28, 6240, 6780
1401/03/25, 6270, 6930
1401/03/24, 6240, 6800
1401/03/23, 6210, 6560
1401/03/22, 5750, 6290
1401/03/21, 5910, 6370
1401/03/18, 6000, 6510
1401/03/17, 5970, 6670
1401/03/16, 6270, 6590
1401/03/11, 6510, 6840
1401/03/10, 6020, 6520
1401/03/09, 6010, 6570
1401/03/08, 6330, 6730
1401/03/07, 6510, 6980
1401/03/04, 6550, 7010
1401/03/03, 6500, 6810
1401/03/02, 6820, 7290
1401/03/01, 7030, 7500
1401/02/31, 6850, 7490
1401/02/28, 6800, 7370
1401/02/27, 6950, 7630
1401/02/26, 7190, 7700
1401/02/25, 7500, 7650
1401/02/24, 7420, 7420
1401/02/21, 7000, 7000
1401/02/20, 6110, 6700
1401/02/19, 6270, 6650
1401/02/18, 6460, 6780
1401/02/17, 6130, 6620
1401/02/12, 6100, 6430
1401/02/11, 6090, 6390
1401/02/10, 5700, 6130
1401/02/07, 5600, 5980
1401/02/06, 5600, 6070
1401/02/05, 5640, 6000
1401/01/31, 5620, 5950
1401/01/30, 5640, 6080
1401/01/29, 5650, 5960
1401/01/28, 5460, 5690
1401/01/27, 5250, 5460
