date, min_price, max_price
1402/02/31, 17220, 19130
1402/02/30, 17260, 19630
1402/02/27, 17210, 18770
1402/02/25, 16500, 17760
1402/02/24, 15600, 16640
1402/02/23, 15490, 16370
1402/02/20, 16100, 17850
1402/02/19, 17300, 17800
1402/02/18, 18600, 18600
1402/02/17, 19850, 20800
1402/02/16, 20650, 22900
1402/02/13, 20700, 21740
1402/02/12, 19580, 20400
1402/02/11, 18160, 19580
1402/02/10, 17780, 18750
1402/02/09, 17630, 18710
1402/02/06, 17630, 19630
1402/02/05, 18030, 18470
1402/02/04, 16290, 17620
1402/01/30, 16120, 17250
1402/01/29, 16510, 17620
1402/01/28, 16380, 17400
1402/01/27, 17020, 18650
1402/01/26, 17500, 18520
1402/01/22, 16120, 18000
1402/01/21, 16260, 17390
1402/01/20, 15700, 16310
1402/01/19, 14100, 15330
1402/01/16, 13690, 14670
1402/01/15, 13680, 15020
1402/01/14, 13920, 14850
1402/01/09, 13090, 14490
1402/01/08, 13120, 13840
1402/01/07, 12500, 13520
1402/01/06, 12410, 13130
1402/01/05, 12420, 13340
1401/12/28, 12430, 13150
1401/12/27, 12400, 12490
1401/12/22, 11420, 11880
1401/12/21, 11440, 12070
1401/12/20, 11790, 12760
1401/12/16, 12000, 12670
1401/12/15, 11750, 12290
1401/12/14, 11700, 12340
1401/12/13, 11600, 12390
1401/12/10, 11870, 12980
1401/12/09, 12400, 12980
1401/12/08, 12300, 12990
1401/12/07, 12700, 13900
1401/12/06, 12110, 13080
1401/12/03, 12120, 12790
1401/12/02, 12000, 12980
1401/12/01, 11560, 12160
1401/11/30, 11210, 11600
1401/11/26, 10610, 11210
1401/11/25, 10570, 11330
1401/11/24, 11060, 11540
1401/11/23, 11230, 11780
1401/11/19, 11680, 12160
1401/11/18, 11600, 12130
1401/11/17, 11080, 12000
1401/11/16, 11060, 12050
1401/11/12, 11640, 12210
1401/11/11, 11760, 12890
1401/11/10, 12210, 13020
1401/11/09, 13020, 14000
1401/11/08, 13310, 14480
1401/11/05, 13850, 14730
1401/11/04, 13120, 14080
1401/11/03, 12540, 13890
1401/11/02, 13030, 13850
1401/11/01, 12900, 14000
1401/10/28, 13350, 14090
1401/10/27, 13320, 14290
1401/10/26, 13150, 13890
1401/10/24, 12370, 13450
1401/10/21, 12870, 13700
1401/10/20, 12860, 13990
1401/10/19, 13010, 14090
1401/10/18, 13010, 14150
1401/10/17, 13400, 14070
1401/10/14, 12220, 13390
1401/10/13, 12330, 12990
1401/10/12, 11750, 12550
1401/10/11, 11420, 12200
1401/10/10, 11100, 11980
1401/10/07, 11260, 12140
1401/10/05, 11120, 11880
1401/10/04, 11690, 12640
1401/10/03, 12010, 12670
1401/09/30, 11130, 12250
1401/09/29, 11380, 11990
1401/09/28, 10880, 11490
1401/09/27, 10700, 11130
1401/09/26, 9900, 10720
1401/09/23, 9400, 10180
1401/09/22, 9100, 9660
1401/09/21, 8930, 9210
1401/09/20, 8810, 9000
1401/09/19, 8810, 9030
1401/09/16, 8990, 9300
1401/09/15, 8870, 9400
1401/09/14, 8830, 9200
1401/09/13, 8750, 9010
1401/09/12, 8800, 9080
1401/09/09, 8800, 9120
1401/09/08, 8650, 9040
1401/09/07, 8380, 8550
1401/09/06, 8350, 8590
1401/09/05, 8440, 8700
1401/09/02, 8550, 8850
1401/09/01, 8450, 8700
1401/08/30, 8420, 8770
1401/08/29, 8390, 8800
1401/08/28, 8410, 9000
1401/08/25, 8600, 9170
1401/08/24, 8300, 8950
1401/08/23, 8220, 8490
1401/08/22, 8250, 8550
1401/08/21, 8290, 8720
1401/08/18, 8020, 8540
1401/08/17, 8160, 8830
1401/08/16, 8070, 8770
1401/08/15, 8050, 8540
1401/08/14, 7900, 8400
1401/08/11, 7840, 8000
1401/08/10, 7780, 8120
1401/08/09, 7600, 8090
1401/08/08, 7540, 7690
1401/08/07, 7340, 7990
1401/08/04, 7550, 8140
1401/08/03, 7910, 8100
1401/08/02, 7900, 8350
1401/08/01, 7830, 8050
1401/07/30, 7380, 7670
1401/07/27, 7330, 7580
1401/07/26, 7440, 7590
1401/07/25, 7330, 7610
1401/07/24, 7370, 7640
1401/07/23, 7620, 7990
1401/07/20, 7680, 7860
1401/07/19, 7670, 7920
1401/07/18, 7440, 7700
1401/07/17, 7510, 7850
1401/07/16, 7640, 7940
1401/07/12, 7500, 7900
1401/07/11, 7450, 7650
1401/07/10, 7230, 7470
1401/07/09, 7320, 7640
1401/07/06, 7400, 7730
1401/07/04, 7440, 7640
1401/07/02, 7260, 7590
1401/06/30, 7500, 7750
1401/06/29, 7580, 7790
1401/06/28, 7640, 7990
1401/06/27, 7720, 7960
1401/06/23, 7780, 8100
1401/06/22, 7700, 8180
1401/06/21, 7660, 7880
1401/06/20, 7750, 8000
1401/06/19, 7760, 8300
1401/06/16, 8010, 8380
1401/06/15, 8070, 8340
1401/06/14, 8090, 8290
1401/06/13, 8020, 8320
1401/06/12, 8020, 8410
1401/06/09, 8460, 8690
1401/06/08, 8400, 8820
1401/06/07, 8250, 8630
1401/06/06, 8020, 8400
1401/06/05, 8150, 8460
1401/06/02, 8150, 8490
1401/06/01, 8070, 8580
1401/05/31, 7960, 8500
1401/05/30, 7670, 8180
1401/05/29, 7570, 7950
1401/05/26, 7700, 7960
1401/05/25, 7750, 8120
1401/05/24, 7700, 8100
1401/05/23, 7740, 7980
1401/05/22, 7850, 8180
1401/05/19, 7710, 7970
1401/05/18, 7700, 8000
1401/05/15, 7400, 7850
1401/05/12, 7110, 7620
1401/05/11, 7100, 7400
1401/05/10, 7200, 7310
1401/05/09, 7090, 7370
1401/05/08, 7280, 7620
1401/05/05, 7030, 7350
1401/05/04, 6920, 7400
1401/05/03, 7100, 7420
1401/05/02, 7400, 7890
1401/05/01, 7590, 7950
1401/04/29, 7300, 7800
1401/04/28, 7320, 7560
1401/04/26, 7220, 7630
1401/04/25, 7580, 7900
1401/04/22, 7550, 7700
1401/04/21, 7460, 7680
1401/04/20, 7480, 7990
1401/04/18, 7730, 8010
1401/04/15, 7820, 8200
1401/04/14, 8040, 8270
1401/04/13, 8110, 8420
1401/04/12, 7940, 8250
1401/04/11, 7680, 8240
1401/04/08, 7820, 8160
1401/04/07, 7980, 8500
1401/04/06, 7730, 8320
1401/04/05, 7700, 8050
1401/04/04, 7700, 8100
1401/04/01, 7810, 8280
1401/03/31, 7950, 8510
1401/03/30, 8110, 8890
1401/03/24, 8960, 9480
1401/03/23, 9250, 9860
1401/03/22, 8920, 9580
1401/03/21, 8930, 9380
1401/03/18, 9110, 9750
1401/03/17, 8910, 9570
1401/03/16, 9210, 9950
1401/03/11, 9500, 10130
1401/03/10, 9250, 9950
1401/03/09, 9250, 9800
1401/03/08, 9500, 9880
1401/03/07, 10030, 10740
1401/03/04, 10230, 10880
1401/03/03, 9980, 10500
1401/03/02, 10510, 11180
1401/03/01, 10880, 11560
1401/02/31, 10700, 11380
1401/02/28, 10500, 11150
1401/02/27, 10810, 11300
1401/02/26, 10600, 11810
1401/02/25, 10870, 11230
1401/02/24, 10700, 10700
1401/02/21, 10120, 10120
1401/02/20, 9140, 9640
1401/02/19, 9040, 9500
1401/02/18, 9350, 9850
1401/02/17, 9280, 9670
1401/02/12, 8980, 9640
1401/02/11, 9200, 9640
1401/02/10, 8780, 9230
1401/02/07, 8580, 8810
1401/02/06, 8420, 8740
1401/02/05, 8240, 8680
1401/02/04, 8210, 8740
1401/01/31, 8330, 8800
1401/01/30, 8370, 8850
1401/01/29, 8360, 9000
1401/01/28, 8410, 8880
1401/01/27, 8170, 8570
1401/01/24, 8060, 8330
1401/01/23, 8170, 8480
1401/01/22, 8410, 8770
1401/01/21, 8110, 8480
1401/01/20, 7810, 8210
1401/01/17, 7800, 8250
1401/01/16, 8010, 8290
1401/01/15, 8020, 8510
1401/01/14, 7740, 8260
1401/01/10, 7790, 8000
1401/01/09, 7760, 8070
1401/01/07, 7690, 7910
1401/01/06, 7670, 7890
1400/12/28, 7420, 7860
1400/12/25, 7480, 7700
1400/12/24, 7400, 7680
1400/12/23, 7500, 7790
1400/12/22, 7510, 7900
1400/12/21, 7360, 7850
