date, min_price, max_price
1402/03/03, 53000, 54830
1402/03/02, 53300, 55930
1402/03/01, 53290, 56000
1402/02/31, 54600, 55990
1402/02/30, 54400, 58380
1402/02/27, 51100, 56320
1402/02/24, 51600, 53000
1402/02/23, 53990, 54050
1402/02/20, 55670, 60750
1402/02/19, 58530, 59800
1402/02/18, 61610, 62600
1402/02/17, 64410, 68850
1402/02/16, 66990, 68470
1402/02/13, 66650, 69390
1402/02/12, 65700, 68650
1402/02/11, 64260, 67400
1402/02/10, 62710, 65680
1402/02/09, 62740, 67160
1402/02/06, 62210, 67800
1402/02/05, 64230, 67610
1402/01/28, 67300, 68490
1402/01/27, 70580, 73380
1402/01/26, 72390, 75160
1402/01/22, 67810, 71700
1402/01/21, 66500, 70790
1402/01/20, 62850, 66060
1402/01/19, 62300, 63960
1402/01/16, 61150, 62980
1402/01/15, 60010, 62010
1402/01/14, 61750, 63200
1402/01/09, 62200, 63960
1402/01/08, 62770, 64000
1402/01/07, 62850, 64740
1402/01/06, 62500, 67000
1401/12/28, 63000, 64450
1401/12/27, 63900, 65400
1401/12/24, 63250, 67120
1401/12/23, 63800, 65970
1401/12/22, 64950, 67940
1401/12/21, 66000, 69000
1401/12/20, 65000, 68690
1401/12/15, 65300, 68790
1401/12/14, 66550, 69930
1401/12/13, 67000, 68400
1401/12/09, 65360, 69400
1401/12/08, 64760, 70990
1401/12/07, 67500, 69150
1401/12/06, 66450, 69100
1401/12/03, 64010, 66300
1401/12/02, 66000, 67990
1401/12/01, 63550, 66500
1401/11/30, 63350, 64520
1401/11/26, 64520, 65900
1401/11/25, 65110, 68090
1401/11/24, 66570, 69430
1401/11/23, 65440, 69350
1401/11/19, 65510, 69850
1401/11/18, 65610, 70900
1401/11/17, 66280, 70000
1401/11/16, 69650, 70000
1401/11/12, 68700, 69900
1401/11/11, 68950, 69750
1401/11/10, 67820, 71190
1401/11/09, 69250, 74200
1401/11/08, 70270, 75000
1401/11/05, 72000, 74000
1401/11/04, 70000, 72490
1401/10/28, 72000, 73670
1401/10/27, 69600, 70980
1401/10/26, 69700, 70900
1401/10/24, 69950, 71000
1401/10/21, 69000, 70180
1401/10/20, 68000, 71500
1401/10/19, 69500, 72000
1401/10/18, 69950, 71000
1401/10/17, 69900, 70200
1401/10/14, 69000, 70450
1401/10/13, 68950, 69950
1401/10/12, 69000, 69840
1401/10/11, 67000, 69970
1401/10/10, 68550, 69520
1401/10/07, 66010, 71850
1401/10/05, 68000, 68690
