date, min_price, max_price
1402/02/30, 25000, 25850
1402/02/27, 22800, 24550
1402/02/25, 21800, 23250
1402/02/24, 20600, 21800
1402/02/23, 20350, 21650
1402/02/20, 21400, 24450
1402/02/19, 22750, 24100
1402/02/18, 24450, 24450
1402/02/17, 26100, 28000
1402/02/16, 27200, 28750
1402/02/13, 27500, 29900
1402/02/12, 27000, 29400
1402/02/11, 27200, 29900
1402/02/10, 26600, 28150
1402/02/09, 25850, 26500
1402/02/06, 22900, 24950
1402/02/05, 22700, 24600
1402/02/04, 23100, 24900
1402/01/30, 22900, 24200
1402/01/29, 21150, 23100
1402/01/28, 20900, 22500
1402/01/27, 21000, 22600
1402/01/26, 21200, 21800
1402/01/22, 19950, 21300
1402/01/21, 21100, 23000
1402/01/20, 22000, 23700
1402/01/19, 22000, 22950
1402/01/16, 19950, 22200
1402/01/15, 20500, 22850
1402/01/14, 19650, 21650
1402/01/09, 19900, 20980
1402/01/08, 19740, 20300
1402/01/07, 17510, 19380
1402/01/06, 17830, 18570
1402/01/05, 18290, 19590
1401/12/28, 18020, 19200
1401/12/27, 17300, 18800
1401/12/24, 16490, 17830
1401/12/23, 16380, 16940
1401/12/22, 16390, 17390
1401/12/21, 16650, 18000
1401/12/20, 16840, 18150
1401/12/16, 16880, 17900
1401/12/15, 16480, 17450
1401/12/14, 16480, 17600
1401/12/13, 17000, 17700
1401/12/10, 16990, 18020
1401/12/09, 17500, 18430
1401/12/08, 17750, 18950
1401/12/07, 18380, 19350
1401/12/06, 18030, 19200
1401/12/03, 17180, 19000
1401/12/02, 17900, 18400
1401/12/01, 15950, 17310
1401/11/30, 15950, 17250
1401/11/26, 16780, 17950
1401/11/25, 16710, 17750
1401/11/24, 15900, 16860
1401/11/23, 15200, 16370
1401/11/19, 15990, 16980
1401/11/18, 15670, 16380
1401/11/17, 15950, 16880
1401/11/16, 15680, 17080
1401/11/12, 16240, 16820
1401/11/11, 16160, 17230
1401/11/10, 16190, 17620
1401/11/09, 17380, 17820
1401/11/08, 17900, 19360
1401/11/05, 18300, 19570
1401/11/04, 17680, 19500
1401/11/03, 17770, 18900
1401/11/02, 17200, 18840
1401/11/01, 16990, 19130
1401/10/28, 17890, 18500
1401/10/27, 17200, 18150
1401/10/26, 15810, 17130
1401/10/24, 15360, 16400
1401/10/21, 15800, 16400
1401/10/20, 15600, 16480
1401/10/19, 15570, 16450
