date, min_price, max_price
1402/02/31, 20150, 21900
1402/02/30, 20150, 21480
1402/02/27, 20300, 21780
1402/02/25, 20010, 20910
1402/02/24, 19210, 20030
1402/02/23, 19070, 19440
1402/02/20, 19750, 21600
1402/02/19, 20400, 21300
1402/02/18, 21470, 21500
1402/02/17, 22510, 23820
1402/02/16, 23000, 24000
1402/02/13, 22910, 23530
1402/02/12, 22890, 23500
1402/02/11, 22870, 23800
1402/02/10, 23350, 23970
1402/02/09, 22650, 23400
1402/02/06, 22830, 23690
1402/02/05, 23000, 24620
1402/02/04, 22620, 23670
1402/01/30, 22100, 22760
1402/01/29, 21900, 22800
1402/01/28, 20420, 21860
1402/01/27, 20100, 20900
1402/01/26, 19490, 19920
1402/01/22, 18500, 19340
1402/01/21, 19080, 20280
1402/01/20, 19560, 20400
1402/01/19, 19400, 20220
1402/01/16, 18460, 19880
1402/01/15, 18630, 19310
1402/01/14, 18320, 19540
1402/01/09, 18280, 19250
1402/01/08, 17840, 18610
1402/01/07, 16620, 18240
1402/01/06, 17050, 17940
1402/01/05, 17350, 18500
1401/12/28, 17610, 18030
1401/12/27, 16710, 17190
1401/12/24, 16000, 16390
1401/12/23, 15110, 16110
1401/12/22, 15500, 15700
1401/12/21, 15500, 16130
1401/12/20, 15910, 16590
1401/12/16, 15300, 15850
1401/12/15, 14420, 15140
1401/12/14, 13940, 14650
1401/12/13, 14110, 14430
1401/12/10, 14230, 14680
1401/12/09, 14590, 14850
1401/12/08, 14590, 15300
1401/12/07, 14820, 15450
1401/12/06, 14200, 14730
1401/12/03, 13800, 14260
1401/12/02, 13940, 14550
1401/12/01, 13200, 14030
1401/11/30, 13210, 13450
1401/11/26, 13330, 13480
1401/11/25, 13350, 13540
1401/11/24, 13350, 13570
1401/11/23, 13410, 13570
1401/11/19, 13380, 13670
1401/11/18, 13300, 13600
1401/11/17, 13100, 13590
1401/11/16, 13250, 13510
1401/11/12, 13310, 13580
1401/11/11, 13440, 13740
1401/11/10, 12720, 13500
1401/11/09, 12850, 13410
1401/11/08, 13210, 13820
1401/11/05, 13750, 14410
1401/11/04, 14230, 14660
1401/11/03, 14410, 15100
1401/11/02, 14080, 14750
1401/11/01, 13950, 14340
1401/10/28, 14150, 14600
1401/10/27, 14420, 14760
1401/10/26, 14320, 14770
1401/10/24, 13940, 14600
1401/10/21, 14320, 15100
1401/10/20, 14840, 15250
1401/10/19, 14760, 15180
1401/10/18, 14900, 15200
1401/10/17, 14400, 14860
1401/10/14, 13760, 14550
1401/10/13, 13820, 14250
1401/10/12, 13070, 14000
1401/10/11, 13110, 13800
1401/10/10, 13600, 13980
1401/10/07, 13660, 14450
1401/10/05, 13510, 13890
1401/10/04, 13380, 13900
1401/10/03, 13150, 13810
1401/09/30, 13040, 13590
1401/09/29, 12700, 13350
1401/09/28, 13070, 13380
1401/09/27, 12990, 13370
1401/09/26, 12930, 13300
1401/09/23, 12920, 13470
1401/09/22, 12330, 12900
1401/09/21, 12120, 12480
1401/09/20, 11940, 12350
1401/09/19, 11750, 12190
1401/09/16, 11900, 12250
1401/09/15, 12060, 12240
1401/09/14, 12210, 12540
1401/09/13, 12200, 12450
1401/09/12, 12170, 12570
1401/09/09, 12120, 12400
1401/09/08, 12000, 12340
1401/09/07, 12010, 12250
1401/09/06, 12130, 12300
1401/09/05, 12200, 12440
1401/09/02, 12160, 12350
1401/09/01, 12120, 12320
1401/08/30, 12200, 12500
1401/08/29, 12400, 12850
1401/08/28, 12210, 12730
1401/08/25, 11830, 12280
1401/08/24, 11880, 12170
1401/08/23, 11730, 12010
1401/08/22, 11900, 12220
1401/08/21, 11850, 12420
1401/08/18, 11510, 12100
1401/08/17, 11750, 12250
1401/08/16, 11260, 11970
1401/08/15, 11240, 11510
1401/08/14, 11080, 11550
1401/08/11, 10900, 11200
1401/08/10, 10890, 11250
1401/08/09, 10790, 10940
1401/08/08, 10770, 10820
1401/08/07, 10770, 10970
1401/08/04, 10770, 10830
1401/08/03, 10800, 11080
1401/08/02, 10910, 11200
1401/08/01, 11000, 11240
1401/07/30, 10850, 11000
1401/07/27, 10990, 11090
1401/07/26, 11020, 11100
1401/07/25, 10970, 11060
1401/07/24, 10950, 11050
1401/07/23, 10950, 11090
1401/07/20, 10910, 11070
1401/07/19, 10830, 11080
1401/07/18, 10770, 10880
1401/07/17, 10770, 10800
1401/07/16, 10760, 10890
1401/07/12, 10780, 10890
1401/07/11, 10770, 11140
1401/07/10, 10770, 10840
1401/07/09, 10770, 11010
1401/07/06, 11010, 11300
1401/07/04, 10780, 11200
1401/07/02, 10810, 11250
1401/06/30, 11250, 11400
1401/06/29, 11280, 11400
1401/06/28, 11320, 11500
1401/06/27, 11370, 11550
1401/06/23, 11410, 11710
1401/06/22, 11390, 11680
1401/06/21, 11300, 11450
1401/06/20, 11250, 11590
1401/06/19, 11410, 11630
1401/06/16, 11460, 11650
1401/06/15, 11390, 11670
1401/06/14, 11430, 11800
1401/06/13, 11380, 11630
1401/06/12, 11450, 11810
1401/06/09, 11730, 12000
1401/06/08, 11720, 12170
1401/06/07, 11610, 11880
1401/06/06, 11540, 11850
1401/06/05, 11590, 11950
1401/06/02, 11600, 11840
1401/06/01, 11390, 11790
1401/05/31, 11300, 11470
1401/05/30, 11240, 11650
1401/05/29, 11020, 11680
1401/05/26, 11060, 11300
1401/05/25, 11280, 11470
1401/05/24, 11180, 11550
1401/05/23, 11280, 11670
1401/05/22, 11390, 11880
1401/05/19, 11230, 11550
1401/05/18, 11450, 11740
1401/05/15, 11720, 12000
1401/05/12, 11070, 11620
1401/05/11, 10940, 11170
1401/05/10, 10930, 11100
1401/05/09, 10810, 11330
1401/05/08, 11160, 11620
1401/05/05, 11450, 11760
1401/05/04, 11470, 12000
1401/05/03, 11540, 12150
1401/05/02, 12010, 12330
1401/05/01, 12150, 12350
1401/04/29, 12150, 12320
1401/04/28, 12050, 12300
1401/04/26, 12020, 12400
1401/04/25, 12130, 12490
1401/04/22, 12180, 12430
1401/04/21, 12100, 12530
1401/04/20, 12090, 12650
1401/04/18, 12580, 12900
1401/04/15, 12790, 13160
1401/04/14, 12750, 13160
1401/04/13, 13000, 13490
1401/04/12, 12560, 13360
1401/04/11, 12610, 13120
1401/04/08, 13090, 13400
1401/04/07, 13250, 13660
1401/04/06, 13010, 13450
1401/04/05, 13200, 13920
1401/04/04, 13450, 14140
1401/04/01, 13910, 14700
1401/03/31, 14230, 15000
1401/03/30, 14720, 14840
1401/03/29, 14010, 14400
1401/03/28, 14380, 15640
1401/03/25, 15080, 15590
1401/03/24, 15530, 16690
1401/03/23, 15700, 16140
1401/03/22, 15380, 15390
1401/03/16, 16570, 16570
1401/03/09, 16500, 17900
1401/03/08, 17200, 17200
1401/03/07, 16390, 16390
1401/03/04, 15610, 15610
1401/03/03, 14870, 14870
1401/03/02, 14170, 14170
1401/03/01, 13500, 13500
1401/02/31, 12860, 12860
1401/02/28, 12250, 12250
