date, min_price, max_price
1402/03/03, 46000, 49300
1402/03/02, 46840, 49000
1402/03/01, 44500, 46810
1402/02/31, 42880, 46480
1402/02/30, 42540, 45540
1402/02/27, 42000, 44480
1402/02/25, 39660, 42940
1402/02/24, 40300, 41610
1402/02/23, 38650, 41500
1402/02/20, 40730, 44910
1402/02/19, 43500, 46190
1402/02/18, 46770, 46770
1402/02/17, 49780, 53100
1402/02/16, 49500, 54070
1402/02/13, 45040, 51030
1402/02/12, 46210, 47940
1402/02/06, 49500, 51000
1402/02/05, 49960, 52200
1402/02/04, 48500, 50630
1402/01/30, 45980, 48460
1402/01/29, 46350, 48340
1402/01/28, 44460, 46300
1402/01/27, 44480, 47100
1402/01/26, 43320, 48600
1402/01/22, 43370, 47110
1402/01/21, 42140, 46140
1402/01/20, 42000, 43180
1402/01/19, 38500, 40450
1402/01/16, 35980, 38450
1402/01/15, 36540, 39000
1402/01/14, 35880, 38250
1402/01/09, 36480, 37950
1402/01/08, 36550, 38300
1402/01/07, 35000, 37810
1402/01/06, 35360, 38270
1402/01/05, 37500, 39190
1401/12/28, 38170, 40420
1401/12/27, 36230, 38760
1401/12/24, 35330, 37100
1401/12/23, 33840, 35730
1401/12/22, 33750, 35490
1401/12/21, 33500, 35900
1401/12/20, 34320, 36390
1401/12/16, 34000, 35200
1401/12/15, 32580, 35000
1401/12/14, 32300, 33670
1401/12/13, 32610, 33380
1401/12/10, 33250, 34000
1401/12/09, 34040, 36370
1401/12/08, 33100, 36450
1401/12/07, 32700, 34650
1401/12/06, 30800, 32510
1401/12/03, 29110, 31450
1401/12/02, 29610, 30770
1401/12/01, 28640, 30500
1401/11/30, 28140, 29010
1401/11/26, 28050, 29020
1401/11/25, 28650, 29800
1401/11/24, 28630, 29590
1401/11/23, 28620, 29700
1401/11/19, 28530, 29330
1401/11/18, 28850, 29640
1401/11/17, 27780, 29480
1401/11/16, 27840, 29000
1401/11/12, 28640, 29720
1401/11/11, 28500, 29600
1401/11/10, 27300, 29390
1401/11/09, 27580, 28960
1401/11/08, 27980, 29840
1401/11/05, 29100, 31000
1401/11/04, 30300, 31200
1401/11/03, 30020, 31520
1401/11/02, 29350, 30690
1401/11/01, 29490, 31190
1401/10/28, 29440, 30290
1401/10/27, 29060, 30400
1401/10/26, 29190, 30500
1401/10/24, 28450, 30270
1401/10/21, 29450, 30450
1401/10/20, 29660, 30880
1401/10/19, 29900, 31010
1401/10/18, 29320, 31280
1401/10/17, 28520, 30030
1401/10/14, 28500, 29420
1401/10/13, 28580, 30360
1401/10/12, 28590, 30700
1401/10/11, 28520, 30000
1401/10/10, 29500, 31400
1401/10/07, 31270, 31720
1401/10/05, 27470, 30050
1401/10/04, 27950, 28780
1401/10/03, 27550, 28300
1401/09/30, 27290, 28000
1401/09/29, 27760, 28580
1401/09/28, 27500, 28800
1401/09/27, 27260, 28960
1401/09/26, 26630, 27420
1401/09/23, 26500, 27040
1401/09/22, 26160, 27090
1401/09/21, 25510, 26240
1401/09/20, 25310, 26800
1401/09/19, 26190, 26590
1401/09/16, 26290, 26650
1401/09/15, 26200, 26770
1401/09/14, 26320, 26900
1401/09/13, 26290, 27030
1401/09/12, 26500, 27200
1401/09/09, 26500, 27150
1401/09/08, 26310, 27230
1401/09/07, 26110, 27250
1401/09/06, 26050, 26790
1401/09/05, 26460, 27100
1401/09/02, 26700, 27500
1401/09/01, 26670, 27000
1401/08/30, 26910, 27900
1401/08/29, 26900, 28100
1401/08/28, 27210, 28000
1401/08/25, 26560, 28100
1401/08/24, 26020, 27900
1401/08/23, 26860, 27380
1401/08/21, 26630, 28250
1401/08/18, 26510, 27950
1401/08/17, 26510, 28000
1401/08/16, 27010, 28500
1401/08/15, 26660, 27390
1401/08/14, 25050, 27290
1401/08/11, 25130, 25980
1401/08/10, 25180, 25700
1401/08/09, 25050, 25840
1401/08/08, 25020, 26150
1401/08/07, 24460, 26000
1401/08/04, 24020, 25150
1401/08/03, 24920, 26230
1401/08/02, 25200, 26500
1401/08/01, 25190, 26350
1401/07/30, 25070, 26890
1401/07/27, 25520, 26090
1401/07/26, 25550, 26130
1401/07/25, 25050, 26090
1401/07/24, 25620, 26000
1401/07/23, 25800, 26200
1401/07/20, 25800, 26150
1401/07/19, 25830, 26420
1401/07/18, 25280, 26200
1401/07/17, 25380, 26130
1401/07/16, 26110, 27260
1401/07/12, 26250, 26860
1401/07/11, 26130, 27000
1401/07/10, 26120, 27000
1401/07/09, 26310, 27370
1401/07/06, 26610, 27800
1401/07/04, 26700, 27690
1401/07/02, 26500, 27670
1401/06/30, 27010, 27800
1401/06/29, 27260, 28240
1401/06/28, 27320, 28040
1401/06/27, 27410, 28010
1401/06/23, 27710, 28240
1401/06/22, 27600, 28800
1401/06/21, 27020, 28370
1401/06/20, 27540, 28300
1401/06/19, 28120, 28510
1401/06/16, 28200, 28870
1401/06/15, 28310, 29000
1401/06/14, 28240, 29000
1401/06/13, 28240, 29080
1401/06/12, 28220, 29300
1401/06/09, 28790, 29510
1401/06/08, 28900, 29610
1401/06/07, 28920, 29650
1401/06/06, 29400, 29850
1401/06/05, 29400, 30190
1401/06/02, 29230, 30200
1401/06/01, 29200, 29930
1401/05/31, 29240, 30200
1401/05/30, 29130, 30130
1401/05/29, 29150, 30300
1401/05/26, 29160, 30500
1401/05/25, 29270, 31480
1401/05/24, 29600, 30270
1401/05/23, 29540, 30440
1401/05/22, 29910, 30750
1401/05/19, 29260, 30570
1401/05/18, 29510, 30140
1401/05/15, 29670, 30450
1401/05/12, 29520, 30180
1401/05/11, 29500, 30400
1401/05/10, 29580, 31540
1401/05/09, 29080, 31610
1401/05/08, 30300, 31420
1401/05/05, 30260, 31800
1401/05/04, 29880, 31470
1401/05/03, 29610, 31490
1401/05/02, 30610, 32490
1401/05/01, 31330, 32440
1401/04/29, 31310, 32180
1401/04/28, 30660, 31750
1401/04/26, 30660, 31380
1401/04/25, 30340, 31500
1401/04/22, 30700, 31600
1401/04/21, 30210, 31500
1401/04/20, 30220, 31680
1401/04/18, 30000, 31870
1401/04/15, 30000, 32200
1401/04/14, 30740, 31750
1401/04/13, 30610, 31850
1401/04/12, 29700, 31160
1401/04/11, 29620, 31500
1401/04/08, 30500, 31400
1401/04/07, 30100, 31360
1401/04/06, 29570, 30920
1401/04/05, 29010, 30890
1401/04/04, 28890, 31450
1401/04/01, 30510, 32800
1401/03/31, 31500, 33400
1401/03/30, 30700, 33240
1401/03/29, 30180, 32450
1401/03/28, 31270, 32880
1401/03/25, 32130, 33730
1401/03/24, 30720, 32000
1401/03/23, 28480, 30290
1401/03/22, 27890, 29180
1401/03/21, 28020, 29190
1401/03/18, 28650, 29290
1401/03/17, 27600, 28950
1401/03/16, 27030, 28000
1401/03/11, 27280, 28300
