date, min_price, max_price
1402/03/03, 44500, 46900
1402/03/02, 43550, 45900
1402/03/01, 45000, 47500
1402/02/31, 45000, 47250
1402/02/30, 45000, 49550
1402/02/27, 44700, 47750
1402/02/25, 43400, 47650
1402/02/24, 41650, 45500
1402/02/23, 42300, 45950
1402/02/20, 42200, 46700
1402/02/19, 40850, 46950
1402/02/18, 43850, 44800
1402/02/17, 46800, 50250
1402/02/16, 49450, 53700
1402/02/13, 52100, 55800
1402/02/12, 50700, 53300
1402/02/11, 48200, 51750
1402/02/10, 48100, 50800
1402/02/09, 47750, 51000
1402/02/06, 49000, 51800
1402/02/05, 50200, 53600
1402/02/04, 49150, 50100
1402/01/29, 44800, 48400
1402/01/28, 44300, 47200
1402/01/27, 44000, 49300
1402/01/26, 47200, 47200
1402/01/21, 43000, 44300
1402/01/20, 40000, 41950
1402/01/19, 38600, 39400
1402/01/16, 34650, 37300
1402/01/15, 33800, 35900
1402/01/14, 32200, 35000
1402/01/09, 32850, 33950
1402/01/08, 32550, 34400
1402/01/07, 30900, 33450
1402/01/06, 30100, 32350
1402/01/05, 31100, 33600
1401/12/28, 30750, 32250
1401/12/27, 29200, 30700
1401/12/24, 28450, 29850
1401/12/23, 27900, 28750
1401/12/22, 28000, 30000
1401/12/21, 28550, 30250
1401/12/20, 30050, 31850
1401/12/16, 30200, 31300
1401/12/15, 27700, 31350
1401/12/14, 28600, 30100
1401/12/08, 28100, 29450
1401/12/07, 28000, 30950
1401/12/06, 28050, 29250
1401/12/03, 26950, 28550
1401/12/02, 27400, 29650
1401/12/01, 26850, 28700
1401/11/30, 26500, 28200
1401/11/26, 27000, 29400
1401/11/25, 27300, 29950
1401/11/24, 28150, 30800
1401/11/23, 29250, 31400
1401/11/19, 27450, 30000
1401/11/18, 27600, 28850
1401/11/17, 26000, 28400
1401/11/16, 26750, 29300
1401/11/12, 28050, 29950
1401/11/11, 28000, 30550
1401/11/10, 29200, 31200
1401/11/09, 31250, 33000
1401/11/08, 31800, 35350
1401/11/05, 32300, 34300
1401/11/04, 29800, 32950
1401/11/03, 29950, 32200
1401/11/02, 30500, 32100
1401/11/01, 29850, 33450
1401/10/28, 29800, 32800
1401/10/27, 30350, 32700
1401/10/26, 30950, 32650
1401/10/24, 30250, 32700
1401/10/21, 31750, 33500
1401/10/20, 32850, 35650
1401/10/19, 34250, 36200
1401/10/18, 32700, 34450
1401/10/17, 30350, 33750
1401/10/14, 32450, 33700
1401/10/13, 33000, 37350
1401/10/12, 33050, 35250
1401/10/11, 32950, 32950
1401/10/10, 30800, 30800
1401/10/07, 30100, 30100
1401/10/05, 29250, 29250
1401/10/04, 28500, 28500
1401/10/03, 28300, 28300
1401/09/30, 28050, 28050
1401/09/29, 27950, 27950
1401/09/28, 27650, 27650
1401/09/27, 27400, 27400
1401/09/26, 27250, 27250
1401/09/15, 60900, 69950
1401/09/14, 63600, 67000
1401/09/13, 64050, 69800
1401/09/12, 63000, 65950
1401/09/09, 61650, 61650
1401/09/08, 56100, 58000
1401/09/07, 50550, 55200
1401/09/06, 50550, 52350
1401/09/05, 50800, 53000
1401/09/02, 51450, 52400
1401/09/01, 50500, 52600
1401/08/30, 50150, 53500
1401/08/29, 49650, 52700
1401/08/28, 50000, 52950
1401/08/25, 51100, 53300
1401/08/24, 50800, 52950
1401/08/23, 50600, 56850
1401/08/22, 53900, 55900
1401/08/21, 51650, 54950
1401/08/18, 50150, 53900
1401/08/17, 51000, 53500
1401/08/16, 49800, 51900
1401/08/15, 48900, 50600
1401/08/14, 47350, 51000
1401/08/11, 46500, 48900
1401/08/10, 47250, 49400
1401/08/09, 46900, 49750
1401/08/08, 46000, 48750
1401/08/07, 46800, 49000
1401/08/04, 46800, 49900
1401/08/03, 47350, 49650
1401/08/02, 47500, 49900
1401/08/01, 48400, 50450
1401/07/30, 48400, 50700
1401/07/27, 49000, 50250
1401/07/26, 49050, 51300
1401/07/25, 48300, 50800
1401/07/24, 48000, 51500
1401/07/23, 50250, 52150
1401/07/20, 50000, 52250
1401/07/19, 50500, 52150
1401/07/18, 50000, 52800
1401/07/17, 48750, 51850
1401/07/16, 50200, 53350
1401/07/12, 49000, 51250
1401/07/11, 49550, 52000
1401/07/10, 50100, 51550
1401/07/09, 51050, 55000
1401/07/06, 52000, 56400
1401/07/04, 50800, 54400
1401/07/02, 50500, 53050
1401/06/30, 52100, 56400
1401/06/29, 52200, 56450
1401/06/28, 52200, 54650
1401/06/27, 53350, 56400
1401/06/23, 55600, 59000
1401/06/22, 57350, 60050
1401/06/21, 58600, 61500
1401/06/20, 58250, 62700
1401/06/19, 59900, 64700
1401/06/16, 58700, 63600
1401/06/15, 58500, 61450
1401/06/14, 58600, 62950
1401/06/13, 57850, 62200
1401/06/12, 58450, 61000
1401/06/09, 57000, 61200
1401/06/08, 57300, 62200
1401/06/07, 58000, 62400
1401/06/06, 58700, 61400
1401/06/05, 57050, 61600
1401/06/02, 56000, 59400
1401/06/01, 54300, 57900
1401/05/31, 54600, 59000
1401/05/30, 57200, 59400
1401/05/29, 55400, 59500
1401/05/26, 57400, 60750
1401/05/25, 58950, 66450
1401/05/24, 59500, 65900
1401/05/23, 58100, 63900
1401/05/22, 60300, 60300
1401/05/19, 52450, 59050
1401/05/18, 53650, 56450
1401/05/15, 50800, 53800
1401/05/12, 50000, 52250
1401/05/11, 49100, 54500
1401/05/10, 51000, 52300
1401/05/09, 48100, 51950
1401/05/08, 50000, 53700
1401/05/05, 51650, 53800
1401/05/04, 51300, 53900
1401/05/03, 54500, 56800
1401/05/02, 57450, 60900
1401/05/01, 60500, 61950
1401/04/29, 60150, 61900
1401/04/28, 60450, 63200
1401/04/26, 61500, 63400
1401/04/25, 61550, 65300
1401/04/22, 62200, 65750
1401/04/21, 61500, 64800
1401/04/20, 61900, 67450
1401/04/18, 63950, 67450
1401/04/15, 61500, 65600
1401/04/14, 63000, 65600
1401/04/13, 62450, 65400
1401/04/12, 62000, 64850
1401/04/11, 63900, 69600
1401/04/08, 67100, 69500
1401/04/07, 66050, 69050
1401/04/06, 65800, 68300
1401/04/05, 65850, 69000
1401/04/04, 67500, 72750
1401/04/01, 66000, 71150
1401/03/31, 65800, 69900
1401/03/30, 68950, 74200
1401/03/29, 72000, 76400
1401/03/28, 73000, 78700
1401/03/25, 75650, 78100
1401/03/24, 75500, 79000
1401/03/23, 76050, 79550
1401/03/22, 73050, 78250
1401/03/21, 73750, 79500
1401/03/18, 75000, 78000
1401/03/17, 72050, 77400
1401/03/16, 76350, 80000
1401/03/11, 78200, 82450
1401/03/10, 74000, 78500
1401/03/09, 72650, 80950
1401/03/08, 77000, 80000
1401/03/07, 81150, 87050
1401/03/04, 85100, 93500
1401/03/03, 87500, 93300
1401/03/02, 83600, 93800
1401/03/01, 88800, 90000
1401/02/31, 92900, 102400
1401/02/28, 94050, 100500
1401/02/27, 90050, 98200
1401/02/26, 86500, 93750
1401/02/25, 83200, 89350
1401/02/24, 82800, 84400
1401/02/21, 74000, 80700
1401/02/20, 74000, 78150
1401/02/19, 78150, 82000
1401/02/18, 79100, 86000
1401/02/17, 77900, 82400
1401/02/12, 75500, 80350
1401/02/11, 75000, 83000
1401/02/10, 76950, 79350
1401/02/07, 72800, 77300
1401/02/06, 71600, 76900
1401/02/05, 71100, 74550
1401/02/04, 66500, 71900
1401/01/31, 66650, 71000
1401/01/30, 67200, 71250
1401/01/29, 66000, 69900
1401/01/28, 65000, 67050
1401/01/27, 65000, 66950
1401/01/24, 65000, 66350
1401/01/23, 62750, 67400
1401/01/22, 64500, 66900
1401/01/21, 63700, 66000
1401/01/20, 63150, 65000
1401/01/17, 63350, 66900
1401/01/16, 65000, 67100
1401/01/15, 65500, 69000
1401/01/14, 67000, 69600
1401/01/10, 63050, 68500
1401/01/09, 63900, 67750
1401/01/07, 62600, 65900
1401/01/06, 65450, 68100
1400/12/28, 61050, 65450
1400/12/25, 61000, 63350
1400/12/24, 61500, 63800
1400/12/23, 62700, 65750
1400/12/22, 62450, 64600
1400/12/21, 62600, 64400
1400/12/18, 63950, 65900
1400/12/17, 63900, 66900
1400/12/16, 64500, 68700
1400/12/15, 62450, 67000
1400/12/14, 63300, 66600
1400/12/11, 66150, 69350
1400/12/09, 67950, 71950
1400/12/08, 68300, 74000
1400/12/07, 68650, 72050
1400/12/04, 63350, 69700
1400/12/03, 63100, 69550
1400/12/02, 64750, 68700
1400/12/01, 65100, 65250
1400/11/30, 66550, 73550
1400/11/18, 68650, 69650
1400/11/17, 71750, 75800
1400/11/16, 73800, 78000
1400/11/13, 77600, 78650
1400/11/12, 78550, 81700
1400/11/11, 78950, 81900
1400/11/10, 80550, 86000
1400/11/09, 80950, 86900
1400/11/06, 82650, 88800
1400/11/05, 82850, 82900
1400/11/04, 83150, 83400
1400/11/03, 83600, 85350
1400/11/02, 84250, 89950
1400/10/29, 85550, 89000
1400/10/28, 86250, 89300
1400/10/27, 87200, 93250
1400/10/26, 89050, 93700
1400/10/25, 90400, 96700
1400/10/22, 91450, 93250
1400/10/21, 85550, 89800
1400/10/20, 78550, 86750
1400/10/19, 79000, 85500
1400/10/18, 76300, 84300
1400/10/15, 77035, 79575
1400/10/14, 77637, 80500
1400/10/13, 78416, 81990
1400/10/12, 78921, 83450
1400/10/11, 80592, 86000
1400/10/08, 85100, 87212
1400/10/07, 81420, 85087
1400/10/06, 76221, 83361
1400/10/05, 77500, 80105
1400/10/04, 78978, 78978
1400/10/01, 78227, 78227
1400/09/30, 70100, 77045
1400/09/29, 71020, 74900
1400/09/28, 71401, 74920
1400/09/27, 71440, 73990
1400/09/24, 72256, 74423
1400/09/23, 74058, 74999
1400/09/22, 75816, 76700
1400/09/21, 76232, 81780
1400/09/20, 77700, 84000
1400/09/17, 77600, 80800
1400/09/16, 79143, 82000
1400/09/15, 81010, 83900
1400/09/14, 82009, 84460
1400/09/13, 83381, 85900
1400/09/10, 85696, 89900
1400/09/09, 88790, 92000
1400/09/08, 89002, 92900
1400/09/07, 89312, 92000
1400/09/06, 89500, 93061
1400/09/03, 91000, 93650
1400/09/02, 90000, 96990
1400/09/01, 92602, 97500
1400/08/30, 96555, 98760
1400/08/29, 100014, 105000
1400/08/26, 105277, 105277
1400/08/25, 99610, 100894
1400/08/24, 89904, 97156
1400/08/23, 90000, 96500
1400/08/22, 88834, 95950
1400/08/19, 91660, 93954
1400/08/18, 92366, 97000
1400/08/17, 94752, 98800
1400/08/16, 94150, 103400
1400/08/15, 95300, 99653
1400/08/12, 93000, 97390
1400/08/11, 91005, 97000
1400/08/10, 93580, 103410
1400/08/09, 95252, 99300
1400/08/08, 99860, 105999
1400/08/05, 100869, 100869
1400/08/04, 102439, 102439
1400/08/03, 103891, 103900
1400/08/01, 106065, 112000
1400/07/28, 111174, 117399
1400/07/27, 114351, 121737
1400/07/26, 114251, 125990
1400/07/25, 110904, 122546
1400/07/24, 115918, 121300
1400/07/21, 116585, 116585
1400/07/20, 122561, 125300
1400/07/19, 118460, 129348
1400/07/18, 126518, 126518
1400/07/17, 123661, 123661
1400/07/14, 112500, 118913
1400/07/12, 112793, 118240
1400/07/11, 118253, 123600
1400/07/10, 123768, 135485
1400/07/07, 129756, 133060
1400/07/06, 134944, 143000
1400/07/04, 139623, 153000
1400/07/03, 145579, 160000
1400/06/31, 148307, 148307
1400/06/30, 150638, 150638
1400/06/29, 155400, 158850
1400/06/28, 145372, 151712
1400/06/27, 133050, 145372
1400/06/24, 138293, 142899
1400/06/23, 140769, 155585
1400/06/22, 143500, 149294
1400/06/17, 140048, 142368
1400/06/16, 131000, 135741
1400/06/15, 123800, 129348
1400/06/14, 119192, 123783
1400/06/13, 111052, 120427
1400/06/10, 106108, 115383
1400/06/09, 101299, 111259
1400/06/08, 108547, 108547
1400/06/07, 105291, 105291
1400/06/06, 101363, 101363
1400/06/03, 98591, 98591
1400/06/02, 90250, 94756
1400/06/01, 89800, 93740
1400/05/31, 87500, 92389
1400/05/24, 89584, 96000
1400/05/23, 91200, 98999
1400/05/20, 92015, 96500
1400/05/19, 88110, 94294
1400/05/18, 88070, 91400
1400/05/17, 87173, 92000
1400/05/16, 91257, 99500
1400/05/13, 94120, 97900
1400/05/12, 87200, 95756
1400/05/11, 90150, 94088
1400/05/10, 94088, 99500
1400/05/09, 98440, 103000
1400/05/06, 103575, 106300
1400/05/05, 106586, 112000
1400/05/04, 112011, 115100
1400/04/28, 115628, 127000
1400/04/27, 120550, 121720
1400/04/26, 111000, 116712
1400/04/23, 103200, 111406
1400/04/22, 105652, 110499
1400/04/21, 107541, 110666
1400/04/20, 109612, 115080
1400/04/19, 113012, 117000
1400/04/16, 115030, 121490
1400/04/15, 115344, 120755
1400/04/14, 119368, 121000
1400/04/13, 120409, 122000
1400/04/12, 122569, 133336
1400/04/09, 124826, 125830
1400/04/08, 125830, 128086
1400/04/07, 128086, 130000
1400/04/06, 131264, 134400
1400/04/05, 134350, 145500
1400/04/02, 136417, 146799
1400/04/01, 132751, 146723
1400/03/31, 132960, 132960
1400/03/30, 135238, 135950
1400/03/29, 135298, 135298
1400/03/26, 135301, 135301
1400/03/24, 135432, 135432
1400/03/23, 135456, 135456
1400/03/22, 135588, 135590
1400/03/19, 136313, 141890
1400/03/18, 137147, 143800
1400/03/17, 139060, 150500
1400/03/12, 137787, 146999
1400/03/11, 136776, 150500
1400/03/10, 137718, 143000
1400/03/09, 144495, 150019
1400/03/08, 138654, 153248
1400/03/05, 138674, 138674
1400/03/04, 138698, 138698
1400/03/03, 138701, 138701
1400/03/02, 138750, 138750
1400/02/29, 138787, 138787
1400/02/26, 138854, 138854
1400/02/25, 138890, 138890
1400/02/22, 145081, 153950
1400/02/21, 145116, 145116
1400/02/20, 145118, 145118
1400/02/18, 145651, 145652
1400/02/15, 145652, 145652
1400/02/13, 145675, 145675
1400/02/12, 145709, 145709
1400/02/08, 147091, 154990
1400/02/07, 147099, 147099
1400/02/06, 147149, 147149
1400/02/05, 149168, 149168
1400/02/04, 149169, 149169
1400/02/01, 149173, 149173
1400/01/31, 150881, 150881
1400/01/30, 150983, 153000
1400/01/29, 151371, 151371
1400/01/28, 151587, 151587
1400/01/25, 151918, 152970
1400/01/24, 152961, 160649
1400/01/23, 153149, 157000
1400/01/22, 153768, 156700
1400/01/21, 153784, 153784
1400/01/18, 153909, 154299
1400/01/17, 154014, 155687
1400/01/16, 154216, 154360
1400/01/15, 154371, 154583
1400/01/14, 154583, 156690
1400/01/11, 154715, 157890
1400/01/10, 155075, 157930
1400/01/08, 155435, 157950
1400/01/07, 155722, 158500
1399/12/27, 156163, 160490
1399/12/26, 156641, 162900
1399/12/25, 155762, 168476
1399/12/24, 156302, 160000
1399/12/23, 156806, 159690
1399/12/20, 157501, 162500
1399/12/19, 158000, 163282
1399/12/18, 156010, 165000
1399/12/17, 155938, 165900
1399/12/16, 155250, 165884
1399/12/13, 156175, 165000
1399/12/12, 158740, 164000
1399/12/11, 158854, 161060
1399/12/05, 162567, 171100
1399/12/04, 161000, 170000
1399/12/03, 158552, 166600
1399/12/02, 157215, 170038
1399/11/29, 157449, 157449
1399/11/28, 158321, 162000
1399/11/27, 159136, 161974
1399/11/26, 160015, 171000
1399/11/25, 163700, 170000
1399/11/21, 155450, 160490
1399/11/20, 157985, 167000
1399/11/19, 160020, 166900
1399/11/18, 159414, 168700
1399/11/15, 161620, 170000
1399/11/14, 162530, 170000
1399/11/13, 164000, 172453
1399/11/12, 168833, 186603
1399/11/11, 174500, 182548
1399/11/08, 163684, 180911
1399/11/07, 165131, 170740
1399/11/06, 166234, 174500
1399/11/05, 169293, 177990
1399/11/04, 171600, 178990
1399/11/01, 173774, 183900
1399/10/30, 177877, 185318
1399/10/29, 180898, 187999
1399/10/27, 189946, 200000
1399/10/24, 197014, 207000
1399/10/23, 200000, 217500
1399/10/22, 200000, 211439
1399/10/21, 190000, 202800
1399/10/20, 198123, 208000
1399/10/17, 203400, 217000
1399/10/16, 197510, 209008
1399/10/15, 196680, 204000
1399/10/14, 193184, 207998
1399/10/13, 199369, 209862
1399/10/10, 200700, 217500
1399/10/09, 203500, 211557
1399/10/08, 194470, 207700
1399/10/07, 200000, 208390
1399/10/06, 191400, 199987
1399/10/03, 186010, 196000
1399/10/02, 188733, 198538
1399/10/01, 195104, 204698
1399/09/30, 197800, 213950
1399/09/29, 200600, 214977
1399/09/26, 200044, 217854
1399/09/25, 203171, 206285
1399/09/24, 204766, 225999
1399/09/23, 201313, 216779
1399/09/22, 201300, 215400
1399/09/19, 198000, 209355
1399/09/18, 199000, 206000
1399/09/17, 192850, 202488
1399/09/16, 184000, 198129
1399/09/15, 180230, 192800
1399/09/12, 182500, 190000
1399/09/11, 186100, 192000
1399/09/10, 190000, 196498
1399/09/09, 183400, 196000
1399/09/08, 180000, 190810
1399/09/05, 186355, 195000
1399/09/04, 180000, 191126
1399/09/03, 172700, 186663
1399/09/02, 169601, 181900
1399/09/01, 174000, 186250
1399/08/28, 171000, 188000
1399/08/27, 171722, 189798
1399/08/26, 180015, 186696
1399/08/25, 174000, 181094
1399/08/24, 162500, 175766
1399/08/21, 161200, 170000
1399/08/20, 163200, 175350
1399/08/19, 161592, 170000
1399/08/18, 164555, 175000
1399/08/17, 164100, 180000
1399/08/14, 159100, 173148
1399/08/12, 164895, 168000
1399/08/11, 165827, 170550
1399/08/10, 168504, 182000
1399/08/07, 177262, 185000
1399/08/06, 178270, 178270
1399/08/05, 178460, 178460
1399/08/03, 181679, 188192
1399/07/30, 188193, 199000
1399/07/29, 192607, 200000
1399/07/28, 195542, 200000
1399/07/27, 203522, 219990
1399/07/23, 213454, 225000
1399/07/22, 217200, 234998
1399/07/21, 217030, 239100
1399/07/20, 207502, 229126
1399/07/19, 216053, 226000
1399/07/16, 225406, 239690
1399/07/15, 235578, 242219
1399/07/14, 224000, 231077
1399/07/13, 214720, 223959
1399/07/12, 206800, 217110
1399/07/09, 195161, 215000
1399/07/08, 201721, 222490
1399/07/07, 202171, 202171
1399/07/06, 200173, 221243
1399/07/05, 202010, 210736
1399/07/02, 201509, 201509
1399/07/01, 190000, 194404
1399/06/31, 180020, 186371
1399/06/30, 170888, 188876
1399/06/29, 180010, 186612
1399/06/26, 178272, 183095
1399/06/25, 167001, 178173
1399/06/24, 165000, 176000
1399/06/23, 165010, 176980
1399/06/22, 170690, 173934
1399/06/19, 154520, 170700
1399/06/18, 159133, 173000
1399/06/17, 161640, 172100
1399/06/16, 162600, 177345
1399/06/15, 165001, 173800
1399/06/12, 164030, 171000
1399/06/11, 156000, 166526
1399/06/10, 151210, 158770
1399/06/05, 151210, 151210
1399/06/04, 143000, 147749
1399/06/03, 140094, 149690
1399/06/02, 147428, 152500
1399/06/01, 146900, 160000
1399/05/29, 150585, 158283
1399/05/28, 150000, 161014
1399/05/27, 150000, 160990
1399/05/26, 155100, 162900
1399/05/25, 145116, 160390
1399/05/22, 148000, 155960
1399/05/21, 144311, 151000
1399/05/20, 141414, 151730
1399/05/19, 146518, 159000
1399/05/15, 150013, 164000
1399/05/14, 156000, 159974
1399/05/13, 147362, 154673
1399/05/12, 147308, 147308
1399/05/11, 140294, 140294
1399/05/08, 129968, 139800
1399/05/07, 131000, 143500
1399/05/06, 131000, 139560
1399/05/05, 130323, 139000
1399/05/04, 132000, 142000
1399/05/01, 131705, 143000
1399/04/31, 133000, 145099
1399/04/30, 135202, 139534
1399/04/29, 128051, 137200
1399/04/28, 125003, 135600
1399/04/25, 124488, 130019
1399/04/24, 115830, 124488
1399/04/23, 113050, 124890
1399/04/22, 117798, 119029
1399/04/21, 107871, 118500
1399/04/18, 113166, 122222
1399/04/17, 117077, 123283
1399/04/16, 118500, 125880
1399/04/15, 111641, 123391
1399/04/14, 117005, 124490
1399/04/11, 120300, 129289
1399/04/10, 119261, 123339
1399/04/09, 108000, 119260
1399/04/08, 112158, 123500
1399/04/07, 116831, 121403
1399/04/04, 106900, 116737
1399/04/03, 109120, 111195
1399/04/02, 101000, 108646
1399/04/01, 98340, 106000
1399/03/31, 101410, 108690
1399/03/27, 97200, 106461
1399/03/26, 98965, 105555
1399/03/25, 102017, 109000
1399/03/24, 105999, 107481
1399/03/21, 98420, 106044
1399/03/20, 96949, 107153
1399/03/19, 103818, 103818
1399/03/18, 98001, 100555
1399/03/17, 96000, 96675
1399/03/13, 92983, 92983
1399/03/12, 85719, 89695
1399/03/11, 82900, 85649
1399/03/10, 80444, 82810
1399/03/07, 74000, 79913
1399/03/06, 75957, 78755
1399/03/03, 77785, 81796
1399/02/31, 77128, 84890
1399/02/30, 79999, 81916
1399/02/29, 77777, 79815
1399/02/28, 72808, 76362
1399/02/27, 70000, 75199
1399/02/24, 66200, 72120
1399/02/23, 68044, 71799
1399/02/22, 70823, 76042
1399/02/21, 67545, 74653
1399/02/20, 73005, 73005
1399/02/17, 65515, 71087
1399/02/16, 64580, 70997
1399/02/15, 67148, 70500
1399/02/14, 70682, 70682
1399/02/13, 68702, 68702
1399/02/10, 64498, 66043
1399/02/09, 60080, 64498
1399/02/08, 59759, 62900
1399/02/07, 61157, 65800
1399/02/06, 63001, 64514
1399/02/03, 58010, 62290
1399/02/02, 57600, 60100
1399/02/01, 59000, 62270
1399/01/31, 58852, 65046
1399/01/30, 60050, 62142
1399/01/27, 57007, 59438
1399/01/26, 55807, 58700
1399/01/25, 58563, 59999
1399/01/24, 58505, 63599
1399/01/23, 58576, 60671
1399/01/20, 54500, 58576
1399/01/19, 54400, 57999
1399/01/18, 56310, 58900
1399/01/17, 57000, 62400
1399/01/16, 59001, 59696
1399/01/11, 53500, 58177
1399/01/10, 56337, 56337
1399/01/09, 53655, 53655
1399/01/06, 49500, 51148
1399/01/05, 48901, 48901
1398/12/28, 45710, 47284
1398/12/27, 44507, 46150
1398/12/26, 44946, 48890
1398/12/25, 45275, 45275
1398/12/19, 47379, 51980
1398/12/17, 46570, 50419
1398/12/14, 49005, 49005
