date, min_price, max_price
1402/03/03, 50920, 53000
1402/03/02, 49810, 51200
1402/03/01, 48300, 49850
1402/02/31, 46930, 49890
1402/02/30, 48040, 50800
1402/02/27, 49010, 51450
1402/02/20, 54000, 57300
1402/02/19, 52870, 56560
1402/02/18, 55560, 56500
1402/02/17, 58240, 61800
1402/02/16, 60000, 62000
1402/02/13, 58850, 61000
1402/02/12, 58000, 60800
1402/02/11, 58500, 61000
1402/02/10, 57310, 60000
1402/02/09, 58100, 59490
1402/02/06, 55530, 59300
1402/02/05, 57000, 58360
1402/02/04, 54640, 57560
1402/01/30, 54230, 56090
1402/01/29, 55070, 57300
1402/01/28, 53200, 55500
1402/01/27, 52000, 54970
1402/01/26, 52310, 54680
1402/01/22, 51100, 54000
1402/01/21, 50900, 55090
1402/01/20, 50590, 52980
1402/01/19, 48250, 50580
1402/01/16, 46620, 49000
1402/01/15, 47130, 50000
1402/01/14, 46010, 49300
1402/01/09, 46010, 47500
1402/01/08, 45860, 47600
1402/01/07, 45000, 46500
1402/01/06, 45000, 46670
1402/01/05, 45100, 47180
1401/12/28, 45120, 47300
1401/12/27, 43420, 45590
1401/12/24, 42610, 44220
1401/12/23, 42210, 43600
1401/12/22, 42200, 43600
1401/12/21, 42000, 43890
1401/12/20, 42220, 43680
1401/12/16, 42220, 43640
1401/12/15, 41570, 43480
1401/12/14, 41050, 42280
1401/12/13, 40870, 42960
1401/12/10, 41260, 43400
1401/12/09, 42370, 43500
1401/12/08, 41000, 43500
1401/12/07, 41000, 42330
1401/12/06, 39990, 42020
1401/12/03, 39200, 40990
1401/12/02, 38500, 40330
1401/12/01, 37800, 39330
1401/11/30, 37660, 38660
1401/11/26, 37500, 38600
1401/11/25, 37500, 38490
1401/11/24, 37200, 38750
1401/11/23, 37500, 38610
1401/11/19, 38000, 38990
1401/11/18, 37590, 39380
1401/11/17, 37200, 38300
1401/11/16, 37570, 39000
1401/11/12, 38210, 39450
1401/11/11, 38400, 39570
1401/11/10, 38110, 40100
1401/11/09, 38080, 40500
1401/11/08, 39710, 41980
1401/11/05, 40730, 43100
1401/11/04, 41640, 43610
1401/11/03, 41650, 45350
1401/11/02, 42770, 45200
1401/11/01, 41120, 43530
1401/10/28, 40600, 42000
1401/10/27, 40880, 42100
1401/10/26, 40490, 42390
1401/10/24, 40020, 42800
1401/10/21, 40190, 42180
1401/10/20, 39010, 40700
1401/10/19, 38400, 39150
1401/10/18, 37810, 38750
1401/10/17, 37760, 39390
1401/10/14, 37900, 38990
1401/10/13, 37700, 38990
1401/10/12, 36640, 39750
1401/10/11, 37050, 38670
1401/10/10, 37450, 39950
1401/10/07, 39000, 40250
1401/10/05, 37140, 38780
1401/10/04, 36410, 37770
1401/10/03, 35780, 37130
1401/09/30, 35690, 37340
1401/09/29, 36210, 37090
1401/09/28, 36070, 37350
1401/09/27, 36090, 36790
1401/09/26, 35160, 35790
1401/09/23, 35020, 36090
1401/09/22, 34270, 35390
1401/09/21, 33650, 34990
1401/09/20, 33670, 34300
1401/09/19, 34000, 34880
1401/09/16, 34280, 34830
1401/09/15, 34540, 35550
1401/09/14, 34510, 35680
1401/09/13, 34020, 35750
1401/09/12, 34130, 35260
1401/09/09, 34310, 35500
1401/09/08, 33820, 35670
1401/09/07, 33600, 34790
1401/09/06, 33600, 34350
1401/09/05, 33710, 34590
1401/09/02, 34260, 35140
1401/09/01, 34140, 35000
1401/08/30, 34650, 35570
1401/08/29, 34610, 36990
1401/08/28, 34290, 35650
1401/08/25, 33500, 34050
1401/08/24, 33900, 34380
1401/08/23, 33020, 34290
1401/08/22, 33520, 34530
1401/08/21, 33050, 35790
1401/08/18, 34100, 34880
1401/08/17, 34230, 35530
1401/08/16, 34000, 35240
1401/08/15, 33400, 35000
1401/08/14, 32210, 34850
1401/08/11, 32200, 33990
1401/08/10, 33420, 34310
1401/08/09, 32420, 33720
1401/08/08, 32220, 33670
1401/08/07, 32200, 33790
1401/08/04, 32300, 33830
1401/08/03, 33340, 34470
1401/08/02, 33400, 34330
1401/08/01, 33850, 35050
1401/07/30, 33490, 35890
1401/07/27, 34700, 35800
1401/07/26, 34800, 36670
1401/07/25, 34000, 35930
1401/07/24, 34020, 35200
1401/07/23, 34860, 36980
1401/07/20, 34510, 36100
1401/07/19, 35010, 36440
1401/07/18, 33960, 35990
1401/07/17, 33890, 34890
1401/07/16, 34030, 35510
1401/07/12, 33900, 34990
1401/07/11, 34150, 35490
1401/07/10, 34000, 35440
1401/07/09, 34500, 35440
1401/07/06, 35290, 35910
1401/07/04, 34760, 35890
1401/07/02, 34760, 35900
1401/06/30, 34860, 35830
1401/06/29, 35000, 35740
1401/06/28, 34800, 35530
1401/06/27, 35000, 35920
1401/06/23, 35130, 35980
1401/06/22, 35020, 35940
1401/06/21, 35250, 35890
1401/06/20, 35240, 36060
1401/06/19, 35230, 36250
1401/06/16, 35360, 36340
1401/06/15, 34760, 36350
1401/06/14, 35650, 36300
1401/06/13, 35660, 36440
1401/06/12, 35320, 36710
1401/06/09, 35950, 36460
1401/06/08, 35750, 36490
1401/06/07, 35000, 36970
1401/06/06, 35540, 36790
1401/06/05, 36110, 37400
1401/06/02, 35850, 37800
1401/06/01, 36100, 36860
1401/05/31, 35500, 36900
1401/05/30, 35570, 36600
1401/05/29, 35400, 36860
1401/05/26, 36010, 36900
1401/05/25, 35310, 37430
1401/05/24, 36320, 37790
1401/05/23, 37000, 38450
1401/05/22, 36920, 38000
1401/05/19, 36790, 38430
1401/05/18, 36500, 38530
1401/05/15, 36400, 38530
1401/05/12, 37500, 38300
1401/05/11, 37300, 38450
1401/05/10, 36020, 38600
1401/05/09, 36180, 38080
1401/05/08, 37280, 39850
1401/05/05, 36080, 38650
1401/05/04, 35610, 37890
1401/05/03, 36070, 38480
1401/05/02, 37140, 38900
1401/05/01, 37540, 38890
1401/04/29, 36240, 38000
1401/04/28, 35700, 37330
1401/04/26, 35700, 37000
1401/04/25, 36070, 37430
1401/04/22, 36240, 38170
1401/04/21, 36560, 38390
1401/04/20, 36800, 38850
1401/04/18, 37380, 38970
1401/04/15, 38040, 39370
1401/04/14, 38410, 40200
1401/04/13, 38990, 40900
1401/04/12, 37620, 40830
1401/04/11, 37330, 39300
1401/04/08, 38220, 39350
1401/04/07, 38480, 39470
1401/04/06, 38320, 40300
1401/04/05, 38240, 39750
1401/04/04, 38150, 41000
1401/04/01, 38000, 39710
1401/03/31, 38580, 40590
1401/03/30, 38510, 40650
1401/03/29, 37960, 40400
1401/03/28, 38760, 40780
1401/03/25, 39600, 41190
1401/03/24, 40250, 41900
1401/03/23, 40250, 42450
1401/03/22, 39970, 40990
1401/03/21, 39660, 41300
1401/03/18, 39920, 40790
1401/03/17, 39650, 41280
1401/03/16, 38540, 41290
1401/03/11, 39570, 41290
1401/03/10, 39370, 40730
1401/03/09, 39330, 41290
1401/03/08, 39180, 41900
1401/03/07, 40340, 43340
1401/03/04, 42000, 43350
1401/03/03, 41080, 43000
1401/03/02, 40870, 43500
1401/03/01, 41160, 44000
1401/02/31, 40600, 43950
1401/02/28, 41480, 44150
1401/02/27, 42610, 46050
1401/02/26, 43120, 44690
1401/02/25, 40000, 42610
1401/02/19, 44100, 46590
1401/02/18, 43720, 46500
1401/02/17, 45760, 46620
1401/02/12, 45650, 46800
1401/02/11, 45040, 46670
1401/02/10, 45000, 47170
1401/02/07, 44480, 46150
1401/02/06, 43850, 45890
1401/02/05, 42810, 44790
1401/02/04, 43240, 44950
1401/01/31, 43200, 44780
1401/01/30, 43300, 44780
1401/01/29, 43050, 44800
1401/01/28, 42800, 43780
1401/01/27, 42510, 43950
1401/01/24, 40860, 43180
1401/01/23, 41550, 43000
1401/01/22, 41760, 43000
1401/01/21, 40620, 43000
1401/01/20, 40600, 42980
1401/01/17, 41140, 44000
1401/01/16, 40830, 43080
1401/01/15, 39800, 42000
1401/01/14, 40100, 41970
1401/01/10, 39220, 40870
1401/01/09, 38900, 40390
1401/01/08, 38670, 39870
1401/01/07, 38000, 39200
1401/01/06, 37700, 39200
1400/12/28, 37440, 39200
1400/12/25, 37110, 38400
1400/12/24, 36660, 37970
1400/12/23, 36630, 37190
1400/12/22, 36510, 37700
1400/12/21, 36510, 37940
1400/12/18, 37010, 37490
1400/12/17, 37000, 37870
1400/12/16, 37000, 37900
1400/12/15, 36600, 37860
1400/12/14, 36940, 38000
1400/12/11, 35870, 37540
1400/12/09, 36340, 37500
1400/12/08, 36240, 37270
1400/12/07, 36400, 37670
1400/12/04, 36720, 37730
1400/12/03, 36650, 37990
1400/12/02, 36500, 37570
1400/12/01, 35800, 37550
1400/11/30, 35300, 37470
1400/11/27, 35340, 36400
1400/11/25, 35110, 36160
1400/11/24, 35010, 36180
1400/11/23, 35180, 36480
