date, min_price, max_price
1402/03/03, 6180, 6450
1402/03/02, 6120, 6380
1402/03/01, 6090, 6290
1402/02/31, 5760, 6220
1402/02/30, 5770, 6480
1402/02/27, 5890, 6390
1402/02/25, 6130, 6700
1402/02/24, 6430, 6630
1402/02/19, 6170, 6450
1402/02/18, 6630, 6630
1402/02/17, 6940, 7740
1402/02/16, 7300, 7830
1402/02/13, 7530, 8190
1402/02/12, 7820, 8200
1402/02/11, 7600, 7980
1402/02/10, 7290, 7770
1402/02/09, 7460, 8000
1402/02/06, 7700, 8180
1402/01/29, 7400, 7710
1402/01/28, 6760, 7470
1402/01/27, 6820, 7180
1402/01/26, 6750, 6960
1402/01/22, 6270, 6770
1402/01/21, 6380, 7150
1402/01/20, 6600, 7090
1402/01/19, 6750, 7010
1402/01/16, 6200, 6590
1402/01/15, 5990, 6190
1402/01/14, 5210, 5860
1402/01/09, 5320, 5620
1402/01/08, 5240, 5440
1402/01/07, 4990, 5290
1402/01/06, 4820, 5140
1402/01/05, 5120, 5370
1401/12/28, 5101, 5400
1401/12/27, 5050, 5232
1401/12/24, 4720, 5050
1401/12/23, 4620, 4890
1401/12/22, 4540, 4860
1401/12/21, 4710, 5050
1401/12/20, 4950, 5330
1401/12/16, 5120, 5320
1401/12/15, 5060, 5430
1401/12/14, 5030, 5380
1401/12/13, 5050, 5250
1401/12/06, 5260, 5610
1401/12/03, 5220, 5440
1401/12/02, 5260, 5750
1401/12/01, 5170, 5530
1401/11/30, 5100, 5300
1401/11/26, 5190, 5360
1401/11/25, 5220, 5590
1401/11/24, 5490, 5760
1401/11/23, 5360, 5770
1401/11/19, 5430, 5690
1401/11/18, 5150, 5480
1401/11/17, 4900, 5290
1401/11/16, 5130, 5360
1401/11/12, 5090, 5320
1401/11/11, 4890, 5210
1401/11/10, 4680, 5040
1401/11/09, 4600, 5170
1401/11/08, 4700, 5120
1401/11/05, 4860, 5400
1401/11/04, 5100, 5360
1401/11/03, 5200, 5700
1401/11/02, 5390, 5680
1401/11/01, 5360, 5630
1401/10/27, 5590, 6000
1401/10/26, 5860, 6230
1401/10/24, 5610, 6140
1401/10/21, 5920, 6280
1401/10/20, 6000, 6390
1401/10/19, 5760, 6150
1401/10/18, 5400, 5840
1401/10/17, 5260, 5620
1401/10/14, 5320, 5740
1401/10/13, 5500, 5810
1401/10/12, 5070, 5460
1401/10/11, 4970, 5380
1401/10/10, 5210, 5500
1401/10/07, 5430, 5750
1401/10/05, 5360, 5640
1401/10/04, 5150, 5410
1401/10/03, 5080, 5380
1401/09/30, 5050, 5220
1401/09/29, 4860, 5180
1401/09/28, 4999, 5394
1401/09/27, 5185, 5432
1401/09/26, 4811, 5144
1401/09/23, 4720, 4920
1401/09/22, 4681, 5000
1401/09/21, 4660, 4980
1401/09/20, 4661, 5005
1401/09/19, 4560, 4761
1401/09/16, 4180, 4494
1401/09/15, 4122, 4265
1401/09/14, 4228, 4410
1401/09/13, 4095, 4300
1401/09/12, 4090, 4260
1401/09/09, 3970, 4186
1401/09/08, 3700, 3959
1401/09/07, 3661, 3750
1401/09/06, 3660, 3807
1401/09/05, 3650, 3828
1401/09/02, 3700, 3850
1401/09/01, 3703, 3860
1401/08/30, 3685, 3780
1401/08/29, 3758, 3895
1401/08/28, 3770, 3920
1401/08/25, 3671, 3800
1401/08/24, 3685, 3890
1401/08/23, 3723, 3946
1401/08/22, 3750, 3910
1401/08/21, 3852, 4080
1401/08/18, 3990, 4190
1401/08/16, 3830, 4080
1401/08/15, 3817, 3980
1401/08/14, 3760, 4000
1401/08/11, 3710, 3989
1401/08/10, 3698, 3870
1401/08/09, 3301, 3697
1401/08/08, 3420, 3550
1401/08/07, 3560, 3900
1401/08/04, 3750, 3900
1401/08/03, 3870, 4000
1401/08/02, 3821, 4000
1401/08/01, 3820, 3950
1401/07/30, 3910, 4089
1401/07/27, 3900, 4086
1401/07/26, 3900, 4020
1401/07/25, 3621, 3955
1401/07/24, 3714, 3900
1401/07/23, 3861, 4020
1401/07/20, 3820, 4000
1401/07/19, 3790, 4080
1401/07/18, 3770, 3960
1401/07/17, 3667, 3940
1401/07/16, 3715, 3926
1401/07/12, 3477, 3700
1401/07/11, 3270, 3477
1401/07/10, 3070, 3338
1401/07/09, 3262, 3575
1401/07/06, 3380, 3589
1401/07/04, 3250, 3580
1401/07/02, 3310, 3550
1401/06/30, 3444, 3580
1401/06/29, 3293, 3544
1401/06/28, 3430, 3675
1401/06/27, 3558, 3670
1401/06/23, 3630, 3800
1401/06/22, 3700, 3844
1401/06/21, 3753, 3970
1401/06/20, 3830, 4060
1401/06/19, 3625, 4091
1401/06/16, 3750, 4044
1401/06/15, 3627, 4082
1401/06/14, 3711, 3910
1401/06/13, 3460, 3719
1401/06/12, 3415, 3530
1401/06/09, 3260, 3534
1401/06/08, 3270, 3365
1401/06/07, 3245, 3447
1401/06/06, 3262, 3450
1401/06/05, 3423, 3550
1401/06/02, 3360, 3540
1401/06/01, 3400, 3596
1401/05/31, 3392, 3484
1401/05/30, 3184, 3436
1401/05/29, 3360, 3450
1401/05/26, 3400, 3534
1401/05/25, 3410, 3585
1401/05/24, 3360, 3600
1401/05/23, 3395, 3580
1401/05/22, 3400, 3650
1401/05/19, 3369, 3599
1401/05/18, 3420, 3613
1401/05/15, 3263, 3481
1401/05/12, 3162, 3338
1401/05/11, 3150, 3150
1401/05/10, 2920, 2974
