date, min_price, max_price
1402/03/03, 22300, 22810
1402/03/02, 20549, 22899
1402/03/01, 22600, 23120
1402/02/31, 22550, 22988
1402/02/30, 22301, 23074
1402/02/27, 22690, 23500
1402/02/25, 22678, 23620
1402/02/24, 22502, 23649
1402/02/23, 21982, 22800
1402/02/20, 22501, 23980
1402/02/19, 22400, 23298
1402/02/18, 21500, 23200
1402/02/17, 22652, 25290
1402/02/16, 24801, 25498
1402/02/13, 24360, 25199
1402/02/12, 24500, 25325
1402/02/11, 24371, 25910
1402/02/10, 24574, 25500
1402/02/09, 23400, 24500
1402/02/06, 23023, 23602
1402/02/05, 23230, 24000
1402/02/04, 23600, 24420
1402/01/30, 23854, 24574
1402/01/29, 23550, 24340
1402/01/28, 22350, 23299
1402/01/27, 22101, 22466
1402/01/26, 21900, 22415
1402/01/22, 22000, 22420
1402/01/21, 21860, 22462
1402/01/20, 22202, 22890
1402/01/19, 22152, 23218
1402/01/16, 21913, 22490
1402/01/15, 21900, 23300
1402/01/14, 22452, 23150
1402/01/09, 22863, 23382
1402/01/08, 22490, 22979
1402/01/07, 22311, 22990
1402/01/06, 22110, 23100
1402/01/05, 20950, 22249
1401/12/28, 21652, 22287
1401/12/27, 21555, 22390
1401/12/24, 21460, 22090
1401/12/23, 20886, 21753
1401/12/22, 20158, 21100
1401/12/21, 20090, 20778
1401/12/20, 20610, 21980
1401/12/16, 21619, 22379
1401/12/15, 21500, 22500
1401/12/14, 22150, 23170
1401/12/13, 22330, 23400
1401/12/10, 21822, 23390
1401/12/09, 22901, 24510
1401/12/08, 23703, 25000
1401/12/07, 24750, 27090
1401/12/06, 24201, 25961
1401/12/03, 22781, 23948
1401/12/02, 22515, 23472
1401/12/01, 22401, 24210
1401/11/30, 23482, 24111
1401/11/26, 23003, 23600
1401/11/25, 22711, 23250
1401/11/24, 22700, 23749
1401/11/23, 21600, 23261
1401/11/19, 21312, 21638
1401/11/18, 21381, 21927
1401/11/17, 21501, 21900
1401/11/16, 21501, 22183
1401/11/12, 21504, 22037
1401/11/11, 21151, 21699
1401/11/10, 20824, 21734
1401/11/09, 20750, 21990
1401/11/08, 20752, 21720
1401/11/05, 20211, 21688
1401/11/04, 21260, 22950
1401/11/03, 21600, 23300
1401/11/02, 20165, 21880
1401/11/01, 19675, 20160
1401/10/28, 19604, 19990
1401/10/27, 19742, 20400
1401/10/26, 19650, 20189
1401/10/24, 19603, 19800
1401/10/21, 19640, 19937
1401/10/20, 19641, 19900
1401/10/19, 19643, 19940
1401/10/18, 19421, 19950
1401/10/17, 19315, 19690
1401/10/14, 19453, 19873
1401/10/13, 19410, 20045
1401/10/12, 19605, 20128
1401/10/11, 19170, 20247
1401/10/10, 19490, 20250
1401/10/07, 19980, 21400
1401/10/05, 19420, 19980
1401/10/04, 19480, 19800
1401/10/03, 19275, 20113
1401/09/30, 19160, 20122
1401/09/29, 19900, 20626
1401/09/28, 18707, 20350
1401/09/27, 18550, 18900
1401/09/26, 18400, 18777
1401/09/23, 18400, 18800
1401/09/22, 18321, 18950
1401/09/21, 18232, 18637
1401/09/20, 18260, 18689
1401/09/19, 18100, 18650
1401/09/16, 18100, 18497
1401/09/15, 18322, 18698
1401/09/14, 18275, 18528
1401/09/13, 18101, 18453
1401/09/12, 18200, 18690
1401/09/09, 18530, 18824
1401/09/08, 18555, 19190
1401/09/07, 18151, 18749
1401/09/06, 18026, 18289
1401/09/05, 17912, 18265
1401/09/02, 18014, 18178
1401/09/01, 18015, 18289
1401/08/30, 18100, 18300
1401/08/29, 18000, 18400
1401/08/28, 17710, 18395
1401/08/25, 18100, 18433
1401/08/24, 18271, 18776
1401/08/23, 17951, 18708
1401/08/22, 18100, 18469
1401/08/21, 18213, 18773
1401/08/18, 18500, 19200
1401/08/17, 18873, 19500
1401/08/16, 18777, 19100
1401/08/15, 18735, 19050
1401/08/14, 18350, 18800
1401/08/11, 17918, 18337
1401/08/10, 17840, 18046
1401/08/09, 17727, 18330
1401/08/08, 18120, 18499
1401/08/07, 17351, 18168
1401/08/04, 16745, 17610
1401/08/03, 17511, 18188
1401/08/02, 18070, 18450
1401/08/01, 18262, 18465
1401/07/30, 18220, 18450
1401/07/27, 18237, 18350
1401/07/26, 18222, 18370
1401/07/25, 18200, 18400
1401/07/24, 18245, 18576
1401/07/23, 18129, 18500
1401/07/20, 18150, 18550
1401/07/19, 18250, 18750
1401/07/18, 18702, 19179
1401/07/17, 18150, 19000
1401/07/16, 18129, 18590
1401/07/12, 18330, 18638
1401/07/11, 18304, 18689
1401/07/10, 17990, 18629
1401/07/09, 18175, 18700
1401/07/06, 18620, 19258
1401/07/04, 18080, 18890
