date, min_price, max_price
1402/03/03, 92650, 95000
1402/03/02, 89220, 93670
1402/03/01, 87000, 89460
1402/02/31, 83500, 88900
1402/02/30, 84000, 88600
1402/02/27, 86750, 90450
1402/02/25, 88670, 93330
1402/02/19, 96500, 105350
1402/02/18, 100320, 103000
1402/02/17, 105030, 114020
1402/02/16, 107950, 113000
1402/02/13, 107900, 111000
1402/02/12, 108160, 112000
1402/02/11, 108000, 110900
1402/02/10, 108900, 112480
1402/02/09, 107840, 111840
1402/02/06, 104710, 110980
1402/02/05, 108270, 112860
1402/02/04, 109140, 114550
1402/01/30, 103000, 113400
1402/01/29, 106000, 108730
1402/01/28, 99100, 103840
1402/01/27, 97000, 101000
1402/01/26, 97000, 100500
1402/01/22, 93000, 99890
1402/01/21, 95520, 105480
1402/01/20, 98000, 101190
1402/01/19, 92960, 97250
1402/01/16, 88770, 95780
1402/01/15, 89600, 93730
1402/01/14, 86050, 91330
1402/01/09, 85600, 89310
1402/01/08, 84500, 87990
1402/01/07, 83000, 86780
1402/01/06, 84350, 89700
1402/01/05, 86000, 87980
1401/12/28, 86210, 87980
1401/12/27, 81340, 83930
1401/12/24, 77010, 80360
1401/12/23, 74010, 77630
1401/12/22, 73090, 77880
1401/12/21, 74440, 79990
1401/12/20, 77600, 81360
1401/12/16, 74860, 78430
1401/12/15, 71200, 75680
1401/12/14, 71160, 73500
1401/12/13, 71060, 73000
1401/12/10, 72090, 73740
1401/12/09, 71160, 74600
1401/12/08, 70280, 74500
1401/12/07, 71100, 76000
1401/12/06, 70000, 72550
1401/12/03, 67810, 70890
1401/12/02, 68000, 70490
1401/12/01, 65250, 67290
1401/11/30, 63450, 65000
1401/11/26, 63150, 64190
1401/11/25, 63520, 65990
1401/11/24, 65000, 67870
1401/11/23, 64010, 65990
1401/11/19, 64500, 67530
1401/11/18, 64710, 67000
1401/11/17, 63550, 66000
1401/11/16, 64730, 67090
1401/11/12, 64960, 67090
1401/11/11, 65100, 68300
1401/11/10, 64100, 69240
1401/11/09, 66740, 69420
1401/11/08, 68650, 72140
1401/11/05, 71840, 76090
1401/11/04, 73780, 78800
1401/11/03, 71700, 76100
1401/11/02, 70050, 73700
1401/11/01, 70200, 71980
1401/10/28, 68780, 71170
1401/10/27, 69050, 71000
1401/10/26, 70000, 70720
1401/10/24, 66500, 69800
1401/10/21, 66500, 70000
