date, min_price, max_price
1402/03/03, 9461, 9550
1402/03/02, 9376, 9469
1402/03/01, 9331, 9527
1402/02/31, 9407, 9556
1402/02/30, 9340, 9449
1402/02/27, 9425, 9469
1402/02/25, 9406, 9500
1402/02/24, 9423, 9500
1402/02/23, 9420, 9500
1402/02/20, 9427, 9575
1402/02/19, 9501, 9589
1402/02/18, 9400, 9541
1402/02/17, 9462, 9584
1402/02/16, 9500, 9622
1402/02/13, 9677, 9730
1402/02/12, 9651, 9769
1402/02/11, 9678, 9834
1402/02/10, 9678, 9770
1402/02/09, 9640, 9850
1402/02/06, 9713, 9800
1402/02/05, 9652, 9713
1402/02/04, 9520, 9699
1402/01/30, 9626, 9699
1402/01/29, 9623, 9696
1402/01/28, 9622, 9650
1402/01/27, 9610, 9677
1402/01/26, 9610, 9702
1402/01/22, 9612, 9699
1402/01/21, 9606, 9715
1402/01/20, 9660, 9750
1402/01/19, 9626, 9759
1402/01/16, 9610, 9739
1402/01/15, 9632, 9799
1402/01/14, 9551, 9889
1402/01/09, 9750, 9828
1402/01/08, 9668, 9830
1402/01/07, 9457, 9750
1402/01/05, 9560, 9660
1401/12/28, 9317, 9840
1401/12/27, 9136, 9597
1401/12/24, 9130, 9178
1401/12/23, 9090, 9157
1401/12/22, 9083, 9120
1401/12/21, 9065, 9129
1401/12/20, 9025, 9168
1401/12/16, 9060, 9423
1401/12/15, 9245, 9294
1401/12/14, 9180, 9299
1401/12/13, 9170, 9335
1401/12/10, 9150, 9240
1401/12/09, 9219, 9390
1401/12/08, 9320, 9400
1401/12/07, 9300, 9500
1401/12/06, 9200, 9443
1401/12/03, 9180, 9240
1401/12/02, 9163, 9397
1401/12/01, 9102, 9190
1401/11/30, 9121, 9168
1401/11/26, 9149, 9151
1401/11/25, 9121, 9270
1401/11/24, 9101, 9150
1401/11/23, 9012, 9227
1401/11/19, 9122, 9189
1401/11/18, 9086, 9175
1401/11/17, 9031, 9181
1401/11/16, 8933, 9439
1401/11/12, 9141, 9900
1401/11/11, 9105, 9161
1401/11/10, 9080, 9119
1401/11/09, 8957, 9153
1401/11/08, 9124, 9182
1401/11/05, 9161, 9289
1401/11/04, 9196, 9288
1401/11/03, 9050, 9197
1401/11/02, 8994, 9070
1401/11/01, 8901, 9052
1401/10/28, 8901, 8999
1401/10/27, 8910, 8960
1401/10/26, 8910, 9077
1401/10/24, 8960, 9029
1401/10/21, 8953, 9009
1401/10/20, 8891, 9020
1401/10/19, 8824, 9039
1401/10/18, 8714, 9000
1401/10/17, 8888, 8997
1401/10/14, 9000, 9107
1401/10/13, 9000, 9161
1401/10/12, 9000, 9040
1401/10/11, 9000, 9237
1401/10/10, 9050, 9229
1401/10/07, 9196, 9399
1401/10/05, 9205, 9357
1401/10/04, 9300, 9486
1401/10/03, 9380, 9497
1401/09/30, 9411, 9578
1401/09/29, 9371, 9459
1401/09/28, 9398, 9600
1401/09/27, 9284, 9799
1401/09/26, 9327, 9370
1401/09/23, 9354, 9401
1401/09/22, 9372, 9571
1401/09/21, 9349, 9492
1401/09/20, 9379, 9419
1401/09/19, 9353, 9566
1401/09/16, 9390, 9493
1401/09/15, 9543, 9600
1401/09/14, 9266, 9551
1401/09/13, 9458, 9520
1401/09/12, 9452, 9507
1401/09/09, 9460, 9541
1401/09/08, 9486, 9528
1401/09/07, 9509, 9549
1401/09/06, 9500, 9594
1401/09/05, 9505, 9554
1401/09/02, 9522, 9570
1401/09/01, 9500, 9599
1401/08/30, 9501, 9605
1401/08/29, 9401, 9735
1401/08/28, 9471, 9730
1401/08/25, 9720, 9815
1401/08/24, 9713, 9924
1401/08/23, 9901, 9979
1401/08/22, 9907, 9946
1401/08/21, 9908, 9960
1401/08/18, 9860, 9933
1401/08/17, 9910, 9940
1401/08/16, 9900, 9951
1401/08/15, 9980, 10025
1401/08/14, 9990, 10028
1401/08/11, 9994, 10010
1401/08/10, 9998, 10019
1401/08/09, 9970, 10012
1401/08/08, 9903, 10010
1401/08/07, 10007, 10013
1401/08/04, 10014, 10019
1401/08/03, 9970, 10000
1401/08/02, 9974, 9996
1401/08/01, 9971, 10000
1401/07/30, 9960, 9987
1401/07/27, 9924, 9945
1401/07/26, 9921, 9933
1401/07/25, 9910, 9930
1401/07/24, 9905, 9929
1401/07/23, 9904, 9929
1401/07/20, 9902, 9930
1401/07/19, 9899, 9936
1401/07/18, 9880, 9935
1401/07/17, 9820, 9952
1401/07/16, 9920, 9980
1401/07/12, 10031, 10057
1401/07/11, 10028, 10043
1401/07/10, 10026, 10039
1401/07/09, 10024, 10048
1401/07/06, 10020, 10034
1401/07/04, 10020, 10028
1401/07/02, 10001, 10031
1401/06/30, 9995, 10020
1401/06/29, 9990, 10016
1401/06/28, 9985, 10000
1401/06/27, 9972, 10003
1401/06/23, 9965, 9985
1401/06/22, 9959, 9985
1401/06/21, 9950, 9975
1401/06/20, 9930, 9988
1401/06/19, 9930, 10006
1401/06/16, 9914, 9975
1401/06/15, 10111, 10130
1401/06/14, 10098, 10125
1401/06/13, 10085, 10120
1401/06/12, 10081, 10117
1401/06/09, 10073, 10095
1401/06/08, 10086, 10098
1401/06/07, 10077, 10092
1401/06/06, 10063, 10086
1401/06/05, 10047, 10089
1401/06/02, 10039, 10046
1401/06/01, 10033, 10042
1401/05/31, 10029, 10043
1401/05/30, 10034, 10041
1401/05/29, 10029, 10043
1401/05/26, 10026, 10036
1401/05/25, 10029, 10039
1401/05/24, 10014, 10041
1401/05/23, 10035, 10039
1401/05/22, 10029, 10038
1401/05/19, 10001, 10015
1401/05/18, 9995, 10009
1401/05/15, 10140, 10155
1401/05/12, 10128, 10152
1401/05/11, 10114, 10144
1401/05/10, 10108, 10109
1401/05/09, 10103, 10104
