date, min_price, max_price
1402/03/03, 12360, 13280
1402/03/02, 11550, 12670
1402/02/27, 11950, 12490
1402/02/25, 11700, 12550
1402/02/24, 12270, 12610
1402/02/23, 12640, 12640
1402/02/20, 12830, 12830
1402/02/17, 13390, 14180
1402/02/16, 13810, 14480
1402/02/13, 13930, 14790
1402/02/12, 13900, 14350
1402/02/11, 13170, 14310
1402/02/10, 13470, 14270
1402/02/09, 13900, 14650
1402/02/06, 13340, 14230
1402/02/05, 12710, 13620
1402/02/04, 12700, 13550
1402/01/30, 13010, 13290
1402/01/29, 12660, 12660
1402/01/28, 11100, 12210
1402/01/27, 11100, 11910
1402/01/26, 11250, 11530
1402/01/22, 10640, 11220
1402/01/21, 10700, 11660
1402/01/20, 11060, 11700
1402/01/19, 11000, 11310
1402/01/16, 10150, 10870
1402/01/15, 10120, 10800
1402/01/14, 9930, 10670
1402/01/09, 10040, 10370
1402/01/08, 9820, 10420
1402/01/07, 9350, 10220
1402/01/06, 9410, 10150
1402/01/05, 9330, 9850
1401/12/28, 9210, 9680
1401/12/27, 8870, 9300
1401/12/24, 8680, 8890
1401/12/23, 8150, 8740
1401/12/22, 8300, 8550
1401/12/21, 8360, 8870
1401/12/20, 8560, 9110
1401/12/16, 8750, 9230
1401/12/15, 8800, 9260
1401/12/14, 8770, 9270
1401/12/13, 8700, 9290
1401/12/10, 8300, 8930
1401/12/09, 8040, 8630
1401/12/08, 7870, 8320
1401/12/07, 7900, 8470
1401/12/06, 7740, 8080
1401/12/03, 7510, 7870
1401/12/02, 7690, 8020
1401/12/01, 7510, 7880
1401/11/30, 7450, 7780
1401/11/26, 7410, 7690
1401/11/25, 7400, 7740
1401/11/24, 7500, 7780
1401/11/23, 7530, 7970
1401/11/19, 7530, 7940
1401/11/18, 7530, 7840
1401/11/17, 7120, 7650
1401/11/16, 7220, 7630
1401/11/12, 7310, 7700
1401/11/11, 7160, 7690
1401/11/10, 7330, 7870
1401/11/09, 7700, 7900
1401/11/08, 8090, 8510
1401/11/05, 8420, 9100
1401/11/04, 8780, 9250
1401/11/03, 8900, 9240
1401/11/02, 8700, 9190
1401/11/01, 9040, 9730
1401/10/28, 9000, 9690
1401/10/27, 9060, 9670
1401/10/26, 9150, 9790
1401/10/24, 9140, 9840
1401/10/21, 8890, 9710
1401/10/20, 8970, 9550
1401/10/19, 9090, 9200
1401/10/18, 8600, 8770
1401/10/17, 8100, 8370
1401/10/14, 7860, 8210
1401/10/13, 8020, 8330
1401/10/12, 7860, 8200
1401/10/11, 7890, 8550
1401/10/10, 8250, 8700
1401/10/07, 8280, 8950
1401/10/05, 8300, 8740
1401/10/04, 8050, 8400
1401/10/03, 7600, 8190
1401/09/30, 7610, 8140
1401/09/29, 7960, 8370
1401/09/28, 8170, 8440
1401/09/27, 7670, 8200
1401/09/26, 7600, 7930
1401/09/23, 7560, 7940
1401/09/22, 7650, 8120
1401/09/21, 7510, 8000
1401/09/20, 7570, 7930
1401/09/19, 7410, 8140
1401/09/16, 7420, 7930
1401/09/15, 7400, 7700
1401/09/14, 7090, 7440
1401/09/13, 6970, 7280
1401/09/12, 6990, 7220
1401/09/09, 6970, 7180
1401/09/08, 6950, 7180
1401/09/07, 6990, 7190
1401/09/06, 6980, 7170
1401/09/05, 6950, 7200
1401/09/02, 7000, 7220
1401/09/01, 6930, 7100
1401/08/30, 6900, 7150
1401/08/29, 6910, 7230
1401/08/28, 6980, 7320
1401/08/25, 6750, 7100
1401/08/24, 6980, 7140
1401/08/23, 6780, 7100
1401/08/22, 6700, 7100
1401/08/21, 6620, 6910
1401/08/18, 6380, 6780
1401/08/17, 6370, 6800
1401/08/16, 6520, 6560
1401/08/15, 6250, 6250
1401/08/14, 6000, 6060
1401/08/11, 5740, 5940
1401/08/10, 5680, 5880
1401/08/09, 5440, 5750
1401/08/08, 5450, 5710
1401/08/07, 5500, 5970
1401/08/04, 5550, 5950
1401/08/03, 5660, 5980
1401/08/02, 5730, 5990
1401/08/01, 5820, 6110
1401/07/30, 5810, 6050
1401/07/27, 5750, 5900
1401/07/26, 5710, 5910
1401/07/25, 5710, 5860
1401/07/24, 5700, 5870
1401/07/23, 5690, 5890
1401/07/20, 5710, 5880
1401/07/19, 5680, 5890
1401/07/18, 5610, 5800
1401/07/17, 5650, 6000
1401/07/16, 5820, 6170
1401/07/12, 5770, 6170
1401/07/11, 5870, 6090
1401/07/10, 5860, 6460
1401/07/09, 6080, 6400
