date, min_price, max_price
1402/03/03, 135670, 138220
1402/03/02, 135000, 137200
1402/03/01, 135000, 136800
1402/02/31, 131600, 136090
1402/02/30, 132010, 136500
1402/02/27, 131490, 136000
1402/02/25, 131260, 135900
1402/02/24, 129280, 136000
1402/02/23, 121800, 131900
1402/02/20, 127100, 138990
1402/02/19, 125040, 137880
1402/02/18, 126310, 134460
1402/02/17, 136110, 151990
1402/02/16, 145120, 150320
1402/02/13, 144530, 147320
1402/02/12, 141700, 145910
1402/02/11, 139210, 143280
1402/02/10, 140510, 142280
1402/02/09, 135820, 141980
1402/02/06, 132500, 136400
1402/02/05, 134000, 135900
1402/02/04, 131000, 133900
1402/01/30, 132010, 134520
1402/01/29, 132810, 135990
1402/01/28, 129120, 133980
1402/01/27, 130100, 134020
1402/01/26, 128140, 132000
1402/01/22, 122000, 126950
1402/01/21, 122000, 132500
1402/01/20, 125950, 129500
1402/01/19, 121030, 127980
1402/01/16, 115710, 120530
1402/01/15, 117000, 119970
1402/01/14, 110920, 118420
1402/01/09, 115200, 117500
1402/01/08, 114260, 116990
1402/01/07, 109330, 115440
1402/01/06, 111000, 116040
1402/01/05, 111000, 114800
1401/12/28, 106200, 112880
1401/12/27, 108000, 111990
1401/12/24, 104000, 107190
1401/12/23, 102110, 104000
1401/12/22, 101360, 104180
1401/12/21, 98010, 102450
1401/12/20, 102590, 106450
1401/12/16, 101520, 106200
1401/12/15, 99510, 102700
1401/12/14, 100260, 103000
1401/12/13, 99600, 102010
1401/12/10, 99000, 103700
1401/12/09, 102180, 106000
1401/12/08, 100000, 108000
1401/12/07, 102500, 112000
1401/12/06, 100000, 104410
1401/12/03, 93500, 96490
1401/12/02, 94200, 99750
1401/12/01, 87400, 94450
1401/11/30, 85710, 87900
1401/11/26, 85730, 86870
1401/11/25, 86810, 87940
1401/11/24, 87510, 89760
1401/11/23, 87070, 88690
1401/11/19, 88140, 89750
1401/11/18, 86950, 89900
1401/11/17, 84000, 86730
1401/11/16, 85980, 87560
1401/11/12, 87010, 89500
1401/11/11, 86510, 89200
1401/11/10, 83610, 87680
1401/11/09, 84770, 89480
1401/11/08, 89000, 90610
1401/11/05, 88340, 92750
1401/11/04, 92350, 93890
1401/11/03, 92100, 95750
1401/11/02, 92050, 94950
1401/11/01, 92800, 96310
1401/10/28, 94300, 96250
1401/10/27, 94500, 96500
1401/10/26, 93850, 96120
1401/10/24, 89000, 93980
1401/10/21, 91000, 94750
1401/10/20, 93120, 96950
1401/10/19, 91400, 93790
1401/10/18, 91050, 94000
1401/10/17, 89120, 90750
1401/10/14, 86820, 89280
1401/10/13, 87510, 90850
1401/10/12, 87000, 89870
1401/10/11, 85210, 88000
1401/10/10, 85000, 90000
1401/10/07, 87890, 92650
1401/10/05, 85520, 87300
1401/10/04, 86600, 87570
1401/10/03, 82940, 86200
1401/09/30, 81910, 83200
1401/09/29, 81600, 83000
1401/09/28, 82400, 84200
1401/09/27, 82000, 84250
1401/09/26, 81230, 82440
1401/09/23, 81890, 83250
1401/09/22, 78100, 81960
1401/09/21, 76530, 78240
