date, min_price, max_price
1402/03/03, 39880, 42000
1402/03/02, 39400, 41290
1402/03/01, 36660, 40280
1402/02/31, 35500, 38050
1402/02/30, 35620, 37490
1402/02/27, 35020, 37980
1402/02/25, 36000, 37510
1402/02/24, 35000, 37040
1402/02/23, 33280, 35200
1402/02/20, 34000, 38070
1402/02/19, 34120, 37240
1402/02/18, 36670, 37640
1402/02/17, 39170, 43530
1402/02/16, 41150, 43680
1402/02/09, 44000, 47250
1402/02/06, 43510, 46400
1402/02/05, 43470, 46250
1402/02/04, 42100, 45800
1402/01/30, 42500, 44780
1402/01/29, 41510, 45300
1402/01/28, 41510, 44950
1402/01/27, 40460, 43220
1402/01/26, 38020, 40800
1402/01/22, 37030, 38800
1402/01/21, 36920, 39800
1402/01/20, 38200, 40100
1402/01/19, 37010, 38380
1402/01/16, 34010, 36770
1402/01/15, 33770, 35600
1402/01/14, 34000, 35880
1402/01/09, 33090, 35490
1402/01/08, 33710, 35950
1402/01/07, 32760, 35350
1402/01/06, 33500, 35000
1402/01/05, 34200, 36970
1401/12/28, 34590, 37900
1401/12/27, 34590, 36130
1401/12/24, 32550, 34500
1401/12/23, 31600, 33680
1401/12/22, 31750, 32450
1401/12/21, 31200, 32900
1401/12/20, 32600, 33500
1401/12/16, 29680, 32990
1401/12/15, 29460, 31410
1401/12/14, 27870, 30060
1401/12/13, 28160, 30100
1401/12/10, 29310, 30380
1401/12/09, 29400, 30750
1401/12/08, 28630, 30990
1401/12/07, 29590, 32120
1401/12/06, 28500, 30150
1401/12/03, 27250, 29800
1401/12/02, 27930, 29390
1401/12/01, 26760, 28420
1401/11/30, 26690, 27340
1401/11/26, 26280, 27000
1401/11/25, 26700, 27150
1401/11/24, 26700, 27500
1401/11/23, 26050, 27540
1401/11/19, 26500, 27300
1401/11/18, 26060, 27170
1401/11/17, 26100, 27400
1401/11/16, 25810, 27770
1401/11/12, 26010, 27950
1401/11/11, 26700, 27800
1401/11/10, 25500, 27000
1401/11/09, 25480, 26860
1401/11/08, 26150, 28300
1401/11/05, 27670, 30000
1401/11/04, 28950, 30540
1401/11/03, 27510, 29430
1401/11/02, 26320, 28380
1401/11/01, 26000, 26960
1401/10/28, 25370, 26430
1401/10/27, 25000, 26760
1401/10/26, 24500, 25970
1401/10/24, 24510, 26100
1401/10/21, 24920, 26550
1401/10/20, 25770, 27180
1401/10/19, 25670, 26950
1401/10/18, 24600, 26410
1401/10/17, 24040, 25000
1401/10/14, 23420, 24670
1401/10/13, 23850, 24890
1401/10/12, 23850, 24500
1401/10/11, 23420, 23980
1401/10/10, 22950, 24090
1401/10/07, 22850, 24000
1401/10/05, 22000, 23020
1401/10/04, 21910, 23000
1401/10/03, 22100, 22700
1401/09/30, 21500, 22250
1401/09/29, 21120, 22220
1401/09/28, 21400, 22650
1401/09/27, 21610, 22770
1401/09/26, 21000, 22200
1401/09/23, 20930, 21750
1401/09/22, 20270, 21370
1401/09/21, 19650, 20690
1401/09/20, 19300, 20270
1401/09/19, 19530, 20200
1401/09/16, 19920, 20290
1401/09/15, 19800, 20450
1401/09/14, 19910, 20500
1401/09/13, 19540, 19980
1401/09/12, 19470, 19960
1401/09/09, 19200, 19750
1401/09/08, 19290, 19950
1401/09/07, 19200, 19970
1401/09/06, 19420, 19800
1401/09/05, 19500, 20290
1401/09/02, 19520, 20000
1401/09/01, 19350, 20150
1401/08/30, 19830, 20350
1401/08/29, 19350, 20300
1401/08/28, 19480, 20290
1401/08/25, 18950, 19450
1401/08/24, 18920, 19510
1401/08/23, 18850, 19500
1401/08/22, 19200, 19600
1401/08/21, 19100, 19890
1401/08/18, 19000, 19500
1401/08/17, 18900, 19890
1401/08/16, 18530, 19300
1401/08/15, 18380, 19150
1401/08/14, 18020, 18880
1401/08/11, 17540, 18150
