date, min_price, max_price
1402/03/03, 9270, 9790
1402/03/02, 9200, 9680
1402/03/01, 8980, 9310
1402/02/31, 8850, 9300
1402/02/30, 9190, 9870
1402/02/27, 9410, 9940
1402/02/25, 9860, 10600
1402/02/24, 9800, 10570
1402/02/23, 9840, 10660
1402/02/20, 10150, 10360
1402/02/19, 9100, 10040
1402/02/18, 9550, 9890
1402/02/17, 9740, 10760
1402/02/16, 10020, 10250
1402/02/13, 9610, 9770
1402/02/12, 8730, 9410
1402/02/11, 8700, 9140
1402/02/10, 8910, 9360
1402/02/09, 9260, 9380
1402/01/27, 8860, 9320
1402/01/26, 9130, 9700
1402/01/22, 9080, 9530
1402/01/21, 9000, 9200
1402/01/20, 8630, 9200
1402/01/19, 8930, 9310
1402/01/16, 8800, 9040
1402/01/15, 8670, 9060
1402/01/14, 8570, 9020
1402/01/09, 8810, 9250
1402/01/08, 8990, 9260
1402/01/07, 8650, 9060
1402/01/06, 8450, 8790
1402/01/05, 8300, 8870
1401/12/28, 8510, 8510
1401/12/21, 7910, 8200
1401/12/20, 7930, 8280
1401/12/16, 7620, 8120
1401/12/15, 7610, 7940
1401/12/14, 7410, 7980
1401/12/13, 7270, 7940
1401/12/10, 7100, 7730
1401/12/09, 7370, 7370
1401/12/06, 6990, 7060
1401/12/03, 6550, 6810
1401/12/02, 6250, 6510
1401/12/01, 6000, 6300
1401/11/30, 5880, 6140
1401/11/26, 5700, 6080
1401/11/25, 5680, 5850
1401/11/24, 5390, 5890
1401/11/23, 5510, 5780
1401/11/19, 5315, 5523
1401/11/18, 5100, 5357
1401/11/17, 4880, 5228
1401/11/16, 4802, 5197
1401/11/12, 4660, 5040
1401/11/11, 4800, 4800
1401/11/10, 4370, 4830
1401/11/09, 4560, 4940
1401/11/08, 4760, 5000
1401/11/05, 4942, 5290
1401/11/04, 5020, 5218
1401/11/03, 4875, 4974
1401/11/02, 4532, 4740
1401/11/01, 4460, 4580
1401/10/28, 4390, 4593
1401/10/27, 4310, 4570
1401/10/26, 4410, 4465
1401/10/20, 4192, 4355
1401/10/19, 4156, 4328
1401/10/18, 4026, 4200
1401/10/17, 3932, 4028
1401/10/14, 3900, 3990
1401/10/13, 3870, 4037
1401/10/12, 3852, 4046
1401/10/11, 3858, 4020
1401/10/10, 3987, 4070
1401/10/07, 4094, 4231
1401/10/05, 3990, 4111
1401/10/04, 3996, 4086
1401/10/03, 3812, 4030
1401/09/30, 3800, 3925
1401/09/29, 3822, 3928
1401/09/28, 3830, 3990
1401/09/27, 3712, 3920
1401/09/26, 3709, 3798
1401/09/23, 3705, 3814
1401/09/22, 3668, 3794
1401/09/21, 3625, 3726
1401/09/20, 3623, 3736
1401/09/19, 3633, 3825
1401/09/16, 3750, 3840
1401/09/15, 3752, 3844
1401/09/14, 3730, 3848
1401/09/13, 3612, 3759
1401/09/12, 3650, 3800
1401/09/09, 3680, 3796
1401/09/08, 3690, 3837
1401/09/07, 3650, 3760
1401/09/06, 3630, 3740
1401/09/05, 3610, 3743
1401/09/02, 3725, 3799
1401/09/01, 3690, 3800
1401/08/30, 3721, 3809
1401/08/29, 3720, 3860
1401/08/28, 3702, 3927
1401/08/25, 3840, 3930
1401/08/24, 3830, 3930
1401/08/23, 3810, 3935
1401/08/22, 3861, 3963
1401/08/21, 3876, 4023
1401/08/18, 3737, 3917
1401/08/17, 3790, 3957
1401/08/16, 3700, 3890
1401/08/15, 3675, 3837
1401/08/14, 3600, 3721
1401/08/11, 3520, 3600
1401/08/10, 3530, 3630
