date, min_price, max_price
1402/03/03, 32720, 34000
1402/03/02, 33000, 34390
1402/03/01, 32200, 33400
1402/02/31, 30700, 32500
1402/02/30, 30700, 31970
1402/02/27, 31040, 31890
1402/02/25, 29690, 32220
1402/02/24, 30760, 32900
1402/02/18, 33220, 34220
1402/02/17, 35560, 38320
1402/02/16, 36880, 38900
1402/02/13, 36420, 37770
1402/02/12, 36650, 37600
1402/02/11, 36910, 37850
1402/02/10, 36500, 37800
1402/02/09, 36260, 37300
1402/02/06, 36100, 37200
1402/02/05, 36900, 37760
1402/02/04, 36480, 37600
1402/01/30, 36420, 37760
1402/01/29, 36000, 37740
1402/01/28, 35200, 37760
1402/01/27, 34800, 35980
1402/01/26, 34950, 35700
1402/01/22, 33250, 34700
1402/01/21, 33200, 35900
1402/01/20, 34640, 35980
1402/01/19, 33600, 34680
1402/01/16, 31960, 33250
1402/01/15, 31550, 33600
1402/01/14, 30700, 33430
1402/01/09, 32370, 33700
1402/01/08, 32200, 33200
1402/01/07, 31000, 32420
1402/01/06, 30940, 33000
1402/01/05, 30700, 33300
1401/12/28, 30560, 32780
1401/12/27, 29790, 31240
1401/12/24, 27600, 29520
1401/12/23, 26600, 28490
1401/12/22, 26600, 27320
1401/12/21, 26100, 27350
1401/12/20, 26350, 27820
1401/12/16, 26000, 27550
1401/12/15, 25400, 26890
1401/12/14, 24990, 25900
1401/12/13, 24640, 25800
1401/12/10, 25000, 26170
1401/12/09, 25140, 26490
1401/12/08, 25140, 26800
1401/12/07, 26340, 28300
1401/12/06, 25700, 26800
1401/12/03, 24120, 25700
1401/12/02, 23990, 25450
1401/12/01, 22690, 24280
1401/11/30, 22360, 23070
1401/11/26, 22310, 23380
1401/11/25, 22500, 23190
1401/11/24, 22330, 24000
1401/11/23, 22300, 23460
1401/11/19, 22470, 23080
1401/11/18, 22020, 23210
1401/11/17, 21200, 23000
1401/11/16, 21000, 22120
1401/11/12, 21500, 22500
1401/11/11, 21800, 23150
1401/11/10, 21200, 23250
1401/11/09, 21160, 23820
1401/11/08, 22250, 23590
1401/11/05, 23000, 24940
1401/11/04, 24010, 25450
1401/11/03, 23940, 25710
1401/11/02, 23000, 24960
1401/11/01, 23910, 25430
1401/10/28, 24150, 25490
1401/10/27, 24260, 25500
1401/10/26, 23490, 24930
1401/10/24, 22610, 24400
1401/10/21, 23870, 24740
1401/10/20, 23870, 24940
1401/10/19, 23880, 24750
1401/10/18, 23350, 23920
1401/10/17, 22600, 23690
1401/10/14, 22510, 23170
1401/10/13, 22970, 23900
1401/10/12, 22460, 23730
1401/10/11, 21810, 23600
1401/10/10, 21550, 22480
1401/10/07, 21550, 22770
1401/10/05, 20970, 21840
1401/10/04, 21120, 21840
1401/10/03, 20180, 21690
1401/09/30, 20100, 20500
1401/09/29, 20060, 20550
1401/09/28, 20270, 20770
1401/09/27, 20450, 20940
1401/09/26, 19930, 20850
1401/09/23, 19550, 20900
1401/09/22, 19300, 19850
1401/09/21, 18800, 19690
1401/09/20, 18760, 19600
1401/09/19, 18670, 19800
1401/09/16, 19000, 19900
1401/09/15, 19290, 19580
1401/09/14, 19320, 19730
1401/09/13, 19600, 20190
1401/09/12, 19650, 20340
1401/09/09, 19600, 20470
1401/09/08, 18940, 20260
1401/09/07, 18810, 19000
1401/09/06, 18670, 19100
1401/09/05, 18960, 19240
1401/09/02, 18900, 19200
1401/09/01, 18920, 19060
1401/08/30, 18980, 19500
1401/08/29, 18960, 19540
1401/08/28, 18800, 19940
1401/08/25, 18710, 19110
1401/08/24, 18850, 19560
1401/08/23, 18800, 19690
1401/08/22, 19030, 19790
1401/08/21, 19110, 19980
1401/08/18, 19010, 19970
1401/08/17, 19650, 20700
1401/08/16, 19050, 20090
1401/08/15, 18250, 19200
1401/08/14, 17070, 18540
1401/08/11, 17120, 17750
1401/08/10, 17270, 17670
1401/08/09, 17020, 17790
1401/08/08, 16830, 17520
1401/08/07, 16910, 17150
1401/08/04, 17030, 17380
1401/08/03, 17160, 17530
1401/08/02, 17160, 17400
1401/08/01, 17400, 17930
1401/07/30, 17500, 17940
1401/07/27, 17570, 17890
1401/07/26, 17520, 17990
1401/07/25, 17190, 18130
1401/07/24, 17180, 17500
1401/07/23, 17200, 17670
1401/07/20, 17220, 18000
1401/07/19, 17100, 18090
1401/07/18, 17000, 17290
1401/07/17, 16900, 17290
1401/07/16, 17200, 17680
1401/07/12, 17010, 17360
1401/07/11, 17100, 17740
1401/07/10, 17020, 17590
1401/07/09, 17000, 18100
1401/07/06, 18010, 18590
1401/07/04, 16860, 18640
1401/07/02, 17050, 18300
1401/06/30, 18040, 18710
1401/06/29, 18490, 19200
1401/06/28, 19190, 19540
1401/06/27, 19390, 19900
1401/06/23, 19400, 19680
1401/06/22, 19410, 19990
1401/06/21, 19500, 19960
1401/06/20, 19150, 20430
1401/06/19, 19120, 19700
1401/06/16, 19350, 19880
1401/06/15, 19500, 19900
1401/06/14, 19630, 20130
1401/06/13, 19520, 20150
1401/06/12, 19540, 19980
1401/06/09, 19440, 20140
1401/06/08, 19400, 20140
1401/06/07, 19450, 19900
1401/06/06, 19440, 19940
1401/06/05, 19400, 20000
1401/06/02, 19410, 20300
1401/06/01, 19380, 19690
1401/05/31, 19370, 19950
1401/05/30, 19400, 20250
1401/05/29, 19910, 20200
1401/05/26, 19980, 20300
1401/05/25, 20100, 20400
1401/05/24, 20050, 20520
1401/05/23, 20110, 20470
1401/05/22, 20000, 20930
1401/05/19, 19860, 20430
1401/05/18, 20180, 20780
1401/05/15, 20010, 20700
1401/05/12, 20020, 20600
1401/05/11, 19890, 20430
1401/05/10, 19950, 20580
1401/05/09, 19650, 20270
1401/05/08, 19720, 20330
1401/05/05, 20010, 20850
1401/05/04, 19890, 20270
1401/05/03, 19750, 20550
1401/05/02, 20370, 21850
1401/05/01, 20880, 21620
1401/04/29, 20110, 20880
1401/04/28, 20450, 21050
1401/04/26, 20500, 21100
1401/04/25, 19910, 20250
1401/04/22, 19700, 20600
1401/04/21, 19360, 20000
1401/04/20, 19600, 20700
1401/04/18, 20330, 21000
1401/04/15, 20320, 20900
1401/04/14, 20890, 21650
1401/04/13, 21300, 21990
1401/04/12, 20100, 21300
1401/04/11, 19920, 20300
1401/04/08, 19800, 20300
1401/04/07, 19310, 20700
1401/04/06, 19630, 20090
1401/04/05, 20150, 20980
1401/04/04, 20020, 21240
1401/04/01, 20550, 21330
1401/03/31, 21360, 22500
1401/03/30, 20170, 21410
1401/03/29, 19620, 20700
1401/03/28, 19500, 20500
1401/03/25, 19700, 20120
1401/03/24, 19800, 20630
1401/03/23, 19870, 20630
1401/03/22, 19240, 19800
1401/03/21, 18940, 19700
1401/03/18, 19200, 19750
1401/03/17, 18400, 19420
1401/03/16, 18050, 18770
1401/03/11, 18220, 19220
1401/03/10, 18150, 19050
1401/03/09, 18080, 18600
1401/03/08, 17340, 18550
1401/03/07, 17810, 18990
1401/03/04, 18300, 19180
1401/03/03, 18030, 19150
1401/03/02, 18170, 19390
1401/03/01, 18000, 18770
1401/02/31, 17120, 18420
1401/02/28, 17670, 18940
1401/02/27, 18220, 19500
1401/02/26, 18430, 19300
1401/02/25, 18510, 19470
1401/02/24, 18360, 19500
1401/02/18, 19870, 20760
1401/02/17, 19850, 20580
1401/02/12, 19210, 20100
1401/02/11, 19010, 19660
1401/02/10, 18880, 19450
1401/02/07, 18610, 19190
1401/02/06, 18730, 19000
1401/02/05, 18520, 18980
1401/02/04, 18610, 19100
1401/01/31, 18680, 19470
1401/01/30, 18870, 19670
1401/01/29, 18610, 19340
1401/01/28, 18000, 18700
1401/01/27, 17690, 18400
1401/01/24, 16520, 17880
1401/01/23, 16870, 17990
1401/01/22, 16770, 17800
1401/01/21, 16800, 17100
1401/01/20, 16370, 17230
1401/01/17, 16790, 18100
1401/01/16, 16750, 17970
1401/01/15, 16850, 17800
1401/01/14, 16550, 17400
1401/01/10, 15900, 16990
1401/01/09, 16070, 16880
1401/01/08, 16100, 16800
1401/01/07, 15850, 16400
1401/01/06, 15790, 16800
1400/12/28, 15550, 16170
1400/12/25, 15050, 15570
1400/12/24, 14900, 15250
1400/12/23, 14830, 15340
1400/12/22, 14510, 15230
1400/12/21, 14700, 15780
1400/12/18, 14610, 15550
1400/12/17, 14670, 15100
1400/12/16, 14500, 15020
1400/12/15, 14310, 14730
1400/12/14, 14340, 14900
1400/12/11, 14400, 15000
1400/12/09, 14120, 14870
1400/12/08, 14100, 14650
1400/12/07, 14320, 15000
1400/12/04, 14800, 15070
1400/12/03, 14500, 15230
1400/12/02, 13800, 14610
1400/12/01, 13880, 14170
1400/11/30, 13510, 14050
1400/11/27, 13490, 13810
1400/11/25, 13620, 13980
1400/11/24, 13510, 13890
1400/11/23, 13520, 13810
1400/11/20, 13690, 14010
1400/11/19, 13560, 14000
1400/11/18, 13060, 13760
1400/11/17, 13300, 13950
1400/11/16, 13770, 14320
1400/11/13, 13250, 13990
1400/11/12, 13550, 14050
1400/11/11, 13100, 13740
1400/11/10, 12850, 13100
1400/11/09, 12270, 12840
1400/11/06, 11410, 12560
1400/11/05, 11940, 12650
