date, min_price, max_price
1402/03/03, 37010, 38600
1402/03/02, 36990, 38600
1402/03/01, 36020, 37190
1402/02/31, 35600, 37800
1402/02/30, 34800, 36000
1402/02/27, 34250, 36480
1402/02/25, 35110, 38280
1402/02/24, 33000, 36560
1402/02/23, 34140, 35000
1402/02/20, 35550, 36760
1402/02/17, 40260, 44000
1402/02/16, 42500, 44340
1402/02/13, 43010, 47460
1402/02/12, 42020, 45770
1402/02/11, 41180, 44500
1402/02/10, 39680, 42450
1402/02/09, 37250, 40440
1402/02/06, 37560, 39960
1402/02/05, 37250, 39780
1402/02/04, 37200, 39690
1402/01/30, 37000, 38200
1402/01/29, 36950, 38850
1402/01/28, 37100, 39000
1402/01/27, 37520, 38330
1402/01/26, 34500, 36080
1402/01/22, 32510, 34670
1402/01/21, 32900, 35790
1402/01/20, 33780, 35950
1402/01/19, 32000, 34500
1402/01/16, 30900, 33000
1402/01/15, 31140, 34000
1402/01/14, 30500, 32340
1402/01/09, 28980, 30310
1402/01/08, 27550, 29200
1402/01/07, 27260, 28170
1402/01/06, 26550, 28900
1402/01/05, 28020, 29550
1401/12/28, 27530, 29000
1401/12/27, 26210, 27880
1401/12/24, 26040, 26900
1401/12/23, 25410, 26340
1401/12/22, 25760, 26790
1401/12/21, 26000, 26800
1401/12/20, 26220, 27270
1401/12/16, 26410, 27640
1401/12/15, 26010, 28180
1401/12/14, 26290, 27650
1401/12/13, 26500, 27800
1401/12/10, 27000, 27750
1401/12/09, 26800, 27950
1401/12/08, 26800, 28450
1401/12/07, 27220, 30530
1401/12/06, 27320, 28570
1401/12/03, 26090, 27350
1401/12/02, 24700, 26380
1401/12/01, 24050, 25320
1401/11/30, 23750, 24830
1401/11/26, 23570, 24780
1401/11/25, 23620, 24800
1401/11/24, 23620, 24430
1401/11/23, 23550, 24790
1401/11/19, 23570, 24850
1401/11/18, 24270, 25300
1401/11/17, 24220, 25000
1401/11/16, 24400, 26300
1401/11/12, 24340, 25700
1401/11/11, 24360, 26040
1401/11/10, 24040, 25610
1401/11/09, 25820, 27640
1401/11/08, 27100, 28600
1401/11/05, 25450, 27080
1401/11/04, 24500, 26200
1401/11/03, 24510, 25730
1401/11/02, 24500, 25020
1401/11/01, 24500, 25420
1401/10/28, 24560, 26600
1401/10/27, 25050, 26450
1401/10/26, 24820, 25900
1401/10/24, 24550, 25130
1401/10/21, 24200, 24900
1401/10/20, 24100, 25250
1401/10/19, 23530, 24600
1401/10/18, 23800, 24550
1401/10/17, 23030, 24750
1401/10/14, 23420, 24180
1401/10/13, 23600, 24670
1401/10/12, 23000, 24090
1401/10/11, 21500, 23300
1401/10/10, 22100, 23680
1401/10/07, 23400, 24410
1401/10/05, 22830, 23690
1401/10/04, 22030, 23570
1401/10/03, 21050, 22340
1401/09/30, 20540, 21260
1401/09/29, 20520, 21240
1401/09/28, 20510, 21290
1401/09/27, 20510, 21440
1401/09/26, 20100, 21360
1401/09/23, 20150, 20590
1401/09/22, 20010, 20900
1401/09/21, 19230, 20550
1401/09/20, 18900, 19400
1401/09/19, 18930, 19550
1401/09/16, 18980, 19770
1401/09/15, 18510, 19400
1401/09/14, 19150, 19600
1401/09/13, 19160, 19690
1401/09/12, 19140, 19750
1401/09/09, 19130, 19670
1401/09/08, 19050, 19440
1401/09/07, 18930, 19400
1401/09/06, 18980, 19400
1401/09/05, 19000, 19380
1401/09/02, 19030, 19650
1401/09/01, 18930, 19780
1401/08/30, 19120, 19580
1401/08/29, 19120, 20180
1401/08/28, 18860, 20200
1401/08/25, 18700, 19190
1401/08/24, 18700, 19330
1401/08/23, 18530, 19300
1401/08/22, 18850, 19790
1401/08/21, 18800, 19600
1401/08/18, 18510, 19400
1401/08/17, 18630, 19920
1401/08/16, 19100, 19920
1401/08/15, 18420, 19440
1401/08/14, 18600, 19520
1401/08/11, 18100, 18950
1401/08/10, 18460, 18950
1401/08/09, 17820, 18800
1401/08/08, 17900, 18970
1401/08/07, 17840, 18750
1401/08/04, 17600, 18880
1401/08/03, 18210, 19210
1401/08/02, 18400, 19000
1401/08/01, 18570, 19150
1401/07/30, 18550, 19500
