date, min_price, max_price
1402/03/03, 91430, 96990
1402/03/02, 91850, 96990
1402/03/01, 89830, 93450
1402/02/31, 84510, 89830
1402/02/30, 82060, 90840
1402/02/27, 85020, 89000
1402/02/25, 83000, 89400
1402/02/24, 81600, 86350
1402/02/23, 80340, 84500
1402/02/20, 84020, 94960
1402/02/19, 89280, 95990
1402/02/13, 101740, 107840
1402/02/12, 100000, 104000
1402/02/11, 100170, 106990
1402/02/10, 103590, 107100
1402/02/09, 103080, 110350
1402/02/06, 101410, 108990
1402/02/05, 105230, 112770
1402/02/04, 106700, 112990
1402/01/30, 104000, 114000
1402/01/29, 101900, 110270
1402/01/28, 100000, 108310
1402/01/27, 100000, 106210
1402/01/26, 97000, 99790
1402/01/22, 90470, 94800
1402/01/21, 88100, 93590
1402/01/20, 89300, 90960
1402/01/19, 86800, 93150
1402/01/16, 86650, 91490
1402/01/15, 87020, 91480
1402/01/14, 86010, 91800
1402/01/09, 91000, 93400
1402/01/08, 92300, 95950
1402/01/07, 87530, 94580
1402/01/06, 87000, 94800
1402/01/05, 88500, 91000
1401/12/28, 87010, 92990
1401/12/27, 82000, 86920
1401/12/24, 77980, 82600
1401/12/23, 75560, 79490
1401/12/22, 76000, 77990
1401/12/21, 74290, 77340
1401/12/20, 77310, 79950
1401/12/16, 75550, 79500
1401/12/15, 71000, 75280
1401/12/14, 69990, 71950
1401/12/13, 68510, 70360
1401/12/10, 69670, 73940
1401/12/09, 71770, 75300
1401/12/08, 70000, 77730
1401/12/07, 69700, 73030
1401/12/06, 63750, 68510
1401/12/03, 63250, 64500
1401/12/02, 63000, 65600
1401/12/01, 58730, 62840
1401/11/30, 57820, 59990
1401/11/26, 57750, 59290
1401/11/25, 58500, 62350
1401/11/24, 58450, 61600
1401/11/23, 59700, 61000
1401/11/19, 59560, 61340
1401/11/18, 60210, 62000
1401/11/17, 59750, 62490
1401/11/16, 59170, 61850
1401/11/12, 61000, 62990
1401/11/11, 60250, 63250
1401/11/10, 59000, 62000
1401/11/09, 58200, 62000
1401/11/08, 57720, 63290
1401/11/05, 57830, 62880
1401/11/04, 60600, 64200
1401/11/03, 61060, 69490
1401/11/02, 62310, 65480
1401/11/01, 58570, 61580
1401/10/28, 56000, 58350
1401/10/27, 54850, 56490
1401/10/26, 54070, 55450
1401/10/24, 51000, 54490
1401/10/21, 53200, 55100
1401/10/20, 52600, 55730
1401/10/19, 53520, 55870
1401/10/18, 53410, 55600
1401/10/17, 51180, 53410
1401/10/14, 50310, 51400
1401/10/13, 50200, 51990
1401/10/12, 50110, 51490
1401/10/11, 49300, 50980
1401/10/10, 48260, 51000
1401/10/07, 48800, 51910
1401/10/05, 47110, 49270
1401/10/04, 46420, 48200
1401/10/03, 45300, 47230
1401/09/30, 45460, 46750
1401/09/29, 45710, 46800
1401/09/28, 45290, 46800
1401/09/27, 45610, 46750
1401/09/26, 45250, 46420
1401/09/23, 45000, 46000
1401/09/22, 44070, 46490
1401/09/21, 43510, 44560
1401/09/20, 43200, 44000
1401/09/19, 43120, 44000
1401/09/16, 43000, 44000
1401/09/15, 42600, 43870
1401/09/14, 42740, 43490
1401/09/13, 42500, 43000
1401/09/12, 41880, 43340
1401/09/09, 42000, 43690
1401/09/08, 41850, 43360
1401/09/07, 41800, 43720
1401/09/06, 41300, 43950
1401/09/05, 41400, 42500
1401/09/02, 40100, 40990
1401/09/01, 40010, 40550
1401/08/30, 40000, 40490
1401/08/29, 40110, 40970
1401/08/28, 39000, 40500
1401/08/25, 39100, 39870
1401/08/24, 38960, 39940
1401/08/23, 39130, 39950
1401/08/22, 39000, 39890
1401/08/21, 39360, 41000
1401/08/18, 36800, 39590
1401/08/17, 38230, 39990
1401/08/16, 37330, 39370
1401/08/15, 36760, 38000
1401/08/14, 35880, 37960
1401/08/11, 35660, 36700
1401/08/10, 35560, 37020
1401/08/09, 35440, 36090
1401/08/08, 34360, 35870
1401/08/07, 35240, 36890
1401/08/04, 35000, 36580
1401/08/03, 35250, 37880
1401/08/02, 36180, 38430
1401/08/01, 37550, 38450
1401/07/30, 37350, 38500
1401/07/27, 38120, 39050
1401/07/26, 38360, 38990
1401/07/25, 38200, 38960
1401/07/24, 37900, 38500
1401/07/23, 37740, 38220
1401/07/20, 37630, 38200
1401/07/19, 37350, 37930
1401/07/18, 37020, 37990
1401/07/17, 37230, 38250
1401/07/16, 37770, 38440
1401/07/12, 37280, 38000
1401/07/11, 37060, 38480
1401/07/10, 37150, 38480
1401/07/09, 37050, 38700
1401/07/06, 37220, 38900
1401/07/04, 37000, 38500
1401/07/02, 36630, 38050
1401/06/30, 37440, 38250
1401/06/29, 37500, 38470
1401/06/28, 37560, 38540
1401/06/27, 37690, 38720
1401/06/23, 37830, 38400
1401/06/22, 37150, 38570
1401/06/21, 37260, 38370
1401/06/20, 37790, 38400
1401/06/19, 38070, 38980
1401/06/16, 38330, 39100
1401/06/15, 38310, 38850
1401/06/14, 38300, 38890
1401/06/13, 38470, 38900
1401/06/12, 38430, 38980
1401/06/09, 38410, 38990
1401/06/08, 38300, 39000
1401/06/07, 38360, 39000
1401/06/06, 38310, 39390
1401/06/05, 38650, 39510
1401/06/02, 38720, 39280
1401/06/01, 38100, 39190
1401/05/31, 38070, 38900
1401/05/30, 38560, 38950
1401/05/29, 38680, 39170
1401/05/26, 38100, 38950
1401/05/25, 38110, 38990
1401/05/24, 38020, 39000
1401/05/23, 38050, 39080
1401/05/22, 38500, 39340
1401/05/19, 38400, 39480
1401/05/18, 38810, 39940
1401/05/15, 38370, 39930
1401/05/12, 38460, 39100
1401/05/11, 38200, 38980
1401/05/10, 38100, 39200
1401/05/09, 38090, 38970
1401/05/08, 38180, 39370
1401/05/05, 38090, 39450
1401/05/04, 37980, 38800
1401/05/03, 36510, 39100
1401/05/02, 37460, 39440
1401/05/01, 38480, 39480
1401/04/29, 37090, 38560
1401/04/28, 37000, 38600
1401/04/26, 35800, 37040
1401/04/25, 34790, 36180
1401/04/22, 34510, 35290
1401/04/21, 33830, 35290
1401/04/20, 34080, 35780
1401/04/18, 34350, 35350
1401/04/15, 34310, 35300
1401/04/14, 34250, 34990
1401/04/13, 34750, 35760
1401/04/12, 34420, 35310
1401/04/11, 34040, 35000
1401/04/08, 34040, 35050
1401/04/07, 34240, 36440
1401/04/06, 34420, 35950
1401/04/05, 34190, 35510
1401/04/04, 34110, 35990
1401/04/01, 35630, 36860
1401/03/31, 35210, 37490
1401/03/30, 36320, 38000
1401/03/29, 35020, 37550
1401/03/28, 34510, 35710
1401/03/25, 35320, 37400
1401/03/24, 36920, 38150
1401/03/23, 36900, 38120
1401/03/22, 33950, 36590
1401/03/21, 34250, 35580
1401/03/18, 33300, 34450
1401/03/17, 31320, 32550
1401/03/16, 30410, 32350
1401/03/11, 32210, 33000
1401/03/10, 31260, 33170
1401/03/09, 31700, 33890
1401/03/08, 32000, 33110
1401/03/07, 33200, 34990
1401/03/04, 33570, 35350
1401/03/03, 33220, 34720
1401/03/02, 33110, 35550
1401/03/01, 33700, 35180
1401/02/31, 33780, 34840
1401/02/28, 33410, 35500
1401/02/27, 34000, 36130
1401/02/26, 34500, 36270
1401/02/25, 33440, 36250
1401/02/24, 33470, 36270
1401/02/21, 32080, 34780
1401/02/20, 32120, 33400
1401/02/19, 32570, 34220
1401/02/11, 38250, 39800
1401/02/10, 36510, 39380
1401/02/07, 36350, 37800
1401/02/06, 36500, 37390
1401/02/05, 34910, 36830
1401/02/04, 34870, 36150
1401/01/31, 33900, 35500
1401/01/30, 34160, 35880
1401/01/29, 35000, 36090
1401/01/28, 34260, 35690
1401/01/27, 33240, 34110
1401/01/24, 30830, 33190
1401/01/23, 32200, 34000
1401/01/22, 32350, 34300
1401/01/21, 31920, 33280
1401/01/20, 30420, 32470
1401/01/17, 30810, 32170
1401/01/16, 29300, 31500
1401/01/15, 29610, 31150
1401/01/14, 29600, 30540
1401/01/10, 29530, 31180
1401/01/09, 30150, 31250
1401/01/08, 28520, 30210
1401/01/07, 27630, 29010
1401/01/06, 26510, 28190
1400/12/28, 26600, 27940
1400/12/25, 26680, 27640
1400/12/24, 27040, 27990
1400/12/23, 26030, 27390
1400/12/22, 25900, 26640
1400/12/21, 25800, 26670
1400/12/18, 26300, 26840
1400/12/17, 25810, 27150
1400/12/16, 26090, 27190
1400/12/15, 25600, 27390
1400/12/14, 25600, 27200
1400/12/11, 25640, 26570
1400/12/09, 24800, 26800
1400/12/08, 24860, 25950
1400/12/07, 25290, 26490
1400/12/04, 24600, 26460
1400/12/03, 24150, 25630
1400/12/02, 24530, 25310
1400/12/01, 24380, 25490
1400/11/30, 24500, 25880
1400/11/27, 24350, 25250
1400/11/25, 24670, 25410
1400/11/24, 24350, 25790
1400/11/23, 24380, 25700
1400/11/20, 24770, 25560
