date, min_price, max_price
1402/03/03, 17300, 17730
1402/03/02, 17200, 18180
1402/03/01, 17050, 17500
1402/02/31, 16600, 17100
1402/02/30, 16750, 17520
1402/02/27, 16850, 17400
1402/02/25, 16520, 17200
1402/02/24, 16300, 17200
1402/02/23, 15450, 16940
1402/02/20, 16200, 17790
1402/02/19, 16080, 17550
1402/02/18, 16110, 17490
1402/02/17, 17650, 19090
1402/02/16, 18870, 19500
1402/02/13, 18630, 19000
1402/02/12, 18250, 19500
1402/02/11, 17680, 18210
1402/02/10, 17640, 18150
1402/02/09, 17350, 18080
1402/02/06, 16610, 17120
1402/02/05, 16500, 17000
1402/02/04, 16250, 16650
1402/01/30, 16250, 16650
1402/01/29, 16160, 16650
1402/01/28, 15850, 16280
1402/01/27, 15700, 16200
1402/01/26, 15400, 16100
1402/01/22, 14860, 15340
1402/01/21, 14810, 15940
1402/01/20, 15200, 16000
1402/01/19, 14710, 15400
1402/01/16, 14180, 14710
1402/01/15, 14180, 14770
1402/01/14, 13930, 14390
1402/01/09, 13930, 14270
1402/01/08, 13780, 14210
1402/01/07, 13440, 13970
1402/01/06, 13510, 14370
1402/01/05, 13490, 14010
1401/12/28, 12120, 13690
1401/12/27, 12800, 13500
1401/12/24, 12450, 12780
1401/12/23, 12150, 12420
1401/12/22, 12120, 12480
1401/12/21, 12020, 12320
1401/12/20, 12300, 12780
1401/12/16, 12220, 12620
1401/12/15, 12030, 12270
1401/12/14, 12140, 12400
1401/12/13, 12010, 12310
1401/12/10, 12160, 13000
1401/12/09, 12900, 13170
1401/12/08, 12120, 13960
1401/12/07, 12570, 13370
1401/12/06, 11700, 12560
1401/12/03, 11300, 11550
1401/12/02, 11100, 11620
1401/12/01, 10540, 11230
1401/11/30, 10460, 10600
1401/11/26, 10410, 10570
1401/11/25, 10450, 10650
1401/11/24, 10520, 10750
1401/11/23, 10370, 10550
1401/11/19, 10580, 10690
1401/11/18, 10550, 10680
1401/11/17, 10180, 10440
1401/11/16, 10230, 10450
1401/11/12, 10340, 10490
1401/11/11, 10400, 10600
1401/11/10, 10000, 10520
1401/11/09, 10180, 10660
1401/11/08, 10630, 10820
1401/11/05, 10700, 11150
1401/11/04, 11040, 11180
1401/11/03, 11020, 11350
1401/11/02, 10970, 11320
1401/11/01, 11030, 11390
1401/10/28, 11230, 11440
1401/10/27, 11190, 11490
1401/10/26, 11160, 11400
1401/10/24, 10800, 11280
1401/10/21, 10900, 11300
1401/10/20, 11010, 11350
1401/10/19, 10780, 11040
1401/10/18, 10740, 11050
1401/10/17, 10450, 10680
1401/10/14, 10270, 10530
1401/10/13, 10330, 10720
1401/10/12, 10200, 10620
1401/10/11, 10040, 10470
1401/10/10, 10240, 10760
1401/10/07, 10450, 11200
1401/10/05, 10140, 10420
1401/10/04, 10220, 10340
1401/10/03, 9800, 10170
1401/09/30, 9730, 9790
1401/09/29, 9620, 9740
1401/09/28, 9300, 9860
1401/09/27, 9690, 9910
1401/09/26, 9580, 9670
1401/09/23, 9550, 9710
1401/09/22, 9340, 9650
1401/09/21, 9040, 9250
