date, min_price, max_price
1402/03/03, 52300, 55150
1402/03/02, 53640, 55600
1402/03/01, 51210, 54840
1402/02/31, 50310, 53340
1402/02/30, 50980, 54950
1402/02/27, 52230, 54970
1402/02/20, 56450, 61400
1402/02/19, 59420, 59420
1402/02/18, 62540, 62540
1402/02/17, 63370, 70030
1402/02/16, 66700, 66700
1402/02/13, 63530, 63530
1402/02/12, 59320, 60530
1402/02/11, 55390, 58940
1402/02/10, 53730, 58770
1402/02/09, 56230, 57910
1402/02/06, 57200, 60210
1402/01/30, 56300, 58490
1402/01/29, 53750, 56190
1402/01/28, 52450, 53660
1402/01/27, 48100, 51720
1402/01/26, 48160, 49710
1402/01/22, 45310, 49200
1402/01/21, 45030, 49770
1402/01/20, 46210, 47420
1402/01/19, 44000, 45280
1402/01/16, 40990, 43720
1402/01/15, 40450, 42210
1402/01/14, 37600, 40440
1402/01/09, 37200, 39100
1402/01/08, 37300, 38700
1402/01/07, 36600, 38000
1402/01/06, 36000, 39650
1402/01/05, 36710, 38150
1401/12/28, 36000, 37450
1401/12/27, 35000, 35740
1401/12/24, 33100, 34720
1401/12/23, 32780, 33960
1401/12/22, 32300, 34170
1401/12/21, 33440, 34850
1401/12/20, 34470, 36700
1401/12/16, 34010, 36080
1401/12/15, 32500, 34800
1401/12/14, 32600, 33890
1401/12/13, 32810, 34040
1401/12/10, 33380, 34700
1401/12/09, 32230, 34140
1401/12/08, 32170, 34000
1401/12/07, 32540, 34060
1401/12/06, 31540, 32460
1401/12/03, 30510, 31500
1401/12/02, 30770, 32990
1401/12/01, 30540, 32060
1401/11/30, 29380, 31190
1401/11/26, 29300, 30970
1401/11/25, 29840, 30820
1401/11/24, 30400, 31450
1401/11/23, 29350, 31300
1401/11/19, 30020, 31400
1401/11/18, 30350, 31250
1401/11/17, 29200, 30400
1401/11/16, 29930, 32890
1401/11/12, 30800, 31850
1401/11/11, 29380, 31690
1401/11/10, 30170, 31650
1401/11/09, 31650, 32430
1401/11/08, 33240, 34900
1401/11/05, 34750, 37100
1401/11/04, 36360, 37900
1401/11/03, 36420, 39990
1401/11/02, 35980, 38930
1401/11/01, 36390, 37130
1401/10/28, 33900, 35980
1401/10/27, 33950, 35980
1401/10/26, 33820, 34770
1401/10/24, 31760, 34350
1401/10/21, 32690, 34190
1401/10/20, 33490, 35150
1401/10/19, 33790, 35430
1401/10/18, 34110, 35140
1401/10/17, 32890, 34300
1401/10/14, 32520, 34140
1401/10/13, 33340, 35760
1401/10/12, 32850, 35470
1401/10/11, 32250, 34980
1401/10/10, 32280, 33540
1401/10/07, 31100, 32610
1401/10/05, 29880, 32000
1401/10/04, 30400, 31540
1401/10/03, 29050, 30450
1401/09/30, 28800, 30760
1401/09/29, 28750, 30530
1401/09/28, 28810, 30400
1401/09/27, 29770, 30950
1401/09/26, 28130, 29620
1401/09/23, 27660, 28650
1401/09/22, 27500, 28800
1401/09/21, 27210, 28010
1401/09/20, 26700, 27350
1401/09/19, 26490, 27400
1401/09/16, 27010, 28090
1401/09/15, 27450, 28290
1401/09/14, 27800, 28730
1401/09/13, 27500, 28990
1401/09/12, 28000, 29000
1401/09/09, 27980, 28570
1401/09/08, 27970, 28650
1401/09/07, 27990, 28960
1401/09/06, 27640, 28450
1401/09/05, 28280, 29550
1401/09/02, 28900, 30170
1401/09/01, 29000, 30720
1401/08/30, 28520, 30950
1401/08/29, 29100, 30560
1401/08/28, 29360, 29980
1401/08/25, 27570, 29200
1401/08/24, 27800, 29290
1401/08/23, 28810, 30120
1401/08/22, 29000, 31450
1401/08/21, 28400, 30150
1401/08/18, 28170, 29460
1401/08/17, 28370, 30380
1401/08/16, 28540, 29720
1401/08/15, 27620, 28930
1401/08/14, 26110, 28000
1401/08/11, 26200, 27820
1401/08/10, 26660, 27900
1401/08/09, 25900, 26830
1401/08/08, 24600, 26290
1401/08/07, 24300, 26500
1401/08/04, 25150, 26480
1401/08/03, 26200, 27850
1401/08/02, 27200, 28800
1401/08/01, 27880, 29100
1401/07/30, 28010, 28980
1401/07/27, 28360, 29050
1401/07/26, 28500, 30500
1401/07/25, 28370, 30460
1401/07/24, 27700, 30000
1401/07/23, 28130, 29200
1401/07/20, 27000, 28310
1401/07/19, 26870, 27510
1401/07/18, 26650, 27710
1401/07/17, 26490, 27200
1401/07/16, 27100, 28670
1401/07/12, 26600, 28390
1401/07/11, 25850, 27640
1401/07/10, 26260, 27250
1401/07/09, 27350, 28710
1401/07/06, 28000, 29470
1401/07/04, 28480, 29760
1401/07/02, 29870, 31900
1401/06/30, 30000, 32300
1401/06/29, 30000, 32190
1401/06/28, 30000, 31680
1401/06/27, 30150, 32250
1401/06/23, 29740, 31600
1401/06/22, 29610, 30280
1401/06/21, 28510, 29790
1401/06/20, 29970, 30890
1401/06/19, 30160, 32310
1401/06/16, 30100, 30890
1401/06/15, 28290, 29660
1401/06/14, 27900, 29180
1401/06/13, 27600, 29210
1401/06/12, 27080, 28890
1401/06/09, 27060, 27990
1401/06/08, 27010, 28450
