date, min_price, max_price
1402/03/03, 54500, 58400
1402/03/02, 54000, 56630
1402/03/01, 52140, 52930
1402/02/23, 52420, 57600
1402/02/20, 53680, 58550
1402/02/19, 51860, 57580
1402/02/18, 55650, 57950
1402/02/17, 58050, 63820
1402/02/16, 61910, 63320
1402/02/13, 62520, 64260
1402/02/12, 63580, 66350
1402/02/11, 63220, 66200
1402/02/10, 62960, 65000
1402/02/09, 62000, 65940
1402/02/06, 64450, 65930
1402/02/05, 63910, 66500
1402/02/04, 64610, 66830
1402/01/30, 64430, 65580
1402/01/29, 64460, 65450
1402/01/28, 63920, 66580
1402/01/27, 63000, 67000
1402/01/26, 59650, 63170
1402/01/22, 57300, 59970
1402/01/21, 56000, 60550
1402/01/20, 57380, 59130
1402/01/19, 54010, 57490
1402/01/16, 53710, 54150
1402/01/15, 53400, 54600
1402/01/14, 52420, 54410
1402/01/09, 52010, 53990
1402/01/08, 50600, 53980
1402/01/07, 51000, 53730
1402/01/06, 51510, 56720
1402/01/05, 52120, 53620
1401/12/28, 51240, 54500
1401/12/27, 47510, 51230
1401/12/24, 46200, 48750
1401/12/23, 45000, 46990
1401/12/22, 45300, 46290
1401/12/21, 45010, 47000
1401/12/20, 45660, 47590
1401/12/16, 45000, 46180
1401/12/15, 44000, 47730
1401/12/14, 44740, 45790
1401/12/13, 44500, 46400
1401/12/10, 44750, 46280
1401/12/09, 42440, 45800
1401/12/08, 44000, 44750
1401/12/07, 43820, 46100
1401/12/06, 40010, 43750
1401/12/03, 40050, 41900
1401/12/02, 39890, 41500
1401/12/01, 38010, 40610
1401/11/30, 39000, 40470
1401/11/26, 39340, 40240
1401/11/25, 39730, 40890
1401/11/24, 40000, 40910
1401/11/23, 40310, 41680
1401/11/19, 40490, 41730
1401/11/18, 39750, 40900
1401/11/17, 39560, 41100
1401/11/16, 39710, 41000
1401/11/12, 39670, 40990
1401/11/11, 40000, 41990
1401/11/10, 39310, 41250
1401/11/09, 39280, 42000
1401/11/08, 40910, 42570
1401/11/05, 41190, 43800
1401/11/04, 42680, 44100
1401/11/03, 42360, 43950
1401/11/02, 39000, 42370
1401/11/01, 39500, 39760
1401/10/28, 38620, 39670
1401/10/27, 39000, 39680
1401/10/26, 38880, 39720
1401/10/24, 37510, 39500
1401/10/21, 38000, 39500
1401/10/20, 38000, 39120
1401/10/19, 37220, 39450
1401/10/18, 37040, 39760
1401/10/17, 36280, 37850
1401/10/14, 36320, 37350
1401/10/13, 36450, 37850
1401/10/12, 37000, 38080
1401/10/11, 36110, 38970
1401/10/10, 36490, 39170
1401/10/07, 37070, 39180
1401/10/05, 37180, 37690
1401/10/04, 36180, 38290
1401/10/03, 36000, 37840
1401/09/30, 35870, 36770
1401/09/29, 36600, 37540
1401/09/28, 37060, 38000
1401/09/27, 36440, 38250
1401/09/26, 36010, 37690
1401/09/23, 36710, 37500
1401/09/22, 36010, 37580
1401/09/21, 36040, 37140
1401/09/20, 35540, 36790
1401/09/19, 35510, 37400
1401/09/16, 35420, 36880
1401/09/15, 34610, 36550
1401/09/14, 35050, 36480
1401/09/13, 34810, 36200
1401/09/12, 34650, 35970
1401/09/09, 34100, 35170
1401/09/08, 34200, 35140
1401/09/07, 33210, 34850
1401/09/06, 33550, 34990
1401/09/05, 33800, 34990
1401/09/02, 32600, 34090
1401/09/01, 32860, 34350
1401/08/30, 33550, 34360
1401/08/29, 32200, 34450
1401/08/28, 32110, 34960
1401/08/25, 31860, 33460
1401/08/24, 32440, 33680
1401/08/23, 31980, 33330
1401/08/22, 32000, 33680
1401/08/21, 32310, 33880
1401/08/18, 30930, 32700
1401/08/17, 30140, 31110
1401/08/16, 29350, 30990
1401/08/15, 28900, 29540
1401/08/14, 27700, 29560
1401/08/11, 27900, 28400
1401/08/10, 28000, 28550
1401/08/09, 27600, 28200
1401/08/08, 27150, 28400
1401/08/07, 27000, 28220
1401/08/04, 27610, 28410
1401/08/03, 27270, 28420
1401/08/02, 28000, 29000
1401/08/01, 28400, 29300
1401/07/30, 28200, 29270
1401/07/27, 29060, 29450
1401/07/26, 29020, 29700
1401/07/25, 29100, 29800
1401/07/24, 28500, 29400
1401/07/23, 28350, 29350
1401/07/20, 28530, 29900
1401/07/19, 27520, 28630
1401/07/18, 27410, 28400
1401/07/17, 27180, 28390
1401/07/16, 27480, 28400
1401/07/12, 26210, 27000
1401/07/11, 26730, 27780
1401/07/10, 26240, 27750
1401/07/09, 26150, 27850
1401/07/06, 28200, 28770
1401/07/04, 26530, 28480
1401/07/02, 26100, 27610
1401/06/30, 27250, 28380
1401/06/29, 27220, 27900
1401/06/28, 27510, 28370
1401/06/27, 27980, 28340
1401/06/23, 28000, 28540
1401/06/22, 28320, 29220
1401/06/21, 28270, 29850
1401/06/20, 28050, 28790
1401/06/19, 28000, 30240
1401/06/16, 29250, 30370
1401/06/15, 29400, 31110
1401/06/14, 28830, 30000
1401/06/13, 28860, 29300
1401/06/12, 28950, 29500
1401/06/09, 29010, 29790
1401/06/08, 28890, 29390
1401/06/07, 28390, 29390
1401/06/06, 28250, 28930
1401/06/05, 28000, 28770
1401/06/02, 28100, 29000
1401/06/01, 28360, 29000
1401/05/31, 28200, 29000
1401/05/30, 28500, 29500
1401/05/29, 27700, 28600
1401/05/26, 28020, 28600
1401/05/25, 28010, 29100
1401/05/24, 28020, 29200
1401/05/23, 28010, 28860
1401/05/22, 27610, 29000
1401/05/19, 27000, 28500
1401/05/18, 27630, 28000
1401/05/15, 27500, 28870
1401/05/12, 27220, 28090
1401/05/11, 27010, 28500
1401/05/10, 26630, 27950
1401/05/09, 26810, 27250
1401/05/08, 27550, 28770
1401/05/05, 26000, 28490
1401/05/04, 26110, 27180
1401/05/03, 26110, 28490
1401/05/02, 27340, 28560
1401/05/01, 27500, 29110
1401/04/29, 27770, 29000
1401/04/28, 28000, 29000
1401/04/26, 28210, 29890
1401/04/25, 28230, 29400
1401/04/22, 28910, 29990
1401/04/21, 28200, 29500
1401/04/20, 29000, 30470
1401/04/18, 29810, 31500
1401/04/15, 29030, 31010
1401/04/14, 29200, 30370
1401/04/13, 28900, 30320
1401/04/12, 28520, 29970
1401/04/11, 28230, 29280
1401/04/08, 27210, 29460
1401/04/07, 27410, 28290
1401/04/06, 26900, 28800
1401/04/05, 27580, 28160
1401/04/04, 28110, 30100
1401/04/01, 28440, 31820
1401/03/31, 29660, 31950
1401/03/30, 31060, 32280
1401/03/29, 29520, 31660
1401/03/28, 29150, 30620
1401/03/25, 30000, 31200
1401/03/24, 30000, 31440
1401/03/23, 28040, 30610
1401/03/22, 27700, 29850
1401/03/21, 28070, 29700
1401/03/18, 26860, 28090
1401/03/17, 25430, 26690
1401/03/16, 24140, 25530
1401/03/11, 24900, 25690
1401/03/10, 24620, 26630
1401/03/09, 24860, 26000
1401/03/08, 24130, 26590
1401/03/07, 25200, 26600
1401/03/04, 24500, 26370
1401/03/03, 24210, 25600
1401/03/02, 24750, 26430
1401/02/26, 29550, 31500
1401/02/25, 30030, 31400
1401/02/24, 29400, 31410
1401/02/21, 29010, 30000
1401/02/20, 27760, 29700
1401/02/19, 28110, 29200
1401/02/18, 28070, 30260
1401/02/17, 28550, 30120
1401/02/12, 28070, 29800
1401/02/11, 28110, 29200
1401/02/10, 27040, 28890
1401/02/07, 27220, 28450
1401/02/06, 26710, 28000
1401/02/05, 26650, 28100
1401/02/04, 27550, 29450
1401/01/31, 28000, 29100
1401/01/30, 26540, 28130
1401/01/29, 25440, 26990
1401/01/28, 24180, 26390
1401/01/27, 25090, 26400
