date, min_price, max_price
1402/03/03, 16750, 17480
1402/03/02, 16800, 17700
1402/03/01, 16750, 17800
1402/02/31, 16860, 18370
1402/02/30, 16890, 17650
1402/02/27, 17400, 18430
1402/02/25, 17760, 18600
1402/02/24, 16810, 18300
1402/02/23, 17100, 17310
1402/02/20, 17310, 18510
1402/02/19, 17760, 19070
1402/02/18, 18320, 20150
1402/02/17, 18530, 19380
1402/02/16, 19170, 19170
1402/02/13, 18730, 18940
1402/02/12, 18080, 18530
1402/02/11, 17880, 18090
1402/02/10, 16910, 17880
1402/02/09, 16800, 17650
1402/02/06, 17060, 17500
1402/02/05, 17110, 17750
1402/02/04, 16410, 17690
1402/01/30, 16610, 17100
1402/01/29, 16520, 17250
1402/01/28, 16520, 17460
1402/01/27, 16900, 17520
1402/01/26, 16930, 17590
1402/01/22, 16490, 17320
1402/01/21, 15810, 16970
1402/01/20, 16160, 16770
1402/01/19, 16520, 17090
1402/01/16, 16560, 17200
1402/01/15, 15900, 16530
1402/01/14, 15930, 16470
1402/01/09, 15710, 16350
1402/01/08, 15720, 16110
1402/01/07, 15510, 15910
1402/01/06, 14970, 15820
1402/01/05, 15250, 15800
1401/12/28, 14850, 15590
1401/12/27, 14400, 15250
1401/12/24, 14350, 14790
1401/12/23, 14160, 14620
1401/12/22, 14180, 14480
1401/12/15, 14480, 14700
1401/12/14, 14500, 14800
1401/12/13, 14460, 15050
1401/12/10, 14580, 15000
1401/12/09, 14550, 14890
1401/12/08, 14600, 15070
1401/12/07, 14900, 15580
1401/12/06, 14670, 15490
1401/12/03, 14440, 15070
1401/12/02, 14970, 15260
1401/12/01, 14710, 15480
1401/11/30, 14850, 15500
1401/11/26, 15170, 16230
1401/11/25, 15080, 16260
1401/11/24, 15180, 15400
1401/11/23, 15160, 15430
1401/11/19, 15240, 15600
1401/11/18, 15380, 16100
1401/11/17, 15730, 16000
1401/11/16, 15770, 16240
1401/11/12, 15910, 16260
1401/11/11, 16000, 16490
1401/11/10, 16030, 16350
1401/11/09, 16050, 16300
1401/11/08, 16160, 16670
1401/11/05, 16300, 16790
1401/11/04, 16360, 16750
1401/11/03, 16370, 16900
1401/11/02, 16520, 16970
1401/11/01, 16550, 16900
1401/10/28, 16770, 17180
1401/10/27, 17000, 17650
1401/10/26, 16590, 17340
1401/10/24, 16280, 16880
1401/10/21, 16480, 17100
1401/10/19, 16540, 16780
1401/10/18, 16510, 16850
1401/10/17, 16370, 16810
1401/10/14, 16330, 16760
1401/10/13, 16470, 16900
1401/10/12, 16530, 16970
1401/10/11, 16600, 17040
1401/10/10, 16790, 17140
1401/10/07, 16830, 17170
1401/10/05, 16710, 17000
1401/10/04, 16700, 17140
1401/10/03, 16590, 17090
1401/09/30, 16500, 16950
1401/09/29, 16520, 16900
1401/09/28, 16700, 17110
1401/09/27, 16670, 17330
1401/09/26, 16680, 17190
1401/09/23, 16750, 17310
1401/09/22, 16400, 17510
1401/09/21, 16140, 16640
1401/09/20, 16190, 16500
1401/09/19, 16250, 17050
1401/09/16, 16300, 16780
1401/09/15, 16600, 17190
1401/09/14, 16410, 16780
1401/09/13, 16530, 16800
1401/09/12, 16510, 17250
1401/09/09, 17040, 17500
1401/09/08, 16440, 17990
1401/09/07, 16360, 16700
1401/09/06, 16450, 16690
1401/09/05, 16500, 16660
1401/09/02, 16440, 16750
1401/09/01, 16420, 16790
1401/08/30, 16470, 16910
1401/08/29, 16510, 16910
1401/08/28, 16530, 16700
1401/08/25, 16650, 16900
1401/08/24, 16630, 17160
1401/08/23, 16630, 16990
1401/08/22, 16710, 17000
1401/08/21, 16750, 17170
1401/08/18, 16770, 17250
1401/08/17, 17000, 18400
1401/08/16, 17000, 18390
1401/08/15, 16950, 17390
1401/08/14, 16910, 17300
1401/08/11, 16900, 17000
1401/08/10, 17010, 17480
1401/08/09, 17090, 17600
1401/08/08, 17000, 17100
1401/08/07, 16910, 17380
1401/08/04, 16920, 17170
1401/08/03, 16910, 17200
1401/08/02, 16930, 17290
1401/08/01, 17020, 17640
1401/07/30, 17000, 17340
1401/07/27, 17010, 17350
1401/07/26, 17000, 17190
1401/07/25, 16960, 17980
1401/07/24, 17020, 17370
1401/07/12, 24560, 25300
1401/07/11, 24930, 26000
1401/07/10, 24960, 25500
1401/07/09, 24960, 26300
1401/07/06, 25010, 26100
1401/07/04, 25000, 26000
1401/07/02, 24400, 25400
1401/06/30, 25320, 25790
1401/06/29, 25340, 25980
1401/06/28, 25110, 26090
1401/06/27, 25020, 25500
1401/06/23, 25360, 25900
1401/06/22, 25570, 25920
1401/06/21, 25340, 25900
1401/06/20, 25320, 25850
1401/06/19, 25340, 25710
1401/06/16, 25490, 26380
1401/06/15, 25790, 25950
1401/06/14, 25300, 25700
1401/06/13, 25210, 25910
1401/06/12, 24850, 25800
1401/06/09, 25200, 25670
1401/06/08, 25380, 25990
1401/06/07, 25310, 25990
1401/06/06, 25120, 26000
1401/06/05, 25010, 25710
1401/06/02, 25200, 26390
1401/06/01, 25030, 26410
1401/05/31, 24980, 25700
1401/05/30, 24460, 26240
1401/05/29, 25110, 26490
1401/05/26, 24910, 25920
1401/05/25, 24670, 25780
1401/05/24, 25180, 26000
1401/05/23, 24450, 25990
1401/05/22, 24660, 25850
1401/05/19, 24590, 24800
1401/05/18, 24480, 25140
1401/05/15, 24660, 25330
1401/05/12, 24500, 25950
1401/05/11, 24850, 25490
1401/05/10, 25780, 26380
1401/05/09, 25800, 26810
1401/05/08, 24950, 26050
1401/05/05, 25300, 25970
1401/05/04, 24720, 25200
1401/05/03, 23970, 25000
1401/05/02, 24010, 24980
1401/05/01, 24100, 24920
1401/04/29, 23320, 24680
1401/04/28, 23070, 24000
1401/04/26, 23020, 23880
1401/04/25, 23390, 23500
1401/04/22, 23110, 23890
1401/04/21, 23020, 23920
1401/04/20, 23140, 23690
1401/04/18, 23150, 24030
1401/04/15, 23430, 23980
1401/04/14, 23550, 24140
1401/04/13, 23440, 24500
1401/04/12, 22970, 24370
1401/04/11, 22820, 24320
1401/04/08, 22920, 23620
1401/04/07, 23140, 24000
1401/04/06, 23620, 24760
1401/04/05, 23980, 25300
1401/04/04, 23000, 24500
1401/03/31, 24630, 25260
1401/03/30, 24510, 25070
1401/03/29, 24140, 24820
1401/03/28, 23760, 24460
1401/03/25, 23960, 24260
1401/03/24, 23030, 23950
1401/03/23, 22960, 23550
1401/03/22, 22280, 23650
1401/03/21, 22690, 23370
1401/03/18, 22660, 23250
1401/03/17, 22210, 23490
1401/03/16, 22550, 23700
1401/03/11, 22540, 23700
1401/03/10, 21810, 23620
1401/03/09, 22430, 22880
1401/03/08, 21760, 23290
1401/03/07, 21210, 23250
1401/03/04, 22140, 23150
1401/03/03, 22520, 23190
1401/03/02, 21490, 23180
1401/03/01, 21610, 22350
1401/02/31, 21500, 22290
1401/02/28, 21510, 22070
1401/02/27, 21690, 22180
1401/02/26, 21650, 22000
1401/02/25, 21810, 22280
1401/02/24, 21810, 22300
1401/02/21, 21730, 22220
1401/02/20, 21550, 22370
1401/02/19, 21750, 22000
1401/02/18, 21880, 22200
1401/02/17, 21970, 22430
1401/02/12, 21800, 22390
1401/02/11, 21940, 22450
1401/02/10, 22100, 22500
1401/02/07, 22120, 22490
1401/02/06, 22240, 22570
1401/02/05, 22140, 22800
1401/02/04, 22290, 22980
1401/01/31, 21890, 22550
1401/01/30, 22670, 23230
1401/01/29, 22100, 23060
1401/01/28, 22210, 22960
1401/01/27, 21450, 22540
1401/01/24, 22220, 22700
1401/01/23, 22510, 22740
1401/01/22, 22610, 23200
1401/01/21, 21930, 23140
1401/01/20, 21350, 22800
1401/01/17, 22290, 22850
1401/01/16, 22210, 22780
1401/01/15, 22520, 23260
1401/01/14, 23020, 23530
1400/12/24, 22100, 23700
1400/12/21, 22820, 23300
1400/12/18, 22900, 23580
1400/12/17, 22550, 23480
1400/12/16, 22260, 23260
1400/12/15, 21670, 23200
1400/12/14, 21600, 22300
1400/12/11, 21730, 22380
1400/12/09, 21600, 22420
1400/12/08, 21580, 22380
1400/12/07, 21650, 22000
1400/12/04, 21570, 22600
1400/12/03, 21830, 22220
