date, min_price, max_price
1402/03/03, 10323, 10325
1402/03/02, 10316, 10318
1402/03/01, 10310, 10312
1402/02/31, 10303, 10305
1402/02/30, 10296, 10298
1402/02/27, 10277, 10279
1402/02/25, 10264, 10266
1402/02/24, 10258, 10260
1402/02/23, 10251, 10253
1402/02/20, 10231, 10233
1402/02/19, 10225, 10227
1402/02/18, 10219, 10220
1402/02/17, 10212, 10214
1402/02/16, 10174, 10208
1402/02/13, 10158, 10160
1402/02/12, 10153, 10155
1402/02/11, 10147, 10149
1402/02/10, 10142, 10144
1402/02/09, 10136, 10138
1402/02/06, 10120, 10122
1402/02/05, 10114, 10116
1402/02/04, 10109, 10111
1402/01/30, 10092, 10094
1402/01/29, 10076, 10078
1402/01/28, 10071, 10073
1402/01/27, 10065, 10067
1402/01/26, 10060, 10062
1402/01/22, 10038, 10046
1402/01/21, 10033, 10035
1402/01/20, 10028, 10030
1402/01/19, 10022, 10024
1402/01/16, 10006, 10008
1402/01/15, 10163, 10165
1402/01/14, 10157, 10159
1402/01/09, 10131, 10145
1402/01/08, 10125, 10127
1402/01/07, 10121, 10122
1402/01/06, 10114, 10116
1402/01/05, 10109, 10116
1401/12/28, 10072, 10111
1401/12/27, 10065, 10067
1401/12/24, 10049, 10051
1401/12/23, 10044, 10046
1401/12/22, 10038, 10040
1401/12/21, 10033, 10035
1401/12/20, 10028, 10029
1401/12/16, 10006, 10009
1401/12/15, 10163, 10165
1401/12/14, 10157, 10159
1401/12/13, 10152, 10154
1401/12/10, 10136, 10138
1401/12/09, 10130, 10132
1401/12/08, 10125, 10127
1401/12/07, 10120, 10122
1401/12/06, 10114, 10116
1401/12/03, 10098, 10100
1401/12/02, 10092, 10094
1401/12/01, 10087, 10089
1401/11/30, 10080, 10083
1401/11/26, 10060, 10063
1401/11/25, 10055, 10057
1401/11/24, 10049, 10051
1401/11/23, 10044, 10046
1401/11/19, 10022, 10024
1401/11/18, 10017, 10019
1401/11/17, 10011, 10013
1401/11/16, 10006, 10007
1401/11/12, 10147, 10149
1401/11/11, 10141, 10143
1401/11/10, 10136, 10138
1401/11/09, 10130, 10132
1401/11/08, 10125, 10127
1401/11/05, 10110, 10111
1401/11/04, 10103, 10105
1401/11/03, 10098, 10100
1401/11/02, 10092, 10094
1401/11/01, 10087, 10089
1401/10/28, 10071, 10073
1401/10/27, 10065, 10067
1401/10/26, 10060, 10062
1401/10/24, 10035, 10051
1401/10/21, 10033, 10035
1401/10/20, 10028, 10030
1401/10/19, 10022, 10024
1401/10/18, 10017, 10018
1401/10/17, 10011, 10013
1401/10/14, 10157, 10159
1401/10/13, 10152, 10154
1401/10/12, 10147, 10149
1401/10/11, 10141, 10143
1401/10/10, 10136, 10138
1401/10/07, 10120, 10122
1401/10/05, 10109, 10111
1401/10/04, 10103, 10105
1401/10/03, 10098, 10100
1401/09/30, 10082, 10084
1401/09/29, 10076, 10078
1401/09/28, 10071, 10072
1401/09/27, 10065, 10067
1401/09/26, 10060, 10062
1401/09/23, 10044, 10046
1401/09/22, 10038, 10040
1401/09/21, 10033, 10035
1401/09/20, 10028, 10030
1401/09/19, 10022, 10024
1401/09/16, 10006, 10008
1401/09/15, 10163, 10165
1401/09/14, 10157, 10159
1401/09/13, 10152, 10154
1401/09/12, 10147, 10149
1401/09/09, 10130, 10132
1401/09/08, 10125, 10127
1401/09/07, 10120, 10122
1401/09/06, 10114, 10116
1401/09/05, 10109, 10111
1401/09/02, 10092, 10094
1401/09/01, 10087, 10089
1401/08/30, 10082, 10084
1401/08/29, 10076, 10078
1401/08/28, 10071, 10073
1401/08/25, 10055, 10057
1401/08/24, 10049, 10051
1401/08/23, 10044, 10046
1401/08/22, 10038, 10040
1401/08/21, 10033, 10035
1401/08/18, 10017, 10019
1401/08/17, 10011, 10013
1401/08/16, 10006, 10008
1401/08/15, 10163, 10165
1401/08/14, 10158, 10160
1401/08/11, 10143, 10145
1401/08/10, 10138, 10140
1401/08/09, 10133, 10135
1401/08/08, 10128, 10130
1401/08/07, 10123, 10125
1401/08/04, 10107, 10109
1401/08/03, 10102, 10104
1401/08/02, 10097, 10099
1401/08/01, 10092, 10094
1401/07/30, 10082, 10084
1401/07/27, 10065, 10067
1401/07/26, 10060, 10062
1401/07/25, 10055, 10057
1401/07/24, 10048, 10051
1401/07/23, 10044, 10046
1401/07/20, 10028, 10030
1401/07/19, 10022, 10024
1401/07/18, 10017, 10019
1401/07/17, 10011, 10013
1401/07/16, 10006, 10008
1401/07/12, 10152, 10154
1401/07/11, 10147, 10149
1401/07/10, 10141, 10143
1401/07/09, 10136, 10138
1401/07/06, 10120, 10122
1401/07/04, 10109, 10111
1401/07/02, 10098, 10100
1401/06/30, 10082, 10084
1401/06/29, 10076, 10078
1401/06/28, 10071, 10073
1401/06/27, 10065, 10067
1401/06/23, 10044, 10047
1401/06/22, 10038, 10040
1401/06/21, 10033, 10035
1401/06/20, 10028, 10030
1401/06/19, 10022, 10024
1401/06/16, 10006, 10008
1401/06/15, 10168, 10170
1401/06/14, 10163, 10165
1401/06/13, 10157, 10160
1401/06/12, 10152, 10154
1401/06/09, 10136, 10138
1401/06/08, 10130, 10132
1401/06/07, 10125, 10127
1401/06/06, 10120, 10122
1401/06/05, 10114, 10116
1401/06/02, 10099, 10100
1401/06/01, 10092, 10094
1401/05/31, 10087, 10089
1401/05/30, 10082, 10084
1401/05/29, 10076, 10078
1401/05/26, 10060, 10062
1401/05/25, 10055, 10057
1401/05/24, 10049, 10051
1401/05/23, 10044, 10046
1401/05/22, 10038, 10040
1401/05/19, 10022, 10024
1401/05/18, 10017, 10019
1401/05/15, 10168, 10170
1401/05/12, 10152, 10154
1401/05/11, 10147, 10149
1401/05/10, 10141, 10143
1401/05/09, 10136, 10138
1401/05/08, 10130, 10132
1401/05/05, 10114, 10116
1401/05/04, 10109, 10111
1401/05/03, 10103, 10105
1401/05/02, 10098, 10100
1401/05/01, 10092, 10094
1401/04/29, 10076, 10078
1401/04/28, 10071, 10073
1401/04/26, 10060, 10062
1401/04/25, 10055, 10057
1401/04/22, 10038, 10040
1401/04/21, 10033, 10035
1401/04/20, 10028, 10030
1401/04/18, 10017, 10019
1401/04/15, 10168, 10170
1401/04/14, 10163, 10165
1401/04/13, 10157, 10159
1401/04/12, 10152, 10154
1401/04/11, 10147, 10149
1401/04/08, 10130, 10132
1401/04/07, 10126, 10127
1401/04/06, 10120, 10122
1401/04/05, 10114, 10116
1401/04/04, 10109, 10111
1401/04/01, 10092, 10094
1401/03/31, 10087, 10089
1401/03/30, 10082, 10084
1401/03/29, 10076, 10078
1401/03/28, 10071, 10073
1401/03/25, 10056, 10057
1401/03/24, 10049, 10051
1401/03/23, 10044, 10046
1401/03/22, 10038, 10040
1401/03/21, 10033, 10035
1401/03/18, 10017, 10019
1401/03/17, 10011, 10013
1401/03/16, 10006, 10077
1401/03/11, 10147, 10149
1401/03/10, 10141, 10143
1401/03/09, 10136, 10138
1401/03/08, 10130, 10131
1401/03/07, 10125, 10127
1401/03/04, 10109, 10111
1401/03/03, 10103, 10105
1401/03/02, 10098, 10100
1401/03/01, 10092, 10094
1401/02/31, 10087, 10089
1401/02/28, 10071, 10073
1401/02/27, 10065, 10067
1401/02/26, 10060, 10064
1401/02/25, 10054, 10058
1401/02/24, 10049, 10053
1401/02/21, 10032, 10036
1401/02/20, 10027, 10031
1401/02/19, 10021, 10024
1401/02/18, 10016, 10020
1401/02/17, 10010, 10013
1401/02/12, 10149, 10160
1401/02/11, 10143, 10146
1401/02/10, 10136, 10140
1401/02/07, 10126, 10130
1401/02/06, 10121, 10124
1401/02/05, 10115, 10119
1401/02/04, 10110, 10113
1401/01/31, 10088, 10091
1401/01/30, 10082, 10086
1401/01/29, 10076, 10080
1401/01/28, 10071, 10075
1401/01/27, 10065, 10069
1401/01/24, 10049, 10053
1401/01/23, 10043, 10046
1401/01/22, 10038, 10042
1401/01/21, 10032, 10036
1401/01/20, 10027, 10032
1401/01/17, 10010, 10014
1401/01/16, 10005, 10008
1401/01/15, 10164, 10168
1401/01/14, 10158, 10162
1401/01/10, 10136, 10140
1401/01/09, 10131, 10134
1401/01/08, 10126, 10130
1401/01/07, 10120, 10124
1401/01/06, 10115, 10118
1400/12/28, 10072, 10110
1400/12/25, 10054, 10058
1400/12/24, 10049, 10053
1400/12/23, 10043, 10047
1400/12/22, 10038, 10042
1400/12/21, 10032, 10035
1400/12/18, 10016, 10020
1400/12/17, 10004, 10013
1400/12/16, 10004, 10008
1400/12/15, 10164, 10168
1400/12/14, 10158, 10161
1400/12/11, 10142, 10145
1400/12/09, 10132, 10134
1400/12/08, 10126, 10130
1400/12/07, 10121, 10124
1400/12/04, 10104, 10108
1400/12/03, 10098, 10102
1400/12/02, 10094, 10097
1400/12/01, 10087, 10091
1400/11/30, 10082, 10086
1400/11/27, 10066, 10069
1400/11/25, 10054, 10058
1400/11/24, 10049, 10053
1400/11/23, 10043, 10047
1400/11/20, 10027, 10031
1400/11/19, 10021, 10025
1400/11/18, 10016, 10020
1400/11/17, 10010, 10014
1400/11/16, 10005, 10009
1400/11/13, 10153, 10157
1400/11/12, 10147, 10151
1400/11/11, 10142, 10146
1400/11/10, 10136, 10140
1400/11/09, 10131, 10134
1400/11/06, 10116, 10119
1400/11/05, 10109, 10113
1400/11/04, 10105, 10108
1400/11/03, 10098, 10102
1400/11/02, 10093, 10097
1400/10/29, 10076, 10080
1400/10/28, 10071, 10074
1400/10/27, 10065, 10069
1400/10/26, 10060, 10064
1400/10/25, 10054, 10058
1400/10/22, 10038, 10042
1400/10/21, 10032, 10036
1400/10/20, 10027, 10031
1400/10/19, 10021, 10025
1400/10/18, 10016, 10020
1400/10/15, 10164, 10167
1400/10/14, 10158, 10162
1400/10/13, 10153, 10156
1400/10/12, 10148, 10151
1400/10/11, 10142, 10146
1400/10/08, 10126, 10130
1400/10/07, 10120, 10124
1400/10/06, 10115, 10119
1400/10/05, 10109, 10113
1400/10/04, 10104, 10107
1400/10/01, 10087, 10091
1400/09/30, 10082, 10086
1400/09/29, 10076, 10079
1400/09/28, 10071, 10074
1400/09/27, 10065, 10069
1400/09/24, 10049, 10053
1400/09/23, 10043, 10047
1400/09/22, 10038, 10042
1400/09/21, 10032, 10036
1400/09/20, 10027, 10030
1400/09/17, 10010, 10014
1400/09/16, 10006, 10009
1400/09/15, 10169, 10175
1400/09/14, 10164, 10168
1400/09/13, 10158, 10162
1400/09/10, 10143, 10146
1400/09/09, 10136, 10140
1400/09/08, 10131, 10139
1400/09/07, 10126, 10134
1400/09/06, 10121, 10124
1400/09/03, 10104, 10108
1400/09/02, 10098, 10102
1400/09/01, 10093, 10100
1400/08/30, 10082, 10085
1400/08/29, 10076, 10080
1400/08/26, 10061, 10064
1400/08/25, 10054, 10058
1400/08/24, 10049, 10053
1400/08/23, 10043, 10047
1400/08/22, 10038, 10042
1400/08/19, 10021, 10025
1400/08/18, 10016, 10020
1400/08/17, 10011, 10029
1400/08/16, 10006, 10017
1400/08/15, 10169, 10173
1400/08/12, 10153, 10157
1400/08/11, 10147, 10166
1400/08/10, 10137, 10148
1400/08/09, 10136, 10140
1400/08/08, 10131, 10135
1400/08/05, 10115, 10129
1400/08/04, 10109, 10113
1400/08/03, 10104, 10107
1400/08/01, 10093, 10097
1400/07/28, 10071, 10075
1400/07/27, 10065, 10069
1400/07/26, 10060, 10064
1400/07/25, 10054, 10058
1400/07/24, 10049, 10052
1400/07/21, 10033, 10036
1400/07/20, 10027, 10031
1400/07/19, 10021, 10025
1400/07/18, 10016, 10020
1400/07/17, 10010, 10014
1400/07/14, 10164, 10168
1400/07/12, 10153, 10157
1400/07/11, 10147, 10151
1400/07/10, 10142, 10146
1400/07/07, 10126, 10130
1400/07/06, 10120, 10125
1400/07/04, 10109, 10113
1400/07/03, 10104, 10108
1400/06/31, 10088, 10104
