date, min_price, max_price
1402/03/03, 21770, 23390
1402/03/02, 21670, 22830
1402/03/01, 20600, 21560
1402/02/31, 19360, 20650
1402/02/30, 19360, 20910
1402/02/27, 20340, 21470
1402/02/25, 19800, 21470
1402/02/24, 19510, 20490
1402/02/23, 18940, 20360
1402/02/20, 19790, 22690
1402/02/19, 20180, 22620
1402/02/18, 21690, 21990
1402/02/17, 22910, 24670
1402/02/16, 23450, 24870
1402/02/13, 22920, 24350
1402/02/12, 22630, 23980
1402/02/11, 22510, 23270
1402/02/10, 22600, 23890
1402/02/09, 22000, 22790
1402/02/06, 21210, 22000
1402/02/05, 21400, 22580
1402/02/04, 20090, 21330
1402/01/30, 19740, 20400
1402/01/29, 19500, 20810
1402/01/28, 19700, 20690
1402/01/27, 20000, 21970
1402/01/26, 20300, 20970
1402/01/22, 19200, 20300
1402/01/21, 19110, 21200
1402/01/20, 19750, 20870
1402/01/19, 19010, 19520
1402/01/16, 16860, 18480
1402/01/15, 16520, 17600
1402/01/14, 15810, 16900
1402/01/09, 16020, 16500
1402/01/08, 16260, 16980
1402/01/07, 15690, 16980
1402/01/06, 15600, 16980
1402/01/05, 16370, 16930
1401/12/28, 15670, 17300
1401/12/27, 15600, 16280
1401/12/24, 14620, 15420
1401/12/23, 14300, 14540
1401/12/22, 14180, 14740
1401/12/21, 14200, 14950
1401/12/20, 14380, 15150
1401/12/16, 13940, 14450
1401/12/15, 12850, 13920
1401/12/14, 12890, 13200
1401/12/13, 12230, 13100
1401/12/10, 12670, 13010
1401/12/09, 12910, 13700
1401/12/08, 12940, 14000
1401/12/07, 13300, 14130
1401/12/06, 12760, 13240
1401/12/03, 12020, 12600
1401/12/02, 11820, 12400
1401/12/01, 11100, 11700
1401/11/30, 10800, 11190
1401/11/26, 10610, 10920
1401/11/25, 10750, 11300
1401/11/24, 10860, 11310
1401/11/23, 10810, 11260
1401/11/19, 11140, 11540
1401/11/18, 11110, 11500
1401/11/17, 10650, 11500
1401/11/16, 10960, 11540
1401/11/12, 10950, 11410
1401/11/11, 10740, 11190
1401/11/10, 10350, 11050
1401/11/09, 10640, 11400
1401/11/08, 11130, 11900
1401/11/05, 11400, 12240
1401/11/04, 12080, 12640
1401/11/03, 11960, 12630
1401/11/02, 11720, 12480
1401/11/01, 11960, 12540
1401/10/28, 11060, 12050
1401/10/27, 10900, 11730
1401/10/26, 11040, 11660
1401/10/24, 10670, 11410
1401/10/21, 11150, 11880
1401/10/20, 11600, 12160
1401/10/19, 11670, 12300
1401/10/18, 11890, 12390
1401/10/17, 11430, 11880
1401/10/14, 10880, 11230
1401/10/13, 10350, 11390
1401/10/12, 10460, 10920
1401/10/11, 10070, 11000
1401/10/10, 10250, 11020
1401/10/07, 10490, 11120
1401/10/05, 10150, 10500
1401/10/04, 9830, 10320
1401/10/03, 9310, 10070
1401/09/30, 9350, 9500
1401/09/29, 9310, 9640
1401/09/28, 9400, 9930
1401/09/27, 9580, 9940
1401/09/26, 9350, 9990
1401/09/23, 9340, 9650
1401/09/22, 9130, 9420
1401/09/21, 8910, 9350
1401/09/20, 8730, 9140
