date, min_price, max_price
1402/03/03, 17959, 17960
1402/03/02, 17936, 17937
1402/03/01, 17924, 17925
1402/02/31, 17913, 17914
1402/02/30, 17901, 17902
1402/02/27, 17878, 17879
1402/02/25, 17849, 17850
1402/02/24, 17832, 17833
1402/02/23, 17820, 17821
1402/02/20, 17797, 17798
1402/02/19, 17774, 17775
1402/02/18, 17763, 17764
1402/02/17, 17751, 17752
1402/02/16, 17740, 17741
1402/02/13, 17717, 17718
1402/02/12, 17694, 17695
1402/02/11, 17683, 17684
1402/02/10, 17671, 17672
1402/02/09, 17660, 17661
1402/02/06, 17637, 17638
1402/02/05, 17615, 17616
1402/02/04, 17603, 17604
1402/01/30, 17569, 17570
1402/01/29, 17536, 17537
1402/01/28, 17525, 17526
1402/01/27, 17514, 17515
1402/01/26, 17503, 17504
1402/01/22, 17481, 17482
1402/01/21, 17447, 17448
1402/01/20, 17436, 17437
1402/01/19, 17425, 17426
1402/01/16, 17403, 17404
1402/01/15, 17381, 17382
1402/01/14, 17370, 17371
1402/01/09, 17337, 17338
1402/01/08, 17304, 17305
1402/01/07, 17293, 17294
1402/01/06, 17282, 17283
1402/01/05, 17271, 17276
1401/12/28, 17238, 17241
1401/12/27, 17194, 17196
1401/12/24, 17173, 17174
1401/12/23, 17152, 17153
1401/12/22, 17141, 17142
1401/12/21, 17130, 17131
1401/12/20, 17119, 17120
1401/12/16, 17097, 17098
1401/12/15, 17065, 17066
1401/12/14, 17054, 17055
1401/12/13, 17043, 17044
1401/12/10, 17022, 17023
1401/12/09, 17000, 17001
1401/12/08, 16989, 16990
1401/12/07, 16979, 16980
1401/12/06, 16968, 16969
1401/12/03, 16946, 16947
1401/12/02, 16925, 16926
1401/12/01, 16914, 16915
1401/11/30, 16904, 16905
1401/11/26, 16877, 16880
1401/11/25, 16851, 16854
1401/11/24, 16840, 16841
1401/11/23, 16830, 16831
1401/11/19, 16806, 16807
1401/11/18, 16780, 16783
1401/11/17, 16767, 16770
1401/11/16, 16757, 16760
1401/11/12, 16724, 16728
1401/11/11, 16704, 16707
1401/11/10, 16694, 16697
1401/11/09, 16684, 16687
1401/11/08, 16673, 16676
1401/11/05, 16652, 16655
1401/11/04, 16632, 16635
1401/11/03, 16621, 16624
1401/11/02, 16610, 16614
1401/11/01, 16601, 16604
1401/10/28, 16570, 16583
1401/10/27, 16559, 16562
1401/10/26, 16548, 16552
1401/10/24, 16527, 16531
1401/10/21, 16497, 16500
1401/10/20, 16487, 16490
1401/10/19, 16477, 16480
1401/10/18, 16465, 16468
1401/10/17, 16455, 16459
1401/10/14, 16437, 16440
1401/10/13, 16418, 16421
1401/10/12, 16408, 16412
1401/10/11, 16399, 16402
1401/10/10, 16389, 16393
1401/10/07, 16371, 16374
1401/10/05, 16344, 16347
1401/10/04, 16334, 16337
1401/10/03, 16325, 16326
1401/09/30, 16307, 16310
1401/09/29, 16288, 16291
1401/09/28, 16279, 16282
1401/09/27, 16270, 16272
1401/09/26, 16260, 16263
1401/09/23, 16242, 16245
1401/09/22, 16227, 16230
1401/09/21, 16214, 16217
1401/09/20, 16205, 16207
1401/09/19, 16196, 16199
1401/09/16, 16178, 16181
1401/09/15, 16162, 16165
1401/09/14, 16150, 16153
1401/09/13, 16141, 16144
1401/09/12, 16132, 16135
1401/09/09, 16114, 16116
1401/09/08, 16098, 16101
1401/09/07, 16086, 16089
1401/09/06, 16077, 16079
1401/09/05, 16068, 16071
1401/09/02, 16050, 16053
1401/09/01, 16036, 16039
1401/08/30, 16024, 16026
1401/08/29, 16015, 16018
1401/08/28, 16006, 16008
1401/08/25, 15989, 15992
1401/08/24, 15976, 15979
1401/08/23, 15963, 15966
1401/08/22, 15954, 15957
1401/08/21, 15944, 15948
1401/08/18, 15928, 15931
1401/08/17, 15915, 15918
1401/08/16, 15902, 15903
1401/08/15, 15893, 15896
1401/08/14, 15885, 15888
1401/08/11, 15859, 15862
1401/08/10, 15850, 15853
1401/08/09, 15842, 15845
1401/08/08, 15833, 15836
1401/08/07, 15825, 15828
1401/08/04, 15807, 15810
1401/08/03, 15794, 15797
1401/08/02, 15781, 15784
1401/08/01, 15773, 15776
1401/07/30, 15764, 15766
1401/07/27, 15745, 15750
1401/07/26, 15734, 15736
1401/07/25, 15721, 15723
1401/07/24, 15713, 15716
1401/07/23, 15704, 15706
1401/07/20, 15687, 15690
1401/07/19, 15674, 15677
1401/07/18, 15661, 15664
1401/07/17, 15653, 15656
1401/07/16, 15643, 15646
1401/07/12, 15627, 15630
1401/07/11, 15606, 15608
1401/07/10, 15593, 15596
1401/07/09, 15585, 15587
1401/07/06, 15559, 15562
1401/07/04, 15542, 15545
1401/07/02, 15525, 15528
1401/06/30, 15508, 15512
1401/06/29, 15494, 15498
1401/06/28, 15486, 15490
1401/06/27, 15471, 15474
1401/06/23, 15449, 15453
1401/06/22, 15435, 15439
1401/06/21, 15425, 15429
1401/06/20, 15416, 15419
1401/06/19, 15406, 15410
1401/06/16, 15394, 15397
1401/06/15, 15374, 15377
1401/06/14, 15365, 15368
1401/06/13, 15357, 15360
1401/06/12, 15349, 15352
1401/06/09, 15334, 15338
1401/06/08, 15315, 15318
1401/06/07, 15307, 15310
1401/06/06, 15298, 15301
1401/06/05, 15290, 15293
1401/06/02, 15278, 15281
1401/06/01, 15257, 15260
1401/05/31, 15248, 15251
1401/05/30, 15240, 15243
1401/05/29, 15232, 15235
1401/05/26, 15219, 15222
1401/05/25, 15198, 15201
1401/05/24, 15190, 15194
1401/05/23, 15182, 15185
1401/05/22, 15174, 15177
1401/05/19, 15162, 15165
1401/05/18, 15141, 15144
1401/05/15, 15123, 15126
1401/05/12, 15102, 15107
1401/05/11, 15083, 15086
1401/05/10, 15075, 15078
1401/05/09, 15067, 15070
1401/05/08, 15059, 15062
1401/05/05, 15046, 15049
1401/05/04, 15026, 15029
1401/05/03, 15018, 15021
1401/05/02, 15009, 15012
1401/05/01, 15001, 15004
1401/04/29, 14989, 14991
1401/04/28, 14969, 14972
1401/04/26, 14960, 14963
1401/04/25, 14944, 14947
1401/04/22, 14932, 14935
1401/04/21, 14912, 14915
1401/04/20, 14903, 14906
1401/04/18, 14890, 14893
1401/04/15, 14874, 14877
1401/04/14, 14855, 14858
1401/04/13, 14844, 14850
1401/04/12, 14839, 14842
1401/04/11, 14830, 14833
1401/04/08, 14818, 14821
1401/04/07, 14798, 14801
1401/04/06, 14790, 14794
1401/04/05, 14782, 14785
1401/04/04, 14774, 14777
1401/04/01, 14761, 14765
1401/03/31, 14742, 14745
1401/03/30, 14734, 14737
1401/03/29, 14726, 14729
1401/03/28, 14718, 14721
1401/03/25, 14701, 14707
1401/03/24, 14687, 14691
1401/03/23, 14680, 14684
1401/03/22, 14673, 14676
1401/03/21, 14665, 14668
1401/03/18, 14651, 14656
1401/03/17, 14635, 14640
1401/03/16, 14623, 14628
1401/03/11, 14608, 14613
1401/03/10, 14583, 14586
1401/03/09, 14576, 14579
1401/03/08, 14567, 14570
1401/03/07, 14558, 14562
1401/03/04, 14544, 14547
1401/03/03, 14526, 14529
1401/03/02, 14518, 14521
1401/03/01, 14511, 14514
1401/02/31, 14500, 14506
1401/02/28, 14488, 14494
1401/02/27, 14471, 14476
1401/02/26, 14465, 14468
1401/02/25, 14457, 14463
1401/02/24, 14449, 14480
1401/02/21, 14435, 14438
1401/02/20, 14420, 14423
1401/02/19, 14409, 14412
1401/02/18, 14400, 14403
1401/02/17, 14390, 14393
1401/02/12, 14360, 14363
1401/02/11, 14352, 14355
1401/02/10, 14345, 14348
1401/02/07, 14329, 14333
1401/02/06, 14315, 14318
1401/02/05, 14307, 14310
1401/02/04, 14300, 14302
1401/01/31, 14277, 14280
1401/01/30, 14262, 14264
1401/01/29, 14255, 14258
1401/01/28, 14247, 14251
1401/01/27, 14240, 14243
1401/01/24, 14224, 14228
1401/01/23, 14210, 14213
1401/01/22, 14203, 14206
1401/01/21, 14195, 14198
1401/01/20, 14188, 14191
1401/01/17, 14173, 14176
1401/01/16, 14158, 14161
1401/01/15, 14151, 14154
1401/01/14, 14143, 14146
1401/01/10, 14114, 14171
1401/01/09, 14070, 14163
1401/01/08, 14101, 14104
1401/01/07, 14083, 14149
1401/01/06, 14052, 14088
1400/12/28, 14041, 14070
1400/12/25, 14017, 14021
1400/12/24, 14003, 14007
1400/12/23, 13995, 13999
1400/12/22, 13989, 14040
1400/12/21, 13982, 13985
1400/12/18, 13967, 13970
1400/12/17, 13951, 13955
1400/12/16, 13945, 13948
1400/12/15, 13938, 13941
1400/12/14, 13930, 13933
1400/12/11, 13909, 13919
1400/12/09, 13901, 13938
1400/12/08, 13887, 13890
1400/12/07, 13880, 13883
1400/12/04, 13865, 13868
1400/12/03, 13851, 13854
1400/12/02, 13843, 13846
1400/12/01, 13836, 13839
1400/11/30, 13829, 13832
1400/11/27, 13812, 13815
1400/11/25, 13796, 13799
1400/11/24, 13785, 13788
1400/11/23, 13778, 13781
1400/11/20, 13764, 13767
1400/11/19, 13749, 13752
1400/11/18, 13739, 13745
1400/11/17, 13735, 13738
1400/11/16, 13727, 13730
1400/11/13, 13706, 13717
1400/11/12, 13699, 13702
1400/11/11, 13692, 13695
1400/11/10, 13683, 13687
1400/11/09, 13672, 13679
1400/11/06, 13661, 13669
1400/11/05, 13647, 13651
1400/11/04, 13635, 13644
1400/11/03, 13623, 13636
