date, min_price, max_price
1402/03/01, 28150, 29240
1402/02/31, 27210, 29340
1402/02/30, 26570, 28400
1402/02/27, 26300, 28490
1402/02/25, 25100, 27950
1402/02/24, 25310, 27080
1402/02/23, 24850, 27100
1402/02/20, 25160, 28700
1402/02/19, 26580, 28500
1402/02/18, 28570, 28750
1402/02/17, 30410, 33500
1402/02/16, 31390, 34130
1402/02/13, 31900, 33990
1402/02/12, 30640, 32640
1402/02/11, 29970, 31170
1402/02/10, 29080, 31180
1402/02/09, 29200, 30510
1402/02/06, 27960, 30540
1402/02/05, 28000, 29700
1402/02/04, 27060, 28890
1402/01/30, 27730, 29600
1402/01/29, 28300, 29760
1402/01/28, 27060, 28830
1402/01/27, 27250, 29000
1402/01/26, 27970, 28560
1402/01/22, 25020, 27470
1402/01/21, 24650, 26970
1402/01/20, 24870, 25910
1402/01/19, 23480, 24940
1402/01/16, 22150, 24000
1402/01/15, 22300, 23780
1402/01/14, 22060, 23800
1402/01/09, 22900, 23840
1402/01/08, 21500, 22860
1402/01/07, 20690, 21780
1402/01/06, 20500, 21860
1402/01/05, 20380, 21250
1401/12/28, 20150, 21200
1401/12/27, 19310, 20770
1401/12/24, 19100, 19510
1401/12/23, 18960, 19300
1401/12/22, 19000, 19600
1401/12/21, 19230, 19750
1401/12/20, 19490, 20180
1401/12/16, 18990, 19770
1401/12/15, 18810, 19480
1401/12/14, 18870, 19850
1401/12/13, 18770, 19430
1401/12/10, 19000, 19950
1401/12/09, 19600, 20040
1401/12/08, 19530, 20230
1401/12/07, 19900, 21290
1401/12/06, 19300, 20180
1401/12/03, 18760, 19800
1401/12/02, 19310, 20100
1401/12/01, 18710, 19760
1401/11/30, 18700, 19190
1401/11/26, 18900, 19550
1401/11/25, 18760, 20030
1401/11/24, 19000, 19650
1401/11/23, 18850, 19540
1401/11/19, 19100, 19620
1401/11/18, 19280, 20430
1401/11/17, 18300, 19460
1401/11/16, 17970, 19180
1401/11/12, 17690, 18900
1401/11/11, 17350, 18100
1401/11/10, 16840, 17700
1401/11/09, 17100, 18630
1401/11/08, 18090, 19310
1401/11/05, 18680, 20350
1401/11/04, 19800, 20500
1401/11/03, 19680, 20740
1401/11/02, 19700, 20850
1401/11/01, 20330, 21660
1401/10/28, 20750, 22400
1401/10/27, 20810, 21900
1401/10/26, 20400, 21420
1401/10/24, 19400, 20400
1401/10/21, 19760, 20700
1401/10/20, 19790, 20700
1401/10/19, 19450, 20320
1401/10/18, 19300, 20060
1401/10/17, 18840, 19380
1401/10/14, 18700, 19050
1401/10/13, 18810, 19680
1401/10/12, 18920, 19730
1401/10/11, 18660, 19910
1401/10/10, 18960, 19910
1401/10/07, 19000, 20140
1401/10/05, 18870, 19430
1401/10/04, 19170, 19880
1401/10/03, 18600, 19650
1401/09/30, 18520, 19000
1401/09/29, 18500, 18900
1401/09/28, 18650, 19320
1401/09/27, 18750, 19500
1401/09/26, 18400, 19370
1401/09/23, 18360, 19000
1401/09/22, 17860, 18750
1401/09/21, 17540, 18260
1401/09/20, 17540, 17890
1401/09/19, 17510, 18090
1401/09/16, 17900, 18600
1401/09/15, 18160, 18700
1401/09/14, 18200, 18720
1401/09/13, 17980, 18670
1401/09/12, 17840, 18390
1401/09/09, 18020, 18440
1401/09/08, 17560, 18360
1401/09/07, 17500, 17760
1401/09/06, 17400, 17750
1401/09/05, 17460, 17800
1401/09/02, 17600, 18030
1401/09/01, 17560, 18000
1401/08/30, 17500, 18100
1401/08/29, 17560, 18050
1401/08/28, 17360, 18350
1401/08/25, 17850, 18300
1401/08/24, 17880, 18400
1401/08/23, 17730, 18280
1401/08/22, 18110, 18460
1401/08/21, 17900, 18670
1401/08/18, 17700, 18490
1401/08/17, 17710, 19170
1401/08/16, 17560, 18610
1401/08/15, 17520, 17970
1401/08/14, 16850, 17880
1401/08/11, 16710, 17240
1401/08/10, 16710, 17300
1401/08/09, 16250, 16930
1401/08/08, 15550, 16470
1401/08/07, 15930, 16900
1401/08/04, 16340, 17320
1401/08/03, 17000, 17450
1401/08/02, 17350, 17960
1401/08/01, 17430, 18280
1401/07/30, 17070, 17540
1401/07/27, 17010, 17390
1401/07/26, 17030, 17380
1401/07/25, 17040, 17400
1401/07/24, 17130, 17500
1401/07/23, 17300, 17530
1401/07/20, 17280, 17690
1401/07/19, 17240, 17700
1401/07/18, 17250, 17810
1401/07/17, 17270, 17840
1401/07/16, 17700, 18340
1401/07/12, 17420, 18120
1401/07/11, 17450, 18180
1401/07/10, 17100, 18240
1401/07/09, 17340, 18120
1401/07/06, 17690, 18400
1401/07/04, 17360, 18290
1401/07/02, 17500, 18050
1401/06/30, 18100, 18670
1401/06/29, 18300, 18910
1401/06/28, 18530, 19000
1401/06/27, 18600, 19000
1401/06/23, 18810, 19300
1401/06/22, 18500, 19150
1401/06/21, 18550, 19070
1401/06/20, 18400, 19000
1401/06/19, 18500, 19190
1401/06/16, 19000, 19560
1401/06/15, 19220, 19730
1401/06/14, 19080, 19960
1401/06/13, 18910, 19390
1401/06/12, 18990, 19730
1401/06/09, 19450, 19700
1401/06/08, 19500, 20100
1401/06/07, 18740, 19870
1401/06/06, 18710, 19150
1401/06/05, 18970, 19350
1401/06/02, 18750, 19400
1401/06/01, 18220, 19130
1401/05/31, 17960, 18570
1401/05/30, 17650, 18450
1401/05/29, 18290, 18600
1401/05/26, 18500, 18950
1401/05/25, 18500, 18950
1401/05/24, 18530, 18950
1401/05/23, 18550, 19090
1401/05/22, 18550, 19330
1401/05/19, 18520, 19000
1401/05/18, 18770, 19440
1401/05/15, 18500, 19280
1401/05/12, 18350, 18790
1401/05/11, 18210, 18900
1401/05/10, 18660, 19400
1401/05/09, 18630, 19900
1401/05/08, 19120, 20010
1401/05/05, 18810, 19830
1401/05/04, 18800, 19400
1401/05/03, 18500, 19220
1401/05/02, 18740, 19630
1401/05/01, 19240, 19900
1401/04/29, 18380, 19450
1401/04/28, 18150, 18700
1401/04/26, 18200, 19200
1401/04/25, 18790, 19270
1401/04/22, 18410, 19250
1401/04/21, 18410, 19090
1401/04/20, 18410, 19550
1401/04/18, 19150, 19800
1401/04/15, 19490, 20140
1401/04/14, 19900, 20270
1401/04/13, 20090, 20590
1401/04/12, 19910, 20750
1401/04/11, 19860, 20600
1401/04/08, 19850, 20400
1401/04/07, 19510, 20620
1401/04/06, 19040, 19910
1401/04/05, 19280, 20390
1401/04/04, 20070, 20660
1401/04/01, 20030, 20580
1401/03/31, 20030, 20600
1401/03/30, 20220, 20820
1401/03/29, 20220, 20900
1401/03/28, 20310, 20960
1401/03/25, 20140, 20700
1401/03/24, 20290, 20980
1401/03/23, 20550, 21390
1401/03/22, 20000, 20760
1401/03/21, 20010, 20780
1401/03/18, 20360, 21010
1401/03/17, 19900, 20970
1401/03/16, 20400, 21110
1401/03/11, 21000, 22090
1401/03/10, 20500, 22300
1401/03/09, 20900, 22000
1401/03/04, 22370, 23110
1401/03/03, 21760, 22860
1401/03/02, 22550, 23490
1401/03/01, 23180, 24500
1401/02/31, 23200, 24620
1401/02/28, 23150, 24500
1401/02/27, 23620, 24200
1401/02/26, 24350, 25440
1401/02/24, 26470, 26470
1401/02/21, 25210, 25210
1401/02/20, 22750, 24290
1401/02/19, 22600, 23800
1401/02/18, 22800, 23420
1401/02/17, 23130, 23900
1401/02/12, 22010, 23880
1401/02/11, 22570, 23510
1401/02/10, 23270, 24200
1401/02/07, 22530, 23470
1401/02/06, 22000, 23000
1401/02/05, 22220, 23330
1401/02/04, 21060, 22520
1401/01/31, 20900, 21610
1401/01/30, 19250, 20770
1401/01/29, 19410, 20190
1401/01/28, 19420, 20360
1401/01/27, 19000, 19990
1401/01/24, 18410, 19380
1401/01/23, 18200, 18990
1401/01/22, 18900, 19310
1401/01/21, 19160, 19950
1401/01/20, 18210, 19300
1401/01/17, 18170, 18960
1401/01/16, 18380, 18900
1401/01/15, 18150, 19500
1401/01/14, 18590, 19370
1401/01/10, 18180, 18760
1401/01/09, 18300, 19000
1401/01/08, 18380, 19000
1401/01/07, 18170, 18850
1401/01/06, 18010, 18750
1400/12/28, 17970, 18430
1400/12/25, 18010, 18900
1400/12/24, 18600, 19100
1400/12/23, 18820, 19410
1400/12/22, 18400, 19550
1400/12/21, 18500, 19180
1400/12/18, 18830, 19620
1400/12/17, 18900, 19620
1400/12/16, 19070, 20020
1400/12/15, 18240, 19180
1400/12/14, 18000, 18980
1400/12/11, 18320, 19000
1400/12/09, 18430, 19370
1400/12/08, 18010, 19060
1400/12/07, 18010, 18950
1400/12/04, 18650, 19440
1400/12/03, 19170, 20170
1400/12/02, 19820, 20550
1400/12/01, 20040, 20850
1400/11/30, 20040, 20880
1400/11/27, 20040, 21070
1400/11/25, 19600, 20620
1400/11/24, 18780, 20550
1400/11/23, 19150, 19900
1400/11/06, 53550, 56000
1400/11/04, 54000, 57100
1400/11/03, 54310, 57990
1400/11/02, 56000, 58900
1400/10/29, 55000, 58070
1400/10/28, 54700, 57900
1400/10/27, 56300, 59900
1400/10/26, 57300, 59500
1400/10/25, 57850, 60000
1400/10/22, 58510, 60720
1400/10/21, 57000, 58800
1400/10/20, 57000, 58990
1400/10/19, 56500, 58800
1400/10/18, 58410, 60300
1400/10/15, 58500, 59700
1400/10/14, 57650, 60540
1400/10/13, 58860, 60950
1400/10/12, 59500, 61400
1400/10/11, 58900, 60900
1400/10/08, 59370, 60760
1400/10/07, 59710, 61100
1400/10/06, 59810, 62400
1400/10/05, 59300, 61400
1400/10/04, 59610, 63940
1400/10/01, 61820, 61820
1400/09/30, 56010, 59180
1400/09/29, 55820, 57900
1400/09/28, 55500, 57300
1400/09/27, 56440, 59950
1400/09/24, 57100, 60000
1400/09/23, 56620, 59900
1400/09/22, 57680, 60980
1400/09/21, 60290, 61690
1400/09/20, 60030, 61000
1400/09/17, 57800, 60890
1400/09/16, 57720, 59800
1400/09/15, 55600, 58600
1400/09/14, 55200, 58350
1400/09/13, 55000, 58000
1400/09/10, 55500, 60440
1400/09/09, 57800, 60010
1400/09/08, 60010, 61800
1400/09/07, 60080, 61600
1400/09/06, 60080, 62650
1400/09/03, 62080, 64450
1400/09/02, 62130, 63480
1400/09/01, 62010, 64380
1400/08/30, 59200, 62800
1400/08/29, 59030, 62500
1400/08/26, 58630, 61280
1400/08/25, 55750, 59310
1400/08/24, 55620, 58490
1400/08/23, 57460, 60890
1400/08/22, 58800, 61790
1400/08/19, 55630, 58460
1400/08/18, 54970, 56700
1400/08/17, 53860, 57260
1400/08/16, 55670, 57970
1400/08/15, 56160, 59700
1400/08/12, 54200, 57950
1400/08/11, 52010, 56010
1400/08/10, 52750, 55500
1400/08/05, 53010, 55620
1400/08/04, 52400, 55100
1400/08/03, 52900, 54490
1400/08/01, 54100, 57300
1400/07/28, 55770, 57630
1400/07/27, 53000, 55460
1400/07/26, 51510, 53850
1400/07/25, 53210, 56170
1400/07/24, 54510, 56170
1400/07/21, 52510, 55830
1400/07/20, 54550, 57120
1400/07/19, 56800, 59010
1400/07/18, 55910, 58960
1400/07/17, 58070, 60980
1400/07/14, 59700, 61460
1400/07/12, 55910, 59920
1400/07/11, 56030, 58180
1400/07/10, 57190, 59820
1400/07/07, 57720, 59600
1400/07/06, 57500, 59800
1400/07/04, 56530, 59000
1400/07/03, 57590, 60020
1400/06/31, 56100, 60080
1400/06/30, 56760, 60890
1400/06/29, 57360, 60020
1400/06/28, 56100, 60250
1400/06/27, 58800, 61800
1400/06/24, 61000, 63690
1400/06/23, 62510, 65500
1400/06/22, 59810, 64100
1400/06/21, 60440, 63670
1400/06/20, 61320, 66560
1400/06/17, 62490, 64990
1400/06/16, 62420, 62420
1400/06/13, 59450, 59450
1400/06/10, 54170, 57150
1400/06/09, 52260, 56570
1400/06/08, 54450, 57600
1400/06/07, 55000, 59260
1400/06/06, 55110, 57710
1400/06/03, 52450, 56700
1400/06/02, 53240, 54880
1400/06/01, 50500, 52530
1400/05/31, 45270, 50030
1400/05/24, 47650, 47650
1400/05/23, 45390, 45390
1400/05/20, 43230, 43230
1400/05/19, 41180, 41180
1400/05/17, 39220, 39220
1400/05/16, 37360, 37360
1400/05/13, 35590, 35590
1400/05/12, 33900, 33900
1400/05/11, 32290, 32290
1400/05/10, 30760, 30760
1400/05/09, 29300, 29300
1400/05/06, 27910, 27910
1400/05/05, 26590, 26590
1400/05/04, 25200, 26460
1400/04/23, 21000, 21000
