date, min_price, max_price
1402/02/20, 56550, 60100
1402/02/19, 51300, 59000
1402/02/18, 55150, 55500
1402/02/17, 58900, 62500
1402/02/16, 61000, 64750
1402/02/13, 60000, 60550
1402/02/12, 54550, 56850
1402/02/11, 51100, 53400
1402/02/10, 47000, 50750
1402/02/09, 46850, 48900
1402/02/06, 46850, 49000
1402/02/05, 45500, 48250
1402/02/04, 45400, 46950
1402/01/30, 46700, 48550
1402/01/29, 47450, 50000
1402/01/28, 47750, 52150
1402/01/27, 49900, 53400
1402/01/26, 52350, 55150
1402/01/22, 48100, 52000
1402/01/21, 46500, 49850
1402/01/20, 45500, 47100
1402/01/15, 43500, 44400
1402/01/14, 40000, 43950
1402/01/09, 40400, 42500
1402/01/08, 39800, 41800
1402/01/07, 37000, 40950
1402/01/06, 35850, 40000
1402/01/05, 35600, 39850
1401/12/28, 35800, 37950
1401/12/27, 34000, 35650
1401/12/24, 31300, 33450
1401/12/23, 29050, 31850
1401/12/22, 28800, 30500
1401/12/21, 28350, 29900
1401/12/20, 28750, 29850
1401/12/16, 28750, 30150
1401/12/15, 28500, 29850
1401/12/14, 28150, 29850
1401/12/13, 27300, 29150
1401/12/10, 28450, 29450
1401/12/09, 27700, 29450
1401/12/08, 27000, 29500
1401/12/07, 27000, 28650
1401/12/06, 26100, 27800
1401/12/03, 25550, 27500
1401/12/02, 26050, 27850
1401/12/01, 25000, 27400
1401/11/30, 24650, 26400
1401/11/26, 24300, 25250
1401/11/25, 24600, 26400
1401/11/24, 24250, 25700
1401/11/23, 25000, 25950
1401/11/19, 25450, 26750
1401/11/18, 24850, 26200
1401/11/17, 23800, 25450
1401/11/16, 23650, 25600
1401/11/12, 24350, 25300
1401/11/11, 23700, 25200
1401/11/10, 23250, 25000
1401/11/09, 23300, 24850
1401/11/08, 24050, 25500
1401/11/05, 23950, 25900
1401/11/04, 24800, 26250
1401/11/03, 24500, 26150
1401/11/02, 24800, 26400
1401/11/01, 25400, 27200
1401/10/28, 25000, 27350
1401/10/27, 25000, 26300
1401/10/26, 25550, 26750
1401/10/24, 24900, 26300
1401/10/21, 25100, 26350
1401/10/20, 25950, 27750
1401/10/19, 25100, 26950
1401/10/18, 24650, 25850
1401/10/17, 23050, 25300
