date, min_price, max_price
1402/03/03, 15455, 15456
1402/03/02, 15431, 15433
1402/03/01, 15423, 15424
1402/02/31, 15414, 15415
1402/02/30, 15404, 15405
1402/02/27, 15393, 15395
1402/02/25, 15363, 15364
1402/02/24, 15350, 15351
1402/02/23, 15341, 15342
1402/02/20, 15331, 15332
1402/02/19, 15305, 15306
1402/02/18, 15296, 15297
1402/02/17, 15287, 15288
1402/02/16, 15278, 15279
1402/02/13, 15266, 15267
1402/02/12, 15242, 15243
1402/02/11, 15233, 15234
1402/02/10, 15224, 15225
1402/02/09, 15215, 15216
1402/02/06, 15204, 15206
1402/02/05, 15179, 15180
1402/02/04, 15170, 15171
1402/01/30, 15155, 15156
1402/01/29, 15117, 15118
1402/01/28, 15108, 15109
1402/01/27, 15098, 15100
1402/01/26, 15086, 15091
1402/01/22, 15075, 15081
1402/01/21, 15046, 15047
1402/01/20, 15036, 15038
1402/01/19, 15021, 15027
1402/01/16, 15013, 15014
1402/01/15, 14992, 14993
1402/01/14, 14984, 14985
1402/01/09, 14973, 14974
1402/01/08, 14931, 14932
1402/01/07, 14922, 14923
1402/01/05, 14904, 14905
1401/12/28, 14883, 14885
1401/12/27, 14855, 14856
1401/12/24, 14809, 14819
1401/12/23, 14809, 14810
1401/12/22, 14801, 14802
1401/12/21, 14793, 14794
1401/12/20, 14784, 14785
1401/12/16, 14767, 14768
1401/12/15, 14742, 14743
1401/12/14, 14734, 14736
1401/12/13, 14726, 14728
1401/12/10, 14715, 14716
1401/12/09, 14692, 14693
1401/12/08, 14684, 14685
1401/12/07, 14676, 14677
1401/12/06, 14667, 14668
1401/12/03, 14645, 14648
1401/12/02, 14634, 14635
1401/12/01, 14626, 14628
1401/11/30, 14617, 14618
1401/11/26, 14584, 14602
1401/11/25, 14576, 14577
1401/11/24, 14568, 14569
1401/11/23, 14560, 14561
1401/11/19, 14543, 14544
1401/11/18, 14518, 14519
1401/11/17, 14510, 14511
1401/11/16, 14502, 14503
1401/11/12, 14485, 14486
1401/11/11, 14461, 14462
1401/11/10, 14453, 14454
1401/11/09, 14444, 14445
1401/11/08, 14436, 14437
1401/11/05, 14416, 14417
1401/11/04, 14403, 14404
1401/11/03, 14395, 14396
1401/11/02, 14387, 14388
1401/11/01, 14379, 14380
1401/10/28, 14361, 14363
1401/10/27, 14346, 14347
1401/10/26, 14338, 14339
1401/10/24, 14322, 14323
1401/10/21, 14298, 14299
1401/10/20, 14290, 14291
1401/10/19, 14281, 14282
1401/10/18, 14273, 14274
1401/10/17, 14265, 14266
1401/10/14, 14241, 14242
1401/10/13, 14233, 14234
1401/10/12, 14225, 14226
1401/10/11, 14217, 14218
1401/10/10, 14209, 14210
1401/10/07, 14185, 14187
1401/10/05, 14168, 14169
