date, min_price, max_price
1402/03/03, 10400, 10790
1402/03/02, 10510, 11180
1402/03/01, 10180, 10800
1402/02/31, 9810, 10310
1402/02/30, 9980, 10600
1402/02/27, 9930, 10400
1402/02/25, 9720, 10240
1402/02/24, 9320, 10420
1402/02/23, 9830, 10230
1402/02/20, 10330, 11590
1402/02/19, 10500, 11650
1402/02/18, 11280, 11340
1402/02/17, 12090, 13000
1402/02/16, 12650, 13700
1402/02/13, 12120, 12940
1402/02/12, 11900, 12500
1402/02/11, 11460, 12040
1402/02/10, 11320, 11680
1402/02/09, 11380, 12110
1402/02/06, 11550, 12000
1402/02/05, 10650, 11380
1402/02/04, 10150, 10990
1402/01/30, 10400, 11180
1402/01/29, 10600, 11100
1402/01/28, 10240, 10950
1402/01/27, 10710, 11280
1402/01/26, 10450, 10710
1402/01/22, 9250, 10320
1402/01/21, 9000, 10000
1402/01/20, 9160, 9600
1402/01/19, 9090, 9490
1402/01/16, 8250, 9070
1402/01/15, 8300, 8680
1402/01/14, 8150, 8580
1402/01/09, 8100, 8550
1402/01/08, 8070, 8290
1402/01/07, 7850, 8220
1402/01/06, 7860, 8320
1402/01/05, 7900, 8340
1401/12/28, 7990, 8360
1401/12/27, 7470, 7980
1401/12/24, 7240, 7560
1401/12/23, 7100, 7260
1401/12/22, 7060, 7300
1401/12/21, 7060, 7500
1401/12/20, 7400, 7580
1401/12/16, 7280, 7570
1401/12/15, 7210, 7560
1401/12/14, 6900, 7330
1401/12/13, 6920, 7130
1401/12/10, 6940, 7260
1401/12/09, 6860, 7230
1401/12/08, 6710, 7200
1401/12/07, 6660, 7290
1401/12/06, 6600, 6960
1401/12/03, 6400, 6640
1401/12/02, 6440, 6840
1401/12/01, 6260, 6590
1401/11/30, 6140, 6300
1401/11/26, 6090, 6250
1401/11/25, 6150, 6550
1401/11/24, 6350, 6620
1401/11/23, 6380, 6590
1401/11/19, 6400, 6720
1401/11/18, 6360, 6680
1401/11/17, 6130, 6460
1401/11/16, 6100, 6590
1401/11/12, 6020, 6470
1401/11/11, 6100, 6300
1401/11/10, 5970, 6390
1401/11/09, 6380, 6780
1401/11/08, 6780, 7230
1401/11/05, 7050, 7590
1401/11/04, 7190, 7580
1401/11/03, 7220, 7840
1401/11/02, 7180, 7780
1401/11/01, 7550, 7900
1401/10/28, 7120, 7690
1401/10/27, 7000, 7390
1401/10/26, 7100, 7390
1401/10/24, 6740, 7130
1401/10/21, 6870, 7080
1401/10/20, 6950, 7270
1401/10/19, 6800, 7220
1401/10/18, 6800, 7070
1401/10/17, 6660, 6900
1401/10/14, 6550, 6790
1401/10/13, 6730, 7170
1401/10/12, 6890, 7170
1401/10/11, 6730, 7050
1401/10/10, 6640, 7100
1401/10/07, 6780, 7010
1401/10/05, 6390, 6740
1401/10/04, 6350, 6560
1401/10/03, 6320, 6440
1401/09/30, 6210, 6350
1401/09/29, 6170, 6350
1401/09/28, 6260, 6580
1401/09/27, 6320, 6550
1401/09/26, 6000, 6350
1401/09/23, 5960, 6190
1401/09/22, 5930, 6190
1401/09/21, 5900, 6080
1401/09/20, 5830, 6070
1401/09/19, 5850, 6110
1401/09/16, 6060, 6250
1401/09/15, 6050, 6230
1401/09/14, 5850, 5960
1401/09/08, 5920, 6150
1401/09/07, 5940, 6190
1401/09/06, 5820, 6140
1401/09/05, 5890, 6110
1401/09/02, 6040, 6200
1401/09/01, 5900, 6140
1401/08/30, 6050, 6310
1401/08/29, 6180, 6520
1401/08/28, 6100, 6210
1401/08/25, 5820, 6060
1401/08/24, 5860, 6250
1401/08/21, 6010, 6320
1401/08/18, 5740, 6240
1401/08/17, 5820, 6030
1401/08/16, 5860, 5860
1401/08/15, 5490, 5640
1401/08/14, 5150, 5440
1401/08/11, 5070, 5330
1401/08/10, 5150, 5400
1401/08/09, 5140, 5340
1401/08/08, 5100, 5300
1401/08/07, 5320, 5670
1401/08/04, 5510, 5970
1401/08/03, 5660, 5990
1401/08/02, 5850, 6100
1401/08/01, 6050, 6330
1401/07/30, 6190, 6420
1401/07/27, 6110, 6330
